Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Application util under 95%: 00
[001] Application util under 95%: 00
[002] Application util under 95%: 08
[003] Power: 155.6720, Temp: 34
[004] Power: 180.8100, Temp: 35
[005] Power: 206.9920, Temp: 36
[006] Power: 207.9660, Temp: 37
[007] Power: 208.4530, Temp: 38
[008] Power: 210.8880, Temp: 38
[009] Power: 212.3490, Temp: 38
[010] Power: 211.3750, Temp: 39
[011] Power: 210.7490, Temp: 39
[012] Power: 213.3230, Temp: 39
[013] Power: 212.6960, Temp: 40
[014] Power: 211.7230, Temp: 40
[015] Power: 212.3490, Temp: 40
[016] Power: 213.8100, Temp: 40
[017] Power: 213.6700, Temp: 40
[018] Power: 213.6700, Temp: 41
[019] Power: 212.2090, Temp: 41
[020] Power: 214.2970, Temp: 41
[021] Power: 214.2970, Temp: 41
[022] Power: 213.1830, Temp: 41
[023] Power: 214.2970, Temp: 42
[024] Power: 214.1560, Temp: 42
[025] Power: 214.1560, Temp: 42
[026] Power: 212.6960, Temp: 42
[027] Power: 214.7840, Temp: 42
[028] Power: 214.1560, Temp: 42
[029] Power: 213.1830, Temp: 42
[030] Power: 213.1830, Temp: 42
[031] Power: 214.7840, Temp: 42
[032] Power: 213.8100, Temp: 42
[033] Power: 213.1830, Temp: 42
[034] Power: 215.1300, Temp: 43
[035] Power: 213.6700, Temp: 43
[036] Power: 214.1560, Temp: 43
[037] Power: 213.1830, Temp: 43
[038] Power: 214.7840, Temp: 43
[039] Power: 215.1300, Temp: 43
[040] Power: 214.1560, Temp: 43
[041] Power: 213.6700, Temp: 43
[042] Power: 215.2710, Temp: 43
[043] Power: 214.6430, Temp: 43
[044] Power: 215.2710, Temp: 43
[045] Power: 215.7580, Temp: 43
[046] Power: 214.6430, Temp: 43
[047] Power: 215.6160, Temp: 44
[048] Power: 214.6430, Temp: 43
[049] Power: 214.6430, Temp: 44
[050] Power: 215.2710, Temp: 44
[051] Power: 215.6160, Temp: 44
[052] Power: 215.2710, Temp: 44
[053] Power: 214.1560, Temp: 44
[054] Power: 215.6160, Temp: 44
[055] Power: 215.6160, Temp: 44
[056] Power: 213.6700, Temp: 44
[057] Power: 216.1030, Temp: 44
[058] Power: 215.1300, Temp: 44
[059] Power: 213.6700, Temp: 44
[060] Power: 214.6430, Temp: 44
[061] Power: 215.6160, Temp: 44
[062] Power: 215.1300, Temp: 44
[063] Power: 214.1560, Temp: 44
[064] Power: 216.2450, Temp: 44
[065] Power: 215.6160, Temp: 44
[066] Power: 214.6430, Temp: 44
[067] Power: 215.7580, Temp: 44
[068] Power: 216.5900, Temp: 44
[069] Power: 215.7580, Temp: 44
[070] Power: 214.1560, Temp: 44
[071] Power: 215.6160, Temp: 44
[072] Power: 216.1030, Temp: 44
[073] Power: 214.6430, Temp: 44
[074] Power: 215.6160, Temp: 45
[075] Power: 216.7320, Temp: 45
[076] Power: 215.2710, Temp: 45
[077] Power: 214.1560, Temp: 45
[078] Power: 215.7580, Temp: 45
[079] Power: 216.5900, Temp: 45
[080] Power: 215.1300, Temp: 45
[081] Power: 215.7580, Temp: 45
[082] Power: 216.2450, Temp: 45
[083] Power: 216.1030, Temp: 45
[084] Power: 215.6160, Temp: 45
[085] Power: 215.1300, Temp: 45
[086] Power: 216.7320, Temp: 45
[087] Power: 215.6160, Temp: 45
[088] Power: 215.6160, Temp: 45
[089] Power: 216.5900, Temp: 45
[090] Power: 215.1300, Temp: 45
[091] Power: 214.6430, Temp: 45
[092] Power: 215.6160, Temp: 45
[093] Power: 216.5900, Temp: 45
[094] Power: 216.1030, Temp: 45
[095] Power: 214.6430, Temp: 45
[096] Power: 216.5900, Temp: 45
[097] Power: 216.5900, Temp: 45
[098] Power: 214.6430, Temp: 45
[099] Power: 216.5900, Temp: 45
[100] Power: 217.0770, Temp: 45
[101] Power: 215.1300, Temp: 45
[102] Power: 215.1300, Temp: 45
[103] Power: 217.2190, Temp: 45
[104] Power: 216.5900, Temp: 45
[105] Power: 215.1300, Temp: 45
[106] Power: 216.5900, Temp: 45
[107] Power: 216.5900, Temp: 45
[108] Power: 216.1030, Temp: 45
[109] Power: 214.6430, Temp: 45
[110] Power: 217.2190, Temp: 45
[111] Power: 216.5900, Temp: 45
[112] Power: 215.1300, Temp: 45
[113] Power: 215.6160, Temp: 45
[114] Power: 217.0770, Temp: 45
[115] Power: 217.0770, Temp: 45
[116] Power: 215.1300, Temp: 45
[117] Power: 216.1030, Temp: 45
[118] Power: 217.0770, Temp: 45
[119] Power: 215.6160, Temp: 45
[120] Power: 214.6430, Temp: 45
[121] Power: 217.0770, Temp: 45
[122] Power: 216.5900, Temp: 45
[123] Power: 215.6160, Temp: 45
[124] Power: 215.6160, Temp: 45
[125] Power: 217.0770, Temp: 45
[126] Power: 216.5900, Temp: 45
[127] Power: 215.1300, Temp: 45
[128] Power: 216.5900, Temp: 45
[129] Power: 216.5900, Temp: 46
[130] Power: 215.6160, Temp: 46
[131] Power: 216.7320, Temp: 46
[132] Power: 216.5900, Temp: 46
[133] Power: 215.1300, Temp: 46
[134] Power: 216.1030, Temp: 46
[135] Power: 216.1030, Temp: 46
[136] Power: 215.6160, Temp: 46
[137] Power: 216.5900, Temp: 46
[138] Power: 216.5900, Temp: 46
[139] Power: 215.1300, Temp: 46
[140] Power: 216.7320, Temp: 46
[141] Power: 216.5900, Temp: 46
[142] Power: 216.1030, Temp: 46
[143] Power: 216.5900, Temp: 46
[144] Power: 217.0770, Temp: 46
[145] Power: 216.5900, Temp: 46
[146] Power: 215.1300, Temp: 46
[147] Power: 216.7320, Temp: 46
[148] Power: 217.0770, Temp: 46
[149] Power: 215.1300, Temp: 46
[150] Power: 217.5630, Temp: 46
[151] Power: 216.1030, Temp: 46
[152] Power: 215.1300, Temp: 46
[153] Power: 217.5630, Temp: 46
[154] Power: 217.0770, Temp: 46
[155] Power: 216.5900, Temp: 46
[156] Power: 215.6160, Temp: 46
[157] Power: 217.2190, Temp: 46
[158] Power: 216.5900, Temp: 46
[159] Power: 214.6430, Temp: 46
[160] Power: 217.2190, Temp: 46
[161] Power: 216.1030, Temp: 46
[162] Power: 215.1300, Temp: 46
[163] Power: 217.7060, Temp: 46
[164] Power: 217.0770, Temp: 46
[165] Power: 215.6160, Temp: 46
[166] Power: 216.1030, Temp: 46
[167] Power: 217.0770, Temp: 46
[168] Power: 216.5900, Temp: 46
[169] Power: 216.2450, Temp: 46
[170] Power: 217.0770, Temp: 46
[171] Power: 216.5900, Temp: 46
[172] Power: 215.6160, Temp: 46
[173] Power: 217.2190, Temp: 46
[174] Power: 217.0770, Temp: 46
[175] Power: 216.1030, Temp: 46
[176] Power: 215.6160, Temp: 46
[177] Power: 217.7060, Temp: 46
[178] Power: 217.0770, Temp: 46
[179] Power: 215.6160, Temp: 46
[180] Power: 217.2190, Temp: 46
[181] Power: 217.0770, Temp: 46
[182] Power: 214.6430, Temp: 46
[183] Power: 217.0770, Temp: 46
[184] Power: 217.0770, Temp: 46
[185] Power: 217.0770, Temp: 46
[186] Power: 215.6160, Temp: 46
[187] Power: 217.0770, Temp: 46
[188] Power: 217.0770, Temp: 46
[189] Power: 216.1030, Temp: 46
[190] Power: 217.2190, Temp: 46
[191] Power: 217.5630, Temp: 46
[192] Power: 216.1030, Temp: 46
[193] Power: 215.1300, Temp: 46
[194] Power: 217.7060, Temp: 46
[195] Power: 217.0770, Temp: 46
[196] Power: 215.6160, Temp: 46
[197] Power: 217.5630, Temp: 46
[198] Power: 217.0770, Temp: 46
[199] Power: 215.6160, Temp: 46
[200] Power: 217.2190, Temp: 46
[201] Power: 217.0770, Temp: 46
[202] Power: 215.6160, Temp: 46
[203] Power: 216.2450, Temp: 46
[204] Power: 217.5630, Temp: 46
[205] Power: 215.6160, Temp: 46
[206] Power: 215.6160, Temp: 46
[207] Power: 217.5630, Temp: 46
[208] Power: 217.0770, Temp: 46
[209] Power: 217.0770, Temp: 46
