Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Application util under 95%: 86
[001] Application util under 95%: 90
[002] Application util under 95%: 90
[003] Application util under 95%: 90
[004] Application util under 95%: 90
[005] Application util under 95%: 90
[006] Application util under 95%: 90
[007] Application util under 95%: 90
[008] Application util under 95%: 90
[009] Application util under 95%: 90
[010] Application util under 95%: 90
[011] Application util under 95%: 90
[012] Application util under 95%: 90
[013] Application util under 95%: 90
[014] Application util under 95%: 90
[015] Application util under 95%: 90
[016] Application util under 95%: 90
[017] Application util under 95%: 90
[018] Application util under 95%: 90
[019] Application util under 95%: 90
[020] Application util under 95%: 90
[021] Application util under 95%: 90
[022] Application util under 95%: 90
[023] Application util under 95%: 90
[024] Application util under 95%: 90
[025] Application util under 95%: 90
[026] Application util under 95%: 90
[027] Application util under 95%: 90
[028] Application util under 95%: 90
[029] Application util under 95%: 90
[030] Application util under 95%: 90
[031] Application util under 95%: 90
[032] Application util under 95%: 90
[033] Application util under 95%: 90
[034] Application util under 95%: 90
[035] Application util under 95%: 90
[036] Application util under 95%: 90
[037] Application util under 95%: 90
[038] Application util under 95%: 90
[039] Application util under 95%: 90
[040] Application util under 95%: 90
[041] Application util under 95%: 90
[042] Application util under 95%: 90
[043] Application util under 95%: 90
[044] Application util under 95%: 90
[045] Application util under 95%: 90
[046] Application util under 95%: 90
[047] Application util under 95%: 90
[048] Application util under 95%: 90
[049] Application util under 95%: 90
[050] Application util under 95%: 90
[051] Application util under 95%: 90
[052] Application util under 95%: 90
[053] Application util under 95%: 90
[054] Application util under 95%: 90
[055] Application util under 95%: 90
[056] Application util under 95%: 90
[057] Application util under 95%: 90
[058] Application util under 95%: 90
[059] Application util under 95%: 90
[060] Application util under 95%: 90
[061] Application util under 95%: 90
[062] Application util under 95%: 90
[063] Application util under 95%: 90
[064] Application util under 95%: 90
[065] Application util under 95%: 90
[066] Application util under 95%: 90
[067] Application util under 95%: 90
[068] Application util under 95%: 90
[069] Application util under 95%: 90
[070] Application util under 95%: 90
[071] Application util under 95%: 90
[072] Application util under 95%: 90
[073] Application util under 95%: 90
[074] Application util under 95%: 90
[075] Application util under 95%: 90
[076] Application util under 95%: 90
[077] Application util under 95%: 90
[078] Application util under 95%: 90
[079] Application util under 95%: 90
[080] Application util under 95%: 90
[081] Application util under 95%: 90
[082] Application util under 95%: 90
[083] Application util under 95%: 90
[084] Application util under 95%: 90
[085] Application util under 95%: 90
[086] Application util under 95%: 90
[087] Application util under 95%: 90
[088] Application util under 95%: 90
[089] Application util under 95%: 90
[090] Application util under 95%: 90
[091] Application util under 95%: 90
[092] Application util under 95%: 90
[093] Application util under 95%: 90
[094] Application util under 95%: 90
[095] Application util under 95%: 90
[096] Application util under 95%: 90
[097] Application util under 95%: 90
[098] Application util under 95%: 90
[099] Application util under 95%: 90
[100] Application util under 95%: 90
[101] Application util under 95%: 90
[102] Application util under 95%: 90
[103] Application util under 95%: 90
[104] Application util under 95%: 90
[105] Application util under 95%: 90
[106] Application util under 95%: 90
[107] Application util under 95%: 90
[108] Application util under 95%: 90
[109] Application util under 95%: 90
[110] Application util under 95%: 90
[111] Application util under 95%: 90
[112] Application util under 95%: 90
[113] Application util under 95%: 90
[114] Application util under 95%: 90
[115] Application util under 95%: 90
[116] Application util under 95%: 90
[117] Application util under 95%: 90
[118] Application util under 95%: 90
[119] Application util under 95%: 90
[120] Application util under 95%: 90
[121] Application util under 95%: 90
[122] Application util under 95%: 90
[123] Application util under 95%: 90
[124] Application util under 95%: 90
[125] Application util under 95%: 90
[126] Application util under 95%: 90
[127] Application util under 95%: 90
[128] Application util under 95%: 90
[129] Application util under 95%: 90
[130] Application util under 95%: 90
[131] Application util under 95%: 90
[132] Application util under 95%: 90
[133] Application util under 95%: 90
[134] Application util under 95%: 90
[135] Application util under 95%: 90
[136] Application util under 95%: 90
[137] Application util under 95%: 90
[138] Application util under 95%: 90
[139] Application util under 95%: 90
[140] Application util under 95%: 90
[141] Application util under 95%: 90
[142] Application util under 95%: 90
[143] Application util under 95%: 90
[144] Application util under 95%: 90
[145] Application util under 95%: 90
[146] Application util under 95%: 90
[147] Application util under 95%: 90
[148] Application util under 95%: 90
[149] Application util under 95%: 90
[150] Application util under 95%: 90
[151] Application util under 95%: 90
[152] Application util under 95%: 90
[153] Application util under 95%: 90
[154] Application util under 95%: 90
[155] Application util under 95%: 90
[156] Application util under 95%: 90
[157] Application util under 95%: 90
[158] Application util under 95%: 90
[159] Application util under 95%: 90
[160] Application util under 95%: 90
[161] Application util under 95%: 90
[162] Application util under 95%: 90
[163] Application util under 95%: 90
[164] Application util under 95%: 90
[165] Application util under 95%: 90
[166] Application util under 95%: 90
[167] Application util under 95%: 90
[168] Application util under 95%: 90
[169] Application util under 95%: 90
[170] Application util under 95%: 90
[171] Application util under 95%: 90
[172] Application util under 95%: 90
[173] Application util under 95%: 90
[174] Application util under 95%: 90
[175] Application util under 95%: 90
[176] Application util under 95%: 90
[177] Application util under 95%: 90
[178] Application util under 95%: 90
[179] Application util under 95%: 90
[180] Application util under 95%: 90
[181] Application util under 95%: 90
[182] Application util under 95%: 90
[183] Application util under 95%: 90
[184] Application util under 95%: 90
[185] Application util under 95%: 90
[186] Application util under 95%: 90
[187] Application util under 95%: 90
[188] Application util under 95%: 90
[189] Application util under 95%: 90
[190] Application util under 95%: 90
[191] Application util under 95%: 90
[192] Application util under 95%: 90
[193] Application util under 95%: 90
[194] Application util under 95%: 90
[195] Application util under 95%: 90
[196] Application util under 95%: 90
[197] Application util under 95%: 90
[198] Application util under 95%: 90
[199] Application util under 95%: 90
