Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Application util under 95%: 87
[001] Application util under 95%: 87
[002] Application util under 95%: 87
[003] Application util under 95%: 89
[004] Application util under 95%: 89
[005] Application util under 95%: 89
[006] Application util under 95%: 89
[007] Application util under 95%: 89
[008] Application util under 95%: 89
[009] Application util under 95%: 89
[010] Application util under 95%: 89
[011] Application util under 95%: 89
[012] Application util under 95%: 89
[013] Application util under 95%: 89
[014] Application util under 95%: 89
[015] Application util under 95%: 89
[016] Application util under 95%: 89
[017] Application util under 95%: 89
[018] Application util under 95%: 89
[019] Application util under 95%: 89
[020] Application util under 95%: 89
[021] Application util under 95%: 88
[022] Application util under 95%: 88
[023] Application util under 95%: 81
[024] Application util under 95%: 81
[025] Application util under 95%: 81
[026] Application util under 95%: 81
[027] Application util under 95%: 81
[028] Application util under 95%: 81
[029] Application util under 95%: 81
[030] Application util under 95%: 81
[031] Application util under 95%: 81
[032] Application util under 95%: 81
[033] Application util under 95%: 81
[034] Application util under 95%: 82
[035] Application util under 95%: 82
[036] Application util under 95%: 81
[037] Application util under 95%: 81
[038] Application util under 95%: 81
[039] Application util under 95%: 81
[040] Application util under 95%: 81
[041] Application util under 95%: 81
[042] Application util under 95%: 81
[043] Application util under 95%: 81
[044] Application util under 95%: 81
[045] Application util under 95%: 81
[046] Application util under 95%: 81
[047] Application util under 95%: 81
[048] Application util under 95%: 81
[049] Application util under 95%: 82
[050] Application util under 95%: 82
[051] Application util under 95%: 89
[052] Application util under 95%: 89
[053] Application util under 95%: 89
[054] Application util under 95%: 89
[055] Application util under 95%: 89
[056] Application util under 95%: 89
[057] Application util under 95%: 89
[058] Application util under 95%: 89
[059] Application util under 95%: 89
[060] Application util under 95%: 89
[061] Application util under 95%: 89
[062] Application util under 95%: 89
[063] Application util under 95%: 89
[064] Application util under 95%: 89
[065] Application util under 95%: 89
[066] Application util under 95%: 89
[067] Application util under 95%: 89
[068] Application util under 95%: 89
[069] Application util under 95%: 89
[070] Application util under 95%: 89
[071] Application util under 95%: 89
[072] Application util under 95%: 89
[073] Application util under 95%: 89
[074] Application util under 95%: 89
[075] Application util under 95%: 89
[076] Application util under 95%: 89
[077] Application util under 95%: 89
[078] Application util under 95%: 89
[079] Application util under 95%: 89
[080] Application util under 95%: 89
[081] Application util under 95%: 89
[082] Application util under 95%: 89
[083] Application util under 95%: 89
[084] Application util under 95%: 89
[085] Application util under 95%: 89
[086] Application util under 95%: 89
[087] Application util under 95%: 89
[088] Application util under 95%: 89
[089] Application util under 95%: 89
[090] Application util under 95%: 89
[091] Application util under 95%: 89
[092] Application util under 95%: 89
[093] Application util under 95%: 89
[094] Application util under 95%: 89
[095] Application util under 95%: 89
[096] Application util under 95%: 89
[097] Application util under 95%: 89
[098] Application util under 95%: 89
[099] Application util under 95%: 89
[100] Application util under 95%: 89
[101] Application util under 95%: 89
[102] Application util under 95%: 89
[103] Application util under 95%: 89
[104] Application util under 95%: 89
[105] Application util under 95%: 89
[106] Application util under 95%: 89
[107] Application util under 95%: 89
[108] Application util under 95%: 89
[109] Application util under 95%: 89
[110] Application util under 95%: 89
[111] Application util under 95%: 89
[112] Application util under 95%: 89
[113] Application util under 95%: 89
[114] Application util under 95%: 89
[115] Application util under 95%: 89
[116] Application util under 95%: 89
[117] Application util under 95%: 89
[118] Application util under 95%: 89
[119] Application util under 95%: 89
[120] Application util under 95%: 89
[121] Application util under 95%: 89
[122] Application util under 95%: 89
[123] Application util under 95%: 89
[124] Application util under 95%: 89
[125] Application util under 95%: 89
[126] Application util under 95%: 89
[127] Application util under 95%: 89
[128] Application util under 95%: 89
[129] Application util under 95%: 89
[130] Application util under 95%: 89
[131] Application util under 95%: 89
[132] Application util under 95%: 89
[133] Application util under 95%: 89
[134] Application util under 95%: 89
[135] Application util under 95%: 89
[136] Application util under 95%: 89
[137] Application util under 95%: 89
[138] Application util under 95%: 89
[139] Application util under 95%: 89
[140] Application util under 95%: 89
[141] Application util under 95%: 89
[142] Application util under 95%: 89
[143] Application util under 95%: 89
[144] Application util under 95%: 89
[145] Application util under 95%: 89
[146] Application util under 95%: 89
[147] Application util under 95%: 89
[148] Application util under 95%: 89
[149] Application util under 95%: 89
[150] Application util under 95%: 89
[151] Application util under 95%: 89
[152] Application util under 95%: 89
[153] Application util under 95%: 89
[154] Application util under 95%: 89
[155] Application util under 95%: 89
[156] Application util under 95%: 89
[157] Application util under 95%: 89
[158] Application util under 95%: 89
[159] Application util under 95%: 89
[160] Application util under 95%: 89
[161] Application util under 95%: 89
[162] Application util under 95%: 89
[163] Application util under 95%: 89
[164] Application util under 95%: 89
[165] Application util under 95%: 89
[166] Application util under 95%: 89
[167] Application util under 95%: 89
[168] Application util under 95%: 89
[169] Application util under 95%: 89
[170] Application util under 95%: 89
[171] Application util under 95%: 89
[172] Application util under 95%: 89
[173] Application util under 95%: 89
[174] Application util under 95%: 89
[175] Application util under 95%: 89
[176] Application util under 95%: 89
[177] Application util under 95%: 89
[178] Application util under 95%: 89
[179] Application util under 95%: 89
[180] Application util under 95%: 89
[181] Application util under 95%: 89
[182] Application util under 95%: 89
[183] Application util under 95%: 89
[184] Application util under 95%: 89
[185] Application util under 95%: 89
[186] Application util under 95%: 89
[187] Application util under 95%: 89
[188] Application util under 95%: 89
[189] Application util under 95%: 89
[190] Application util under 95%: 89
[191] Application util under 95%: 89
[192] Application util under 95%: 89
[193] Application util under 95%: 89
[194] Application util under 95%: 89
[195] Application util under 95%: 89
[196] Application util under 95%: 89
[197] Application util under 95%: 89
[198] Application util under 95%: 89
[199] Application util under 95%: 89
