Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Application util under 95%: 00
[001] Application util under 95%: 00
[002] Application util under 95%: 00
[003] Application util under 95%: 00
[004] Application util under 95%: 00
[005] Application util under 95%: 00
[006] Application util under 95%: 00
[007] Application util under 95%: 00
[008] Application util under 95%: 00
[009] Application util under 95%: 00
[010] Application util under 95%: 00
[011] Application util under 95%: 54
[012] Application util under 95%: 54
[013] Power: 286.4090, Temp: 39
[014] Power: 281.5550, Temp: 40
[015] Power: 291.7490, Temp: 41
[016] Power: 297.0890, Temp: 41
[017] Power: 283.1980, Temp: 42
[018] Power: 292.7200, Temp: 42
[019] Power: 297.8630, Temp: 43
[020] Power: 284.4670, Temp: 43
[021] Power: 289.8070, Temp: 44
[022] Power: 294.6620, Temp: 44
[023] Power: 296.4080, Temp: 44
[024] Power: 289.3220, Temp: 45
[025] Power: 294.6620, Temp: 45
[026] Power: 290.2930, Temp: 45
[027] Power: 295.1470, Temp: 46
[028] Power: 291.2640, Temp: 46
[029] Power: 294.4670, Temp: 46
[030] Power: 295.4380, Temp: 46
[031] Power: 291.2640, Temp: 46
[032] Power: 296.4080, Temp: 47
[033] Power: 291.2640, Temp: 47
[034] Power: 295.9230, Temp: 47
[035] Power: 291.2640, Temp: 47
[036] Power: 291.7490, Temp: 47
[037] Power: 296.8930, Temp: 47
[038] Power: 291.2640, Temp: 47
[039] Power: 293.0120, Temp: 48
[040] Power: 297.0890, Temp: 48
[041] Power: 286.4090, Temp: 48
[042] Power: 290.7780, Temp: 48
[043] Power: 296.8930, Temp: 48
[044] Power: 291.5570, Temp: 48
[045] Power: 296.8930, Temp: 48
[046] Power: 286.4090, Temp: 48
[047] Power: 291.0720, Temp: 48
[048] Power: 297.3780, Temp: 49
