Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 299.5160, Temp: 53
[001] Power: 288.3510, Temp: 53
[002] Power: 293.2050, Temp: 53
[003] Power: 299.3190, Temp: 53
[004] Power: 288.3510, Temp: 53
[005] Power: 293.2050, Temp: 53
[006] Power: 298.8330, Temp: 53
[007] Power: 299.3190, Temp: 53
[008] Power: 299.3190, Temp: 53
[009] Power: 299.0310, Temp: 53
[010] Power: 299.3190, Temp: 53
[011] Power: 287.8650, Temp: 53
[012] Power: 293.2050, Temp: 53
[013] Power: 298.8330, Temp: 53
[014] Power: 287.8650, Temp: 53
[015] Power: 293.2050, Temp: 53
[016] Power: 298.8330, Temp: 53
[017] Power: 288.3510, Temp: 53
[018] Power: 292.7200, Temp: 53
[019] Power: 297.3780, Temp: 53
[020] Power: 282.5260, Temp: 53
[021] Power: 287.8650, Temp: 53
[022] Power: 287.8650, Temp: 53
[023] Power: 292.5270, Temp: 53
[024] Power: 297.3780, Temp: 53
[025] Power: 282.5260, Temp: 53
[026] Power: 287.8650, Temp: 53
[027] Power: 287.8650, Temp: 53
[028] Power: 292.7200, Temp: 53
[029] Power: 298.3480, Temp: 53
[030] Power: 287.3800, Temp: 53
[031] Power: 289.3220, Temp: 53
[032] Power: 292.2340, Temp: 53
[033] Power: 296.4080, Temp: 53
[034] Power: 286.4090, Temp: 53
[035] Power: 287.8650, Temp: 53
[036] Power: 288.3510, Temp: 53
[037] Power: 292.2340, Temp: 53
[038] Power: 296.6030, Temp: 53
[039] Power: 284.9530, Temp: 53
[040] Power: 287.8650, Temp: 53
[041] Power: 288.0550, Temp: 53
[042] Power: 292.2340, Temp: 53
[043] Power: 296.4080, Temp: 53
[044] Power: 284.6550, Temp: 53
[045] Power: 287.8650, Temp: 53
[046] Power: 287.8650, Temp: 53
[047] Power: 292.7200, Temp: 53
[048] Power: 297.0890, Temp: 53
[049] Power: 283.0110, Temp: 53
[050] Power: 287.8650, Temp: 53
[051] Power: 287.8650, Temp: 53
[052] Power: 292.5270, Temp: 53
[053] Power: 296.8930, Temp: 53
[054] Power: 282.5260, Temp: 53
[055] Power: 287.8650, Temp: 53
[056] Power: 287.8650, Temp: 53
[057] Power: 292.5270, Temp: 53
[058] Power: 299.3190, Temp: 53
[059] Power: 290.7780, Temp: 53
[060] Power: 292.7200, Temp: 53
[061] Power: 297.0890, Temp: 53
[062] Power: 284.9530, Temp: 53
[063] Power: 293.2050, Temp: 53
[064] Power: 297.8630, Temp: 53
[065] Power: 283.4960, Temp: 53
[066] Power: 294.9520, Temp: 53
[067] Power: 299.0310, Temp: 53
[068] Power: 299.0310, Temp: 53
[069] Power: 290.2930, Temp: 53
[070] Power: 294.9520, Temp: 53
[071] Power: 299.3190, Temp: 53
[072] Power: 294.6620, Temp: 53
[073] Power: 301.7440, Temp: 53
[074] Power: 290.7780, Temp: 53
[075] Power: 296.4080, Temp: 53
[076] Power: 297.8630, Temp: 53
[077] Power: 291.0720, Temp: 53
[078] Power: 296.6030, Temp: 53
