Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 294.6620, Temp: 52
[001] Power: 290.2930, Temp: 52
[002] Power: 294.9520, Temp: 52
[003] Power: 289.8070, Temp: 52
[004] Power: 290.2930, Temp: 52
[005] Power: 294.9520, Temp: 52
[006] Power: 289.8070, Temp: 52
[007] Power: 293.9820, Temp: 52
[008] Power: 294.9520, Temp: 52
[009] Power: 289.3220, Temp: 52
[010] Power: 294.9520, Temp: 52
[011] Power: 289.8070, Temp: 52
[012] Power: 295.6320, Temp: 52
[013] Power: 290.7780, Temp: 52
[014] Power: 291.2640, Temp: 52
[015] Power: 296.6030, Temp: 52
[016] Power: 292.2340, Temp: 52
[017] Power: 293.9820, Temp: 52
[018] Power: 298.0600, Temp: 52
[019] Power: 292.7200, Temp: 52
[020] Power: 294.9520, Temp: 52
[021] Power: 293.2050, Temp: 52
[022] Power: 297.8630, Temp: 52
[023] Power: 293.4970, Temp: 52
[024] Power: 293.9820, Temp: 52
[025] Power: 298.3480, Temp: 52
[026] Power: 293.9820, Temp: 52
[027] Power: 294.6620, Temp: 52
[028] Power: 299.3190, Temp: 52
[029] Power: 293.9820, Temp: 52
[030] Power: 295.1470, Temp: 52
[031] Power: 294.1760, Temp: 52
[032] Power: 298.8330, Temp: 52
[033] Power: 294.4670, Temp: 52
[034] Power: 294.4670, Temp: 52
[035] Power: 296.8930, Temp: 52
[036] Power: 294.4670, Temp: 52
[037] Power: 294.9520, Temp: 52
[038] Power: 294.9520, Temp: 53
[039] Power: 294.4670, Temp: 52
[040] Power: 293.2050, Temp: 52
[041] Power: 294.6620, Temp: 52
[042] Power: 299.0310, Temp: 52
[043] Power: 294.9520, Temp: 52
[044] Power: 294.9520, Temp: 52
[045] Power: 294.1760, Temp: 52
[046] Power: 295.1470, Temp: 52
[047] Power: 289.8070, Temp: 52
[048] Power: 295.1470, Temp: 52
[049] Power: 291.7490, Temp: 53
[050] Power: 290.7780, Temp: 52
[051] Power: 295.1470, Temp: 52
[052] Power: 291.2640, Temp: 53
[053] Power: 294.9520, Temp: 53
[054] Power: 295.1470, Temp: 52
[055] Power: 290.7780, Temp: 52
[056] Power: 294.9520, Temp: 52
[057] Power: 290.2930, Temp: 52
[058] Power: 294.9520, Temp: 52
[059] Power: 290.2930, Temp: 52
[060] Power: 290.2930, Temp: 52
[061] Power: 294.9520, Temp: 52
[062] Power: 290.7780, Temp: 53
[063] Power: 294.9520, Temp: 53
[064] Power: 295.1470, Temp: 53
[065] Power: 290.2930, Temp: 52
[066] Power: 295.1470, Temp: 52
[067] Power: 290.2930, Temp: 52
[068] Power: 294.9520, Temp: 52
[069] Power: 290.2930, Temp: 52
[070] Power: 290.2930, Temp: 52
[071] Power: 295.4380, Temp: 53
[072] Power: 289.8070, Temp: 53
[073] Power: 292.2340, Temp: 52
[074] Power: 295.4380, Temp: 53
[075] Power: 289.8070, Temp: 52
[076] Power: 295.1470, Temp: 52
[077] Power: 290.2930, Temp: 52
[078] Power: 295.1470, Temp: 52
[079] Power: 289.8070, Temp: 52
[080] Power: 290.2930, Temp: 52
[081] Power: 295.1470, Temp: 52
[082] Power: 289.8070, Temp: 52
[083] Power: 291.7490, Temp: 52
[084] Power: 295.1470, Temp: 52
[085] Power: 289.3220, Temp: 52
[086] Power: 294.9520, Temp: 53
[087] Power: 290.2930, Temp: 52
[088] Power: 294.9520, Temp: 53
[089] Power: 289.8070, Temp: 53
[090] Power: 289.8070, Temp: 52
[091] Power: 295.4380, Temp: 53
[092] Power: 290.2930, Temp: 52
[093] Power: 291.7490, Temp: 53
[094] Power: 296.4080, Temp: 53
[095] Power: 291.2640, Temp: 53
[096] Power: 295.4380, Temp: 53
[097] Power: 292.7200, Temp: 52
[098] Power: 297.5740, Temp: 53
[099] Power: 293.4970, Temp: 52
[100] Power: 293.4970, Temp: 53
[101] Power: 298.3480, Temp: 53
[102] Power: 289.6160, Temp: 53
[103] Power: 294.1760, Temp: 53
[104] Power: 298.5450, Temp: 53
[105] Power: 293.9820, Temp: 53
[106] Power: 292.2340, Temp: 53
[107] Power: 294.6620, Temp: 53
[108] Power: 298.8330, Temp: 53
[109] Power: 294.6620, Temp: 53
[110] Power: 294.4670, Temp: 53
[111] Power: 299.3190, Temp: 53
[112] Power: 294.6620, Temp: 53
[113] Power: 294.9520, Temp: 53
[114] Power: 299.5160, Temp: 53
[115] Power: 294.9520, Temp: 53
[116] Power: 290.7780, Temp: 53
[117] Power: 294.9520, Temp: 53
[118] Power: 296.6030, Temp: 53
[119] Power: 295.1470, Temp: 53
[120] Power: 294.9520, Temp: 53
[121] Power: 293.6910, Temp: 53
[122] Power: 295.4380, Temp: 53
[123] Power: 294.9520, Temp: 53
[124] Power: 292.2340, Temp: 53
[125] Power: 295.1470, Temp: 53
[126] Power: 290.7780, Temp: 53
[127] Power: 295.1470, Temp: 53
[128] Power: 291.7490, Temp: 53
[129] Power: 292.2340, Temp: 53
[130] Power: 294.9520, Temp: 53
[131] Power: 291.2640, Temp: 53
[132] Power: 294.9520, Temp: 53
[133] Power: 294.9520, Temp: 53
[134] Power: 290.7780, Temp: 53
[135] Power: 295.1470, Temp: 53
[136] Power: 290.2930, Temp: 53
[137] Power: 295.1470, Temp: 53
[138] Power: 290.2930, Temp: 53
[139] Power: 290.7780, Temp: 53
[140] Power: 294.9520, Temp: 53
[141] Power: 284.9530, Temp: 53
[142] Power: 288.8360, Temp: 53
[143] Power: 294.9520, Temp: 53
[144] Power: 289.8070, Temp: 53
[145] Power: 295.1470, Temp: 53
[146] Power: 290.2930, Temp: 53
[147] Power: 294.9520, Temp: 53
[148] Power: 289.8070, Temp: 53
[149] Power: 290.2930, Temp: 53
[150] Power: 295.1470, Temp: 53
[151] Power: 289.8070, Temp: 53
[152] Power: 293.9820, Temp: 53
[153] Power: 294.9520, Temp: 53
[154] Power: 284.9530, Temp: 53
[155] Power: 289.3220, Temp: 53
[156] Power: 289.8070, Temp: 53
[157] Power: 292.2340, Temp: 53
[158] Power: 294.9520, Temp: 53
[159] Power: 289.8070, Temp: 53
[160] Power: 295.1470, Temp: 53
[161] Power: 290.2930, Temp: 53
[162] Power: 296.4080, Temp: 53
[163] Power: 290.7780, Temp: 53
[164] Power: 290.2930, Temp: 53
[165] Power: 295.4380, Temp: 53
[166] Power: 290.7780, Temp: 53
[167] Power: 292.7200, Temp: 53
[168] Power: 296.4080, Temp: 53
[169] Power: 292.2340, Temp: 53
[170] Power: 295.6320, Temp: 53
[171] Power: 293.2050, Temp: 53
[172] Power: 297.8630, Temp: 53
[173] Power: 293.6910, Temp: 53
[174] Power: 293.0120, Temp: 53
[175] Power: 298.5450, Temp: 53
[176] Power: 293.9820, Temp: 53
[177] Power: 294.1760, Temp: 53
[178] Power: 298.8330, Temp: 53
[179] Power: 294.1760, Temp: 53
[180] Power: 295.6320, Temp: 53
[181] Power: 294.6620, Temp: 53
[182] Power: 298.8330, Temp: 53
[183] Power: 295.1470, Temp: 53
[184] Power: 295.1470, Temp: 53
