Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Application util under 95%: 00
[001] Application util under 95%: 00
[002] Application util under 95%: 00
[003] Application util under 95%: 00
[004] Application util under 95%: 00
[005] Application util under 95%: 05
[006] Application util under 95%: 44
[007] Application util under 95%: 44
[008] Power: 260.0520, Temp: 38
[009] Power: 261.0240, Temp: 39
[010] Power: 261.5110, Temp: 40
[011] Power: 261.9970, Temp: 40
[012] Power: 262.4830, Temp: 41
[013] Power: 262.4830, Temp: 41
[014] Power: 262.4830, Temp: 41
[015] Power: 262.7960, Temp: 42
[016] Power: 262.4830, Temp: 42
[017] Power: 262.9690, Temp: 42
[018] Power: 262.7960, Temp: 43
[019] Power: 263.2810, Temp: 43
[020] Power: 263.9410, Temp: 43
[021] Power: 263.9410, Temp: 43
[022] Power: 263.9410, Temp: 44
[023] Power: 263.9410, Temp: 44
[024] Power: 263.7670, Temp: 44
[025] Power: 264.4270, Temp: 44
[026] Power: 264.2530, Temp: 44
[027] Power: 264.2530, Temp: 45
[028] Power: 264.7390, Temp: 45
[029] Power: 264.7390, Temp: 45
[030] Power: 264.9130, Temp: 45
[031] Power: 264.7390, Temp: 45
[032] Power: 264.7390, Temp: 45
[033] Power: 265.2240, Temp: 45
[034] Power: 264.9130, Temp: 46
[035] Power: 265.3990, Temp: 46
[036] Power: 265.2240, Temp: 46
[037] Power: 265.3990, Temp: 46
[038] Power: 265.3990, Temp: 46
[039] Power: 265.3990, Temp: 46
[040] Power: 265.3990, Temp: 46
[041] Power: 265.7100, Temp: 46
[042] Power: 265.7100, Temp: 46
[043] Power: 265.2240, Temp: 46
[044] Power: 265.7100, Temp: 47
[045] Power: 265.7100, Temp: 47
[046] Power: 265.8850, Temp: 47
[047] Power: 265.7100, Temp: 47
[048] Power: 266.1960, Temp: 47
[049] Power: 266.1960, Temp: 47
[050] Power: 265.3990, Temp: 47
[051] Power: 265.7100, Temp: 47
[052] Power: 265.2240, Temp: 47
[053] Power: 266.1960, Temp: 47
[054] Power: 265.7100, Temp: 47
[055] Power: 266.1960, Temp: 47
[056] Power: 266.1960, Temp: 47
[057] Power: 266.1960, Temp: 47
[058] Power: 266.3710, Temp: 47
[059] Power: 266.1960, Temp: 48
[060] Power: 266.3710, Temp: 48
[061] Power: 266.1960, Temp: 48
[062] Power: 266.1960, Temp: 48
[063] Power: 266.3710, Temp: 48
[064] Power: 266.6820, Temp: 48
[065] Power: 266.1960, Temp: 48
[066] Power: 266.1960, Temp: 48
[067] Power: 266.1960, Temp: 48
[068] Power: 266.3710, Temp: 48
[069] Power: 266.3710, Temp: 48
[070] Power: 266.1960, Temp: 48
[071] Power: 266.3710, Temp: 48
[072] Power: 266.6820, Temp: 48
[073] Power: 266.6820, Temp: 48
[074] Power: 266.6820, Temp: 48
[075] Power: 266.8570, Temp: 48
[076] Power: 266.6820, Temp: 48
[077] Power: 266.6820, Temp: 48
[078] Power: 266.6820, Temp: 48
[079] Power: 266.8570, Temp: 48
[080] Power: 266.6820, Temp: 48
[081] Power: 266.6820, Temp: 48
[082] Power: 266.6820, Temp: 49
[083] Power: 266.6820, Temp: 49
[084] Power: 266.6820, Temp: 49
[085] Power: 267.1680, Temp: 49
[086] Power: 266.8570, Temp: 49
[087] Power: 266.6820, Temp: 49
[088] Power: 266.6820, Temp: 49
[089] Power: 267.3440, Temp: 49
[090] Power: 267.1680, Temp: 49
[091] Power: 266.6820, Temp: 49
[092] Power: 267.1680, Temp: 49
[093] Power: 267.1680, Temp: 49
[094] Power: 266.6820, Temp: 49
[095] Power: 267.1680, Temp: 49
[096] Power: 267.1680, Temp: 49
[097] Power: 267.1680, Temp: 49
[098] Power: 267.3440, Temp: 49
[099] Power: 267.1680, Temp: 49
[100] Power: 267.1680, Temp: 49
[101] Power: 267.1680, Temp: 49
[102] Power: 267.1680, Temp: 49
[103] Power: 267.1680, Temp: 49
[104] Power: 267.1680, Temp: 49
[105] Power: 267.6530, Temp: 49
[106] Power: 267.1680, Temp: 49
[107] Power: 267.6530, Temp: 49
[108] Power: 267.1680, Temp: 49
[109] Power: 267.1680, Temp: 49
[110] Power: 267.3440, Temp: 49
[111] Power: 267.3440, Temp: 49
[112] Power: 267.1680, Temp: 49
[113] Power: 267.6530, Temp: 49
[114] Power: 267.6530, Temp: 49
[115] Power: 267.3440, Temp: 49
[116] Power: 267.1680, Temp: 49
[117] Power: 267.6530, Temp: 49
[118] Power: 267.8300, Temp: 49
[119] Power: 267.6530, Temp: 49
[120] Power: 267.6530, Temp: 50
[121] Power: 267.6530, Temp: 49
[122] Power: 267.6530, Temp: 49
[123] Power: 267.8300, Temp: 50
[124] Power: 267.6530, Temp: 50
[125] Power: 267.6530, Temp: 50
[126] Power: 267.6530, Temp: 50
[127] Power: 267.6530, Temp: 50
[128] Power: 267.6530, Temp: 50
[129] Power: 267.6530, Temp: 50
[130] Power: 267.6530, Temp: 50
[131] Power: 267.6530, Temp: 50
[132] Power: 267.6530, Temp: 50
[133] Power: 267.6530, Temp: 50
[134] Power: 268.3160, Temp: 50
[135] Power: 268.3160, Temp: 50
[136] Power: 267.6530, Temp: 50
[137] Power: 267.6530, Temp: 50
[138] Power: 267.6530, Temp: 50
[139] Power: 267.8300, Temp: 50
[140] Power: 267.6530, Temp: 50
[141] Power: 267.6530, Temp: 50
[142] Power: 267.6530, Temp: 50
[143] Power: 268.1390, Temp: 50
[144] Power: 267.6530, Temp: 50
[145] Power: 268.1390, Temp: 50
[146] Power: 268.3160, Temp: 50
[147] Power: 268.1390, Temp: 50
[148] Power: 268.1390, Temp: 50
[149] Power: 268.1390, Temp: 50
[150] Power: 268.1390, Temp: 50
[151] Power: 268.1390, Temp: 50
[152] Power: 268.1390, Temp: 50
[153] Power: 268.1390, Temp: 50
[154] Power: 268.1390, Temp: 50
[155] Power: 268.1390, Temp: 50
[156] Power: 267.6530, Temp: 50
[157] Power: 268.1390, Temp: 50
[158] Power: 268.1390, Temp: 50
[159] Power: 268.1390, Temp: 50
[160] Power: 268.1390, Temp: 50
[161] Power: 268.3160, Temp: 50
[162] Power: 268.1390, Temp: 50
[163] Power: 268.3160, Temp: 50
[164] Power: 268.1390, Temp: 50
[165] Power: 267.6530, Temp: 50
[166] Power: 268.1390, Temp: 50
[167] Power: 268.1390, Temp: 50
[168] Power: 268.1390, Temp: 50
[169] Power: 268.1390, Temp: 50
[170] Power: 268.1390, Temp: 50
[171] Power: 268.1390, Temp: 50
[172] Power: 268.1390, Temp: 50
[173] Power: 268.1390, Temp: 50
[174] Power: 268.1390, Temp: 50
[175] Power: 268.1390, Temp: 50
[176] Power: 268.6250, Temp: 50
[177] Power: 268.1390, Temp: 50
[178] Power: 268.1390, Temp: 50
[179] Power: 268.1390, Temp: 50
[180] Power: 268.6250, Temp: 50
[181] Power: 268.1390, Temp: 50
[182] Power: 268.1390, Temp: 50
[183] Power: 268.3160, Temp: 50
[184] Power: 268.6250, Temp: 50
[185] Power: 268.1390, Temp: 50
[186] Power: 268.3160, Temp: 50
[187] Power: 268.1390, Temp: 50
[188] Power: 268.1390, Temp: 50
[189] Power: 268.1390, Temp: 50
[190] Power: 268.1390, Temp: 50
[191] Power: 268.1390, Temp: 50
[192] Power: 268.6250, Temp: 50
[193] Power: 268.1390, Temp: 50
[194] Power: 268.1390, Temp: 50
[195] Power: 268.1390, Temp: 50
[196] Power: 268.1390, Temp: 50
[197] Power: 268.6250, Temp: 50
[198] Power: 268.6250, Temp: 50
[199] Power: 268.1390, Temp: 50
[200] Power: 268.1390, Temp: 50
[201] Power: 268.6250, Temp: 50
[202] Power: 268.1390, Temp: 50
[203] Power: 268.6250, Temp: 50
[204] Power: 268.6250, Temp: 50
[205] Power: 268.1390, Temp: 50
[206] Power: 268.6250, Temp: 50
[207] Power: 268.6250, Temp: 50
[208] Power: 268.6250, Temp: 50
[209] Power: 268.6250, Temp: 50
[210] Power: 268.1390, Temp: 50
[211] Power: 268.6250, Temp: 50
[212] Power: 268.6250, Temp: 50
[213] Power: 268.1390, Temp: 50
[214] Power: 268.6250, Temp: 50
[215] Power: 268.6250, Temp: 50
[216] Power: 268.6250, Temp: 50
[217] Power: 268.6250, Temp: 50
[218] Power: 268.6250, Temp: 50
[219] Power: 268.8020, Temp: 50
[220] Power: 268.1390, Temp: 51
[221] Power: 268.1390, Temp: 50
[222] Power: 268.6250, Temp: 51
[223] Power: 268.6250, Temp: 50
[224] Power: 268.6250, Temp: 51
[225] Power: 268.6250, Temp: 51
[226] Power: 268.6250, Temp: 50
[227] Power: 268.6250, Temp: 51
[228] Power: 268.6250, Temp: 51
[229] Power: 268.6250, Temp: 51
[230] Power: 268.8020, Temp: 51
[231] Power: 268.6250, Temp: 51
[232] Power: 268.6250, Temp: 51
[233] Power: 268.6250, Temp: 50
[234] Power: 268.6250, Temp: 51
[235] Power: 268.6250, Temp: 51
[236] Power: 268.8020, Temp: 51
[237] Power: 268.6250, Temp: 51
[238] Power: 268.6250, Temp: 51
[239] Power: 268.6250, Temp: 51
[240] Power: 268.6250, Temp: 51
[241] Power: 268.6250, Temp: 51
[242] Power: 268.6250, Temp: 51
[243] Power: 268.6250, Temp: 51
[244] Power: 268.6250, Temp: 51
[245] Power: 268.6250, Temp: 51
[246] Power: 268.6250, Temp: 51
[247] Power: 268.8020, Temp: 51
[248] Power: 268.6250, Temp: 51
[249] Power: 268.6250, Temp: 51
[250] Power: 268.6250, Temp: 51
[251] Power: 268.6250, Temp: 51
[252] Power: 268.6250, Temp: 51
[253] Power: 268.6250, Temp: 51
[254] Power: 268.6250, Temp: 51
[255] Power: 268.6250, Temp: 51
[256] Power: 268.6250, Temp: 51
[257] Power: 268.6250, Temp: 51
[258] Power: 269.1110, Temp: 51
[259] Power: 268.8020, Temp: 51
[260] Power: 268.6250, Temp: 51
[261] Power: 268.6250, Temp: 51
[262] Power: 268.6250, Temp: 51
[263] Power: 268.6250, Temp: 51
[264] Power: 268.6250, Temp: 51
[265] Power: 268.6250, Temp: 51
[266] Power: 268.6250, Temp: 51
[267] Power: 268.6250, Temp: 51
[268] Power: 268.6250, Temp: 51
[269] Power: 268.6250, Temp: 51
[270] Power: 268.6250, Temp: 51
[271] Power: 268.6250, Temp: 51
[272] Power: 268.6250, Temp: 51
[273] Power: 268.6250, Temp: 51
[274] Power: 269.1110, Temp: 51
[275] Power: 268.6250, Temp: 51
[276] Power: 268.6250, Temp: 51
[277] Power: 268.6250, Temp: 51
[278] Power: 268.6250, Temp: 51
[279] Power: 268.6250, Temp: 51
[280] Power: 268.6250, Temp: 51
[281] Power: 268.6250, Temp: 51
[282] Power: 268.6250, Temp: 51
[283] Power: 268.6250, Temp: 51
[284] Power: 268.6250, Temp: 51
[285] Power: 268.6250, Temp: 51
[286] Power: 269.1110, Temp: 51
[287] Power: 268.6250, Temp: 51
[288] Power: 269.1110, Temp: 51
[289] Power: 269.1110, Temp: 51
[290] Power: 268.6250, Temp: 51
[291] Power: 268.6250, Temp: 51
[292] Power: 269.1110, Temp: 51
[293] Power: 268.6250, Temp: 51
[294] Power: 269.1110, Temp: 51
[295] Power: 269.1110, Temp: 51
[296] Power: 269.1110, Temp: 51
[297] Power: 269.1110, Temp: 51
[298] Power: 268.6250, Temp: 51
[299] Power: 269.1110, Temp: 51
[300] Power: 269.1110, Temp: 51
[301] Power: 269.2880, Temp: 51
[302] Power: 268.6250, Temp: 51
[303] Power: 269.1110, Temp: 51
[304] Power: 269.1110, Temp: 51
[305] Power: 268.6250, Temp: 51
[306] Power: 269.1110, Temp: 51
[307] Power: 268.6250, Temp: 51
[308] Power: 269.1110, Temp: 51
[309] Power: 269.1110, Temp: 51
[310] Power: 269.1110, Temp: 51
[311] Power: 269.2880, Temp: 51
[312] Power: 269.1110, Temp: 51
[313] Power: 268.6250, Temp: 51
[314] Power: 269.1110, Temp: 51
[315] Power: 268.6250, Temp: 51
[316] Power: 269.2880, Temp: 51
[317] Power: 269.1110, Temp: 51
[318] Power: 269.1110, Temp: 51
[319] Power: 268.6250, Temp: 51
[320] Power: 269.1110, Temp: 51
[321] Power: 269.1110, Temp: 51
[322] Power: 269.1110, Temp: 51
[323] Power: 269.1110, Temp: 51
[324] Power: 269.1110, Temp: 51
[325] Power: 268.6250, Temp: 51
[326] Power: 269.2880, Temp: 51
[327] Power: 268.6250, Temp: 51
[328] Power: 269.1110, Temp: 51
[329] Power: 269.2880, Temp: 51
[330] Power: 269.1110, Temp: 51
[331] Power: 268.6250, Temp: 51
[332] Power: 269.1110, Temp: 51
[333] Power: 269.1110, Temp: 51
[334] Power: 269.1110, Temp: 51
[335] Power: 269.1110, Temp: 51
[336] Power: 268.6250, Temp: 51
[337] Power: 269.1110, Temp: 51
[338] Power: 269.1110, Temp: 51
[339] Power: 269.2880, Temp: 51
[340] Power: 269.1110, Temp: 51
[341] Power: 269.1110, Temp: 51
[342] Power: 269.1110, Temp: 51
[343] Power: 269.1110, Temp: 51
[344] Power: 269.1110, Temp: 51
[345] Power: 268.6250, Temp: 51
[346] Power: 269.1110, Temp: 51
[347] Power: 269.5960, Temp: 51
[348] Power: 269.1110, Temp: 51
[349] Power: 269.1110, Temp: 51
[350] Power: 269.2880, Temp: 51
[351] Power: 269.1110, Temp: 51
[352] Power: 269.5960, Temp: 51
[353] Power: 269.1110, Temp: 51
[354] Power: 269.1110, Temp: 51
[355] Power: 269.1110, Temp: 51
[356] Power: 269.1110, Temp: 51
[357] Power: 269.1110, Temp: 51
[358] Power: 269.1110, Temp: 51
[359] Power: 269.1110, Temp: 51
[360] Power: 269.7740, Temp: 51
[361] Power: 269.1110, Temp: 51
[362] Power: 269.1110, Temp: 51
[363] Power: 269.1110, Temp: 51
[364] Power: 269.1110, Temp: 51
[365] Power: 269.1110, Temp: 51
[366] Power: 269.1110, Temp: 51
[367] Power: 269.1110, Temp: 51
[368] Power: 269.1110, Temp: 51
[369] Power: 269.1110, Temp: 51
[370] Power: 269.1110, Temp: 51
[371] Power: 269.1110, Temp: 51
[372] Power: 269.1110, Temp: 51
[373] Power: 269.1110, Temp: 51
[374] Power: 269.1110, Temp: 51
[375] Power: 269.2880, Temp: 51
[376] Power: 269.1110, Temp: 51
[377] Power: 269.1110, Temp: 51
[378] Power: 269.1110, Temp: 51
[379] Power: 269.1110, Temp: 51
[380] Power: 269.1110, Temp: 51
[381] Power: 269.1110, Temp: 51
[382] Power: 269.1110, Temp: 51
[383] Power: 269.1110, Temp: 51
[384] Power: 269.1110, Temp: 51
[385] Power: 262.4830, Temp: 51
[386] Power: 269.2880, Temp: 51
[387] Power: 268.6250, Temp: 51
[388] Power: 269.1110, Temp: 51
[389] Power: 268.6250, Temp: 51
[390] Power: 269.1110, Temp: 51
[391] Power: 269.1110, Temp: 51
[392] Power: 269.1110, Temp: 51
[393] Power: 269.1110, Temp: 51
[394] Power: 269.1110, Temp: 51
[395] Power: 269.1110, Temp: 51
[396] Power: 269.1110, Temp: 51
[397] Power: 269.1110, Temp: 51
[398] Power: 269.2880, Temp: 51
[399] Power: 269.1110, Temp: 51
[400] Power: 269.1110, Temp: 51
[401] Power: 269.1110, Temp: 51
[402] Power: 269.1110, Temp: 51
[403] Power: 269.1110, Temp: 51
[404] Power: 269.2880, Temp: 51
[405] Power: 269.1110, Temp: 51
[406] Power: 269.1110, Temp: 51
[407] Power: 269.1110, Temp: 51
[408] Power: 269.1110, Temp: 51
[409] Power: 269.1110, Temp: 51
[410] Power: 269.1110, Temp: 51
[411] Power: 269.1110, Temp: 51
[412] Power: 269.1110, Temp: 51
[413] Power: 269.1110, Temp: 51
[414] Power: 269.1110, Temp: 51
[415] Power: 269.1110, Temp: 51
[416] Power: 269.1110, Temp: 51
[417] Power: 269.2880, Temp: 51
[418] Power: 269.1110, Temp: 51
[419] Power: 269.1110, Temp: 51
[420] Power: 269.1110, Temp: 51
[421] Power: 269.1110, Temp: 51
[422] Power: 269.1110, Temp: 51
[423] Power: 269.1110, Temp: 51
[424] Power: 269.1110, Temp: 51
[425] Power: 269.1110, Temp: 51
[426] Power: 269.1110, Temp: 51
[427] Power: 269.1110, Temp: 51
[428] Power: 269.1110, Temp: 51
[429] Power: 269.1110, Temp: 51
[430] Power: 269.1110, Temp: 51
[431] Power: 269.5960, Temp: 51
[432] Power: 269.1110, Temp: 51
[433] Power: 269.2880, Temp: 51
[434] Power: 269.1110, Temp: 51
[435] Power: 269.1110, Temp: 51
[436] Power: 269.1110, Temp: 51
[437] Power: 269.1110, Temp: 51
[438] Power: 269.2880, Temp: 51
[439] Power: 269.1110, Temp: 51
[440] Power: 269.1110, Temp: 51
[441] Power: 269.5960, Temp: 51
[442] Power: 269.5960, Temp: 51
[443] Power: 269.1110, Temp: 51
[444] Power: 269.7740, Temp: 51
[445] Power: 269.1110, Temp: 51
[446] Power: 269.5960, Temp: 51
[447] Power: 269.1110, Temp: 51
[448] Power: 269.5960, Temp: 51
[449] Power: 269.2880, Temp: 51
[450] Power: 269.1110, Temp: 51
[451] Power: 269.7740, Temp: 51
[452] Power: 269.5960, Temp: 51
[453] Power: 269.1110, Temp: 51
[454] Power: 269.1110, Temp: 51
[455] Power: 269.1110, Temp: 51
[456] Power: 269.1110, Temp: 51
[457] Power: 269.7740, Temp: 51
[458] Power: 269.1110, Temp: 51
[459] Power: 269.1110, Temp: 51
[460] Power: 269.1110, Temp: 51
[461] Power: 269.1110, Temp: 51
[462] Power: 269.5960, Temp: 51
[463] Power: 269.2880, Temp: 51
[464] Power: 269.1110, Temp: 51
[465] Power: 269.5960, Temp: 51
[466] Power: 269.1110, Temp: 51
[467] Power: 269.1110, Temp: 51
[468] Power: 269.1110, Temp: 51
[469] Power: 269.2880, Temp: 51
[470] Power: 269.5960, Temp: 51
[471] Power: 269.5960, Temp: 51
[472] Power: 269.5960, Temp: 51
[473] Power: 269.1110, Temp: 51
[474] Power: 269.5960, Temp: 51
[475] Power: 269.5960, Temp: 51
[476] Power: 269.1110, Temp: 51
[477] Power: 269.5960, Temp: 51
[478] Power: 269.2880, Temp: 51
[479] Power: 269.5960, Temp: 51
[480] Power: 269.1110, Temp: 51
[481] Power: 269.1110, Temp: 51
[482] Power: 269.5960, Temp: 51
[483] Power: 269.1110, Temp: 51
[484] Power: 269.5960, Temp: 51
[485] Power: 269.5960, Temp: 51
[486] Power: 269.5960, Temp: 51
[487] Power: 269.7740, Temp: 51
[488] Power: 269.1110, Temp: 51
[489] Power: 269.5960, Temp: 51
[490] Power: 269.1110, Temp: 51
[491] Power: 269.7740, Temp: 51
[492] Power: 269.5960, Temp: 51
[493] Power: 269.1110, Temp: 51
[494] Power: 269.7740, Temp: 51
[495] Power: 269.5960, Temp: 51
[496] Power: 269.1110, Temp: 51
[497] Power: 269.1110, Temp: 51
[498] Power: 269.5960, Temp: 51
[499] Power: 269.5960, Temp: 51
[500] Power: 269.5960, Temp: 51
[501] Power: 269.1110, Temp: 51
[502] Power: 269.5960, Temp: 51
[503] Power: 269.5960, Temp: 51
[504] Power: 269.1110, Temp: 51
[505] Power: 269.1110, Temp: 51
[506] Power: 269.5960, Temp: 51
[507] Power: 269.1110, Temp: 51
[508] Power: 269.5960, Temp: 51
[509] Power: 269.1110, Temp: 51
[510] Power: 270.0820, Temp: 51
[511] Power: 269.5960, Temp: 51
[512] Power: 269.1110, Temp: 51
[513] Power: 269.5960, Temp: 51
[514] Power: 269.5960, Temp: 51
[515] Power: 269.7740, Temp: 51
[516] Power: 269.7740, Temp: 51
[517] Power: 269.5960, Temp: 51
[518] Power: 269.5960, Temp: 51
[519] Power: 269.1110, Temp: 51
[520] Power: 269.5960, Temp: 51
[521] Power: 269.5960, Temp: 51
[522] Power: 269.5960, Temp: 51
[523] Power: 269.5960, Temp: 51
[524] Power: 269.1110, Temp: 51
[525] Power: 269.5960, Temp: 51
[526] Power: 269.5960, Temp: 51
[527] Power: 269.5960, Temp: 51
[528] Power: 269.5960, Temp: 51
[529] Power: 269.5960, Temp: 51
[530] Power: 269.5960, Temp: 51
[531] Power: 269.5960, Temp: 51
[532] Power: 269.7740, Temp: 51
[533] Power: 269.5960, Temp: 51
[534] Power: 269.5960, Temp: 51
[535] Power: 269.5960, Temp: 51
[536] Power: 269.5960, Temp: 51
[537] Power: 269.5960, Temp: 51
[538] Power: 269.5960, Temp: 51
[539] Power: 269.5960, Temp: 51
[540] Power: 269.5960, Temp: 51
[541] Power: 269.5960, Temp: 51
[542] Power: 269.5960, Temp: 51
[543] Power: 269.5960, Temp: 51
[544] Power: 269.5960, Temp: 51
[545] Power: 269.7740, Temp: 51
[546] Power: 269.5960, Temp: 51
[547] Power: 269.5960, Temp: 51
[548] Power: 269.5960, Temp: 51
[549] Power: 269.5960, Temp: 51
[550] Power: 269.5960, Temp: 51
[551] Power: 269.5960, Temp: 51
[552] Power: 269.5960, Temp: 51
[553] Power: 269.5960, Temp: 51
[554] Power: 269.5960, Temp: 51
[555] Power: 269.5960, Temp: 51
[556] Power: 269.5960, Temp: 51
[557] Power: 269.5960, Temp: 51
[558] Power: 269.5960, Temp: 51
[559] Power: 269.5960, Temp: 51
[560] Power: 269.5960, Temp: 51
[561] Power: 269.7740, Temp: 51
[562] Power: 269.5960, Temp: 51
[563] Power: 269.5960, Temp: 51
[564] Power: 269.5960, Temp: 51
[565] Power: 269.5960, Temp: 51
[566] Power: 269.5960, Temp: 51
[567] Power: 269.7740, Temp: 51
[568] Power: 269.5960, Temp: 51
[569] Power: 269.5960, Temp: 51
[570] Power: 269.7740, Temp: 51
