Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Application util under 95%: 00
[001] Application util under 95%: 00
[002] Application util under 95%: 00
[003] Application util under 95%: 00
[004] Application util under 95%: 00
[005] Application util under 95%: 00
[006] Application util under 95%: 00
[007] Application util under 95%: 00
[008] Application util under 95%: 00
[009] Application util under 95%: 00
[010] Application util under 95%: 00
[011] Application util under 95%: 00
[012] Application util under 95%: 00
[013] Application util under 95%: 00
[014] Application util under 95%: 02
[015] Application util under 95%: 87
[016] Application util under 95%: 87
[017] Power: 263.7670, Temp: 39
[018] Power: 271.8460, Temp: 40
[019] Power: 273.7880, Temp: 41
[020] Power: 277.9730, Temp: 42
[021] Power: 282.3390, Temp: 42
[022] Power: 286.7050, Temp: 43
[023] Power: 291.0720, Temp: 43
[024] Power: 296.2120, Temp: 44
[025] Power: 275.7290, Temp: 44
[026] Power: 279.4290, Temp: 44
[027] Power: 284.2800, Temp: 45
[028] Power: 288.6460, Temp: 45
[029] Power: 293.0120, Temp: 46
[030] Power: 297.6670, Temp: 46
[031] Power: 275.7290, Temp: 46
[032] Power: 280.8840, Temp: 46
[033] Power: 284.9530, Temp: 46
[034] Power: 289.6160, Temp: 47
[035] Power: 294.2730, Temp: 47
[036] Power: 299.1210, Temp: 47
[037] Power: 299.1210, Temp: 48
[038] Power: 299.1210, Temp: 48
[039] Power: 298.8330, Temp: 48
[040] Power: 298.8330, Temp: 48
[041] Power: 299.6060, Temp: 48
[042] Power: 299.6060, Temp: 49
[043] Power: 277.0030, Temp: 48
[044] Power: 276.7000, Temp: 48
[045] Power: 277.1860, Temp: 48
[046] Power: 282.3390, Temp: 48
[047] Power: 286.7050, Temp: 49
[048] Power: 291.5570, Temp: 49
[049] Power: 295.7280, Temp: 49
[050] Power: 272.8170, Temp: 49
[051] Power: 273.3020, Temp: 49
[052] Power: 283.3100, Temp: 49
[053] Power: 287.1910, Temp: 49
[054] Power: 292.0420, Temp: 49
[055] Power: 297.1820, Temp: 50
[056] Power: 274.7590, Temp: 49
[057] Power: 278.9440, Temp: 49
[058] Power: 280.3990, Temp: 50
