Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 281.8540, Temp: 54
[001] Power: 287.1910, Temp: 54
[002] Power: 291.5570, Temp: 54
[003] Power: 295.9230, Temp: 54
[004] Power: 279.1280, Temp: 54
[005] Power: 281.5550, Temp: 54
[006] Power: 287.1910, Temp: 54
[007] Power: 292.0420, Temp: 54
[008] Power: 296.4080, Temp: 54
[009] Power: 278.1570, Temp: 54
[010] Power: 281.8540, Temp: 54
[011] Power: 287.6760, Temp: 54
[012] Power: 291.5570, Temp: 54
[013] Power: 296.4080, Temp: 54
[014] Power: 278.1570, Temp: 54
[015] Power: 281.8540, Temp: 54
[016] Power: 287.1910, Temp: 54
[017] Power: 291.8490, Temp: 54
[018] Power: 296.4080, Temp: 54
[019] Power: 277.9730, Temp: 54
[020] Power: 282.3390, Temp: 54
[021] Power: 287.1910, Temp: 54
[022] Power: 292.5270, Temp: 54
[023] Power: 297.1820, Temp: 54
[024] Power: 278.6420, Temp: 54
[025] Power: 283.9820, Temp: 54
[026] Power: 288.6460, Temp: 54
[027] Power: 293.4970, Temp: 54
[028] Power: 298.6360, Temp: 54
[029] Power: 279.6130, Temp: 54
[030] Power: 285.2500, Temp: 54
[031] Power: 289.6160, Temp: 54
[032] Power: 294.9520, Temp: 54
[033] Power: 299.1210, Temp: 54
[034] Power: 280.5840, Temp: 54
[035] Power: 285.7350, Temp: 54
[036] Power: 291.0720, Temp: 54
[037] Power: 295.4380, Temp: 54
[038] Power: 296.8930, Temp: 54
[039] Power: 281.3690, Temp: 54
[040] Power: 286.7050, Temp: 54
[041] Power: 291.0720, Temp: 54
[042] Power: 295.9230, Temp: 54
[043] Power: 289.6160, Temp: 54
[044] Power: 281.5550, Temp: 54
[045] Power: 286.8950, Temp: 54
[046] Power: 291.0720, Temp: 54
[047] Power: 295.9230, Temp: 54
[048] Power: 300.5760, Temp: 55
[049] Power: 282.3390, Temp: 54
[050] Power: 287.1910, Temp: 54
[051] Power: 291.5570, Temp: 54
[052] Power: 295.9230, Temp: 54
[053] Power: 297.1820, Temp: 55
[054] Power: 282.3390, Temp: 54
[055] Power: 287.1910, Temp: 54
[056] Power: 291.5570, Temp: 54
[057] Power: 296.4080, Temp: 54
[058] Power: 280.0980, Temp: 54
[059] Power: 282.3390, Temp: 54
[060] Power: 287.6760, Temp: 54
[061] Power: 292.0420, Temp: 54
[062] Power: 296.4080, Temp: 54
[063] Power: 279.1280, Temp: 54
[064] Power: 281.8540, Temp: 54
[065] Power: 287.6760, Temp: 54
[066] Power: 292.0420, Temp: 54
[067] Power: 296.8930, Temp: 54
[068] Power: 282.0400, Temp: 54
[069] Power: 281.5550, Temp: 54
[070] Power: 287.1910, Temp: 54
[071] Power: 292.0420, Temp: 54
[072] Power: 296.4080, Temp: 54
[073] Power: 280.5840, Temp: 54
[074] Power: 282.0400, Temp: 54
[075] Power: 287.1910, Temp: 54
[076] Power: 292.0420, Temp: 54
[077] Power: 296.2120, Temp: 54
[078] Power: 278.1570, Temp: 54
[079] Power: 282.0400, Temp: 54
[080] Power: 287.1910, Temp: 54
[081] Power: 292.0420, Temp: 54
[082] Power: 296.6970, Temp: 55
[083] Power: 281.5550, Temp: 54
[084] Power: 282.3390, Temp: 54
[085] Power: 282.5260, Temp: 54
[086] Power: 287.1910, Temp: 54
[087] Power: 292.0420, Temp: 54
[088] Power: 296.4080, Temp: 55
[089] Power: 279.6130, Temp: 54
[090] Power: 282.5260, Temp: 54
[091] Power: 285.7350, Temp: 54
[092] Power: 287.1910, Temp: 54
[093] Power: 292.0420, Temp: 54
[094] Power: 296.4080, Temp: 54
[095] Power: 279.6130, Temp: 55
[096] Power: 282.8240, Temp: 54
[097] Power: 287.6760, Temp: 54
[098] Power: 292.5270, Temp: 54
[099] Power: 296.6970, Temp: 55
[100] Power: 279.6130, Temp: 54
[101] Power: 282.5260, Temp: 54
[102] Power: 287.1910, Temp: 54
[103] Power: 292.0420, Temp: 54
[104] Power: 296.8930, Temp: 55
[105] Power: 278.6420, Temp: 54
[106] Power: 282.8240, Temp: 54
[107] Power: 288.1610, Temp: 54
[108] Power: 292.0420, Temp: 54
[109] Power: 296.6970, Temp: 55
[110] Power: 277.6710, Temp: 54
[111] Power: 282.3390, Temp: 54
[112] Power: 287.6760, Temp: 54
[113] Power: 292.0420, Temp: 54
[114] Power: 296.6970, Temp: 55
[115] Power: 278.1570, Temp: 54
[116] Power: 283.3100, Temp: 54
[117] Power: 287.6760, Temp: 54
[118] Power: 292.0420, Temp: 54
[119] Power: 296.8930, Temp: 55
[120] Power: 277.9730, Temp: 54
[121] Power: 283.3100, Temp: 54
[122] Power: 287.6760, Temp: 54
[123] Power: 292.5270, Temp: 54
[124] Power: 296.4080, Temp: 55
[125] Power: 278.1570, Temp: 54
[126] Power: 282.3390, Temp: 54
[127] Power: 287.6760, Temp: 54
[128] Power: 292.5270, Temp: 55
[129] Power: 299.6060, Temp: 55
[130] Power: 281.0690, Temp: 54
[131] Power: 286.2200, Temp: 54
[132] Power: 290.5860, Temp: 54
[133] Power: 295.2430, Temp: 55
