Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Application util under 95%: 00
[001] Application util under 95%: 00
[002] Application util under 95%: 46
[003] Power: 137.6160, Temp: 35
[004] Power: 140.0560, Temp: 36
[005] Power: 142.0080, Temp: 36
[006] Power: 143.8650, Temp: 36
[007] Power: 144.3530, Temp: 37
[008] Power: 143.8650, Temp: 37
[009] Power: 144.4480, Temp: 37
[010] Power: 144.4480, Temp: 37
[011] Power: 144.3530, Temp: 37
[012] Power: 144.3530, Temp: 37
[013] Power: 144.4480, Temp: 37
[014] Power: 144.3530, Temp: 38
[015] Power: 144.4480, Temp: 38
[016] Power: 144.3530, Temp: 38
[017] Power: 144.8400, Temp: 38
[018] Power: 144.9360, Temp: 38
[019] Power: 144.9360, Temp: 38
[020] Power: 144.8400, Temp: 38
[021] Power: 144.8400, Temp: 38
[022] Power: 144.9360, Temp: 38
[023] Power: 144.8400, Temp: 38
[024] Power: 144.9360, Temp: 38
[025] Power: 144.9360, Temp: 38
[026] Power: 144.8400, Temp: 38
[027] Power: 144.9360, Temp: 38
[028] Power: 144.8400, Temp: 38
[029] Power: 144.9360, Temp: 39
[030] Power: 144.8400, Temp: 39
[031] Power: 144.9360, Temp: 39
[032] Power: 144.8400, Temp: 39
[033] Power: 144.8400, Temp: 39
[034] Power: 144.9360, Temp: 39
[035] Power: 144.8400, Temp: 39
[036] Power: 144.8400, Temp: 39
[037] Power: 144.8400, Temp: 39
[038] Power: 137.1280, Temp: 39
[039] Power: 138.5920, Temp: 39
[040] Power: 140.5440, Temp: 39
[041] Power: 142.9840, Temp: 39
[042] Power: 144.9360, Temp: 39
[043] Power: 145.3280, Temp: 39
[044] Power: 144.8400, Temp: 39
[045] Power: 144.8400, Temp: 39
[046] Power: 145.4240, Temp: 39
[047] Power: 145.3280, Temp: 39
[048] Power: 145.3280, Temp: 39
[049] Power: 145.3280, Temp: 39
[050] Power: 145.3280, Temp: 39
[051] Power: 145.3280, Temp: 39
[052] Power: 145.3280, Temp: 39
[053] Power: 145.3280, Temp: 39
[054] Power: 145.3280, Temp: 39
[055] Power: 145.4240, Temp: 39
[056] Power: 145.3280, Temp: 39
[057] Power: 145.3280, Temp: 39
[058] Power: 145.3280, Temp: 39
[059] Power: 145.3280, Temp: 39
[060] Power: 145.4240, Temp: 39
[061] Power: 145.3280, Temp: 39
[062] Power: 145.4240, Temp: 40
[063] Power: 145.3280, Temp: 39
[064] Power: 145.3280, Temp: 40
[065] Power: 145.3280, Temp: 40
[066] Power: 145.3280, Temp: 40
[067] Power: 145.3280, Temp: 40
[068] Power: 145.3280, Temp: 40
[069] Power: 145.4240, Temp: 40
[070] Power: 145.4240, Temp: 40
[071] Power: 145.3280, Temp: 40
[072] Power: 145.3280, Temp: 40
[073] Power: 145.3280, Temp: 40
[074] Power: 145.4240, Temp: 40
[075] Power: 145.3280, Temp: 40
[076] Power: 145.4240, Temp: 40
[077] Power: 145.3280, Temp: 40
[078] Power: 145.3280, Temp: 40
[079] Power: 145.3280, Temp: 40
[080] Power: 145.4240, Temp: 40
[081] Power: 145.3280, Temp: 40
[082] Power: 145.3280, Temp: 40
[083] Power: 145.3280, Temp: 40
[084] Power: 145.4240, Temp: 40
[085] Power: 145.3280, Temp: 40
[086] Power: 145.8160, Temp: 40
[087] Power: 145.3280, Temp: 40
[088] Power: 145.4240, Temp: 40
[089] Power: 145.8160, Temp: 40
[090] Power: 145.3280, Temp: 40
[091] Power: 145.3280, Temp: 40
[092] Power: 145.3280, Temp: 40
[093] Power: 145.9120, Temp: 40
[094] Power: 145.8160, Temp: 40
[095] Power: 145.3280, Temp: 40
[096] Power: 145.9120, Temp: 40
[097] Power: 145.4240, Temp: 40
[098] Power: 145.8160, Temp: 40
[099] Power: 145.8160, Temp: 40
[100] Power: 145.3280, Temp: 40
[101] Power: 145.3280, Temp: 40
[102] Power: 145.8160, Temp: 40
[103] Power: 145.9120, Temp: 40
[104] Power: 145.8160, Temp: 40
[105] Power: 145.8160, Temp: 40
[106] Power: 145.8160, Temp: 40
[107] Power: 145.9120, Temp: 40
[108] Power: 145.9120, Temp: 40
[109] Power: 145.9120, Temp: 40
[110] Power: 145.8160, Temp: 40
[111] Power: 145.8160, Temp: 40
[112] Power: 145.8160, Temp: 40
[113] Power: 145.9120, Temp: 40
[114] Power: 145.9120, Temp: 40
[115] Power: 145.9120, Temp: 40
[116] Power: 145.8160, Temp: 40
[117] Power: 145.8160, Temp: 40
[118] Power: 145.8160, Temp: 40
[119] Power: 145.8160, Temp: 40
[120] Power: 145.9120, Temp: 40
[121] Power: 145.9120, Temp: 40
[122] Power: 145.8160, Temp: 40
[123] Power: 145.8160, Temp: 40
[124] Power: 145.9120, Temp: 40
[125] Power: 145.8160, Temp: 40
[126] Power: 145.8160, Temp: 40
[127] Power: 145.8160, Temp: 40
[128] Power: 145.9120, Temp: 40
[129] Power: 145.8160, Temp: 40
[130] Power: 145.8160, Temp: 40
[131] Power: 145.8160, Temp: 40
[132] Power: 145.9120, Temp: 40
[133] Power: 145.8160, Temp: 40
[134] Power: 145.8160, Temp: 40
[135] Power: 145.9120, Temp: 40
[136] Power: 145.9120, Temp: 40
[137] Power: 145.8160, Temp: 40
[138] Power: 145.3280, Temp: 40
[139] Power: 145.8160, Temp: 40
[140] Power: 145.8160, Temp: 40
[141] Power: 145.8160, Temp: 40
[142] Power: 145.8160, Temp: 40
[143] Power: 145.9120, Temp: 40
[144] Power: 145.8160, Temp: 40
[145] Power: 145.8160, Temp: 40
[146] Power: 145.8160, Temp: 40
[147] Power: 145.8160, Temp: 40
[148] Power: 145.8160, Temp: 40
[149] Power: 145.8160, Temp: 40
[150] Power: 145.9120, Temp: 40
[151] Power: 145.8160, Temp: 40
[152] Power: 145.8160, Temp: 40
[153] Power: 145.8160, Temp: 40
[154] Power: 145.8160, Temp: 40
[155] Power: 145.8160, Temp: 40
[156] Power: 145.8160, Temp: 40
[157] Power: 145.8160, Temp: 40
[158] Power: 145.8160, Temp: 40
[159] Power: 145.8160, Temp: 40
[160] Power: 145.9120, Temp: 40
[161] Power: 145.8160, Temp: 40
[162] Power: 145.8160, Temp: 40
[163] Power: 145.8160, Temp: 40
[164] Power: 145.8160, Temp: 40
[165] Power: 145.8160, Temp: 40
[166] Power: 145.8160, Temp: 40
[167] Power: 145.9120, Temp: 40
[168] Power: 145.8160, Temp: 40
[169] Power: 145.8160, Temp: 40
[170] Power: 145.8160, Temp: 40
[171] Power: 145.8160, Temp: 40
[172] Power: 145.8160, Temp: 40
[173] Power: 145.8160, Temp: 40
[174] Power: 145.8160, Temp: 40
[175] Power: 145.8160, Temp: 40
[176] Power: 145.9120, Temp: 40
[177] Power: 145.8160, Temp: 40
[178] Power: 145.8160, Temp: 40
[179] Power: 145.8160, Temp: 40
[180] Power: 145.9120, Temp: 40
[181] Power: 145.8160, Temp: 40
[182] Power: 145.8160, Temp: 40
[183] Power: 145.8160, Temp: 40
[184] Power: 145.8160, Temp: 40
[185] Power: 145.8160, Temp: 40
[186] Power: 145.8160, Temp: 40
[187] Power: 145.8160, Temp: 40
[188] Power: 145.8160, Temp: 40
[189] Power: 145.8160, Temp: 40
[190] Power: 145.8160, Temp: 40
[191] Power: 145.8160, Temp: 40
[192] Power: 145.8160, Temp: 40
[193] Power: 145.8160, Temp: 40
[194] Power: 145.8160, Temp: 40
[195] Power: 145.8160, Temp: 40
[196] Power: 145.8160, Temp: 40
[197] Power: 145.8160, Temp: 40
[198] Power: 145.9120, Temp: 40
[199] Power: 145.8160, Temp: 40
[200] Power: 145.8160, Temp: 40
[201] Power: 145.8160, Temp: 40
[202] Power: 145.8160, Temp: 40
[203] Power: 145.8160, Temp: 40
[204] Power: 145.8160, Temp: 40
[205] Power: 145.8160, Temp: 40
[206] Power: 145.9120, Temp: 40
[207] Power: 145.8160, Temp: 40
[208] Power: 145.8160, Temp: 40
[209] Power: 145.8160, Temp: 40
[210] Power: 145.8160, Temp: 40
[211] Power: 145.8160, Temp: 40
[212] Power: 145.8160, Temp: 40
[213] Power: 145.8160, Temp: 40
[214] Power: 145.8160, Temp: 40
[215] Power: 145.8160, Temp: 40
[216] Power: 145.8160, Temp: 40
[217] Power: 145.8160, Temp: 40
[218] Power: 145.8160, Temp: 41
[219] Power: 145.8160, Temp: 40
[220] Power: 145.8160, Temp: 40
[221] Power: 145.8160, Temp: 40
[222] Power: 145.8160, Temp: 41
[223] Power: 145.9120, Temp: 41
[224] Power: 145.9120, Temp: 40
[225] Power: 145.8160, Temp: 40
[226] Power: 145.8160, Temp: 40
[227] Power: 145.8160, Temp: 40
[228] Power: 145.8160, Temp: 40
