Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.2300, Util: 0 Temp: 30
[001] Power: 144.8400, Util: 0 Temp: 31
[002] Power: 159.8540, Util: 30 Temp: 33
[003] Power: 174.8470, Util: 99 Temp: 33
[004] Power: 192.7410, Util: 99 Temp: 34
[005] Power: 214.0160, Util: 99 Temp: 35
[006] Power: 219.3660, Util: 99 Temp: 36
[007] Power: 224.0820, Util: 99 Temp: 37
[008] Power: 227.4850, Util: 99 Temp: 37
[009] Power: 230.8880, Util: 99 Temp: 38
[010] Power: 232.6790, Util: 99 Temp: 38
[011] Power: 217.9070, Util: 99 Temp: 38
[012] Power: 222.6240, Util: 99 Temp: 38
[013] Power: 226.5130, Util: 99 Temp: 39
[014] Power: 229.4290, Util: 99 Temp: 39
[015] Power: 233.3180, Util: 99 Temp: 39
[016] Power: 233.8040, Util: 99 Temp: 40
[017] Power: 233.8040, Util: 99 Temp: 40
[018] Power: 234.2900, Util: 99 Temp: 40
[019] Power: 234.2900, Util: 99 Temp: 40
[020] Power: 234.2900, Util: 99 Temp: 40
[021] Power: 234.1360, Util: 99 Temp: 41
[022] Power: 234.2900, Util: 99 Temp: 41
[023] Power: 234.2900, Util: 99 Temp: 41
[024] Power: 234.6220, Util: 99 Temp: 41
[025] Power: 234.6220, Util: 99 Temp: 41
[026] Power: 234.7760, Util: 99 Temp: 41
[027] Power: 234.7760, Util: 99 Temp: 41
[028] Power: 234.7760, Util: 99 Temp: 41
[029] Power: 234.6220, Util: 99 Temp: 42
[030] Power: 235.2620, Util: 99 Temp: 42
[031] Power: 235.1070, Util: 99 Temp: 42
[032] Power: 235.1070, Util: 99 Temp: 42
[033] Power: 235.1070, Util: 99 Temp: 42
[034] Power: 235.1070, Util: 99 Temp: 42
[035] Power: 235.2620, Util: 99 Temp: 42
[036] Power: 235.1070, Util: 99 Temp: 42
[037] Power: 235.1070, Util: 99 Temp: 42
[038] Power: 235.2620, Util: 99 Temp: 42
[039] Power: 235.1070, Util: 99 Temp: 42
[040] Power: 235.2620, Util: 99 Temp: 42
[041] Power: 235.1070, Util: 99 Temp: 42
[042] Power: 235.2620, Util: 99 Temp: 42
[043] Power: 235.5930, Util: 99 Temp: 43
[044] Power: 235.5930, Util: 99 Temp: 43
