Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.2300, Util: 0 Temp: 30
[001] Power: 50.8850, Util: 5 Temp: 31
[002] Power: 139.9640, Util: 5 Temp: 32
[003] Power: 169.1130, Util: 61 Temp: 33
[004] Power: 170.4640, Util: 61 Temp: 34
[005] Power: 194.2010, Util: 100 Temp: 35
[006] Power: 196.6340, Util: 100 Temp: 36
[007] Power: 195.1740, Util: 100 Temp: 36
[008] Power: 196.6340, Util: 100 Temp: 37
[009] Power: 195.6610, Util: 100 Temp: 37
[010] Power: 196.6340, Util: 100 Temp: 37
[011] Power: 196.6340, Util: 100 Temp: 38
[012] Power: 195.1740, Util: 100 Temp: 38
[013] Power: 197.1210, Util: 100 Temp: 38
[014] Power: 196.6340, Util: 100 Temp: 38
[015] Power: 196.6340, Util: 100 Temp: 38
[016] Power: 197.6080, Util: 100 Temp: 39
[017] Power: 197.1210, Util: 100 Temp: 39
[018] Power: 197.1210, Util: 100 Temp: 39
[019] Power: 197.6080, Util: 100 Temp: 39
[020] Power: 195.6610, Util: 100 Temp: 39
[021] Power: 198.0950, Util: 100 Temp: 39
[022] Power: 197.1210, Util: 100 Temp: 39
[023] Power: 195.6610, Util: 100 Temp: 40
[024] Power: 197.1210, Util: 100 Temp: 40
[025] Power: 196.1480, Util: 100 Temp: 40
[026] Power: 198.0950, Util: 100 Temp: 40
[027] Power: 197.1210, Util: 100 Temp: 40
[028] Power: 196.1480, Util: 100 Temp: 40
[029] Power: 198.0950, Util: 100 Temp: 40
[030] Power: 197.1210, Util: 100 Temp: 40
[031] Power: 198.0950, Util: 100 Temp: 40
[032] Power: 198.0950, Util: 100 Temp: 40
[033] Power: 196.6340, Util: 100 Temp: 40
[034] Power: 198.5810, Util: 100 Temp: 40
[035] Power: 197.6080, Util: 100 Temp: 40
[036] Power: 198.0950, Util: 100 Temp: 41
[037] Power: 197.6080, Util: 100 Temp: 41
[038] Power: 197.6080, Util: 100 Temp: 41
[039] Power: 198.5810, Util: 100 Temp: 41
[040] Power: 196.6340, Util: 100 Temp: 41
[041] Power: 198.5810, Util: 100 Temp: 41
[042] Power: 197.1210, Util: 100 Temp: 41
[043] Power: 198.0950, Util: 100 Temp: 41
[044] Power: 198.0950, Util: 100 Temp: 41
[045] Power: 196.1480, Util: 100 Temp: 41
[046] Power: 198.5810, Util: 100 Temp: 41
[047] Power: 196.6340, Util: 100 Temp: 41
[048] Power: 198.5810, Util: 100 Temp: 41
[049] Power: 198.0950, Util: 100 Temp: 41
[050] Power: 196.6340, Util: 100 Temp: 41
[051] Power: 198.5810, Util: 100 Temp: 41
[052] Power: 197.6080, Util: 100 Temp: 41
[053] Power: 198.5810, Util: 100 Temp: 41
[054] Power: 198.0950, Util: 100 Temp: 41
[055] Power: 198.0950, Util: 100 Temp: 41
[056] Power: 199.0680, Util: 100 Temp: 41
[057] Power: 197.6080, Util: 100 Temp: 41
[058] Power: 199.0680, Util: 100 Temp: 41
[059] Power: 198.0950, Util: 100 Temp: 41
[060] Power: 197.1210, Util: 100 Temp: 41
[061] Power: 198.5810, Util: 100 Temp: 41
[062] Power: 197.1210, Util: 100 Temp: 41
[063] Power: 199.0680, Util: 100 Temp: 41
[064] Power: 197.6080, Util: 100 Temp: 41
[065] Power: 199.0680, Util: 100 Temp: 41
[066] Power: 198.5810, Util: 100 Temp: 41
[067] Power: 197.1210, Util: 100 Temp: 41
[068] Power: 198.5810, Util: 100 Temp: 41
[069] Power: 196.6340, Util: 100 Temp: 41
[070] Power: 199.5550, Util: 100 Temp: 41
[071] Power: 197.1210, Util: 100 Temp: 41
[072] Power: 199.0680, Util: 100 Temp: 41
[073] Power: 197.1210, Util: 100 Temp: 42
