Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.8690, Util: 0 Temp: 32
[001] Power: 52.1130, Util: 0 Temp: 32
[002] Power: 52.9690, Util: 5 Temp: 33
[003] Power: 53.3660, Util: 5 Temp: 33
[004] Power: 52.8760, Util: 2 Temp: 33
[005] Power: 53.3660, Util: 2 Temp: 33
[006] Power: 53.4010, Util: 0 Temp: 33
[007] Power: 52.9110, Util: 0 Temp: 33
[008] Power: 53.2220, Util: 0 Temp: 33
[009] Power: 53.3660, Util: 0 Temp: 33
[010] Power: 53.4010, Util: 0 Temp: 33
[011] Power: 53.3660, Util: 0 Temp: 33
[012] Power: 53.4010, Util: 0 Temp: 33
[013] Power: 53.4010, Util: 0 Temp: 33
[014] Power: 53.3660, Util: 0 Temp: 33
[015] Power: 53.3660, Util: 0 Temp: 33
[016] Power: 53.4010, Util: 0 Temp: 33
[017] Power: 53.3660, Util: 0 Temp: 33
[018] Power: 53.4010, Util: 0 Temp: 33
[019] Power: 53.3660, Util: 0 Temp: 33
[020] Power: 53.3660, Util: 0 Temp: 33
[021] Power: 53.3660, Util: 0 Temp: 33
[022] Power: 53.3660, Util: 0 Temp: 33
[023] Power: 53.4010, Util: 0 Temp: 33
[024] Power: 53.3660, Util: 0 Temp: 33
[025] Power: 53.3660, Util: 0 Temp: 33
[026] Power: 53.3660, Util: 0 Temp: 33
[027] Power: 53.3660, Util: 0 Temp: 33
[028] Power: 53.3660, Util: 0 Temp: 33
[029] Power: 53.4010, Util: 0 Temp: 33
[030] Power: 119.1500, Util: 0 Temp: 33
[031] Power: 155.1840, Util: 0 Temp: 35
[032] Power: 182.7600, Util: 96 Temp: 36
[033] Power: 185.6840, Util: 96 Temp: 37
[034] Power: 210.2630, Util: 100 Temp: 38
[035] Power: 211.3750, Util: 100 Temp: 38
[036] Power: 211.3750, Util: 100 Temp: 39
[037] Power: 211.2360, Util: 100 Temp: 39
[038] Power: 211.7230, Util: 100 Temp: 40
[039] Power: 208.4530, Util: 100 Temp: 40
[040] Power: 211.2360, Util: 100 Temp: 40
[041] Power: 212.2090, Util: 100 Temp: 40
[042] Power: 211.7230, Util: 100 Temp: 41
[043] Power: 212.2090, Util: 100 Temp: 41
[044] Power: 212.2090, Util: 100 Temp: 41
[045] Power: 212.2090, Util: 100 Temp: 41
[046] Power: 215.1300, Util: 100 Temp: 41
[047] Power: 216.1030, Util: 100 Temp: 42
[048] Power: 215.6160, Util: 100 Temp: 42
[049] Power: 215.6160, Util: 100 Temp: 42
[050] Power: 216.1030, Util: 100 Temp: 42
[051] Power: 215.6160, Util: 100 Temp: 42
[052] Power: 216.1030, Util: 100 Temp: 42
[053] Power: 216.1030, Util: 100 Temp: 43
[054] Power: 216.1030, Util: 100 Temp: 43
[055] Power: 216.1030, Util: 100 Temp: 43
[056] Power: 217.0770, Util: 100 Temp: 43
[057] Power: 216.1030, Util: 100 Temp: 43
[058] Power: 216.5900, Util: 100 Temp: 43
[059] Power: 217.0770, Util: 100 Temp: 43
[060] Power: 216.1030, Util: 100 Temp: 43
[061] Power: 217.0770, Util: 100 Temp: 44
[062] Power: 217.0770, Util: 100 Temp: 44
[063] Power: 216.5900, Util: 100 Temp: 44
[064] Power: 217.0770, Util: 100 Temp: 44
[065] Power: 217.0770, Util: 100 Temp: 44
[066] Power: 216.5900, Util: 100 Temp: 44
[067] Power: 217.0770, Util: 100 Temp: 44
[068] Power: 217.5630, Util: 100 Temp: 44
[069] Power: 216.5900, Util: 100 Temp: 44
[070] Power: 217.5630, Util: 100 Temp: 44
[071] Power: 217.0770, Util: 100 Temp: 44
[072] Power: 217.5630, Util: 100 Temp: 44
[073] Power: 217.0770, Util: 100 Temp: 45
[074] Power: 217.0770, Util: 100 Temp: 45
[075] Power: 217.5630, Util: 100 Temp: 45
[076] Power: 217.0770, Util: 100 Temp: 45
[077] Power: 218.0500, Util: 100 Temp: 45
[078] Power: 217.5630, Util: 100 Temp: 45
[079] Power: 213.6700, Util: 100 Temp: 45
[080] Power: 214.1560, Util: 100 Temp: 45
[081] Power: 214.1560, Util: 100 Temp: 45
[082] Power: 214.1560, Util: 100 Temp: 45
[083] Power: 214.1560, Util: 100 Temp: 45
[084] Power: 214.6430, Util: 100 Temp: 45
[085] Power: 214.1560, Util: 100 Temp: 45
[086] Power: 214.6430, Util: 100 Temp: 45
[087] Power: 214.1560, Util: 100 Temp: 45
[088] Power: 215.1300, Util: 100 Temp: 45
[089] Power: 214.1560, Util: 100 Temp: 45
[090] Power: 214.6430, Util: 100 Temp: 45
[091] Power: 214.6430, Util: 100 Temp: 45
[092] Power: 214.6430, Util: 100 Temp: 45
[093] Power: 214.6430, Util: 100 Temp: 45
[094] Power: 214.6430, Util: 100 Temp: 45
[095] Power: 214.6430, Util: 100 Temp: 45
[096] Power: 215.1300, Util: 100 Temp: 45
[097] Power: 214.6430, Util: 100 Temp: 46
[098] Power: 215.1300, Util: 100 Temp: 46
[099] Power: 214.6430, Util: 100 Temp: 46
[100] Power: 214.6430, Util: 100 Temp: 46
[101] Power: 215.1300, Util: 100 Temp: 46
[102] Power: 214.6430, Util: 100 Temp: 46
[103] Power: 215.1300, Util: 100 Temp: 46
[104] Power: 214.6430, Util: 100 Temp: 46
[105] Power: 215.1300, Util: 100 Temp: 46
[106] Power: 214.6430, Util: 100 Temp: 46
[107] Power: 215.1300, Util: 100 Temp: 46
[108] Power: 214.6430, Util: 100 Temp: 46
[109] Power: 215.1300, Util: 100 Temp: 46
[110] Power: 215.1300, Util: 100 Temp: 46
[111] Power: 215.1300, Util: 100 Temp: 46
[112] Power: 215.1300, Util: 100 Temp: 46
[113] Power: 215.1300, Util: 100 Temp: 46
[114] Power: 215.1300, Util: 100 Temp: 46
[115] Power: 215.1300, Util: 100 Temp: 46
[116] Power: 215.1300, Util: 100 Temp: 46
[117] Power: 214.1560, Util: 100 Temp: 46
