Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 219.0240, Util: 100 Temp: 48
[001] Power: 219.9970, Util: 100 Temp: 48
[002] Power: 219.5100, Util: 100 Temp: 48
[003] Power: 219.5100, Util: 100 Temp: 48
[004] Power: 219.9970, Util: 100 Temp: 48
[005] Power: 219.0240, Util: 100 Temp: 48
[006] Power: 219.9970, Util: 100 Temp: 48
[007] Power: 219.9970, Util: 100 Temp: 48
[008] Power: 219.5100, Util: 100 Temp: 48
[009] Power: 219.9970, Util: 100 Temp: 48
[010] Power: 219.0240, Util: 100 Temp: 48
[011] Power: 220.4840, Util: 100 Temp: 48
[012] Power: 219.9970, Util: 100 Temp: 48
[013] Power: 219.9970, Util: 100 Temp: 48
[014] Power: 219.5100, Util: 100 Temp: 48
[015] Power: 220.4840, Util: 100 Temp: 48
[016] Power: 219.9970, Util: 100 Temp: 48
[017] Power: 219.5100, Util: 100 Temp: 48
[018] Power: 219.9970, Util: 100 Temp: 48
[019] Power: 219.5100, Util: 100 Temp: 48
[020] Power: 219.9970, Util: 100 Temp: 48
[021] Power: 219.9970, Util: 100 Temp: 48
[022] Power: 219.5100, Util: 100 Temp: 48
[023] Power: 219.9970, Util: 100 Temp: 48
[024] Power: 219.0240, Util: 100 Temp: 48
[025] Power: 219.9970, Util: 100 Temp: 48
[026] Power: 219.9970, Util: 100 Temp: 48
[027] Power: 219.5100, Util: 100 Temp: 48
[028] Power: 219.9970, Util: 100 Temp: 48
[029] Power: 219.9970, Util: 100 Temp: 48
[030] Power: 219.5100, Util: 100 Temp: 48
[031] Power: 220.4840, Util: 100 Temp: 48
[032] Power: 219.5100, Util: 100 Temp: 48
[033] Power: 219.9970, Util: 100 Temp: 48
[034] Power: 219.9970, Util: 100 Temp: 48
[035] Power: 219.5100, Util: 100 Temp: 48
[036] Power: 219.9970, Util: 100 Temp: 48
[037] Power: 219.5100, Util: 100 Temp: 48
[038] Power: 219.9970, Util: 100 Temp: 48
[039] Power: 219.9970, Util: 100 Temp: 48
[040] Power: 219.5100, Util: 100 Temp: 48
[041] Power: 220.4840, Util: 100 Temp: 48
[042] Power: 219.5100, Util: 100 Temp: 48
[043] Power: 219.9970, Util: 100 Temp: 48
[044] Power: 219.9970, Util: 100 Temp: 48
[045] Power: 219.5100, Util: 100 Temp: 48
[046] Power: 220.4840, Util: 100 Temp: 48
[047] Power: 219.5100, Util: 100 Temp: 48
[048] Power: 219.9970, Util: 100 Temp: 48
[049] Power: 219.9970, Util: 100 Temp: 48
[050] Power: 219.0240, Util: 100 Temp: 48
[051] Power: 220.4840, Util: 100 Temp: 48
[052] Power: 219.5100, Util: 100 Temp: 48
[053] Power: 219.9970, Util: 100 Temp: 48
[054] Power: 219.9970, Util: 100 Temp: 48
[055] Power: 219.5100, Util: 100 Temp: 48
[056] Power: 220.4840, Util: 100 Temp: 48
[057] Power: 219.5100, Util: 100 Temp: 48
[058] Power: 219.9970, Util: 100 Temp: 48
[059] Power: 219.9970, Util: 100 Temp: 48
[060] Power: 219.5100, Util: 100 Temp: 48
[061] Power: 219.9970, Util: 100 Temp: 48
[062] Power: 219.9970, Util: 100 Temp: 48
[063] Power: 219.5100, Util: 100 Temp: 48
[064] Power: 220.4840, Util: 100 Temp: 48
[065] Power: 219.5100, Util: 100 Temp: 48
[066] Power: 219.9970, Util: 100 Temp: 48
[067] Power: 220.4840, Util: 100 Temp: 48
[068] Power: 219.9970, Util: 100 Temp: 48
[069] Power: 219.9970, Util: 100 Temp: 48
[070] Power: 219.5100, Util: 100 Temp: 48
[071] Power: 219.9970, Util: 100 Temp: 48
[072] Power: 219.5100, Util: 100 Temp: 48
[073] Power: 219.9970, Util: 100 Temp: 48
[074] Power: 219.9970, Util: 100 Temp: 48
[075] Power: 219.5100, Util: 100 Temp: 48
[076] Power: 219.9970, Util: 100 Temp: 48
[077] Power: 220.4840, Util: 100 Temp: 48
[078] Power: 219.5100, Util: 100 Temp: 48
[079] Power: 220.4840, Util: 100 Temp: 48
[080] Power: 219.5100, Util: 100 Temp: 48
[081] Power: 219.9970, Util: 100 Temp: 48
[082] Power: 219.9970, Util: 100 Temp: 49
[083] Power: 219.5100, Util: 100 Temp: 48
[084] Power: 220.4840, Util: 100 Temp: 48
[085] Power: 219.5100, Util: 100 Temp: 48
[086] Power: 219.9970, Util: 100 Temp: 48
[087] Power: 219.9970, Util: 100 Temp: 48
[088] Power: 219.5100, Util: 100 Temp: 48
[089] Power: 220.4840, Util: 100 Temp: 48
[090] Power: 219.5100, Util: 100 Temp: 49
[091] Power: 219.9970, Util: 100 Temp: 48
[092] Power: 219.9970, Util: 100 Temp: 48
[093] Power: 219.5100, Util: 100 Temp: 48
[094] Power: 220.4840, Util: 100 Temp: 48
[095] Power: 219.5100, Util: 100 Temp: 48
[096] Power: 219.9970, Util: 100 Temp: 48
[097] Power: 220.4840, Util: 100 Temp: 48
[098] Power: 219.5100, Util: 100 Temp: 48
[099] Power: 220.4840, Util: 100 Temp: 48
[100] Power: 219.9970, Util: 100 Temp: 48
[101] Power: 219.9970, Util: 100 Temp: 48
[102] Power: 220.4840, Util: 100 Temp: 48
[103] Power: 219.5100, Util: 100 Temp: 48
[104] Power: 220.4840, Util: 100 Temp: 49
[105] Power: 219.9970, Util: 100 Temp: 48
[106] Power: 219.9970, Util: 100 Temp: 48
[107] Power: 220.4840, Util: 100 Temp: 48
[108] Power: 219.5100, Util: 100 Temp: 48
[109] Power: 219.9970, Util: 100 Temp: 48
[110] Power: 219.9970, Util: 100 Temp: 48
[111] Power: 219.5100, Util: 100 Temp: 48
[112] Power: 219.9970, Util: 100 Temp: 48
[113] Power: 220.4840, Util: 100 Temp: 48
[114] Power: 219.9970, Util: 100 Temp: 48
[115] Power: 220.4840, Util: 100 Temp: 48
[116] Power: 219.5100, Util: 100 Temp: 48
[117] Power: 219.9970, Util: 100 Temp: 48
[118] Power: 220.4840, Util: 100 Temp: 49
[119] Power: 219.9970, Util: 100 Temp: 48
[120] Power: 220.4840, Util: 100 Temp: 49
[121] Power: 219.5100, Util: 100 Temp: 49
[122] Power: 219.9970, Util: 100 Temp: 48
[123] Power: 219.9970, Util: 100 Temp: 48
[124] Power: 219.5100, Util: 100 Temp: 49
[125] Power: 220.4840, Util: 100 Temp: 49
[126] Power: 219.5100, Util: 100 Temp: 48
[127] Power: 219.9970, Util: 100 Temp: 49
[128] Power: 219.9970, Util: 100 Temp: 48
[129] Power: 219.6550, Util: 100 Temp: 48
[130] Power: 220.4840, Util: 100 Temp: 49
[131] Power: 219.5100, Util: 100 Temp: 48
[132] Power: 219.9970, Util: 100 Temp: 49
[133] Power: 219.9970, Util: 100 Temp: 48
[134] Power: 219.5100, Util: 100 Temp: 49
[135] Power: 220.4840, Util: 100 Temp: 48
[136] Power: 219.9970, Util: 100 Temp: 49
[137] Power: 219.9970, Util: 100 Temp: 48
[138] Power: 219.9970, Util: 100 Temp: 49
[139] Power: 219.5100, Util: 100 Temp: 49
[140] Power: 220.4840, Util: 100 Temp: 49
[141] Power: 219.9970, Util: 100 Temp: 49
[142] Power: 219.9970, Util: 100 Temp: 48
[143] Power: 220.4840, Util: 100 Temp: 49
[144] Power: 219.5100, Util: 100 Temp: 49
[145] Power: 219.9970, Util: 100 Temp: 49
[146] Power: 219.9970, Util: 100 Temp: 48
[147] Power: 219.9970, Util: 100 Temp: 48
[148] Power: 220.4840, Util: 100 Temp: 49
[149] Power: 220.4840, Util: 100 Temp: 49
[150] Power: 219.9970, Util: 100 Temp: 49
[151] Power: 220.4840, Util: 100 Temp: 49
[152] Power: 219.9970, Util: 100 Temp: 49
[153] Power: 220.4840, Util: 100 Temp: 49
[154] Power: 219.5100, Util: 100 Temp: 49
[155] Power: 219.9970, Util: 100 Temp: 49
[156] Power: 219.9970, Util: 100 Temp: 49
[157] Power: 219.9970, Util: 100 Temp: 49
[158] Power: 219.9970, Util: 100 Temp: 49
[159] Power: 220.4840, Util: 100 Temp: 49
[160] Power: 219.9970, Util: 100 Temp: 49
[161] Power: 220.4840, Util: 100 Temp: 49
[162] Power: 219.5100, Util: 100 Temp: 49
[163] Power: 220.4840, Util: 100 Temp: 49
[164] Power: 220.4840, Util: 100 Temp: 49
[165] Power: 219.5100, Util: 100 Temp: 49
[166] Power: 220.4840, Util: 100 Temp: 49
[167] Power: 219.9970, Util: 100 Temp: 49
[168] Power: 219.9970, Util: 100 Temp: 49
[169] Power: 220.4840, Util: 100 Temp: 49
[170] Power: 219.5100, Util: 100 Temp: 49
[171] Power: 220.4840, Util: 100 Temp: 49
[172] Power: 219.5100, Util: 100 Temp: 49
[173] Power: 219.9970, Util: 100 Temp: 49
[174] Power: 220.4840, Util: 100 Temp: 49
[175] Power: 219.5100, Util: 100 Temp: 49
[176] Power: 220.4840, Util: 100 Temp: 49
[177] Power: 220.4840, Util: 100 Temp: 49
[178] Power: 219.9970, Util: 100 Temp: 49
[179] Power: 220.4840, Util: 100 Temp: 49
[180] Power: 219.5100, Util: 100 Temp: 49
[181] Power: 220.4840, Util: 100 Temp: 49
[182] Power: 220.4840, Util: 100 Temp: 49
[183] Power: 219.9970, Util: 100 Temp: 49
[184] Power: 220.4840, Util: 100 Temp: 49
[185] Power: 219.5100, Util: 100 Temp: 49
[186] Power: 220.4840, Util: 100 Temp: 49
[187] Power: 219.9970, Util: 100 Temp: 49
[188] Power: 220.4840, Util: 100 Temp: 49
[189] Power: 219.9970, Util: 100 Temp: 49
[190] Power: 219.9970, Util: 100 Temp: 49
[191] Power: 220.4840, Util: 100 Temp: 49
[192] Power: 219.5100, Util: 100 Temp: 49
[193] Power: 220.4840, Util: 100 Temp: 49
[194] Power: 219.9970, Util: 100 Temp: 49
[195] Power: 219.9970, Util: 100 Temp: 49
[196] Power: 220.4840, Util: 100 Temp: 49
[197] Power: 219.5100, Util: 100 Temp: 49
[198] Power: 220.4840, Util: 100 Temp: 49
[199] Power: 219.9970, Util: 100 Temp: 49
[200] Power: 219.9970, Util: 100 Temp: 49
[201] Power: 220.4840, Util: 100 Temp: 49
[202] Power: 219.5100, Util: 100 Temp: 49
[203] Power: 220.4840, Util: 100 Temp: 49
[204] Power: 219.9970, Util: 100 Temp: 49
[205] Power: 219.9970, Util: 100 Temp: 49
[206] Power: 220.4840, Util: 100 Temp: 49
[207] Power: 220.4840, Util: 100 Temp: 49
[208] Power: 219.9970, Util: 100 Temp: 49
[209] Power: 220.4840, Util: 100 Temp: 49
[210] Power: 219.5100, Util: 100 Temp: 49
[211] Power: 220.4840, Util: 100 Temp: 49
[212] Power: 220.4840, Util: 100 Temp: 49
[213] Power: 219.9970, Util: 100 Temp: 49
[214] Power: 220.4840, Util: 100 Temp: 49
[215] Power: 219.9970, Util: 100 Temp: 49
[216] Power: 220.4840, Util: 100 Temp: 49
[217] Power: 220.4840, Util: 100 Temp: 49
[218] Power: 219.5100, Util: 100 Temp: 49
