Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 99.6820, Util: 100 Temp: 35
[001] Power: 99.7470, Util: 100 Temp: 35
[002] Power: 99.7470, Util: 100 Temp: 35
[003] Power: 99.7470, Util: 100 Temp: 35
[004] Power: 99.7470, Util: 100 Temp: 35
[005] Power: 99.6820, Util: 100 Temp: 35
[006] Power: 99.6820, Util: 100 Temp: 35
[007] Power: 99.7470, Util: 100 Temp: 35
[008] Power: 99.7470, Util: 100 Temp: 35
[009] Power: 99.7470, Util: 100 Temp: 35
[010] Power: 99.7470, Util: 100 Temp: 35
[011] Power: 99.7470, Util: 100 Temp: 35
[012] Power: 99.7470, Util: 100 Temp: 35
[013] Power: 99.7470, Util: 100 Temp: 35
[014] Power: 99.6820, Util: 100 Temp: 35
[015] Power: 99.6820, Util: 100 Temp: 35
[016] Power: 99.7470, Util: 100 Temp: 35
[017] Power: 99.6820, Util: 100 Temp: 35
[018] Power: 99.7470, Util: 100 Temp: 35
[019] Power: 99.7470, Util: 100 Temp: 35
[020] Power: 99.7470, Util: 100 Temp: 35
[021] Power: 99.7470, Util: 100 Temp: 35
[022] Power: 99.7470, Util: 100 Temp: 35
[023] Power: 99.7470, Util: 100 Temp: 35
[024] Power: 99.7470, Util: 100 Temp: 35
[025] Power: 99.6820, Util: 100 Temp: 35
[026] Power: 99.7470, Util: 100 Temp: 35
[027] Power: 99.7470, Util: 100 Temp: 35
[028] Power: 99.6820, Util: 100 Temp: 35
[029] Power: 99.7470, Util: 100 Temp: 35
[030] Power: 99.7470, Util: 100 Temp: 35
[031] Power: 99.6820, Util: 100 Temp: 35
[032] Power: 99.6820, Util: 100 Temp: 35
[033] Power: 99.7470, Util: 100 Temp: 35
[034] Power: 99.7470, Util: 100 Temp: 35
[035] Power: 99.6820, Util: 100 Temp: 35
[036] Power: 99.6820, Util: 100 Temp: 35
[037] Power: 99.7470, Util: 100 Temp: 35
[038] Power: 99.6820, Util: 100 Temp: 35
[039] Power: 99.6820, Util: 100 Temp: 35
[040] Power: 99.6820, Util: 100 Temp: 35
[041] Power: 99.6820, Util: 100 Temp: 35
[042] Power: 99.6820, Util: 100 Temp: 35
[043] Power: 99.7470, Util: 100 Temp: 35
[044] Power: 99.6820, Util: 100 Temp: 35
[045] Power: 99.7470, Util: 100 Temp: 35
[046] Power: 99.7470, Util: 100 Temp: 35
[047] Power: 99.7470, Util: 100 Temp: 35
[048] Power: 99.7470, Util: 100 Temp: 35
[049] Power: 99.6820, Util: 100 Temp: 35
[050] Power: 99.6820, Util: 100 Temp: 35
[051] Power: 99.7470, Util: 100 Temp: 35
[052] Power: 99.7470, Util: 100 Temp: 35
[053] Power: 99.6820, Util: 100 Temp: 35
[054] Power: 99.7470, Util: 100 Temp: 35
[055] Power: 99.7470, Util: 100 Temp: 35
[056] Power: 99.6820, Util: 100 Temp: 35
[057] Power: 99.6820, Util: 100 Temp: 35
[058] Power: 99.6820, Util: 100 Temp: 35
[059] Power: 99.7470, Util: 100 Temp: 35
[060] Power: 99.7470, Util: 100 Temp: 35
[061] Power: 99.6820, Util: 100 Temp: 35
[062] Power: 99.7470, Util: 100 Temp: 35
[063] Power: 99.6820, Util: 100 Temp: 35
[064] Power: 99.6820, Util: 100 Temp: 35
[065] Power: 99.6820, Util: 100 Temp: 35
[066] Power: 99.7470, Util: 100 Temp: 35
[067] Power: 99.7470, Util: 100 Temp: 35
[068] Power: 99.6820, Util: 100 Temp: 35
[069] Power: 99.7470, Util: 100 Temp: 35
[070] Power: 99.6820, Util: 100 Temp: 35
[071] Power: 99.7470, Util: 100 Temp: 35
[072] Power: 99.7470, Util: 100 Temp: 35
[073] Power: 99.7470, Util: 100 Temp: 35
[074] Power: 99.7470, Util: 100 Temp: 35
[075] Power: 99.6820, Util: 100 Temp: 35
[076] Power: 99.7470, Util: 100 Temp: 35
[077] Power: 99.7470, Util: 100 Temp: 35
[078] Power: 99.7470, Util: 100 Temp: 35
[079] Power: 99.6820, Util: 100 Temp: 35
[080] Power: 99.6820, Util: 100 Temp: 35
[081] Power: 99.6820, Util: 100 Temp: 35
[082] Power: 99.7470, Util: 100 Temp: 35
[083] Power: 99.6820, Util: 100 Temp: 35
[084] Power: 99.6820, Util: 100 Temp: 35
[085] Power: 99.6820, Util: 100 Temp: 35
[086] Power: 99.7470, Util: 100 Temp: 35
[087] Power: 99.6820, Util: 100 Temp: 35
[088] Power: 99.7470, Util: 100 Temp: 35
[089] Power: 99.7470, Util: 100 Temp: 35
[090] Power: 99.6820, Util: 100 Temp: 35
[091] Power: 99.6820, Util: 100 Temp: 35
[092] Power: 99.6820, Util: 100 Temp: 35
[093] Power: 99.7470, Util: 100 Temp: 35
[094] Power: 99.6820, Util: 100 Temp: 35
[095] Power: 99.7470, Util: 100 Temp: 35
[096] Power: 99.6820, Util: 100 Temp: 35
[097] Power: 99.7470, Util: 100 Temp: 35
[098] Power: 99.6820, Util: 100 Temp: 35
[099] Power: 99.6820, Util: 100 Temp: 35
[100] Power: 99.7470, Util: 100 Temp: 35
[101] Power: 99.6820, Util: 100 Temp: 35
[102] Power: 99.7470, Util: 100 Temp: 35
[103] Power: 99.7470, Util: 100 Temp: 35
[104] Power: 99.6820, Util: 100 Temp: 35
[105] Power: 99.7470, Util: 100 Temp: 35
[106] Power: 99.6820, Util: 100 Temp: 35
[107] Power: 99.7470, Util: 100 Temp: 35
[108] Power: 99.6820, Util: 100 Temp: 35
[109] Power: 99.7470, Util: 100 Temp: 35
[110] Power: 99.6820, Util: 100 Temp: 35
[111] Power: 99.6820, Util: 100 Temp: 35
