Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 110.9210, Util: 99 Temp: 36
[001] Power: 110.9210, Util: 99 Temp: 36
[002] Power: 110.9210, Util: 99 Temp: 36
[003] Power: 110.9210, Util: 99 Temp: 36
[004] Power: 110.9210, Util: 99 Temp: 36
[005] Power: 110.9210, Util: 99 Temp: 36
[006] Power: 110.9210, Util: 99 Temp: 36
[007] Power: 110.9210, Util: 99 Temp: 36
[008] Power: 110.9210, Util: 99 Temp: 36
[009] Power: 110.9210, Util: 99 Temp: 36
[010] Power: 110.9210, Util: 99 Temp: 36
[011] Power: 110.9210, Util: 99 Temp: 36
[012] Power: 110.9210, Util: 99 Temp: 36
[013] Power: 110.9210, Util: 99 Temp: 36
[014] Power: 110.9210, Util: 99 Temp: 36
[015] Power: 110.9210, Util: 99 Temp: 36
[016] Power: 110.9210, Util: 99 Temp: 36
[017] Power: 110.9210, Util: 99 Temp: 36
[018] Power: 110.9210, Util: 99 Temp: 36
[019] Power: 110.9210, Util: 99 Temp: 36
[020] Power: 110.9210, Util: 99 Temp: 36
[021] Power: 110.9210, Util: 99 Temp: 36
[022] Power: 110.9210, Util: 99 Temp: 36
[023] Power: 110.9210, Util: 99 Temp: 36
[024] Power: 110.9210, Util: 99 Temp: 36
[025] Power: 110.9210, Util: 99 Temp: 36
[026] Power: 110.9210, Util: 99 Temp: 36
[027] Power: 110.9210, Util: 99 Temp: 36
[028] Power: 110.9210, Util: 99 Temp: 36
[029] Power: 110.9210, Util: 99 Temp: 36
[030] Power: 110.9210, Util: 99 Temp: 36
[031] Power: 110.9210, Util: 99 Temp: 36
[032] Power: 110.9210, Util: 99 Temp: 36
[033] Power: 110.9210, Util: 99 Temp: 36
[034] Power: 110.9210, Util: 99 Temp: 36
[035] Power: 110.9210, Util: 99 Temp: 36
[036] Power: 110.9210, Util: 99 Temp: 36
[037] Power: 110.9210, Util: 99 Temp: 36
[038] Power: 110.9210, Util: 99 Temp: 36
[039] Power: 110.9210, Util: 99 Temp: 36
[040] Power: 110.9210, Util: 99 Temp: 36
[041] Power: 110.9210, Util: 99 Temp: 36
[042] Power: 110.9210, Util: 99 Temp: 36
[043] Power: 110.9210, Util: 99 Temp: 36
[044] Power: 110.9210, Util: 99 Temp: 36
[045] Power: 110.9210, Util: 99 Temp: 36
[046] Power: 110.9210, Util: 99 Temp: 36
[047] Power: 110.9210, Util: 99 Temp: 36
[048] Power: 110.9210, Util: 99 Temp: 36
[049] Power: 110.9210, Util: 99 Temp: 36
[050] Power: 110.9210, Util: 99 Temp: 36
[051] Power: 110.9210, Util: 99 Temp: 36
[052] Power: 110.9210, Util: 99 Temp: 36
[053] Power: 110.9210, Util: 99 Temp: 36
[054] Power: 110.9210, Util: 99 Temp: 36
[055] Power: 110.9210, Util: 99 Temp: 36
[056] Power: 110.9210, Util: 99 Temp: 36
[057] Power: 110.9210, Util: 99 Temp: 36
[058] Power: 110.9210, Util: 99 Temp: 36
[059] Power: 110.9210, Util: 99 Temp: 36
[060] Power: 110.9210, Util: 99 Temp: 36
[061] Power: 110.9210, Util: 99 Temp: 36
[062] Power: 110.9210, Util: 99 Temp: 36
[063] Power: 110.9210, Util: 99 Temp: 36
[064] Power: 110.9210, Util: 99 Temp: 36
[065] Power: 110.9210, Util: 99 Temp: 36
[066] Power: 110.9210, Util: 99 Temp: 36
[067] Power: 110.9210, Util: 99 Temp: 36
[068] Power: 110.9210, Util: 99 Temp: 36
[069] Power: 110.9210, Util: 99 Temp: 36
[070] Power: 110.9210, Util: 99 Temp: 36
[071] Power: 110.9210, Util: 99 Temp: 36
[072] Power: 110.9210, Util: 99 Temp: 36
[073] Power: 110.9210, Util: 99 Temp: 36
[074] Power: 110.9210, Util: 99 Temp: 36
[075] Power: 110.9210, Util: 99 Temp: 36
[076] Power: 110.9210, Util: 99 Temp: 36
[077] Power: 110.9210, Util: 99 Temp: 36
[078] Power: 110.9210, Util: 99 Temp: 36
[079] Power: 110.9210, Util: 99 Temp: 36
[080] Power: 110.9210, Util: 99 Temp: 36
[081] Power: 110.9210, Util: 99 Temp: 36
[082] Power: 110.9210, Util: 99 Temp: 36
[083] Power: 110.9210, Util: 99 Temp: 36
[084] Power: 110.9210, Util: 99 Temp: 36
[085] Power: 110.9210, Util: 99 Temp: 36
[086] Power: 110.9210, Util: 99 Temp: 36
[087] Power: 110.9210, Util: 99 Temp: 36
[088] Power: 110.9210, Util: 99 Temp: 36
[089] Power: 110.9210, Util: 99 Temp: 36
[090] Power: 109.4550, Util: 99 Temp: 36
[091] Power: 110.9210, Util: 99 Temp: 36
[092] Power: 110.9210, Util: 99 Temp: 36
[093] Power: 110.9210, Util: 99 Temp: 36
[094] Power: 110.9210, Util: 99 Temp: 36
[095] Power: 110.9210, Util: 99 Temp: 36
[096] Power: 110.9210, Util: 99 Temp: 36
[097] Power: 110.9210, Util: 99 Temp: 36
[098] Power: 110.9210, Util: 99 Temp: 36
[099] Power: 110.9210, Util: 99 Temp: 36
[100] Power: 110.9210, Util: 99 Temp: 36
[101] Power: 110.9210, Util: 99 Temp: 36
[102] Power: 110.9210, Util: 99 Temp: 36
[103] Power: 110.9210, Util: 99 Temp: 36
[104] Power: 110.9210, Util: 99 Temp: 36
[105] Power: 110.9210, Util: 99 Temp: 36
[106] Power: 110.9210, Util: 99 Temp: 36
[107] Power: 110.9210, Util: 99 Temp: 36
[108] Power: 110.9210, Util: 99 Temp: 36
[109] Power: 110.9210, Util: 99 Temp: 36
[110] Power: 110.9210, Util: 99 Temp: 36
[111] Power: 110.9210, Util: 99 Temp: 36
[112] Power: 110.9210, Util: 99 Temp: 36
[113] Power: 110.9210, Util: 99 Temp: 36
[114] Power: 110.9210, Util: 99 Temp: 36
[115] Power: 110.9210, Util: 99 Temp: 36
[116] Power: 110.9210, Util: 99 Temp: 36
[117] Power: 110.9210, Util: 99 Temp: 36
[118] Power: 110.9210, Util: 99 Temp: 36
[119] Power: 110.9210, Util: 99 Temp: 36
[120] Power: 110.9210, Util: 99 Temp: 36
[121] Power: 110.9210, Util: 99 Temp: 36
[122] Power: 110.9210, Util: 99 Temp: 36
[123] Power: 110.9210, Util: 99 Temp: 36
[124] Power: 110.9210, Util: 99 Temp: 36
[125] Power: 110.9210, Util: 99 Temp: 36
[126] Power: 110.9210, Util: 99 Temp: 36
[127] Power: 110.9210, Util: 99 Temp: 36
[128] Power: 110.9210, Util: 99 Temp: 36
[129] Power: 110.9210, Util: 99 Temp: 36
[130] Power: 110.9210, Util: 99 Temp: 36
[131] Power: 110.9210, Util: 99 Temp: 36
[132] Power: 110.9210, Util: 99 Temp: 36
[133] Power: 110.9210, Util: 99 Temp: 36
[134] Power: 110.9210, Util: 99 Temp: 36
[135] Power: 110.9210, Util: 99 Temp: 36
[136] Power: 110.9210, Util: 99 Temp: 36
[137] Power: 110.9210, Util: 99 Temp: 36
[138] Power: 110.9210, Util: 99 Temp: 36
[139] Power: 110.9210, Util: 99 Temp: 36
[140] Power: 110.9210, Util: 99 Temp: 36
[141] Power: 110.9210, Util: 99 Temp: 36
[142] Power: 110.9210, Util: 99 Temp: 36
[143] Power: 110.9210, Util: 99 Temp: 36
[144] Power: 110.9210, Util: 99 Temp: 36
[145] Power: 110.9210, Util: 99 Temp: 36
[146] Power: 110.9210, Util: 99 Temp: 36
[147] Power: 110.9210, Util: 99 Temp: 36
[148] Power: 110.9210, Util: 99 Temp: 36
[149] Power: 110.9210, Util: 99 Temp: 36
[150] Power: 110.9210, Util: 99 Temp: 36
[151] Power: 110.9210, Util: 99 Temp: 36
[152] Power: 110.9210, Util: 99 Temp: 36
[153] Power: 110.9210, Util: 99 Temp: 36
[154] Power: 110.9210, Util: 99 Temp: 36
[155] Power: 110.9210, Util: 99 Temp: 36
[156] Power: 110.9210, Util: 99 Temp: 36
[157] Power: 110.9210, Util: 99 Temp: 36
[158] Power: 110.9210, Util: 99 Temp: 36
[159] Power: 110.9210, Util: 99 Temp: 36
[160] Power: 110.9210, Util: 99 Temp: 36
[161] Power: 110.9210, Util: 99 Temp: 36
[162] Power: 110.9210, Util: 99 Temp: 36
[163] Power: 110.9210, Util: 99 Temp: 36
[164] Power: 110.9210, Util: 99 Temp: 36
[165] Power: 110.9210, Util: 99 Temp: 36
[166] Power: 110.9210, Util: 99 Temp: 36
[167] Power: 110.9210, Util: 99 Temp: 36
[168] Power: 110.9210, Util: 99 Temp: 36
[169] Power: 110.9210, Util: 99 Temp: 36
[170] Power: 110.9210, Util: 99 Temp: 36
[171] Power: 110.9210, Util: 99 Temp: 36
[172] Power: 110.9210, Util: 99 Temp: 36
[173] Power: 110.9210, Util: 99 Temp: 36
[174] Power: 110.9210, Util: 99 Temp: 36
[175] Power: 110.9210, Util: 99 Temp: 36
[176] Power: 110.9210, Util: 99 Temp: 36
[177] Power: 110.9210, Util: 99 Temp: 36
[178] Power: 110.9210, Util: 99 Temp: 36
[179] Power: 110.9210, Util: 99 Temp: 36
[180] Power: 110.9210, Util: 99 Temp: 36
[181] Power: 110.9210, Util: 99 Temp: 36
[182] Power: 110.9210, Util: 99 Temp: 36
[183] Power: 110.9210, Util: 99 Temp: 36
[184] Power: 110.9210, Util: 99 Temp: 36
[185] Power: 110.9210, Util: 99 Temp: 36
[186] Power: 110.9210, Util: 99 Temp: 36
[187] Power: 110.9210, Util: 99 Temp: 36
[188] Power: 110.9210, Util: 99 Temp: 36
[189] Power: 110.9210, Util: 99 Temp: 36
[190] Power: 110.9210, Util: 99 Temp: 36
[191] Power: 110.9210, Util: 99 Temp: 36
[192] Power: 110.9210, Util: 99 Temp: 36
[193] Power: 110.9210, Util: 99 Temp: 36
[194] Power: 110.9210, Util: 99 Temp: 36
[195] Power: 110.9210, Util: 99 Temp: 36
[196] Power: 110.9210, Util: 99 Temp: 36
[197] Power: 110.9210, Util: 99 Temp: 36
[198] Power: 110.9210, Util: 99 Temp: 36
[199] Power: 110.9210, Util: 99 Temp: 36
[200] Power: 110.9210, Util: 99 Temp: 36
[201] Power: 110.9210, Util: 99 Temp: 36
[202] Power: 110.9210, Util: 99 Temp: 36
[203] Power: 110.9210, Util: 99 Temp: 36
[204] Power: 110.9210, Util: 99 Temp: 36
[205] Power: 110.9210, Util: 99 Temp: 36
[206] Power: 110.9210, Util: 99 Temp: 36
[207] Power: 110.9210, Util: 99 Temp: 36
[208] Power: 110.9210, Util: 99 Temp: 36
[209] Power: 110.9210, Util: 99 Temp: 36
[210] Power: 110.9210, Util: 99 Temp: 36
[211] Power: 110.9210, Util: 99 Temp: 36
[212] Power: 110.9210, Util: 99 Temp: 36
[213] Power: 110.9210, Util: 99 Temp: 36
[214] Power: 110.9210, Util: 99 Temp: 36
[215] Power: 110.9210, Util: 99 Temp: 36
[216] Power: 110.9210, Util: 99 Temp: 36
[217] Power: 110.9210, Util: 99 Temp: 36
[218] Power: 110.9210, Util: 99 Temp: 36
[219] Power: 110.9210, Util: 99 Temp: 36
[220] Power: 110.9210, Util: 99 Temp: 36
[221] Power: 110.9210, Util: 99 Temp: 36
[222] Power: 110.9210, Util: 99 Temp: 36
[223] Power: 110.9210, Util: 99 Temp: 36
[224] Power: 110.9210, Util: 99 Temp: 36
[225] Power: 110.9210, Util: 99 Temp: 36
[226] Power: 110.9210, Util: 99 Temp: 36
[227] Power: 110.9210, Util: 99 Temp: 36
[228] Power: 110.9210, Util: 99 Temp: 36
[229] Power: 110.9210, Util: 99 Temp: 36
[230] Power: 110.9210, Util: 99 Temp: 36
[231] Power: 110.9210, Util: 99 Temp: 36
[232] Power: 110.9210, Util: 99 Temp: 36
[233] Power: 110.9210, Util: 99 Temp: 36
[234] Power: 110.9210, Util: 99 Temp: 36
[235] Power: 110.9210, Util: 99 Temp: 36
[236] Power: 110.9210, Util: 99 Temp: 36
[237] Power: 110.9210, Util: 99 Temp: 36
[238] Power: 110.9210, Util: 99 Temp: 36
[239] Power: 110.9210, Util: 99 Temp: 36
[240] Power: 110.9210, Util: 99 Temp: 36
[241] Power: 110.9210, Util: 99 Temp: 36
[242] Power: 110.9210, Util: 99 Temp: 36
[243] Power: 110.9210, Util: 99 Temp: 36
[244] Power: 110.9210, Util: 99 Temp: 36
[245] Power: 110.9210, Util: 99 Temp: 36
[246] Power: 110.9210, Util: 99 Temp: 36
[247] Power: 110.9210, Util: 99 Temp: 36
[248] Power: 110.9210, Util: 99 Temp: 36
[249] Power: 110.9210, Util: 99 Temp: 36
[250] Power: 110.9210, Util: 99 Temp: 36
[251] Power: 110.9210, Util: 99 Temp: 36
[252] Power: 110.9210, Util: 99 Temp: 36
[253] Power: 110.9210, Util: 99 Temp: 36
[254] Power: 110.9210, Util: 99 Temp: 36
[255] Power: 110.9210, Util: 99 Temp: 36
[256] Power: 110.9210, Util: 99 Temp: 36
[257] Power: 110.9210, Util: 99 Temp: 36
[258] Power: 110.9210, Util: 99 Temp: 36
[259] Power: 110.9210, Util: 99 Temp: 36
