Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.7440, Util: 0 Temp: 30
[001] Power: 36.7440, Util: 0 Temp: 30
[002] Power: 36.7440, Util: 0 Temp: 30
[003] Power: 36.7440, Util: 0 Temp: 30
[004] Power: 36.7440, Util: 0 Temp: 30
[005] Power: 36.7440, Util: 0 Temp: 30
[006] Power: 36.7440, Util: 0 Temp: 30
[007] Power: 50.9180, Util: 0 Temp: 30
[008] Power: 52.3870, Util: 5 Temp: 30
[009] Power: 88.9900, Util: 5 Temp: 31
[010] Power: 102.1250, Util: 71 Temp: 32
[011] Power: 105.0570, Util: 95 Temp: 32
[012] Power: 117.1960, Util: 95 Temp: 33
[013] Power: 119.1500, Util: 95 Temp: 33
[014] Power: 115.7310, Util: 95 Temp: 33
[015] Power: 118.6610, Util: 92 Temp: 33
[016] Power: 120.1260, Util: 94 Temp: 34
[017] Power: 120.1260, Util: 94 Temp: 34
[018] Power: 120.1260, Util: 93 Temp: 34
[019] Power: 120.2050, Util: 93 Temp: 34
[020] Power: 120.1260, Util: 93 Temp: 34
[021] Power: 121.1030, Util: 93 Temp: 34
[022] Power: 120.6150, Util: 93 Temp: 34
[023] Power: 120.6940, Util: 93 Temp: 34
[024] Power: 120.1260, Util: 93 Temp: 34
[025] Power: 120.6150, Util: 93 Temp: 35
[026] Power: 120.6150, Util: 93 Temp: 35
[027] Power: 121.5910, Util: 93 Temp: 35
[028] Power: 121.1030, Util: 93 Temp: 35
[029] Power: 120.6150, Util: 93 Temp: 35
[030] Power: 119.6380, Util: 93 Temp: 35
[031] Power: 121.1030, Util: 93 Temp: 35
[032] Power: 120.6150, Util: 93 Temp: 35
[033] Power: 121.1820, Util: 93 Temp: 35
[034] Power: 120.6150, Util: 93 Temp: 35
[035] Power: 120.6150, Util: 93 Temp: 35
[036] Power: 121.5910, Util: 94 Temp: 35
[037] Power: 121.1030, Util: 94 Temp: 35
[038] Power: 121.1030, Util: 93 Temp: 35
