Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 120.1260, Util: 94 Temp: 37
[001] Power: 121.5910, Util: 89 Temp: 37
[002] Power: 121.5910, Util: 94 Temp: 37
[003] Power: 121.1030, Util: 94 Temp: 37
[004] Power: 121.1030, Util: 93 Temp: 37
[005] Power: 121.1030, Util: 93 Temp: 37
[006] Power: 120.1260, Util: 93 Temp: 37
[007] Power: 122.0800, Util: 94 Temp: 37
[008] Power: 121.5910, Util: 94 Temp: 37
[009] Power: 121.1030, Util: 93 Temp: 37
[010] Power: 121.1030, Util: 93 Temp: 37
[011] Power: 121.1030, Util: 93 Temp: 37
[012] Power: 121.1030, Util: 94 Temp: 37
[013] Power: 121.1030, Util: 94 Temp: 37
[014] Power: 121.5910, Util: 93 Temp: 37
[015] Power: 121.1030, Util: 93 Temp: 37
[016] Power: 121.1030, Util: 93 Temp: 37
[017] Power: 121.1030, Util: 94 Temp: 37
[018] Power: 121.1820, Util: 94 Temp: 37
[019] Power: 122.0800, Util: 94 Temp: 37
[020] Power: 121.5910, Util: 94 Temp: 37
[021] Power: 119.6380, Util: 93 Temp: 37
[022] Power: 122.0800, Util: 93 Temp: 37
[023] Power: 121.5910, Util: 93 Temp: 37
[024] Power: 121.6710, Util: 93 Temp: 37
[025] Power: 121.1030, Util: 93 Temp: 37
[026] Power: 121.1030, Util: 94 Temp: 37
[027] Power: 121.1030, Util: 94 Temp: 37
[028] Power: 122.0800, Util: 94 Temp: 37
[029] Power: 121.5910, Util: 94 Temp: 37
[030] Power: 121.5910, Util: 94 Temp: 37
[031] Power: 121.1030, Util: 93 Temp: 37
[032] Power: 121.1030, Util: 94 Temp: 37
[033] Power: 121.1820, Util: 94 Temp: 37
[034] Power: 121.1030, Util: 94 Temp: 37
[035] Power: 122.0800, Util: 94 Temp: 37
[036] Power: 121.5910, Util: 94 Temp: 37
[037] Power: 119.1500, Util: 94 Temp: 37
[038] Power: 122.0800, Util: 94 Temp: 37
[039] Power: 121.5910, Util: 93 Temp: 37
[040] Power: 121.5910, Util: 94 Temp: 37
[041] Power: 121.1030, Util: 94 Temp: 37
[042] Power: 121.1030, Util: 93 Temp: 37
[043] Power: 119.6380, Util: 93 Temp: 37
[044] Power: 121.1820, Util: 93 Temp: 37
[045] Power: 122.0800, Util: 93 Temp: 37
[046] Power: 121.5910, Util: 93 Temp: 37
[047] Power: 121.5910, Util: 93 Temp: 37
[048] Power: 121.1030, Util: 93 Temp: 37
[049] Power: 121.1030, Util: 94 Temp: 37
[050] Power: 120.6150, Util: 94 Temp: 37
[051] Power: 121.1030, Util: 94 Temp: 37
[052] Power: 121.1820, Util: 94 Temp: 37
[053] Power: 120.1260, Util: 94 Temp: 37
[054] Power: 121.1030, Util: 93 Temp: 37
[055] Power: 122.0800, Util: 94 Temp: 37
[056] Power: 121.5910, Util: 94 Temp: 37
[057] Power: 121.1030, Util: 93 Temp: 37
[058] Power: 121.1030, Util: 93 Temp: 37
[059] Power: 121.1030, Util: 93 Temp: 37
[060] Power: 121.1030, Util: 94 Temp: 37
[061] Power: 122.0800, Util: 94 Temp: 37
[062] Power: 121.5910, Util: 94 Temp: 37
[063] Power: 121.5910, Util: 94 Temp: 37
[064] Power: 121.1030, Util: 94 Temp: 37
[065] Power: 121.1030, Util: 93 Temp: 37
[066] Power: 121.1030, Util: 93 Temp: 37
[067] Power: 121.1030, Util: 93 Temp: 37
[068] Power: 120.1260, Util: 94 Temp: 37
[069] Power: 121.1030, Util: 94 Temp: 37
[070] Power: 121.1030, Util: 93 Temp: 37
[071] Power: 121.1820, Util: 93 Temp: 37
[072] Power: 122.0800, Util: 94 Temp: 37
[073] Power: 121.5910, Util: 94 Temp: 37
[074] Power: 121.5910, Util: 94 Temp: 37
[075] Power: 121.1820, Util: 94 Temp: 37
[076] Power: 121.1030, Util: 94 Temp: 37
[077] Power: 121.1030, Util: 93 Temp: 37
[078] Power: 122.0800, Util: 94 Temp: 37
[079] Power: 121.5910, Util: 94 Temp: 37
[080] Power: 121.5910, Util: 93 Temp: 37
[081] Power: 121.1030, Util: 93 Temp: 37
[082] Power: 121.1030, Util: 93 Temp: 37
[083] Power: 121.1820, Util: 94 Temp: 37
[084] Power: 120.1260, Util: 94 Temp: 37
[085] Power: 121.1030, Util: 93 Temp: 37
[086] Power: 121.1030, Util: 93 Temp: 37
[087] Power: 122.0800, Util: 93 Temp: 37
[088] Power: 122.0800, Util: 94 Temp: 37
[089] Power: 121.5910, Util: 94 Temp: 37
[090] Power: 121.5910, Util: 93 Temp: 37
[091] Power: 121.1030, Util: 93 Temp: 37
[092] Power: 121.1820, Util: 94 Temp: 37
[093] Power: 121.1030, Util: 94 Temp: 37
[094] Power: 122.0800, Util: 94 Temp: 37
[095] Power: 121.5910, Util: 93 Temp: 37
[096] Power: 121.5910, Util: 94 Temp: 37
[097] Power: 120.6150, Util: 94 Temp: 37
[098] Power: 121.1030, Util: 93 Temp: 37
[099] Power: 121.1030, Util: 93 Temp: 37
[100] Power: 120.2050, Util: 94 Temp: 37
[101] Power: 121.5910, Util: 94 Temp: 37
[102] Power: 121.5910, Util: 94 Temp: 37
[103] Power: 121.1820, Util: 94 Temp: 37
[104] Power: 121.1030, Util: 94 Temp: 37
[105] Power: 121.1820, Util: 93 Temp: 37
[106] Power: 122.0800, Util: 94 Temp: 37
[107] Power: 121.5910, Util: 94 Temp: 37
[108] Power: 121.1030, Util: 93 Temp: 37
[109] Power: 121.1030, Util: 93 Temp: 37
[110] Power: 120.6150, Util: 93 Temp: 37
[111] Power: 121.1030, Util: 94 Temp: 37
[112] Power: 121.1030, Util: 94 Temp: 37
[113] Power: 122.0800, Util: 94 Temp: 37
[114] Power: 121.5910, Util: 94 Temp: 37
[115] Power: 121.5910, Util: 94 Temp: 37
[116] Power: 121.1030, Util: 94 Temp: 37
[117] Power: 121.5910, Util: 94 Temp: 37
[118] Power: 121.1030, Util: 93 Temp: 37
[119] Power: 121.1030, Util: 93 Temp: 37
[120] Power: 121.1030, Util: 93 Temp: 37
[121] Power: 121.1030, Util: 94 Temp: 37
[122] Power: 122.0800, Util: 94 Temp: 37
[123] Power: 121.5910, Util: 94 Temp: 37
[124] Power: 121.5910, Util: 94 Temp: 37
[125] Power: 121.1030, Util: 94 Temp: 37
[126] Power: 121.1030, Util: 94 Temp: 37
[127] Power: 121.1030, Util: 94 Temp: 37
[128] Power: 121.1030, Util: 93 Temp: 37
[129] Power: 121.1030, Util: 94 Temp: 37
[130] Power: 121.1030, Util: 94 Temp: 37
[131] Power: 120.6150, Util: 93 Temp: 37
[132] Power: 122.0800, Util: 93 Temp: 37
[133] Power: 121.5910, Util: 93 Temp: 37
[134] Power: 121.1030, Util: 94 Temp: 37
[135] Power: 121.1030, Util: 94 Temp: 37
[136] Power: 121.1030, Util: 94 Temp: 37
[137] Power: 122.0800, Util: 94 Temp: 37
[138] Power: 122.0800, Util: 93 Temp: 37
[139] Power: 121.5910, Util: 94 Temp: 37
[140] Power: 121.5910, Util: 94 Temp: 37
[141] Power: 121.5910, Util: 93 Temp: 37
[142] Power: 121.1030, Util: 93 Temp: 37
[143] Power: 121.5910, Util: 93 Temp: 37
[144] Power: 121.5910, Util: 94 Temp: 37
[145] Power: 121.5910, Util: 94 Temp: 37
[146] Power: 119.7160, Util: 94 Temp: 37
[147] Power: 121.1030, Util: 94 Temp: 37
[148] Power: 122.0800, Util: 93 Temp: 37
[149] Power: 121.5910, Util: 94 Temp: 37
[150] Power: 121.5910, Util: 94 Temp: 37
[151] Power: 121.5910, Util: 93 Temp: 37
[152] Power: 121.1030, Util: 94 Temp: 37
[153] Power: 121.1030, Util: 94 Temp: 37
[154] Power: 121.1030, Util: 93 Temp: 37
[155] Power: 122.0800, Util: 93 Temp: 37
[156] Power: 121.5910, Util: 93 Temp: 37
[157] Power: 121.5910, Util: 94 Temp: 37
[158] Power: 121.5910, Util: 94 Temp: 37
[159] Power: 121.1030, Util: 93 Temp: 37
[160] Power: 121.1820, Util: 93 Temp: 37
[161] Power: 121.1030, Util: 94 Temp: 37
[162] Power: 121.5910, Util: 94 Temp: 37
[163] Power: 121.5910, Util: 94 Temp: 37
[164] Power: 122.0800, Util: 94 Temp: 37
[165] Power: 121.5910, Util: 94 Temp: 37
[166] Power: 120.6150, Util: 94 Temp: 37
[167] Power: 122.0800, Util: 94 Temp: 37
[168] Power: 121.5910, Util: 94 Temp: 37
[169] Power: 121.5910, Util: 94 Temp: 37
[170] Power: 121.1030, Util: 94 Temp: 37
[171] Power: 121.1030, Util: 94 Temp: 37
[172] Power: 122.0800, Util: 94 Temp: 37
[173] Power: 122.0800, Util: 94 Temp: 37
[174] Power: 121.5910, Util: 94 Temp: 37
[175] Power: 121.5910, Util: 94 Temp: 37
[176] Power: 121.1030, Util: 94 Temp: 37
