Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.7200, Util: 0 Temp: 33
[001] Power: 51.8630, Util: 1 Temp: 33
[002] Power: 52.8420, Util: 5 Temp: 33
[003] Power: 52.8420, Util: 5 Temp: 33
[004] Power: 52.8420, Util: 0 Temp: 34
[005] Power: 52.8420, Util: 0 Temp: 34
[006] Power: 114.6800, Util: 0 Temp: 34
[007] Power: 125.4160, Util: 69 Temp: 35
[008] Power: 128.3440, Util: 69 Temp: 35
[009] Power: 139.9640, Util: 100 Temp: 35
[010] Power: 139.9640, Util: 100 Temp: 36
[011] Power: 139.9640, Util: 100 Temp: 36
[012] Power: 140.4510, Util: 100 Temp: 36
[013] Power: 140.4510, Util: 100 Temp: 36
[014] Power: 140.4510, Util: 100 Temp: 37
[015] Power: 140.4510, Util: 100 Temp: 37
[016] Power: 140.4510, Util: 100 Temp: 37
[017] Power: 140.4510, Util: 100 Temp: 37
[018] Power: 140.4510, Util: 100 Temp: 37
[019] Power: 140.4510, Util: 100 Temp: 37
[020] Power: 140.4510, Util: 100 Temp: 37
[021] Power: 140.4510, Util: 100 Temp: 37
[022] Power: 140.4510, Util: 100 Temp: 38
[023] Power: 140.4510, Util: 100 Temp: 38
[024] Power: 140.4510, Util: 100 Temp: 38
[025] Power: 140.4510, Util: 100 Temp: 38
[026] Power: 140.9390, Util: 100 Temp: 38
[027] Power: 140.9390, Util: 100 Temp: 38
[028] Power: 140.9390, Util: 100 Temp: 38
[029] Power: 140.9390, Util: 100 Temp: 38
[030] Power: 140.9390, Util: 100 Temp: 38
[031] Power: 140.9390, Util: 100 Temp: 38
[032] Power: 140.9390, Util: 100 Temp: 38
[033] Power: 140.9390, Util: 100 Temp: 38
[034] Power: 140.9390, Util: 100 Temp: 38
[035] Power: 140.9390, Util: 100 Temp: 38
[036] Power: 140.9390, Util: 100 Temp: 38
[037] Power: 140.9390, Util: 100 Temp: 38
[038] Power: 140.9390, Util: 100 Temp: 38
[039] Power: 140.9390, Util: 100 Temp: 38
[040] Power: 140.9390, Util: 100 Temp: 38
[041] Power: 140.9390, Util: 100 Temp: 39
[042] Power: 140.9390, Util: 100 Temp: 39
[043] Power: 140.9390, Util: 100 Temp: 39
[044] Power: 140.9390, Util: 100 Temp: 39
[045] Power: 140.9390, Util: 100 Temp: 39
[046] Power: 140.9390, Util: 100 Temp: 39
[047] Power: 140.9390, Util: 100 Temp: 39
[048] Power: 140.9390, Util: 100 Temp: 39
[049] Power: 140.9390, Util: 100 Temp: 39
[050] Power: 140.9390, Util: 100 Temp: 39
[051] Power: 140.9390, Util: 100 Temp: 39
[052] Power: 140.9390, Util: 100 Temp: 39
[053] Power: 140.9390, Util: 100 Temp: 39
[054] Power: 140.9390, Util: 100 Temp: 39
[055] Power: 140.9390, Util: 100 Temp: 39
[056] Power: 140.9390, Util: 100 Temp: 39
[057] Power: 141.4270, Util: 100 Temp: 39
[058] Power: 140.9390, Util: 100 Temp: 39
[059] Power: 140.9390, Util: 100 Temp: 39
[060] Power: 140.9390, Util: 100 Temp: 39
[061] Power: 141.4270, Util: 100 Temp: 39
[062] Power: 141.4270, Util: 100 Temp: 39
[063] Power: 140.9390, Util: 100 Temp: 39
[064] Power: 140.9390, Util: 100 Temp: 39
[065] Power: 140.9390, Util: 100 Temp: 39
[066] Power: 141.4270, Util: 100 Temp: 39
[067] Power: 141.4270, Util: 100 Temp: 39
[068] Power: 141.4270, Util: 100 Temp: 39
[069] Power: 140.9390, Util: 100 Temp: 39
[070] Power: 141.4270, Util: 100 Temp: 39
[071] Power: 141.4270, Util: 100 Temp: 39
[072] Power: 140.9390, Util: 100 Temp: 39
[073] Power: 140.9390, Util: 100 Temp: 39
[074] Power: 141.4270, Util: 100 Temp: 39
[075] Power: 141.4270, Util: 100 Temp: 39
[076] Power: 141.4270, Util: 100 Temp: 39
[077] Power: 141.4270, Util: 100 Temp: 39
[078] Power: 141.4270, Util: 100 Temp: 39
[079] Power: 141.4270, Util: 100 Temp: 39
[080] Power: 141.4270, Util: 100 Temp: 39
