Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.7440, Util: 0 Temp: 33
[001] Power: 36.7440, Util: 0 Temp: 33
[002] Power: 36.7440, Util: 0 Temp: 33
[003] Power: 36.7440, Util: 0 Temp: 33
[004] Power: 36.7440, Util: 0 Temp: 32
[005] Power: 36.7440, Util: 0 Temp: 33
[006] Power: 36.7440, Util: 0 Temp: 32
[007] Power: 36.7440, Util: 0 Temp: 33
[008] Power: 37.2330, Util: 0 Temp: 32
[009] Power: 36.7440, Util: 0 Temp: 33
[010] Power: 36.7440, Util: 0 Temp: 33
[011] Power: 36.7440, Util: 0 Temp: 32
[012] Power: 36.7440, Util: 0 Temp: 33
[013] Power: 36.7440, Util: 0 Temp: 32
[014] Power: 36.7440, Util: 0 Temp: 33
[015] Power: 36.7440, Util: 0 Temp: 32
[016] Power: 36.7440, Util: 0 Temp: 32
[017] Power: 36.7440, Util: 0 Temp: 32
[018] Power: 36.7440, Util: 0 Temp: 32
[019] Power: 36.7440, Util: 0 Temp: 32
[020] Power: 36.7440, Util: 0 Temp: 32
[021] Power: 36.7440, Util: 0 Temp: 32
[022] Power: 36.7440, Util: 0 Temp: 32
[023] Power: 36.7440, Util: 0 Temp: 32
[024] Power: 36.7440, Util: 0 Temp: 32
[025] Power: 36.7440, Util: 0 Temp: 32
[026] Power: 36.7440, Util: 0 Temp: 32
[027] Power: 36.7440, Util: 0 Temp: 32
[028] Power: 36.7440, Util: 0 Temp: 32
[029] Power: 36.7440, Util: 0 Temp: 32
[030] Power: 36.7200, Util: 0 Temp: 32
[031] Power: 36.7440, Util: 0 Temp: 33
[032] Power: 36.7440, Util: 0 Temp: 32
[033] Power: 36.7440, Util: 0 Temp: 32
[034] Power: 36.7440, Util: 0 Temp: 32
[035] Power: 47.0010, Util: 2 Temp: 32
[036] Power: 52.3870, Util: 2 Temp: 33
[037] Power: 190.9190, Util: 12 Temp: 35
[038] Power: 195.3030, Util: 12 Temp: 36
[039] Power: 226.6620, Util: 100 Temp: 37
[040] Power: 232.8320, Util: 100 Temp: 37
[041] Power: 255.5090, Util: 100 Temp: 38
[042] Power: 255.5090, Util: 100 Temp: 39
[043] Power: 255.5090, Util: 100 Temp: 40
[044] Power: 252.1090, Util: 100 Temp: 40
[045] Power: 254.0520, Util: 100 Temp: 40
[046] Power: 255.9950, Util: 100 Temp: 41
[047] Power: 256.9670, Util: 100 Temp: 41
[048] Power: 256.9670, Util: 100 Temp: 41
[049] Power: 256.4810, Util: 100 Temp: 42
[050] Power: 256.9670, Util: 100 Temp: 42
[051] Power: 256.9670, Util: 100 Temp: 42
[052] Power: 256.9670, Util: 100 Temp: 42
[053] Power: 257.4520, Util: 100 Temp: 43
[054] Power: 257.4520, Util: 100 Temp: 43
[055] Power: 257.9380, Util: 100 Temp: 43
[056] Power: 257.9380, Util: 100 Temp: 43
[057] Power: 257.9380, Util: 100 Temp: 43
[058] Power: 257.9380, Util: 100 Temp: 44
[059] Power: 258.4240, Util: 100 Temp: 44
[060] Power: 257.9380, Util: 100 Temp: 44
[061] Power: 258.4240, Util: 100 Temp: 44
[062] Power: 258.4240, Util: 100 Temp: 44
[063] Power: 258.4240, Util: 100 Temp: 44
[064] Power: 258.4240, Util: 100 Temp: 44
[065] Power: 258.9100, Util: 100 Temp: 45
[066] Power: 258.9100, Util: 100 Temp: 45
[067] Power: 258.4240, Util: 100 Temp: 45
[068] Power: 255.0240, Util: 100 Temp: 45
[069] Power: 258.4240, Util: 100 Temp: 45
[070] Power: 258.9100, Util: 100 Temp: 45
[071] Power: 257.9380, Util: 100 Temp: 45
[072] Power: 258.4240, Util: 100 Temp: 45
[073] Power: 258.9100, Util: 100 Temp: 45
[074] Power: 258.9100, Util: 100 Temp: 45
[075] Power: 259.3950, Util: 100 Temp: 46
[076] Power: 259.3950, Util: 100 Temp: 46
[077] Power: 258.9100, Util: 100 Temp: 46
[078] Power: 259.3950, Util: 100 Temp: 46
[079] Power: 259.3950, Util: 100 Temp: 46
[080] Power: 259.3950, Util: 100 Temp: 46
[081] Power: 259.8810, Util: 100 Temp: 46
[082] Power: 259.3950, Util: 100 Temp: 46
[083] Power: 259.8810, Util: 100 Temp: 46
[084] Power: 259.8810, Util: 100 Temp: 46
[085] Power: 259.8810, Util: 100 Temp: 46
[086] Power: 259.8810, Util: 100 Temp: 47
[087] Power: 259.8810, Util: 100 Temp: 47
[088] Power: 260.3670, Util: 100 Temp: 47
[089] Power: 259.8810, Util: 100 Temp: 47
[090] Power: 260.3670, Util: 100 Temp: 47
[091] Power: 260.3670, Util: 100 Temp: 47
[092] Power: 259.8810, Util: 100 Temp: 47
[093] Power: 259.8810, Util: 100 Temp: 47
[094] Power: 259.8810, Util: 100 Temp: 47
[095] Power: 260.3670, Util: 100 Temp: 47
[096] Power: 260.3670, Util: 100 Temp: 47
[097] Power: 260.3670, Util: 100 Temp: 47
[098] Power: 260.3670, Util: 100 Temp: 47
[099] Power: 260.3670, Util: 100 Temp: 47
[100] Power: 260.3670, Util: 100 Temp: 47
[101] Power: 260.3670, Util: 100 Temp: 47
[102] Power: 259.8810, Util: 100 Temp: 47
[103] Power: 260.8530, Util: 100 Temp: 47
[104] Power: 260.1950, Util: 100 Temp: 47
[105] Power: 260.3670, Util: 100 Temp: 47
[106] Power: 260.8530, Util: 100 Temp: 48
[107] Power: 260.8530, Util: 100 Temp: 48
[108] Power: 260.3670, Util: 100 Temp: 48
[109] Power: 260.8530, Util: 100 Temp: 48
[110] Power: 260.8530, Util: 100 Temp: 48
[111] Power: 260.8530, Util: 100 Temp: 48
[112] Power: 260.8530, Util: 100 Temp: 48
[113] Power: 260.3670, Util: 100 Temp: 48
[114] Power: 260.8530, Util: 100 Temp: 48
[115] Power: 260.8530, Util: 100 Temp: 48
[116] Power: 260.8530, Util: 100 Temp: 48
[117] Power: 260.8530, Util: 100 Temp: 48
[118] Power: 261.3380, Util: 100 Temp: 48
[119] Power: 260.8530, Util: 100 Temp: 48
[120] Power: 260.8530, Util: 100 Temp: 48
[121] Power: 260.8530, Util: 100 Temp: 48
[122] Power: 261.8240, Util: 100 Temp: 48
[123] Power: 260.8530, Util: 100 Temp: 48
[124] Power: 260.8530, Util: 100 Temp: 48
[125] Power: 260.8530, Util: 100 Temp: 48
[126] Power: 260.8530, Util: 100 Temp: 48
[127] Power: 260.8530, Util: 100 Temp: 48
[128] Power: 261.3380, Util: 100 Temp: 48
[129] Power: 260.8530, Util: 100 Temp: 48
[130] Power: 261.3380, Util: 100 Temp: 48
[131] Power: 261.3380, Util: 100 Temp: 48
[132] Power: 261.3380, Util: 100 Temp: 48
[133] Power: 261.3380, Util: 100 Temp: 48
[134] Power: 261.3380, Util: 100 Temp: 48
[135] Power: 261.3380, Util: 100 Temp: 48
[136] Power: 261.3380, Util: 100 Temp: 49
[137] Power: 261.3380, Util: 100 Temp: 49
[138] Power: 261.3380, Util: 100 Temp: 49
[139] Power: 261.3380, Util: 100 Temp: 49
[140] Power: 261.3380, Util: 100 Temp: 49
[141] Power: 261.3380, Util: 100 Temp: 49
[142] Power: 261.3380, Util: 100 Temp: 49
[143] Power: 261.1660, Util: 100 Temp: 49
[144] Power: 261.3380, Util: 100 Temp: 49
[145] Power: 261.3380, Util: 100 Temp: 49
[146] Power: 261.3380, Util: 100 Temp: 49
[147] Power: 261.3380, Util: 100 Temp: 49
[148] Power: 261.8240, Util: 100 Temp: 49
[149] Power: 261.8240, Util: 100 Temp: 49
[150] Power: 261.3380, Util: 100 Temp: 49
[151] Power: 261.3380, Util: 100 Temp: 49
[152] Power: 261.3380, Util: 100 Temp: 49
[153] Power: 261.3380, Util: 100 Temp: 49
[154] Power: 261.8240, Util: 100 Temp: 49
[155] Power: 261.8240, Util: 100 Temp: 49
[156] Power: 261.3380, Util: 100 Temp: 49
[157] Power: 261.8240, Util: 100 Temp: 49
[158] Power: 261.8240, Util: 100 Temp: 49
[159] Power: 261.8240, Util: 100 Temp: 49
[160] Power: 261.8240, Util: 100 Temp: 49
[161] Power: 261.8240, Util: 100 Temp: 49
[162] Power: 261.8240, Util: 100 Temp: 49
[163] Power: 261.8240, Util: 100 Temp: 49
[164] Power: 261.8240, Util: 100 Temp: 49
[165] Power: 261.8240, Util: 100 Temp: 49
[166] Power: 261.3380, Util: 100 Temp: 49
[167] Power: 261.8240, Util: 100 Temp: 49
[168] Power: 261.8240, Util: 100 Temp: 49
[169] Power: 261.3380, Util: 100 Temp: 49
[170] Power: 261.8240, Util: 100 Temp: 49
[171] Power: 261.8240, Util: 100 Temp: 49
[172] Power: 261.3380, Util: 100 Temp: 49
[173] Power: 261.8240, Util: 100 Temp: 49
[174] Power: 262.3100, Util: 100 Temp: 49
[175] Power: 261.8240, Util: 100 Temp: 49
[176] Power: 261.8240, Util: 100 Temp: 49
[177] Power: 261.6520, Util: 100 Temp: 49
[178] Power: 261.8240, Util: 100 Temp: 49
[179] Power: 261.8240, Util: 100 Temp: 49
[180] Power: 261.8240, Util: 100 Temp: 49
[181] Power: 262.3100, Util: 100 Temp: 49
[182] Power: 261.8240, Util: 100 Temp: 49
[183] Power: 261.8240, Util: 100 Temp: 49
[184] Power: 261.8240, Util: 100 Temp: 49
[185] Power: 262.3100, Util: 100 Temp: 49
[186] Power: 261.8240, Util: 100 Temp: 49
[187] Power: 262.3100, Util: 100 Temp: 49
[188] Power: 262.3100, Util: 100 Temp: 49
[189] Power: 261.8240, Util: 100 Temp: 49
[190] Power: 262.3100, Util: 100 Temp: 49
[191] Power: 262.3100, Util: 100 Temp: 49
[192] Power: 261.8240, Util: 100 Temp: 49
[193] Power: 261.8240, Util: 100 Temp: 50
[194] Power: 261.8240, Util: 100 Temp: 49
[195] Power: 261.8240, Util: 100 Temp: 50
[196] Power: 261.6520, Util: 100 Temp: 50
[197] Power: 262.3100, Util: 100 Temp: 50
[198] Power: 262.3100, Util: 100 Temp: 50
[199] Power: 261.8240, Util: 100 Temp: 50
[200] Power: 262.3100, Util: 100 Temp: 50
[201] Power: 262.3100, Util: 100 Temp: 50
[202] Power: 262.3100, Util: 100 Temp: 50
[203] Power: 261.8240, Util: 100 Temp: 50
[204] Power: 261.8240, Util: 100 Temp: 50
[205] Power: 261.8240, Util: 100 Temp: 50
[206] Power: 261.8240, Util: 100 Temp: 50
[207] Power: 262.3100, Util: 100 Temp: 50
[208] Power: 261.8240, Util: 100 Temp: 50
[209] Power: 262.3100, Util: 100 Temp: 50
[210] Power: 262.3100, Util: 100 Temp: 50
[211] Power: 262.3100, Util: 100 Temp: 50
[212] Power: 262.3100, Util: 100 Temp: 50
[213] Power: 262.3100, Util: 100 Temp: 50
[214] Power: 262.3100, Util: 100 Temp: 50
[215] Power: 262.3100, Util: 100 Temp: 50
[216] Power: 262.3100, Util: 100 Temp: 50
[217] Power: 262.3100, Util: 100 Temp: 50
[218] Power: 262.3100, Util: 100 Temp: 50
[219] Power: 262.3100, Util: 100 Temp: 50
[220] Power: 262.3100, Util: 100 Temp: 50
[221] Power: 262.3100, Util: 100 Temp: 50
[222] Power: 262.3100, Util: 100 Temp: 50
[223] Power: 261.8240, Util: 100 Temp: 50
[224] Power: 262.3100, Util: 100 Temp: 50
[225] Power: 259.8810, Util: 100 Temp: 50
