Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 264.2530, Util: 100 Temp: 51
[001] Power: 264.2530, Util: 100 Temp: 51
[002] Power: 264.5640, Util: 100 Temp: 51
[003] Power: 264.7390, Util: 100 Temp: 51
[004] Power: 264.2530, Util: 100 Temp: 51
[005] Power: 264.0790, Util: 100 Temp: 51
[006] Power: 264.2530, Util: 100 Temp: 51
[007] Power: 264.2530, Util: 100 Temp: 51
[008] Power: 264.0790, Util: 100 Temp: 51
[009] Power: 264.2530, Util: 100 Temp: 51
[010] Power: 264.7390, Util: 100 Temp: 51
[011] Power: 264.7390, Util: 100 Temp: 51
[012] Power: 264.2530, Util: 100 Temp: 51
[013] Power: 264.2530, Util: 100 Temp: 51
[014] Power: 264.0790, Util: 100 Temp: 51
[015] Power: 264.2530, Util: 100 Temp: 51
[016] Power: 264.7390, Util: 100 Temp: 51
[017] Power: 264.2530, Util: 100 Temp: 51
[018] Power: 264.2530, Util: 100 Temp: 51
[019] Power: 264.2530, Util: 100 Temp: 51
[020] Power: 264.2530, Util: 100 Temp: 51
[021] Power: 264.2530, Util: 100 Temp: 51
[022] Power: 264.2530, Util: 100 Temp: 51
[023] Power: 265.0500, Util: 100 Temp: 51
[024] Power: 264.7390, Util: 100 Temp: 51
[025] Power: 264.2530, Util: 100 Temp: 51
[026] Power: 264.2530, Util: 100 Temp: 51
[027] Power: 264.2530, Util: 100 Temp: 51
[028] Power: 264.2530, Util: 100 Temp: 51
[029] Power: 264.2530, Util: 100 Temp: 51
[030] Power: 264.2530, Util: 100 Temp: 51
[031] Power: 264.7390, Util: 100 Temp: 51
[032] Power: 264.2530, Util: 100 Temp: 51
[033] Power: 264.7390, Util: 100 Temp: 51
[034] Power: 264.2530, Util: 100 Temp: 51
[035] Power: 264.0790, Util: 100 Temp: 51
[036] Power: 264.7390, Util: 100 Temp: 51
[037] Power: 264.7390, Util: 100 Temp: 51
[038] Power: 264.0790, Util: 100 Temp: 51
