Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 37.2330, Util: 0 Temp: 33
[001] Power: 37.2330, Util: 0 Temp: 33
[002] Power: 37.2330, Util: 0 Temp: 33
[003] Power: 37.2330, Util: 0 Temp: 33
[004] Power: 37.2330, Util: 0 Temp: 33
[005] Power: 36.7440, Util: 0 Temp: 33
[006] Power: 37.2330, Util: 0 Temp: 33
[007] Power: 37.2330, Util: 0 Temp: 33
[008] Power: 37.2330, Util: 0 Temp: 33
[009] Power: 37.2330, Util: 0 Temp: 33
[010] Power: 185.0750, Util: 0 Temp: 34
[011] Power: 239.1510, Util: 65 Temp: 36
[012] Power: 247.9000, Util: 65 Temp: 38
[013] Power: 277.6710, Util: 100 Temp: 39
[014] Power: 281.0690, Util: 100 Temp: 40
[015] Power: 279.1280, Util: 100 Temp: 41
[016] Power: 283.9820, Util: 100 Temp: 41
[017] Power: 288.1610, Util: 100 Temp: 42
[018] Power: 293.0120, Util: 100 Temp: 43
[019] Power: 297.3780, Util: 100 Temp: 43
[020] Power: 298.1520, Util: 100 Temp: 44
[021] Power: 298.6360, Util: 100 Temp: 44
[022] Power: 298.8330, Util: 100 Temp: 44
[023] Power: 298.8330, Util: 100 Temp: 45
[024] Power: 284.2800, Util: 100 Temp: 45
[025] Power: 281.8540, Util: 100 Temp: 45
[026] Power: 286.2200, Util: 100 Temp: 45
[027] Power: 290.5860, Util: 100 Temp: 46
[028] Power: 294.9520, Util: 100 Temp: 46
[029] Power: 299.6060, Util: 100 Temp: 46
[030] Power: 277.6710, Util: 100 Temp: 46
[031] Power: 282.8240, Util: 100 Temp: 46
[032] Power: 287.3800, Util: 100 Temp: 46
[033] Power: 291.5570, Util: 100 Temp: 47
[034] Power: 296.2120, Util: 100 Temp: 47
[035] Power: 295.7280, Util: 100 Temp: 47
[036] Power: 278.1570, Util: 100 Temp: 47
[037] Power: 282.0400, Util: 100 Temp: 47
[038] Power: 283.4960, Util: 100 Temp: 47
[039] Power: 288.1610, Util: 100 Temp: 47
[040] Power: 292.3340, Util: 100 Temp: 48
[041] Power: 296.8930, Util: 100 Temp: 48
[042] Power: 277.1860, Util: 100 Temp: 48
[043] Power: 279.1280, Util: 100 Temp: 48
[044] Power: 279.6130, Util: 100 Temp: 48
[045] Power: 284.4670, Util: 100 Temp: 48
[046] Power: 288.1610, Util: 100 Temp: 48
[047] Power: 293.0120, Util: 100 Temp: 48
[048] Power: 297.3780, Util: 100 Temp: 49
[049] Power: 276.2150, Util: 100 Temp: 49
[050] Power: 279.6130, Util: 100 Temp: 49
[051] Power: 279.4290, Util: 100 Temp: 49
[052] Power: 284.9530, Util: 100 Temp: 49
[053] Power: 289.1310, Util: 100 Temp: 49
[054] Power: 293.3040, Util: 100 Temp: 49
[055] Power: 297.6670, Util: 100 Temp: 49
[056] Power: 275.2440, Util: 100 Temp: 49
[057] Power: 280.0980, Util: 100 Temp: 49
[058] Power: 285.2500, Util: 100 Temp: 49
[059] Power: 289.6160, Util: 100 Temp: 49
[060] Power: 293.9820, Util: 100 Temp: 50
[061] Power: 298.1520, Util: 100 Temp: 50
[062] Power: 275.7290, Util: 100 Temp: 50
[063] Power: 280.0980, Util: 100 Temp: 50
[064] Power: 280.5840, Util: 100 Temp: 50
[065] Power: 285.7350, Util: 100 Temp: 50
[066] Power: 289.6160, Util: 100 Temp: 50
[067] Power: 293.9820, Util: 100 Temp: 50
[068] Power: 280.3990, Util: 100 Temp: 50
[069] Power: 285.7350, Util: 100 Temp: 50
[070] Power: 290.1010, Util: 100 Temp: 50
[071] Power: 294.4670, Util: 100 Temp: 50
[072] Power: 298.8330, Util: 100 Temp: 50
[073] Power: 280.5840, Util: 100 Temp: 50
[074] Power: 280.5840, Util: 100 Temp: 50
[075] Power: 286.2200, Util: 100 Temp: 50
[076] Power: 281.0690, Util: 100 Temp: 50
[077] Power: 286.7050, Util: 100 Temp: 50
[078] Power: 291.0720, Util: 100 Temp: 50
[079] Power: 295.9230, Util: 100 Temp: 51
[080] Power: 301.0600, Util: 100 Temp: 51
[081] Power: 282.5260, Util: 100 Temp: 51
[082] Power: 283.7950, Util: 100 Temp: 51
[083] Power: 288.6460, Util: 100 Temp: 51
[084] Power: 293.0120, Util: 100 Temp: 51
[085] Power: 297.8630, Util: 100 Temp: 51
[086] Power: 297.3780, Util: 100 Temp: 51
[087] Power: 283.7950, Util: 100 Temp: 51
[088] Power: 288.1610, Util: 100 Temp: 51
[089] Power: 284.7650, Util: 100 Temp: 51
[090] Power: 290.1010, Util: 100 Temp: 51
[091] Power: 293.9820, Util: 100 Temp: 51
[092] Power: 298.8330, Util: 100 Temp: 51
[093] Power: 285.7350, Util: 100 Temp: 51
[094] Power: 284.9530, Util: 100 Temp: 51
[095] Power: 283.3100, Util: 100 Temp: 51
[096] Power: 286.2200, Util: 100 Temp: 51
[097] Power: 291.0720, Util: 100 Temp: 51
[098] Power: 294.9520, Util: 100 Temp: 51
[099] Power: 293.9820, Util: 100 Temp: 51
[100] Power: 285.2500, Util: 100 Temp: 51
[101] Power: 289.6160, Util: 100 Temp: 51
[102] Power: 286.7050, Util: 100 Temp: 51
[103] Power: 291.0720, Util: 100 Temp: 51
[104] Power: 295.4380, Util: 100 Temp: 52
[105] Power: 288.1610, Util: 100 Temp: 52
[106] Power: 285.7350, Util: 100 Temp: 52
[107] Power: 287.1910, Util: 100 Temp: 51
[108] Power: 291.0720, Util: 100 Temp: 52
[109] Power: 295.4380, Util: 100 Temp: 52
[110] Power: 285.7350, Util: 100 Temp: 52
[111] Power: 285.7350, Util: 100 Temp: 52
[112] Power: 287.1910, Util: 100 Temp: 52
[113] Power: 291.0720, Util: 100 Temp: 52
[114] Power: 295.7280, Util: 100 Temp: 52
[115] Power: 283.7950, Util: 100 Temp: 52
[116] Power: 285.7350, Util: 100 Temp: 52
[117] Power: 287.1910, Util: 100 Temp: 52
[118] Power: 291.5570, Util: 100 Temp: 52
[119] Power: 295.9230, Util: 100 Temp: 52
[120] Power: 283.0110, Util: 100 Temp: 52
[121] Power: 284.2800, Util: 100 Temp: 52
[122] Power: 287.1910, Util: 100 Temp: 52
[123] Power: 291.5570, Util: 100 Temp: 52
[124] Power: 295.7280, Util: 100 Temp: 52
[125] Power: 282.5260, Util: 100 Temp: 52
[126] Power: 283.7950, Util: 100 Temp: 52
[127] Power: 287.1910, Util: 100 Temp: 52
[128] Power: 291.5570, Util: 100 Temp: 52
[129] Power: 296.4080, Util: 100 Temp: 52
[130] Power: 282.8240, Util: 100 Temp: 52
[131] Power: 284.4670, Util: 100 Temp: 52
[132] Power: 288.6460, Util: 100 Temp: 52
[133] Power: 293.4970, Util: 100 Temp: 52
