Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 294.7580, Util: 100 Temp: 55
[001] Power: 288.1610, Util: 100 Temp: 55
[002] Power: 291.5570, Util: 100 Temp: 55
[003] Power: 293.9820, Util: 100 Temp: 55
[004] Power: 298.8330, Util: 100 Temp: 55
[005] Power: 289.1310, Util: 100 Temp: 55
[006] Power: 293.0120, Util: 100 Temp: 55
[007] Power: 297.3780, Util: 100 Temp: 55
[008] Power: 283.9820, Util: 100 Temp: 55
[009] Power: 289.1310, Util: 100 Temp: 54
[010] Power: 293.0120, Util: 100 Temp: 55
[011] Power: 297.3780, Util: 100 Temp: 55
[012] Power: 283.0110, Util: 100 Temp: 55
[013] Power: 284.7650, Util: 100 Temp: 55
[014] Power: 294.9520, Util: 100 Temp: 55
[015] Power: 299.6060, Util: 100 Temp: 55
[016] Power: 285.2500, Util: 100 Temp: 55
[017] Power: 290.1010, Util: 100 Temp: 55
[018] Power: 294.9520, Util: 100 Temp: 55
[019] Power: 290.1010, Util: 100 Temp: 55
[020] Power: 290.1010, Util: 100 Temp: 55
[021] Power: 294.9520, Util: 100 Temp: 55
[022] Power: 299.6060, Util: 100 Temp: 55
[023] Power: 289.6160, Util: 100 Temp: 55
[024] Power: 295.4380, Util: 100 Temp: 55
[025] Power: 299.8040, Util: 100 Temp: 55
[026] Power: 285.2500, Util: 100 Temp: 55
[027] Power: 290.1010, Util: 100 Temp: 55
[028] Power: 295.4380, Util: 100 Temp: 55
[029] Power: 297.8630, Util: 100 Temp: 55
[030] Power: 289.6160, Util: 100 Temp: 55
[031] Power: 293.4970, Util: 100 Temp: 55
[032] Power: 297.8630, Util: 100 Temp: 55
[033] Power: 280.5840, Util: 100 Temp: 55
[034] Power: 289.6160, Util: 100 Temp: 55
[035] Power: 293.4970, Util: 100 Temp: 55
[036] Power: 297.3780, Util: 100 Temp: 55
[037] Power: 283.7950, Util: 100 Temp: 55
[038] Power: 293.9820, Util: 100 Temp: 55
[039] Power: 298.6360, Util: 100 Temp: 55
[040] Power: 291.5570, Util: 100 Temp: 55
[041] Power: 289.1310, Util: 100 Temp: 55
[042] Power: 294.9520, Util: 100 Temp: 55
[043] Power: 299.3190, Util: 100 Temp: 55
[044] Power: 290.1010, Util: 100 Temp: 55
[045] Power: 293.4970, Util: 100 Temp: 55
[046] Power: 297.3780, Util: 100 Temp: 55
[047] Power: 283.0110, Util: 100 Temp: 55
[048] Power: 289.1310, Util: 100 Temp: 55
[049] Power: 293.4970, Util: 100 Temp: 55
[050] Power: 297.3780, Util: 100 Temp: 55
[051] Power: 283.4960, Util: 100 Temp: 55
[052] Power: 284.9530, Util: 100 Temp: 55
[053] Power: 294.7580, Util: 100 Temp: 55
[054] Power: 299.1210, Util: 100 Temp: 55
[055] Power: 289.1310, Util: 100 Temp: 55
[056] Power: 291.5570, Util: 100 Temp: 55
[057] Power: 294.7580, Util: 100 Temp: 55
[058] Power: 299.3190, Util: 100 Temp: 55
[059] Power: 287.6760, Util: 100 Temp: 55
[060] Power: 289.1310, Util: 100 Temp: 55
[061] Power: 290.5860, Util: 100 Temp: 55
[062] Power: 294.9520, Util: 100 Temp: 55
[063] Power: 299.3190, Util: 100 Temp: 55
[064] Power: 286.2200, Util: 100 Temp: 55
[065] Power: 289.6160, Util: 100 Temp: 55
[066] Power: 290.5860, Util: 100 Temp: 55
[067] Power: 295.4380, Util: 100 Temp: 55
[068] Power: 299.6060, Util: 100 Temp: 55
[069] Power: 289.6160, Util: 100 Temp: 55
