Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 293.7880, Util: 100 Temp: 54
[001] Power: 298.3480, Util: 100 Temp: 54
[002] Power: 279.6130, Util: 100 Temp: 54
[003] Power: 283.3100, Util: 100 Temp: 54
[004] Power: 289.6160, Util: 100 Temp: 54
[005] Power: 293.9820, Util: 100 Temp: 54
[006] Power: 298.3480, Util: 100 Temp: 54
[007] Power: 279.1280, Util: 100 Temp: 54
[008] Power: 283.7950, Util: 100 Temp: 54
[009] Power: 289.6160, Util: 100 Temp: 54
[010] Power: 293.9820, Util: 100 Temp: 54
[011] Power: 298.3480, Util: 100 Temp: 54
[012] Power: 280.0980, Util: 100 Temp: 54
[013] Power: 283.9820, Util: 100 Temp: 54
[014] Power: 289.6160, Util: 100 Temp: 54
[015] Power: 293.9820, Util: 100 Temp: 54
[016] Power: 298.3480, Util: 100 Temp: 54
[017] Power: 280.0980, Util: 100 Temp: 54
[018] Power: 283.9820, Util: 100 Temp: 54
[019] Power: 290.1010, Util: 100 Temp: 54
[020] Power: 293.9820, Util: 100 Temp: 54
[021] Power: 298.3480, Util: 100 Temp: 54
[022] Power: 279.6130, Util: 100 Temp: 54
[023] Power: 283.7950, Util: 100 Temp: 54
[024] Power: 289.6160, Util: 100 Temp: 54
[025] Power: 293.9820, Util: 100 Temp: 54
[026] Power: 298.3480, Util: 100 Temp: 54
[027] Power: 279.6130, Util: 100 Temp: 54
[028] Power: 283.9820, Util: 100 Temp: 54
[029] Power: 290.1010, Util: 100 Temp: 54
[030] Power: 293.9820, Util: 100 Temp: 54
[031] Power: 298.6360, Util: 100 Temp: 54
[032] Power: 279.1280, Util: 100 Temp: 54
[033] Power: 283.9820, Util: 100 Temp: 54
[034] Power: 289.6160, Util: 100 Temp: 54
[035] Power: 293.9820, Util: 100 Temp: 54
[036] Power: 298.8330, Util: 100 Temp: 54
[037] Power: 279.6130, Util: 100 Temp: 54
[038] Power: 283.7950, Util: 100 Temp: 54
[039] Power: 289.6160, Util: 100 Temp: 54
[040] Power: 293.9820, Util: 100 Temp: 54
[041] Power: 299.1210, Util: 100 Temp: 54
[042] Power: 279.1280, Util: 100 Temp: 54
[043] Power: 283.9820, Util: 100 Temp: 54
[044] Power: 290.5860, Util: 100 Temp: 54
[045] Power: 294.9520, Util: 100 Temp: 54
[046] Power: 300.0910, Util: 100 Temp: 54
[047] Power: 281.0690, Util: 100 Temp: 54
[048] Power: 286.7050, Util: 100 Temp: 54
[049] Power: 292.0420, Util: 100 Temp: 54
[050] Power: 296.2120, Util: 100 Temp: 54
[051] Power: 300.7740, Util: 100 Temp: 54
[052] Power: 282.5260, Util: 100 Temp: 54
[053] Power: 287.1910, Util: 100 Temp: 54
[054] Power: 293.0120, Util: 100 Temp: 54
[055] Power: 296.8930, Util: 100 Temp: 54
[056] Power: 302.0300, Util: 100 Temp: 54
[057] Power: 283.0110, Util: 100 Temp: 54
[058] Power: 285.7350, Util: 100 Temp: 54
[059] Power: 288.1610, Util: 100 Temp: 54
[060] Power: 293.0120, Util: 100 Temp: 54
[061] Power: 297.3780, Util: 100 Temp: 54
[062] Power: 302.2290, Util: 100 Temp: 54
[063] Power: 283.3100, Util: 100 Temp: 54
