Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 35.2510, Util: 0 Temp: 31
[001] Power: 35.2510, Util: 0 Temp: 31
[002] Power: 35.2510, Util: 0 Temp: 31
[003] Power: 35.2510, Util: 0 Temp: 31
[004] Power: 35.2510, Util: 0 Temp: 31
[005] Power: 35.2510, Util: 0 Temp: 31
[006] Power: 35.2510, Util: 0 Temp: 31
[007] Power: 34.7610, Util: 0 Temp: 31
[008] Power: 35.2510, Util: 0 Temp: 31
[009] Power: 35.2510, Util: 0 Temp: 31
[010] Power: 35.2510, Util: 0 Temp: 31
[011] Power: 35.2510, Util: 0 Temp: 31
[012] Power: 35.2510, Util: 0 Temp: 31
[013] Power: 34.7610, Util: 0 Temp: 31
[014] Power: 35.2510, Util: 0 Temp: 31
[015] Power: 35.2510, Util: 0 Temp: 31
[016] Power: 35.2510, Util: 0 Temp: 31
[017] Power: 35.2510, Util: 0 Temp: 31
[018] Power: 35.2510, Util: 0 Temp: 31
[019] Power: 35.2510, Util: 0 Temp: 31
[020] Power: 35.2510, Util: 0 Temp: 31
[021] Power: 35.2510, Util: 0 Temp: 31
[022] Power: 34.7610, Util: 0 Temp: 31
[023] Power: 35.2510, Util: 0 Temp: 31
[024] Power: 35.2510, Util: 0 Temp: 31
[025] Power: 46.9700, Util: 0 Temp: 31
[026] Power: 150.5940, Util: 23 Temp: 33
[027] Power: 151.0810, Util: 23 Temp: 34
[028] Power: 169.4890, Util: 100 Temp: 34
[029] Power: 177.1660, Util: 100 Temp: 35
[030] Power: 185.9270, Util: 100 Temp: 36
[031] Power: 185.9270, Util: 100 Temp: 36
[032] Power: 185.9270, Util: 100 Temp: 36
[033] Power: 186.4130, Util: 100 Temp: 37
[034] Power: 186.4130, Util: 100 Temp: 37
[035] Power: 186.4130, Util: 100 Temp: 37
[036] Power: 186.4130, Util: 100 Temp: 37
[037] Power: 186.9000, Util: 100 Temp: 38
[038] Power: 186.9000, Util: 100 Temp: 38
[039] Power: 186.9000, Util: 100 Temp: 38
[040] Power: 186.9000, Util: 100 Temp: 38
[041] Power: 186.9000, Util: 100 Temp: 38
[042] Power: 186.9000, Util: 100 Temp: 38
[043] Power: 186.4130, Util: 100 Temp: 39
[044] Power: 186.9000, Util: 100 Temp: 39
[045] Power: 187.3870, Util: 100 Temp: 39
[046] Power: 186.9000, Util: 100 Temp: 39
[047] Power: 186.9000, Util: 100 Temp: 39
[048] Power: 187.3870, Util: 100 Temp: 39
[049] Power: 186.9000, Util: 100 Temp: 39
[050] Power: 187.3870, Util: 100 Temp: 39
[051] Power: 187.3870, Util: 100 Temp: 39
[052] Power: 186.9000, Util: 100 Temp: 40
[053] Power: 187.3870, Util: 100 Temp: 40
[054] Power: 187.3870, Util: 100 Temp: 40
[055] Power: 187.3870, Util: 100 Temp: 40
[056] Power: 187.3870, Util: 100 Temp: 40
[057] Power: 187.3870, Util: 100 Temp: 40
[058] Power: 187.8730, Util: 100 Temp: 40
[059] Power: 187.3870, Util: 100 Temp: 40
[060] Power: 187.8730, Util: 100 Temp: 40
[061] Power: 187.3870, Util: 100 Temp: 40
[062] Power: 187.3870, Util: 100 Temp: 41
[063] Power: 187.8730, Util: 100 Temp: 40
[064] Power: 187.8730, Util: 100 Temp: 41
[065] Power: 187.8730, Util: 100 Temp: 41
[066] Power: 187.8730, Util: 100 Temp: 41
[067] Power: 187.3870, Util: 100 Temp: 41
[068] Power: 187.8730, Util: 100 Temp: 41
[069] Power: 187.8730, Util: 100 Temp: 41
[070] Power: 187.8730, Util: 100 Temp: 41
[071] Power: 187.8730, Util: 100 Temp: 41
[072] Power: 187.8730, Util: 100 Temp: 41
[073] Power: 187.8730, Util: 100 Temp: 41
[074] Power: 187.8730, Util: 100 Temp: 41
[075] Power: 187.8730, Util: 100 Temp: 41
[076] Power: 187.8730, Util: 100 Temp: 41
[077] Power: 187.8730, Util: 100 Temp: 41
[078] Power: 188.2360, Util: 100 Temp: 41
[079] Power: 187.8730, Util: 100 Temp: 41
[080] Power: 187.8730, Util: 100 Temp: 41
[081] Power: 188.3600, Util: 100 Temp: 41
[082] Power: 188.3600, Util: 100 Temp: 41
[083] Power: 187.8730, Util: 100 Temp: 41
[084] Power: 188.3600, Util: 100 Temp: 42
[085] Power: 187.8730, Util: 100 Temp: 42
[086] Power: 188.3600, Util: 100 Temp: 42
[087] Power: 187.8730, Util: 100 Temp: 42
[088] Power: 188.3600, Util: 100 Temp: 42
[089] Power: 187.8730, Util: 100 Temp: 42
[090] Power: 187.8730, Util: 100 Temp: 42
[091] Power: 187.8730, Util: 100 Temp: 42
[092] Power: 188.3600, Util: 100 Temp: 42
[093] Power: 188.3600, Util: 100 Temp: 42
[094] Power: 188.3600, Util: 100 Temp: 42
[095] Power: 188.3600, Util: 100 Temp: 42
[096] Power: 188.3600, Util: 100 Temp: 42
[097] Power: 187.8730, Util: 100 Temp: 42
[098] Power: 188.3600, Util: 100 Temp: 42
[099] Power: 188.3600, Util: 100 Temp: 42
[100] Power: 188.3600, Util: 100 Temp: 42
[101] Power: 188.3600, Util: 100 Temp: 42
[102] Power: 188.3600, Util: 100 Temp: 42
[103] Power: 188.3600, Util: 100 Temp: 42
[104] Power: 188.3600, Util: 100 Temp: 42
[105] Power: 188.3600, Util: 100 Temp: 42
[106] Power: 188.3600, Util: 100 Temp: 42
[107] Power: 188.3600, Util: 100 Temp: 42
[108] Power: 188.3600, Util: 100 Temp: 42
[109] Power: 188.3600, Util: 100 Temp: 42
[110] Power: 188.3600, Util: 100 Temp: 42
[111] Power: 188.3600, Util: 100 Temp: 42
[112] Power: 188.2360, Util: 100 Temp: 42
[113] Power: 188.3600, Util: 100 Temp: 42
[114] Power: 188.3600, Util: 100 Temp: 42
[115] Power: 188.3600, Util: 100 Temp: 42
[116] Power: 188.3600, Util: 100 Temp: 42
[117] Power: 188.3600, Util: 100 Temp: 42
[118] Power: 188.3600, Util: 100 Temp: 42
[119] Power: 188.3600, Util: 100 Temp: 42
[120] Power: 188.3600, Util: 100 Temp: 42
[121] Power: 188.3600, Util: 100 Temp: 42
[122] Power: 188.8470, Util: 100 Temp: 43
[123] Power: 188.3600, Util: 100 Temp: 43
[124] Power: 188.3600, Util: 100 Temp: 43
[125] Power: 188.3600, Util: 100 Temp: 43
[126] Power: 188.3600, Util: 100 Temp: 43
[127] Power: 188.3600, Util: 100 Temp: 43
[128] Power: 188.3600, Util: 100 Temp: 43
[129] Power: 188.3600, Util: 100 Temp: 43
[130] Power: 188.8470, Util: 100 Temp: 43
[131] Power: 188.8470, Util: 100 Temp: 43
[132] Power: 188.7230, Util: 100 Temp: 43
[133] Power: 188.3600, Util: 100 Temp: 43
[134] Power: 188.3600, Util: 100 Temp: 43
[135] Power: 188.8470, Util: 100 Temp: 43
[136] Power: 188.8470, Util: 100 Temp: 43
[137] Power: 188.8470, Util: 100 Temp: 43
[138] Power: 188.8470, Util: 100 Temp: 43
[139] Power: 188.3600, Util: 100 Temp: 43
[140] Power: 188.8470, Util: 100 Temp: 43
[141] Power: 188.8470, Util: 100 Temp: 43
[142] Power: 188.3600, Util: 100 Temp: 43
[143] Power: 188.8470, Util: 100 Temp: 43
[144] Power: 188.7230, Util: 100 Temp: 43
[145] Power: 188.3600, Util: 100 Temp: 43
[146] Power: 188.8470, Util: 100 Temp: 43
[147] Power: 188.3600, Util: 100 Temp: 43
[148] Power: 188.8470, Util: 100 Temp: 43
[149] Power: 188.8470, Util: 100 Temp: 43
[150] Power: 188.8470, Util: 100 Temp: 43
[151] Power: 188.8470, Util: 100 Temp: 43
[152] Power: 188.3600, Util: 100 Temp: 43
[153] Power: 188.8470, Util: 100 Temp: 43
[154] Power: 188.8470, Util: 100 Temp: 43
[155] Power: 188.8470, Util: 100 Temp: 43
[156] Power: 188.3600, Util: 100 Temp: 43
[157] Power: 188.8470, Util: 100 Temp: 43
[158] Power: 188.8470, Util: 100 Temp: 43
[159] Power: 188.8470, Util: 100 Temp: 43
[160] Power: 188.8470, Util: 100 Temp: 43
[161] Power: 188.8470, Util: 100 Temp: 43
[162] Power: 188.8470, Util: 100 Temp: 43
[163] Power: 188.3600, Util: 100 Temp: 43
[164] Power: 185.4400, Util: 100 Temp: 43
[165] Power: 188.8470, Util: 100 Temp: 43
[166] Power: 188.8470, Util: 100 Temp: 43
[167] Power: 188.8470, Util: 100 Temp: 43
[168] Power: 188.8470, Util: 100 Temp: 43
[169] Power: 188.8470, Util: 100 Temp: 43
[170] Power: 188.8470, Util: 100 Temp: 43
[171] Power: 188.8470, Util: 100 Temp: 43
[172] Power: 188.8470, Util: 100 Temp: 43
[173] Power: 189.3340, Util: 100 Temp: 43
[174] Power: 188.8470, Util: 100 Temp: 43
[175] Power: 188.8470, Util: 100 Temp: 43
[176] Power: 188.3600, Util: 100 Temp: 43
[177] Power: 188.8470, Util: 100 Temp: 43
[178] Power: 188.8470, Util: 100 Temp: 43
[179] Power: 188.8470, Util: 100 Temp: 43
[180] Power: 188.8470, Util: 100 Temp: 43
[181] Power: 188.8470, Util: 100 Temp: 43
[182] Power: 188.8470, Util: 100 Temp: 43
[183] Power: 188.8470, Util: 100 Temp: 43
[184] Power: 188.8470, Util: 100 Temp: 43
[185] Power: 188.8470, Util: 100 Temp: 43
[186] Power: 188.8470, Util: 100 Temp: 43
[187] Power: 188.8470, Util: 100 Temp: 43
[188] Power: 188.8470, Util: 100 Temp: 43
[189] Power: 188.8470, Util: 100 Temp: 43
[190] Power: 188.8470, Util: 100 Temp: 43
[191] Power: 188.8470, Util: 100 Temp: 43
[192] Power: 188.8470, Util: 100 Temp: 43
[193] Power: 188.8470, Util: 100 Temp: 43
[194] Power: 189.3340, Util: 100 Temp: 43
[195] Power: 188.8470, Util: 100 Temp: 43
[196] Power: 188.8470, Util: 100 Temp: 43
[197] Power: 188.8470, Util: 100 Temp: 43
[198] Power: 189.3340, Util: 100 Temp: 43
[199] Power: 188.8470, Util: 100 Temp: 43
[200] Power: 188.8470, Util: 100 Temp: 43
[201] Power: 188.7230, Util: 100 Temp: 43
[202] Power: 188.8470, Util: 100 Temp: 43
[203] Power: 188.8470, Util: 100 Temp: 44
[204] Power: 189.3340, Util: 100 Temp: 44
[205] Power: 188.8470, Util: 100 Temp: 44
[206] Power: 188.8470, Util: 100 Temp: 44
[207] Power: 188.8470, Util: 100 Temp: 43
[208] Power: 188.8470, Util: 100 Temp: 44
[209] Power: 188.8470, Util: 100 Temp: 44
[210] Power: 188.8470, Util: 100 Temp: 44
[211] Power: 188.8470, Util: 100 Temp: 43
[212] Power: 188.8470, Util: 100 Temp: 43
[213] Power: 188.8470, Util: 100 Temp: 44
[214] Power: 188.8470, Util: 100 Temp: 44
[215] Power: 188.8470, Util: 100 Temp: 44
[216] Power: 188.8470, Util: 100 Temp: 44
[217] Power: 188.8470, Util: 100 Temp: 44
[218] Power: 188.8470, Util: 100 Temp: 44
[219] Power: 189.3340, Util: 100 Temp: 44
[220] Power: 188.8470, Util: 100 Temp: 44
[221] Power: 188.8470, Util: 100 Temp: 44
[222] Power: 188.8470, Util: 100 Temp: 44
[223] Power: 188.8470, Util: 100 Temp: 44
[224] Power: 188.7230, Util: 100 Temp: 44
[225] Power: 189.3340, Util: 100 Temp: 44
[226] Power: 189.3340, Util: 100 Temp: 44
[227] Power: 188.8470, Util: 100 Temp: 44
[228] Power: 188.8470, Util: 100 Temp: 44
[229] Power: 188.8470, Util: 100 Temp: 44
