Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 35.2510, Util: 0 Temp: 33
[001] Power: 35.2510, Util: 0 Temp: 33
[002] Power: 35.2510, Util: 0 Temp: 33
[003] Power: 51.8630, Util: 0 Temp: 33
[004] Power: 52.3520, Util: 5 Temp: 33
[005] Power: 52.8420, Util: 0 Temp: 33
[006] Power: 186.4130, Util: 0 Temp: 36
[007] Power: 224.5680, Util: 94 Temp: 37
[008] Power: 227.4850, Util: 94 Temp: 38
[009] Power: 263.5930, Util: 100 Temp: 39
[010] Power: 264.5640, Util: 100 Temp: 40
[011] Power: 264.5640, Util: 100 Temp: 41
[012] Power: 264.8750, Util: 100 Temp: 41
[013] Power: 265.5350, Util: 100 Temp: 42
[014] Power: 265.5350, Util: 100 Temp: 42
[015] Power: 265.5350, Util: 100 Temp: 43
[016] Power: 265.8450, Util: 100 Temp: 43
[017] Power: 266.0210, Util: 100 Temp: 43
[018] Power: 266.0210, Util: 100 Temp: 44
[019] Power: 265.8450, Util: 100 Temp: 44
[020] Power: 265.8450, Util: 100 Temp: 44
[021] Power: 266.3300, Util: 100 Temp: 45
[022] Power: 266.3300, Util: 100 Temp: 45
[023] Power: 266.3300, Util: 100 Temp: 45
[024] Power: 266.3300, Util: 100 Temp: 45
[025] Power: 266.8160, Util: 100 Temp: 45
[026] Power: 266.3300, Util: 100 Temp: 46
[027] Power: 266.9920, Util: 100 Temp: 46
[028] Power: 267.4770, Util: 100 Temp: 46
[029] Power: 266.8160, Util: 100 Temp: 46
[030] Power: 267.4770, Util: 100 Temp: 46
[031] Power: 267.3010, Util: 100 Temp: 46
[032] Power: 267.3010, Util: 100 Temp: 46
[033] Power: 267.7860, Util: 100 Temp: 47
[034] Power: 267.3010, Util: 100 Temp: 47
[035] Power: 267.9620, Util: 100 Temp: 47
[036] Power: 267.3010, Util: 100 Temp: 47
[037] Power: 267.7860, Util: 100 Temp: 47
[038] Power: 267.7860, Util: 100 Temp: 47
[039] Power: 267.7860, Util: 100 Temp: 47
[040] Power: 270.6960, Util: 100 Temp: 47
[041] Power: 272.1520, Util: 100 Temp: 48
[042] Power: 272.1520, Util: 100 Temp: 48
[043] Power: 272.1520, Util: 100 Temp: 48
[044] Power: 272.1520, Util: 100 Temp: 48
[045] Power: 272.1520, Util: 100 Temp: 48
[046] Power: 272.1520, Util: 100 Temp: 48
[047] Power: 272.1520, Util: 100 Temp: 48
[048] Power: 272.6370, Util: 100 Temp: 48
[049] Power: 272.6370, Util: 100 Temp: 48
[050] Power: 272.1520, Util: 100 Temp: 49
[051] Power: 272.6370, Util: 100 Temp: 49
[052] Power: 272.6370, Util: 100 Temp: 49
[053] Power: 273.1220, Util: 100 Temp: 49
[054] Power: 272.6370, Util: 100 Temp: 49
[055] Power: 272.6370, Util: 100 Temp: 49
[056] Power: 272.6370, Util: 100 Temp: 49
[057] Power: 272.6370, Util: 100 Temp: 49
[058] Power: 272.6370, Util: 100 Temp: 49
[059] Power: 272.6370, Util: 100 Temp: 49
[060] Power: 272.6370, Util: 100 Temp: 49
[061] Power: 273.1220, Util: 100 Temp: 49
[062] Power: 273.1220, Util: 100 Temp: 49
[063] Power: 273.1220, Util: 100 Temp: 50
[064] Power: 273.1220, Util: 100 Temp: 50
[065] Power: 273.6070, Util: 100 Temp: 50
[066] Power: 273.1220, Util: 100 Temp: 50
[067] Power: 273.1220, Util: 100 Temp: 50
[068] Power: 273.1220, Util: 100 Temp: 50
[069] Power: 273.1220, Util: 100 Temp: 50
[070] Power: 273.6070, Util: 100 Temp: 50
[071] Power: 273.6070, Util: 100 Temp: 50
[072] Power: 273.1220, Util: 100 Temp: 50
[073] Power: 273.6070, Util: 100 Temp: 50
[074] Power: 272.6370, Util: 100 Temp: 50
[075] Power: 273.6070, Util: 100 Temp: 50
[076] Power: 273.6070, Util: 100 Temp: 50
[077] Power: 273.6070, Util: 100 Temp: 50
[078] Power: 273.6070, Util: 100 Temp: 50
[079] Power: 274.0920, Util: 100 Temp: 50
[080] Power: 273.6070, Util: 100 Temp: 50
[081] Power: 274.0920, Util: 100 Temp: 50
[082] Power: 273.6070, Util: 100 Temp: 50
[083] Power: 274.0920, Util: 100 Temp: 50
[084] Power: 274.0920, Util: 100 Temp: 51
[085] Power: 274.0920, Util: 100 Temp: 51
[086] Power: 274.0920, Util: 100 Temp: 51
[087] Power: 274.0920, Util: 100 Temp: 51
[088] Power: 274.0920, Util: 100 Temp: 51
[089] Power: 274.0920, Util: 100 Temp: 51
[090] Power: 274.0920, Util: 100 Temp: 51
[091] Power: 274.0920, Util: 100 Temp: 51
[092] Power: 274.0920, Util: 100 Temp: 51
[093] Power: 274.0920, Util: 100 Temp: 51
[094] Power: 274.0920, Util: 100 Temp: 51
[095] Power: 274.0920, Util: 100 Temp: 51
[096] Power: 274.0920, Util: 100 Temp: 51
[097] Power: 274.0920, Util: 100 Temp: 51
[098] Power: 274.0920, Util: 100 Temp: 51
[099] Power: 274.0920, Util: 100 Temp: 51
[100] Power: 274.0920, Util: 100 Temp: 51
[101] Power: 274.0920, Util: 100 Temp: 51
[102] Power: 274.0920, Util: 100 Temp: 51
[103] Power: 274.5770, Util: 100 Temp: 51
[104] Power: 274.0920, Util: 100 Temp: 51
[105] Power: 274.0920, Util: 100 Temp: 51
[106] Power: 274.5770, Util: 100 Temp: 51
[107] Power: 274.0920, Util: 100 Temp: 51
[108] Power: 274.0920, Util: 100 Temp: 51
[109] Power: 274.0920, Util: 100 Temp: 51
[110] Power: 274.5770, Util: 100 Temp: 51
[111] Power: 274.5770, Util: 100 Temp: 51
[112] Power: 274.5770, Util: 100 Temp: 51
[113] Power: 274.0920, Util: 100 Temp: 51
[114] Power: 274.5770, Util: 100 Temp: 51
[115] Power: 274.5770, Util: 100 Temp: 51
[116] Power: 274.5770, Util: 100 Temp: 51
[117] Power: 274.5770, Util: 100 Temp: 51
[118] Power: 274.5770, Util: 100 Temp: 51
[119] Power: 274.5770, Util: 100 Temp: 51
[120] Power: 274.5770, Util: 100 Temp: 51
[121] Power: 274.5770, Util: 100 Temp: 51
[122] Power: 274.5770, Util: 100 Temp: 52
[123] Power: 274.5770, Util: 100 Temp: 51
[124] Power: 274.5770, Util: 100 Temp: 52
[125] Power: 274.5770, Util: 100 Temp: 52
[126] Power: 274.5770, Util: 100 Temp: 52
[127] Power: 274.5770, Util: 100 Temp: 52
[128] Power: 274.5770, Util: 100 Temp: 52
[129] Power: 274.5770, Util: 100 Temp: 52
[130] Power: 274.5770, Util: 100 Temp: 52
[131] Power: 274.5770, Util: 100 Temp: 52
[132] Power: 274.5770, Util: 100 Temp: 52
[133] Power: 274.5770, Util: 100 Temp: 52
[134] Power: 274.5770, Util: 100 Temp: 52
[135] Power: 274.0920, Util: 100 Temp: 52
[136] Power: 274.5770, Util: 100 Temp: 52
[137] Power: 274.0920, Util: 100 Temp: 52
[138] Power: 274.5770, Util: 100 Temp: 52
[139] Power: 274.5770, Util: 100 Temp: 52
[140] Power: 274.5770, Util: 100 Temp: 52
[141] Power: 274.5770, Util: 100 Temp: 52
[142] Power: 274.5770, Util: 100 Temp: 52
[143] Power: 274.5770, Util: 100 Temp: 52
[144] Power: 274.5770, Util: 100 Temp: 52
[145] Power: 274.0920, Util: 100 Temp: 52
[146] Power: 274.5770, Util: 100 Temp: 52
[147] Power: 274.5770, Util: 100 Temp: 52
[148] Power: 274.5770, Util: 100 Temp: 52
[149] Power: 274.5770, Util: 100 Temp: 52
[150] Power: 274.5770, Util: 100 Temp: 52
[151] Power: 275.0630, Util: 100 Temp: 52
[152] Power: 275.0630, Util: 100 Temp: 52
[153] Power: 275.0630, Util: 100 Temp: 52
[154] Power: 275.0630, Util: 100 Temp: 52
[155] Power: 275.0630, Util: 100 Temp: 52
[156] Power: 275.0630, Util: 100 Temp: 52
[157] Power: 275.0630, Util: 100 Temp: 52
[158] Power: 275.0630, Util: 100 Temp: 52
[159] Power: 275.0630, Util: 100 Temp: 52
[160] Power: 274.5770, Util: 100 Temp: 52
[161] Power: 275.0630, Util: 100 Temp: 52
[162] Power: 274.5770, Util: 100 Temp: 52
[163] Power: 275.0630, Util: 100 Temp: 52
[164] Power: 274.5770, Util: 100 Temp: 52
[165] Power: 274.5770, Util: 100 Temp: 52
[166] Power: 274.5770, Util: 100 Temp: 52
[167] Power: 274.5770, Util: 100 Temp: 52
[168] Power: 274.5770, Util: 100 Temp: 52
[169] Power: 275.0630, Util: 100 Temp: 52
[170] Power: 274.5770, Util: 100 Temp: 52
[171] Power: 274.5770, Util: 100 Temp: 52
[172] Power: 274.5770, Util: 100 Temp: 52
[173] Power: 275.0630, Util: 100 Temp: 52
[174] Power: 275.0630, Util: 100 Temp: 52
[175] Power: 275.0630, Util: 100 Temp: 52
[176] Power: 275.0630, Util: 100 Temp: 52
[177] Power: 275.0630, Util: 100 Temp: 52
[178] Power: 275.0630, Util: 100 Temp: 52
[179] Power: 275.0630, Util: 100 Temp: 52
[180] Power: 275.0630, Util: 100 Temp: 52
[181] Power: 275.0630, Util: 100 Temp: 52
[182] Power: 275.0630, Util: 100 Temp: 52
[183] Power: 275.0630, Util: 100 Temp: 52
[184] Power: 275.0630, Util: 100 Temp: 52
[185] Power: 275.0630, Util: 100 Temp: 52
[186] Power: 275.0630, Util: 100 Temp: 52
[187] Power: 275.0630, Util: 100 Temp: 52
[188] Power: 275.0630, Util: 100 Temp: 52
[189] Power: 275.0630, Util: 100 Temp: 52
[190] Power: 275.0630, Util: 100 Temp: 52
[191] Power: 275.0630, Util: 100 Temp: 52
[192] Power: 275.0630, Util: 100 Temp: 52
[193] Power: 275.0630, Util: 100 Temp: 52
[194] Power: 275.0630, Util: 100 Temp: 52
[195] Power: 275.0630, Util: 100 Temp: 52
[196] Power: 274.5770, Util: 100 Temp: 52
[197] Power: 274.5770, Util: 100 Temp: 52
[198] Power: 274.5770, Util: 100 Temp: 52
[199] Power: 274.5770, Util: 100 Temp: 52
[200] Power: 275.0630, Util: 100 Temp: 52
[201] Power: 274.5770, Util: 100 Temp: 52
[202] Power: 275.0630, Util: 100 Temp: 52
[203] Power: 275.0630, Util: 100 Temp: 52
[204] Power: 274.5770, Util: 100 Temp: 52
[205] Power: 275.0630, Util: 100 Temp: 53
[206] Power: 275.0630, Util: 100 Temp: 53
[207] Power: 275.0630, Util: 100 Temp: 53
[208] Power: 275.0630, Util: 100 Temp: 53
[209] Power: 274.5770, Util: 100 Temp: 53
[210] Power: 275.0630, Util: 100 Temp: 53
[211] Power: 275.0630, Util: 100 Temp: 53
[212] Power: 275.0630, Util: 100 Temp: 53
[213] Power: 274.5770, Util: 100 Temp: 53
[214] Power: 275.0630, Util: 100 Temp: 53
[215] Power: 275.5480, Util: 100 Temp: 53
[216] Power: 275.0630, Util: 100 Temp: 53
[217] Power: 274.5770, Util: 100 Temp: 53
[218] Power: 275.0630, Util: 100 Temp: 53
[219] Power: 275.0630, Util: 100 Temp: 53
[220] Power: 275.0630, Util: 100 Temp: 53
[221] Power: 274.5770, Util: 100 Temp: 53
[222] Power: 275.0630, Util: 100 Temp: 53
[223] Power: 275.0630, Util: 100 Temp: 53
[224] Power: 274.5770, Util: 100 Temp: 53
[225] Power: 275.0630, Util: 100 Temp: 53
[226] Power: 275.0630, Util: 100 Temp: 53
[227] Power: 275.0630, Util: 100 Temp: 53
[228] Power: 275.0630, Util: 100 Temp: 53
[229] Power: 275.0630, Util: 100 Temp: 53
[230] Power: 275.0630, Util: 100 Temp: 53
[231] Power: 275.0630, Util: 100 Temp: 53
[232] Power: 275.0630, Util: 100 Temp: 53
[233] Power: 275.0630, Util: 100 Temp: 53
[234] Power: 275.0630, Util: 100 Temp: 53
[235] Power: 275.0630, Util: 100 Temp: 53
[236] Power: 275.0630, Util: 100 Temp: 53
[237] Power: 275.5480, Util: 100 Temp: 53
[238] Power: 275.0630, Util: 100 Temp: 53
[239] Power: 275.0630, Util: 100 Temp: 53
[240] Power: 275.0630, Util: 100 Temp: 53
[241] Power: 275.0630, Util: 100 Temp: 53
[242] Power: 275.0630, Util: 100 Temp: 53
[243] Power: 275.5480, Util: 100 Temp: 53
[244] Power: 275.0630, Util: 100 Temp: 53
[245] Power: 275.5480, Util: 100 Temp: 53
[246] Power: 275.0630, Util: 100 Temp: 53
[247] Power: 275.5480, Util: 100 Temp: 53
[248] Power: 275.0630, Util: 100 Temp: 53
[249] Power: 275.0630, Util: 100 Temp: 53
[250] Power: 275.5480, Util: 100 Temp: 53
[251] Power: 275.0630, Util: 100 Temp: 53
[252] Power: 275.5480, Util: 100 Temp: 53
[253] Power: 275.0630, Util: 100 Temp: 53
[254] Power: 275.0630, Util: 100 Temp: 53
[255] Power: 275.5480, Util: 100 Temp: 53
[256] Power: 275.0630, Util: 100 Temp: 53
[257] Power: 275.5480, Util: 100 Temp: 53
[258] Power: 275.0630, Util: 100 Temp: 53
[259] Power: 275.5480, Util: 100 Temp: 53
[260] Power: 275.5480, Util: 100 Temp: 53
[261] Power: 275.0630, Util: 100 Temp: 53
[262] Power: 275.0630, Util: 100 Temp: 53
[263] Power: 275.5480, Util: 100 Temp: 53
[264] Power: 275.0630, Util: 100 Temp: 53
[265] Power: 275.5480, Util: 100 Temp: 53
[266] Power: 275.0630, Util: 100 Temp: 53
[267] Power: 275.0630, Util: 100 Temp: 53
[268] Power: 275.5480, Util: 100 Temp: 53
[269] Power: 275.0630, Util: 100 Temp: 53
[270] Power: 275.5480, Util: 100 Temp: 53
[271] Power: 275.0630, Util: 100 Temp: 53
[272] Power: 275.0630, Util: 100 Temp: 53
