Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 276.0330, Util: 100 Temp: 53
[001] Power: 275.5480, Util: 100 Temp: 53
[002] Power: 276.0330, Util: 100 Temp: 53
[003] Power: 275.5480, Util: 100 Temp: 53
[004] Power: 275.5480, Util: 100 Temp: 53
[005] Power: 276.0330, Util: 100 Temp: 53
[006] Power: 275.5480, Util: 100 Temp: 53
[007] Power: 276.0330, Util: 100 Temp: 53
[008] Power: 275.5480, Util: 100 Temp: 53
[009] Power: 276.0330, Util: 100 Temp: 53
[010] Power: 275.5480, Util: 100 Temp: 53
[011] Power: 276.0330, Util: 100 Temp: 53
[012] Power: 276.0330, Util: 100 Temp: 53
[013] Power: 275.5480, Util: 100 Temp: 53
[014] Power: 276.0330, Util: 100 Temp: 53
[015] Power: 276.0330, Util: 100 Temp: 53
[016] Power: 276.0330, Util: 100 Temp: 53
[017] Power: 275.5480, Util: 100 Temp: 53
[018] Power: 276.0330, Util: 100 Temp: 53
[019] Power: 276.0330, Util: 100 Temp: 53
[020] Power: 276.0330, Util: 100 Temp: 53
[021] Power: 275.5480, Util: 100 Temp: 53
[022] Power: 276.0330, Util: 100 Temp: 53
[023] Power: 276.0330, Util: 100 Temp: 53
[024] Power: 276.0330, Util: 100 Temp: 53
[025] Power: 276.0330, Util: 100 Temp: 53
[026] Power: 275.5480, Util: 100 Temp: 53
[027] Power: 276.0330, Util: 100 Temp: 53
[028] Power: 275.5480, Util: 100 Temp: 53
[029] Power: 276.0330, Util: 100 Temp: 53
[030] Power: 276.0330, Util: 100 Temp: 53
[031] Power: 276.0330, Util: 100 Temp: 54
[032] Power: 276.0330, Util: 100 Temp: 53
[033] Power: 275.5480, Util: 100 Temp: 53
[034] Power: 276.0330, Util: 100 Temp: 53
[035] Power: 275.5480, Util: 100 Temp: 53
[036] Power: 276.0330, Util: 100 Temp: 53
[037] Power: 276.0330, Util: 100 Temp: 53
[038] Power: 276.0330, Util: 100 Temp: 53
[039] Power: 276.0330, Util: 100 Temp: 53
[040] Power: 276.0330, Util: 100 Temp: 53
[041] Power: 276.0330, Util: 100 Temp: 54
[042] Power: 276.0330, Util: 100 Temp: 53
[043] Power: 276.0330, Util: 100 Temp: 53
[044] Power: 276.0330, Util: 100 Temp: 53
[045] Power: 276.0330, Util: 100 Temp: 54
[046] Power: 276.0330, Util: 100 Temp: 53
[047] Power: 276.0330, Util: 100 Temp: 54
[048] Power: 276.0330, Util: 100 Temp: 54
[049] Power: 276.0330, Util: 100 Temp: 53
[050] Power: 276.0330, Util: 100 Temp: 54
[051] Power: 276.5180, Util: 100 Temp: 54
[052] Power: 276.0330, Util: 100 Temp: 54
[053] Power: 276.0330, Util: 100 Temp: 54
[054] Power: 276.0330, Util: 100 Temp: 54
[055] Power: 276.5180, Util: 100 Temp: 54
[056] Power: 276.0330, Util: 100 Temp: 54
[057] Power: 276.0330, Util: 100 Temp: 54
[058] Power: 276.0330, Util: 100 Temp: 54
[059] Power: 276.0330, Util: 100 Temp: 54
[060] Power: 276.0330, Util: 100 Temp: 54
[061] Power: 276.0330, Util: 100 Temp: 54
[062] Power: 276.5180, Util: 100 Temp: 54
[063] Power: 276.0330, Util: 100 Temp: 54
[064] Power: 276.5180, Util: 100 Temp: 54
[065] Power: 276.0330, Util: 100 Temp: 54
[066] Power: 276.0330, Util: 100 Temp: 54
[067] Power: 276.0330, Util: 100 Temp: 54
[068] Power: 276.0330, Util: 100 Temp: 54
[069] Power: 276.0330, Util: 100 Temp: 54
[070] Power: 276.0330, Util: 100 Temp: 54
[071] Power: 276.0330, Util: 100 Temp: 54
[072] Power: 276.0330, Util: 100 Temp: 54
[073] Power: 276.5180, Util: 100 Temp: 54
[074] Power: 276.0330, Util: 100 Temp: 54
[075] Power: 276.0330, Util: 100 Temp: 54
[076] Power: 276.0330, Util: 100 Temp: 54
[077] Power: 276.0330, Util: 100 Temp: 54
[078] Power: 276.0330, Util: 100 Temp: 54
[079] Power: 276.0330, Util: 100 Temp: 54
[080] Power: 276.0330, Util: 100 Temp: 54
[081] Power: 276.0330, Util: 100 Temp: 54
