Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 35.7400, Util: 0 Temp: 31
[001] Power: 83.5570, Util: 0 Temp: 31
[002] Power: 167.6510, Util: 22 Temp: 34
[003] Power: 187.9970, Util: 100 Temp: 35
[004] Power: 208.3160, Util: 100 Temp: 36
[005] Power: 235.5930, Util: 100 Temp: 37
[006] Power: 239.7950, Util: 100 Temp: 38
[007] Power: 238.6650, Util: 100 Temp: 38
[008] Power: 236.5650, Util: 100 Temp: 39
[009] Power: 238.5080, Util: 100 Temp: 39
[010] Power: 240.1230, Util: 100 Temp: 40
[011] Power: 241.0950, Util: 100 Temp: 40
[012] Power: 239.6370, Util: 100 Temp: 41
[013] Power: 242.0670, Util: 100 Temp: 41
[014] Power: 240.1230, Util: 100 Temp: 41
[015] Power: 239.4790, Util: 100 Temp: 42
[016] Power: 238.5080, Util: 100 Temp: 42
[017] Power: 241.0950, Util: 100 Temp: 42
[018] Power: 238.9930, Util: 100 Temp: 42
[019] Power: 241.5810, Util: 100 Temp: 42
[020] Power: 241.5810, Util: 100 Temp: 43
[021] Power: 238.5080, Util: 100 Temp: 43
[022] Power: 239.9650, Util: 100 Temp: 43
[023] Power: 241.4220, Util: 100 Temp: 43
[024] Power: 243.5260, Util: 100 Temp: 43
[025] Power: 241.0950, Util: 100 Temp: 43
[026] Power: 238.9930, Util: 100 Temp: 44
[027] Power: 242.5530, Util: 100 Temp: 44
[028] Power: 241.5810, Util: 100 Temp: 44
[029] Power: 241.9080, Util: 100 Temp: 44
[030] Power: 242.0670, Util: 100 Temp: 44
[031] Power: 245.6320, Util: 100 Temp: 44
[032] Power: 241.9080, Util: 100 Temp: 44
[033] Power: 244.6590, Util: 100 Temp: 45
[034] Power: 242.5530, Util: 100 Temp: 45
[035] Power: 239.9650, Util: 100 Temp: 45
[036] Power: 240.4510, Util: 100 Temp: 45
[037] Power: 239.9650, Util: 100 Temp: 45
[038] Power: 241.4220, Util: 100 Temp: 45
[039] Power: 244.4980, Util: 100 Temp: 45
[040] Power: 240.4510, Util: 100 Temp: 45
[041] Power: 241.9080, Util: 100 Temp: 45
[042] Power: 242.5530, Util: 100 Temp: 45
[043] Power: 244.6590, Util: 100 Temp: 46
[044] Power: 240.7780, Util: 100 Temp: 46
[045] Power: 241.4220, Util: 100 Temp: 46
[046] Power: 244.6590, Util: 100 Temp: 46
[047] Power: 244.4980, Util: 100 Temp: 46
[048] Power: 240.4510, Util: 100 Temp: 46
[049] Power: 244.1720, Util: 100 Temp: 46
[050] Power: 243.5260, Util: 100 Temp: 46
[051] Power: 244.9840, Util: 100 Temp: 46
[052] Power: 242.0670, Util: 100 Temp: 46
[053] Power: 242.5530, Util: 100 Temp: 46
[054] Power: 243.0400, Util: 100 Temp: 46
[055] Power: 244.0120, Util: 100 Temp: 46
[056] Power: 240.4510, Util: 100 Temp: 46
[057] Power: 244.9840, Util: 100 Temp: 46
[058] Power: 242.8800, Util: 100 Temp: 46
[059] Power: 241.9080, Util: 100 Temp: 47
[060] Power: 244.0120, Util: 100 Temp: 47
[061] Power: 243.3650, Util: 100 Temp: 47
[062] Power: 243.5260, Util: 100 Temp: 47
[063] Power: 244.9840, Util: 100 Temp: 47
[064] Power: 240.4510, Util: 100 Temp: 47
[065] Power: 243.5260, Util: 100 Temp: 47
[066] Power: 242.5530, Util: 100 Temp: 47
[067] Power: 246.1180, Util: 100 Temp: 47
[068] Power: 241.7490, Util: 100 Temp: 47
[069] Power: 240.4510, Util: 100 Temp: 47
[070] Power: 240.4510, Util: 100 Temp: 47
[071] Power: 240.4510, Util: 100 Temp: 47
[072] Power: 239.8070, Util: 100 Temp: 47
[073] Power: 244.0120, Util: 100 Temp: 47
[074] Power: 245.9560, Util: 100 Temp: 47
[075] Power: 243.8510, Util: 100 Temp: 47
[076] Power: 244.4980, Util: 100 Temp: 47
[077] Power: 242.3940, Util: 100 Temp: 47
[078] Power: 244.4980, Util: 100 Temp: 48
[079] Power: 242.3940, Util: 100 Temp: 48
[080] Power: 246.4420, Util: 100 Temp: 48
[081] Power: 244.8230, Util: 100 Temp: 48
[082] Power: 244.4980, Util: 100 Temp: 48
[083] Power: 242.2340, Util: 100 Temp: 48
[084] Power: 241.4220, Util: 100 Temp: 48
[085] Power: 242.8800, Util: 100 Temp: 48
[086] Power: 244.0120, Util: 100 Temp: 48
[087] Power: 244.9840, Util: 100 Temp: 48
[088] Power: 244.9840, Util: 100 Temp: 48
[089] Power: 241.4220, Util: 100 Temp: 48
[090] Power: 244.9840, Util: 100 Temp: 48
[091] Power: 244.0120, Util: 100 Temp: 48
[092] Power: 246.1180, Util: 100 Temp: 48
[093] Power: 244.9840, Util: 100 Temp: 48
[094] Power: 240.2920, Util: 100 Temp: 48
[095] Power: 245.4700, Util: 100 Temp: 48
[096] Power: 241.4220, Util: 100 Temp: 48
[097] Power: 245.1450, Util: 100 Temp: 48
[098] Power: 244.4980, Util: 100 Temp: 48
[099] Power: 241.7490, Util: 100 Temp: 48
[100] Power: 244.9840, Util: 100 Temp: 48
[101] Power: 242.5530, Util: 100 Temp: 48
[102] Power: 243.3650, Util: 100 Temp: 48
[103] Power: 241.2630, Util: 100 Temp: 48
[104] Power: 246.4420, Util: 100 Temp: 48
[105] Power: 243.3650, Util: 100 Temp: 48
[106] Power: 240.7780, Util: 100 Temp: 48
[107] Power: 242.3940, Util: 100 Temp: 49
[108] Power: 243.8510, Util: 100 Temp: 48
[109] Power: 241.9080, Util: 100 Temp: 48
[110] Power: 242.3940, Util: 100 Temp: 48
[111] Power: 242.3940, Util: 100 Temp: 49
[112] Power: 243.5260, Util: 100 Temp: 48
[113] Power: 244.8230, Util: 100 Temp: 49
[114] Power: 244.8230, Util: 100 Temp: 49
[115] Power: 241.4220, Util: 100 Temp: 49
[116] Power: 244.4980, Util: 100 Temp: 49
[117] Power: 244.4980, Util: 100 Temp: 49
[118] Power: 242.8800, Util: 100 Temp: 49
[119] Power: 244.9840, Util: 100 Temp: 49
[120] Power: 245.9560, Util: 100 Temp: 49
[121] Power: 245.4700, Util: 100 Temp: 49
[122] Power: 243.3650, Util: 100 Temp: 49
[123] Power: 245.9560, Util: 100 Temp: 49
[124] Power: 245.9560, Util: 100 Temp: 49
[125] Power: 244.3370, Util: 100 Temp: 49
[126] Power: 244.0120, Util: 100 Temp: 49
[127] Power: 245.9560, Util: 100 Temp: 49
[128] Power: 245.9560, Util: 100 Temp: 49
[129] Power: 244.0120, Util: 100 Temp: 49
[130] Power: 242.8800, Util: 100 Temp: 49
[131] Power: 244.0120, Util: 100 Temp: 49
[132] Power: 243.3650, Util: 100 Temp: 49
[133] Power: 244.9840, Util: 100 Temp: 49
[134] Power: 243.5260, Util: 100 Temp: 49
[135] Power: 243.3650, Util: 100 Temp: 49
[136] Power: 243.8510, Util: 100 Temp: 49
[137] Power: 243.3650, Util: 100 Temp: 49
[138] Power: 244.3370, Util: 100 Temp: 49
[139] Power: 244.9840, Util: 100 Temp: 49
[140] Power: 242.3940, Util: 100 Temp: 49
[141] Power: 243.3650, Util: 100 Temp: 49
[142] Power: 244.0120, Util: 100 Temp: 49
[143] Power: 241.4220, Util: 100 Temp: 49
[144] Power: 245.9560, Util: 100 Temp: 49
[145] Power: 247.4140, Util: 100 Temp: 49
[146] Power: 243.3650, Util: 100 Temp: 49
[147] Power: 244.3370, Util: 100 Temp: 49
[148] Power: 241.2630, Util: 100 Temp: 49
[149] Power: 245.3080, Util: 100 Temp: 49
[150] Power: 244.9840, Util: 100 Temp: 49
[151] Power: 243.3650, Util: 100 Temp: 49
[152] Power: 244.9840, Util: 100 Temp: 49
[153] Power: 243.3650, Util: 100 Temp: 49
[154] Power: 244.9840, Util: 100 Temp: 49
[155] Power: 244.3370, Util: 100 Temp: 49
[156] Power: 244.4980, Util: 100 Temp: 49
[157] Power: 243.3650, Util: 100 Temp: 49
[158] Power: 241.4220, Util: 100 Temp: 49
[159] Power: 244.3370, Util: 100 Temp: 49
[160] Power: 245.4700, Util: 100 Temp: 49
[161] Power: 244.3370, Util: 100 Temp: 49
[162] Power: 246.4420, Util: 100 Temp: 49
[163] Power: 242.2340, Util: 100 Temp: 49
[164] Power: 244.8230, Util: 100 Temp: 50
[165] Power: 246.4420, Util: 100 Temp: 50
[166] Power: 245.9560, Util: 100 Temp: 50
[167] Power: 242.3940, Util: 100 Temp: 50
[168] Power: 242.8800, Util: 100 Temp: 50
[169] Power: 245.9560, Util: 100 Temp: 50
[170] Power: 245.4700, Util: 100 Temp: 50
[171] Power: 243.2050, Util: 100 Temp: 50
[172] Power: 246.9280, Util: 100 Temp: 50
[173] Power: 243.3650, Util: 100 Temp: 50
[174] Power: 242.8800, Util: 100 Temp: 50
[175] Power: 246.4420, Util: 100 Temp: 50
[176] Power: 245.9560, Util: 100 Temp: 50
[177] Power: 244.4980, Util: 100 Temp: 50
[178] Power: 246.9280, Util: 100 Temp: 50
[179] Power: 244.8230, Util: 100 Temp: 50
[180] Power: 246.4420, Util: 100 Temp: 50
[181] Power: 241.2630, Util: 100 Temp: 50
[182] Power: 246.4420, Util: 100 Temp: 50
[183] Power: 246.4420, Util: 100 Temp: 50
[184] Power: 245.7940, Util: 100 Temp: 50
[185] Power: 244.0120, Util: 100 Temp: 50
[186] Power: 243.3650, Util: 100 Temp: 50
[187] Power: 245.7940, Util: 100 Temp: 50
[188] Power: 246.4420, Util: 100 Temp: 50
[189] Power: 243.5260, Util: 100 Temp: 50
[190] Power: 245.4700, Util: 100 Temp: 50
[191] Power: 245.9560, Util: 100 Temp: 50
[192] Power: 248.3860, Util: 100 Temp: 50
[193] Power: 242.2340, Util: 100 Temp: 50
[194] Power: 243.2050, Util: 100 Temp: 50
[195] Power: 241.2630, Util: 100 Temp: 50
[196] Power: 245.7940, Util: 100 Temp: 50
[197] Power: 246.4420, Util: 100 Temp: 50
[198] Power: 242.8800, Util: 100 Temp: 50
