Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 252.5950, Util: 100 Temp: 53
[001] Power: 252.2750, Util: 100 Temp: 53
[002] Power: 251.7890, Util: 100 Temp: 53
[003] Power: 252.2750, Util: 100 Temp: 53
[004] Power: 250.1660, Util: 100 Temp: 53
[005] Power: 248.0590, Util: 100 Temp: 53
[006] Power: 248.7090, Util: 100 Temp: 53
[007] Power: 249.5160, Util: 100 Temp: 53
[008] Power: 252.5950, Util: 100 Temp: 53
[009] Power: 252.1090, Util: 100 Temp: 53
[010] Power: 254.7050, Util: 100 Temp: 53
[011] Power: 252.7610, Util: 100 Temp: 53
[012] Power: 250.0010, Util: 100 Temp: 53
[013] Power: 249.8360, Util: 100 Temp: 53
[014] Power: 249.0300, Util: 100 Temp: 53
[015] Power: 249.5160, Util: 100 Temp: 53
[016] Power: 248.5450, Util: 100 Temp: 53
[017] Power: 252.5950, Util: 100 Temp: 53
[018] Power: 255.6780, Util: 100 Temp: 53
[019] Power: 249.0300, Util: 100 Temp: 53
[020] Power: 252.7610, Util: 100 Temp: 53
[021] Power: 253.2470, Util: 100 Temp: 53
[022] Power: 252.1090, Util: 100 Temp: 53
[023] Power: 253.5660, Util: 100 Temp: 53
[024] Power: 249.5160, Util: 100 Temp: 53
[025] Power: 250.0010, Util: 100 Temp: 53
[026] Power: 252.2750, Util: 100 Temp: 53
[027] Power: 249.6800, Util: 100 Temp: 53
[028] Power: 252.2750, Util: 100 Temp: 53
[029] Power: 250.0010, Util: 100 Temp: 53
[030] Power: 250.0010, Util: 100 Temp: 53
[031] Power: 253.7330, Util: 100 Temp: 53
[032] Power: 253.7330, Util: 100 Temp: 53
[033] Power: 252.2750, Util: 100 Temp: 53
[034] Power: 256.6500, Util: 100 Temp: 53
[035] Power: 250.0010, Util: 100 Temp: 53
[036] Power: 252.1090, Util: 100 Temp: 53
[037] Power: 250.6520, Util: 100 Temp: 53
[038] Power: 252.7610, Util: 100 Temp: 53
[039] Power: 253.7330, Util: 100 Temp: 53
[040] Power: 252.5950, Util: 100 Temp: 53
[041] Power: 252.5950, Util: 100 Temp: 53
[042] Power: 253.0800, Util: 100 Temp: 53
[043] Power: 253.7330, Util: 100 Temp: 53
[044] Power: 252.1090, Util: 100 Temp: 53
[045] Power: 254.0520, Util: 100 Temp: 53
[046] Power: 250.6520, Util: 100 Temp: 53
[047] Power: 250.1660, Util: 100 Temp: 53
[048] Power: 250.4870, Util: 100 Temp: 53
[049] Power: 250.6520, Util: 100 Temp: 53
[050] Power: 253.0800, Util: 100 Temp: 53
[051] Power: 250.4870, Util: 100 Temp: 53
[052] Power: 252.1090, Util: 100 Temp: 53
[053] Power: 252.5950, Util: 100 Temp: 53
[054] Power: 253.7330, Util: 100 Temp: 53
[055] Power: 250.1660, Util: 100 Temp: 53
[056] Power: 252.1090, Util: 100 Temp: 53
[057] Power: 252.2750, Util: 100 Temp: 53
[058] Power: 253.0800, Util: 100 Temp: 53
[059] Power: 252.5950, Util: 100 Temp: 53
[060] Power: 252.7610, Util: 100 Temp: 53
[061] Power: 252.1090, Util: 100 Temp: 53
[062] Power: 249.5160, Util: 100 Temp: 53
[063] Power: 250.1660, Util: 100 Temp: 53
[064] Power: 251.1370, Util: 100 Temp: 53
[065] Power: 251.6230, Util: 100 Temp: 53
[066] Power: 252.2750, Util: 100 Temp: 53
[067] Power: 250.0010, Util: 100 Temp: 53
[068] Power: 252.5950, Util: 100 Temp: 53
[069] Power: 250.9720, Util: 100 Temp: 53
[070] Power: 247.5740, Util: 100 Temp: 53
[071] Power: 249.3510, Util: 100 Temp: 53
[072] Power: 251.6230, Util: 100 Temp: 53
[073] Power: 253.5660, Util: 100 Temp: 53
[074] Power: 250.4870, Util: 100 Temp: 53
[075] Power: 252.1090, Util: 100 Temp: 53
[076] Power: 252.5950, Util: 100 Temp: 53
[077] Power: 251.6230, Util: 100 Temp: 53
[078] Power: 253.0800, Util: 100 Temp: 53
[079] Power: 249.0300, Util: 100 Temp: 53
[080] Power: 252.7610, Util: 100 Temp: 53
[081] Power: 250.4870, Util: 100 Temp: 53
[082] Power: 250.6520, Util: 100 Temp: 53
[083] Power: 251.6230, Util: 100 Temp: 53
[084] Power: 253.0800, Util: 100 Temp: 53
[085] Power: 250.1660, Util: 100 Temp: 53
[086] Power: 250.9720, Util: 100 Temp: 53
[087] Power: 249.6800, Util: 100 Temp: 53
[088] Power: 249.5160, Util: 100 Temp: 53
[089] Power: 252.2750, Util: 100 Temp: 53
[090] Power: 252.1090, Util: 100 Temp: 53
[091] Power: 254.7050, Util: 100 Temp: 53
[092] Power: 250.6520, Util: 100 Temp: 53
[093] Power: 251.6230, Util: 100 Temp: 53
[094] Power: 252.2750, Util: 100 Temp: 53
[095] Power: 250.0010, Util: 100 Temp: 53
[096] Power: 252.5950, Util: 100 Temp: 53
[097] Power: 251.6230, Util: 100 Temp: 53
[098] Power: 251.3030, Util: 100 Temp: 53
[099] Power: 254.0520, Util: 100 Temp: 53
[100] Power: 250.4870, Util: 100 Temp: 53
[101] Power: 251.1370, Util: 100 Temp: 53
[102] Power: 252.5950, Util: 100 Temp: 53
[103] Power: 250.6520, Util: 100 Temp: 53
[104] Power: 251.7890, Util: 100 Temp: 53
[105] Power: 251.1370, Util: 100 Temp: 53
[106] Power: 250.6520, Util: 100 Temp: 53
[107] Power: 249.6800, Util: 100 Temp: 53
[108] Power: 249.0300, Util: 100 Temp: 53
[109] Power: 251.6230, Util: 100 Temp: 53
[110] Power: 252.5950, Util: 100 Temp: 53
[111] Power: 254.2190, Util: 100 Temp: 53
[112] Power: 250.0010, Util: 100 Temp: 53
[113] Power: 253.2470, Util: 100 Temp: 53
[114] Power: 254.7050, Util: 100 Temp: 53
[115] Power: 251.1370, Util: 100 Temp: 53
[116] Power: 254.0520, Util: 100 Temp: 53
[117] Power: 250.6520, Util: 100 Temp: 53
[118] Power: 249.3510, Util: 100 Temp: 53
[119] Power: 252.1090, Util: 100 Temp: 53
[120] Power: 252.1090, Util: 100 Temp: 53
[121] Power: 253.0800, Util: 100 Temp: 53
[122] Power: 249.5160, Util: 100 Temp: 53
[123] Power: 253.7330, Util: 100 Temp: 53
[124] Power: 253.2470, Util: 100 Temp: 53
[125] Power: 254.0520, Util: 100 Temp: 53
[126] Power: 251.1370, Util: 100 Temp: 53
[127] Power: 252.1090, Util: 100 Temp: 53
[128] Power: 250.0010, Util: 100 Temp: 53
[129] Power: 249.6800, Util: 100 Temp: 53
[130] Power: 251.6230, Util: 100 Temp: 53
[131] Power: 252.5950, Util: 100 Temp: 53
[132] Power: 249.5160, Util: 100 Temp: 53
[133] Power: 252.5950, Util: 100 Temp: 53
[134] Power: 254.2190, Util: 100 Temp: 53
[135] Power: 250.0010, Util: 100 Temp: 53
[136] Power: 248.0590, Util: 100 Temp: 53
[137] Power: 252.5950, Util: 100 Temp: 53
[138] Power: 251.6230, Util: 100 Temp: 53
[139] Power: 250.0010, Util: 100 Temp: 53
[140] Power: 251.7890, Util: 100 Temp: 53
[141] Power: 250.1660, Util: 100 Temp: 53
[142] Power: 251.6230, Util: 100 Temp: 53
[143] Power: 254.0520, Util: 100 Temp: 53
[144] Power: 250.4870, Util: 100 Temp: 53
[145] Power: 253.2470, Util: 100 Temp: 53
[146] Power: 249.5160, Util: 100 Temp: 53
[147] Power: 250.4870, Util: 100 Temp: 53
[148] Power: 250.1660, Util: 100 Temp: 53
[149] Power: 250.9720, Util: 100 Temp: 53
[150] Power: 253.7330, Util: 100 Temp: 53
[151] Power: 254.5380, Util: 100 Temp: 53
[152] Power: 249.0300, Util: 100 Temp: 53
[153] Power: 251.6230, Util: 100 Temp: 53
[154] Power: 252.5950, Util: 100 Temp: 53
[155] Power: 253.2470, Util: 100 Temp: 53
[156] Power: 252.1090, Util: 100 Temp: 53
[157] Power: 251.9430, Util: 100 Temp: 53
[158] Power: 252.1090, Util: 100 Temp: 53
[159] Power: 251.6230, Util: 100 Temp: 53
[160] Power: 250.4870, Util: 100 Temp: 53
[161] Power: 250.0010, Util: 100 Temp: 53
[162] Power: 253.5660, Util: 100 Temp: 53
[163] Power: 252.5950, Util: 100 Temp: 53
[164] Power: 251.4570, Util: 100 Temp: 53
[165] Power: 250.0010, Util: 100 Temp: 53
[166] Power: 251.6230, Util: 100 Temp: 53
[167] Power: 253.2470, Util: 100 Temp: 53
[168] Power: 249.5160, Util: 100 Temp: 53
[169] Power: 251.1370, Util: 100 Temp: 53
[170] Power: 251.1370, Util: 100 Temp: 53
[171] Power: 252.5950, Util: 100 Temp: 53
[172] Power: 250.0010, Util: 100 Temp: 53
[173] Power: 252.2750, Util: 100 Temp: 53
[174] Power: 251.6230, Util: 100 Temp: 53
[175] Power: 251.6230, Util: 100 Temp: 53
