Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.2300, Util: 0 Temp: 33
[001] Power: 36.2300, Util: 0 Temp: 33
[002] Power: 93.8180, Util: 2 Temp: 34
[003] Power: 120.5360, Util: 2 Temp: 35
[004] Power: 144.3530, Util: 84 Temp: 36
[005] Power: 159.8540, Util: 100 Temp: 37
[006] Power: 163.7520, Util: 100 Temp: 37
[007] Power: 163.7520, Util: 100 Temp: 38
[008] Power: 164.2400, Util: 100 Temp: 38
[009] Power: 164.7270, Util: 100 Temp: 38
[010] Power: 164.2400, Util: 100 Temp: 39
[011] Power: 164.2400, Util: 100 Temp: 39
[012] Power: 164.7270, Util: 100 Temp: 39
[013] Power: 164.7270, Util: 100 Temp: 39
[014] Power: 164.7270, Util: 100 Temp: 40
[015] Power: 164.7270, Util: 100 Temp: 40
[016] Power: 164.7270, Util: 100 Temp: 40
[017] Power: 164.7270, Util: 100 Temp: 40
[018] Power: 164.7270, Util: 100 Temp: 40
[019] Power: 165.2150, Util: 100 Temp: 40
[020] Power: 165.2150, Util: 100 Temp: 40
[021] Power: 164.7270, Util: 100 Temp: 41
[022] Power: 165.7020, Util: 100 Temp: 41
[023] Power: 165.2150, Util: 100 Temp: 41
[024] Power: 165.2150, Util: 100 Temp: 41
[025] Power: 164.7270, Util: 100 Temp: 41
[026] Power: 165.2150, Util: 100 Temp: 41
[027] Power: 165.7020, Util: 100 Temp: 41
[028] Power: 165.2150, Util: 100 Temp: 41
[029] Power: 165.2150, Util: 100 Temp: 41
[030] Power: 165.2150, Util: 100 Temp: 41
[031] Power: 165.2150, Util: 100 Temp: 41
[032] Power: 165.7020, Util: 100 Temp: 41
[033] Power: 165.7020, Util: 100 Temp: 42
[034] Power: 164.7270, Util: 100 Temp: 42
[035] Power: 165.2150, Util: 100 Temp: 42
[036] Power: 165.7020, Util: 100 Temp: 42
[037] Power: 165.7020, Util: 100 Temp: 42
[038] Power: 165.2150, Util: 100 Temp: 42
[039] Power: 165.2150, Util: 100 Temp: 42
[040] Power: 166.1890, Util: 100 Temp: 42
[041] Power: 165.7020, Util: 100 Temp: 42
[042] Power: 165.2150, Util: 100 Temp: 42
[043] Power: 165.2150, Util: 100 Temp: 42
[044] Power: 165.7020, Util: 100 Temp: 42
[045] Power: 165.7020, Util: 100 Temp: 42
[046] Power: 165.7020, Util: 100 Temp: 42
[047] Power: 165.2150, Util: 100 Temp: 42
[048] Power: 166.1890, Util: 100 Temp: 42
[049] Power: 166.1890, Util: 100 Temp: 42
[050] Power: 165.7020, Util: 100 Temp: 42
[051] Power: 165.7020, Util: 100 Temp: 42
[052] Power: 166.1890, Util: 100 Temp: 43
[053] Power: 165.7020, Util: 100 Temp: 43
[054] Power: 165.7020, Util: 100 Temp: 43
[055] Power: 165.7020, Util: 100 Temp: 43
[056] Power: 165.7020, Util: 100 Temp: 43
[057] Power: 166.1890, Util: 100 Temp: 43
[058] Power: 165.7020, Util: 100 Temp: 43
[059] Power: 165.7020, Util: 100 Temp: 43
[060] Power: 165.7020, Util: 100 Temp: 43
[061] Power: 166.1890, Util: 100 Temp: 43
[062] Power: 165.7020, Util: 100 Temp: 43
[063] Power: 165.7020, Util: 100 Temp: 43
[064] Power: 165.7020, Util: 100 Temp: 43
[065] Power: 166.1890, Util: 100 Temp: 43
[066] Power: 166.1890, Util: 100 Temp: 43
[067] Power: 165.7020, Util: 100 Temp: 43
[068] Power: 166.6770, Util: 100 Temp: 43
[069] Power: 166.1890, Util: 100 Temp: 43
[070] Power: 166.1890, Util: 100 Temp: 43
[071] Power: 165.7020, Util: 100 Temp: 43
[072] Power: 165.7020, Util: 100 Temp: 43
[073] Power: 166.1890, Util: 100 Temp: 43
[074] Power: 166.1890, Util: 100 Temp: 43
[075] Power: 166.1890, Util: 100 Temp: 43
[076] Power: 165.7020, Util: 100 Temp: 43
[077] Power: 166.6770, Util: 100 Temp: 43
[078] Power: 166.6770, Util: 100 Temp: 43
[079] Power: 166.1890, Util: 100 Temp: 43
[080] Power: 166.1890, Util: 100 Temp: 43
[081] Power: 165.7020, Util: 100 Temp: 43
[082] Power: 166.6770, Util: 100 Temp: 43
[083] Power: 166.1890, Util: 100 Temp: 43
[084] Power: 166.1890, Util: 100 Temp: 43
[085] Power: 166.1890, Util: 100 Temp: 43
[086] Power: 166.6770, Util: 100 Temp: 43
[087] Power: 166.6770, Util: 100 Temp: 43
[088] Power: 166.6770, Util: 100 Temp: 43
[089] Power: 166.1890, Util: 100 Temp: 43
[090] Power: 166.1890, Util: 100 Temp: 44
[091] Power: 166.6770, Util: 100 Temp: 44
[092] Power: 166.1890, Util: 100 Temp: 44
[093] Power: 166.1890, Util: 100 Temp: 44
[094] Power: 166.1890, Util: 100 Temp: 44
[095] Power: 166.6770, Util: 100 Temp: 44
[096] Power: 166.1890, Util: 100 Temp: 44
[097] Power: 166.1890, Util: 100 Temp: 44
[098] Power: 166.1890, Util: 100 Temp: 44
[099] Power: 166.6770, Util: 100 Temp: 44
[100] Power: 166.6770, Util: 100 Temp: 44
[101] Power: 166.1890, Util: 100 Temp: 44
[102] Power: 166.1890, Util: 100 Temp: 44
[103] Power: 166.1890, Util: 100 Temp: 44
[104] Power: 166.6770, Util: 100 Temp: 44
[105] Power: 166.1890, Util: 100 Temp: 44
