Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 170.5760, Util: 100 Temp: 47
[001] Power: 170.5760, Util: 100 Temp: 47
[002] Power: 171.0630, Util: 100 Temp: 47
[003] Power: 171.0630, Util: 100 Temp: 47
[004] Power: 170.5760, Util: 100 Temp: 47
[005] Power: 170.5760, Util: 100 Temp: 47
[006] Power: 171.0630, Util: 100 Temp: 47
[007] Power: 171.0630, Util: 100 Temp: 47
[008] Power: 171.0630, Util: 100 Temp: 47
[009] Power: 171.0630, Util: 100 Temp: 47
[010] Power: 170.5760, Util: 100 Temp: 47
[011] Power: 170.5760, Util: 100 Temp: 47
[012] Power: 170.5760, Util: 100 Temp: 47
[013] Power: 171.0630, Util: 100 Temp: 47
[014] Power: 171.0630, Util: 100 Temp: 47
[015] Power: 171.0630, Util: 100 Temp: 47
[016] Power: 171.0630, Util: 100 Temp: 47
[017] Power: 170.5760, Util: 100 Temp: 47
[018] Power: 170.5760, Util: 100 Temp: 47
[019] Power: 171.5500, Util: 100 Temp: 47
[020] Power: 171.0630, Util: 100 Temp: 47
[021] Power: 171.0630, Util: 100 Temp: 47
[022] Power: 170.5760, Util: 100 Temp: 47
[023] Power: 170.5760, Util: 100 Temp: 47
[024] Power: 170.5760, Util: 100 Temp: 47
[025] Power: 171.0630, Util: 100 Temp: 47
[026] Power: 171.0630, Util: 100 Temp: 47
[027] Power: 171.0630, Util: 100 Temp: 47
[028] Power: 170.5760, Util: 100 Temp: 47
[029] Power: 170.5760, Util: 100 Temp: 47
[030] Power: 171.0630, Util: 100 Temp: 47
[031] Power: 171.0630, Util: 100 Temp: 47
[032] Power: 171.0630, Util: 100 Temp: 47
[033] Power: 170.4640, Util: 100 Temp: 47
[034] Power: 170.5760, Util: 100 Temp: 47
[035] Power: 170.5760, Util: 100 Temp: 47
[036] Power: 171.0630, Util: 100 Temp: 47
[037] Power: 171.0630, Util: 100 Temp: 47
[038] Power: 171.0630, Util: 100 Temp: 47
[039] Power: 171.0630, Util: 100 Temp: 47
[040] Power: 170.5760, Util: 100 Temp: 47
[041] Power: 170.5760, Util: 100 Temp: 47
[042] Power: 171.0630, Util: 100 Temp: 47
[043] Power: 171.0630, Util: 100 Temp: 47
[044] Power: 170.5760, Util: 100 Temp: 47
[045] Power: 170.5760, Util: 100 Temp: 47
[046] Power: 170.5760, Util: 100 Temp: 47
[047] Power: 171.0630, Util: 100 Temp: 47
[048] Power: 171.0630, Util: 100 Temp: 47
[049] Power: 171.0630, Util: 100 Temp: 47
[050] Power: 170.5760, Util: 100 Temp: 47
[051] Power: 170.5760, Util: 100 Temp: 47
[052] Power: 170.0880, Util: 100 Temp: 47
[053] Power: 170.5760, Util: 100 Temp: 47
[054] Power: 171.0630, Util: 100 Temp: 47
[055] Power: 171.0630, Util: 100 Temp: 47
[056] Power: 170.5760, Util: 100 Temp: 47
[057] Power: 170.5760, Util: 100 Temp: 47
[058] Power: 170.5760, Util: 100 Temp: 47
[059] Power: 171.0630, Util: 100 Temp: 47
[060] Power: 170.5760, Util: 100 Temp: 47
[061] Power: 170.5760, Util: 100 Temp: 47
[062] Power: 170.5760, Util: 100 Temp: 47
[063] Power: 170.5760, Util: 100 Temp: 47
[064] Power: 171.0630, Util: 100 Temp: 47
[065] Power: 171.0630, Util: 100 Temp: 47
[066] Power: 171.0630, Util: 100 Temp: 47
[067] Power: 170.5760, Util: 100 Temp: 47
[068] Power: 170.5760, Util: 100 Temp: 47
[069] Power: 170.5760, Util: 100 Temp: 47
[070] Power: 170.5760, Util: 100 Temp: 47
[071] Power: 171.0630, Util: 100 Temp: 47
[072] Power: 171.0630, Util: 100 Temp: 47
[073] Power: 170.5760, Util: 100 Temp: 47
[074] Power: 170.5760, Util: 100 Temp: 47
[075] Power: 170.5760, Util: 100 Temp: 47
[076] Power: 171.0630, Util: 100 Temp: 47
[077] Power: 171.0630, Util: 100 Temp: 47
[078] Power: 170.5760, Util: 100 Temp: 47
[079] Power: 170.5760, Util: 100 Temp: 47
[080] Power: 171.0630, Util: 100 Temp: 47
[081] Power: 171.0630, Util: 100 Temp: 47
[082] Power: 171.0630, Util: 100 Temp: 47
[083] Power: 171.0630, Util: 100 Temp: 47
[084] Power: 170.5760, Util: 100 Temp: 47
[085] Power: 170.5760, Util: 100 Temp: 47
[086] Power: 170.5760, Util: 100 Temp: 47
[087] Power: 171.5500, Util: 100 Temp: 47
[088] Power: 171.0630, Util: 100 Temp: 47
[089] Power: 171.0630, Util: 100 Temp: 47
[090] Power: 170.0880, Util: 100 Temp: 47
[091] Power: 170.5760, Util: 100 Temp: 47
[092] Power: 171.0630, Util: 100 Temp: 47
[093] Power: 171.0630, Util: 100 Temp: 47
[094] Power: 170.5760, Util: 100 Temp: 47
[095] Power: 170.5760, Util: 100 Temp: 47
[096] Power: 170.5760, Util: 100 Temp: 47
[097] Power: 171.0630, Util: 100 Temp: 47
[098] Power: 170.5760, Util: 100 Temp: 47
[099] Power: 171.0630, Util: 100 Temp: 47
[100] Power: 171.0630, Util: 100 Temp: 47
[101] Power: 170.5760, Util: 100 Temp: 47
[102] Power: 170.5760, Util: 100 Temp: 47
[103] Power: 170.5760, Util: 100 Temp: 47
[104] Power: 171.5500, Util: 100 Temp: 47
[105] Power: 170.5760, Util: 100 Temp: 47
[106] Power: 170.5760, Util: 100 Temp: 47
[107] Power: 170.5760, Util: 100 Temp: 47
[108] Power: 171.0630, Util: 100 Temp: 47
[109] Power: 171.0630, Util: 100 Temp: 47
[110] Power: 171.0630, Util: 100 Temp: 47
[111] Power: 170.5760, Util: 100 Temp: 47
[112] Power: 170.5760, Util: 100 Temp: 47
[113] Power: 170.5760, Util: 100 Temp: 47
[114] Power: 170.0880, Util: 100 Temp: 47
[115] Power: 171.5500, Util: 100 Temp: 47
[116] Power: 171.0630, Util: 100 Temp: 47
[117] Power: 170.5760, Util: 100 Temp: 47
[118] Power: 170.5760, Util: 100 Temp: 47
[119] Power: 170.5760, Util: 100 Temp: 47
[120] Power: 171.0630, Util: 100 Temp: 47
[121] Power: 171.0630, Util: 100 Temp: 47
[122] Power: 170.5760, Util: 100 Temp: 47
[123] Power: 170.5760, Util: 100 Temp: 47
[124] Power: 170.5760, Util: 100 Temp: 47
[125] Power: 170.5760, Util: 100 Temp: 47
[126] Power: 171.0630, Util: 100 Temp: 47
[127] Power: 171.0630, Util: 100 Temp: 47
[128] Power: 171.0630, Util: 100 Temp: 47
[129] Power: 170.5760, Util: 100 Temp: 47
[130] Power: 170.0880, Util: 100 Temp: 47
[131] Power: 170.5760, Util: 100 Temp: 47
[132] Power: 171.0630, Util: 100 Temp: 47
[133] Power: 171.0630, Util: 100 Temp: 47
[134] Power: 170.5760, Util: 100 Temp: 46
[135] Power: 170.5760, Util: 100 Temp: 47
[136] Power: 170.5760, Util: 100 Temp: 47
[137] Power: 171.0630, Util: 100 Temp: 47
[138] Power: 171.0630, Util: 100 Temp: 47
[139] Power: 170.5760, Util: 100 Temp: 47
[140] Power: 170.5760, Util: 100 Temp: 47
[141] Power: 170.5760, Util: 100 Temp: 47
[142] Power: 170.5760, Util: 100 Temp: 47
[143] Power: 170.0880, Util: 100 Temp: 47
[144] Power: 171.0630, Util: 100 Temp: 47
[145] Power: 171.0630, Util: 100 Temp: 47
[146] Power: 170.5760, Util: 100 Temp: 47
[147] Power: 170.5760, Util: 100 Temp: 47
[148] Power: 170.5760, Util: 100 Temp: 46
[149] Power: 171.0630, Util: 100 Temp: 47
[150] Power: 171.0630, Util: 100 Temp: 47
[151] Power: 170.5760, Util: 100 Temp: 47
[152] Power: 170.5760, Util: 100 Temp: 47
[153] Power: 170.5760, Util: 100 Temp: 47
[154] Power: 171.0630, Util: 100 Temp: 47
[155] Power: 171.0630, Util: 100 Temp: 47
[156] Power: 170.5760, Util: 100 Temp: 47
[157] Power: 170.5760, Util: 100 Temp: 47
[158] Power: 170.5760, Util: 100 Temp: 47
[159] Power: 171.0630, Util: 100 Temp: 47
[160] Power: 170.5760, Util: 100 Temp: 47
[161] Power: 170.5760, Util: 100 Temp: 47
[162] Power: 170.5760, Util: 100 Temp: 47
[163] Power: 171.0630, Util: 100 Temp: 47
[164] Power: 170.5760, Util: 100 Temp: 47
[165] Power: 171.0630, Util: 100 Temp: 47
[166] Power: 170.5760, Util: 100 Temp: 47
[167] Power: 170.5760, Util: 100 Temp: 47
[168] Power: 171.0630, Util: 100 Temp: 47
[169] Power: 171.0630, Util: 100 Temp: 47
[170] Power: 170.5760, Util: 100 Temp: 47
[171] Power: 170.5760, Util: 100 Temp: 47
