Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.2300, Util: 0 Temp: 33
[001] Power: 36.2300, Util: 0 Temp: 33
[002] Power: 36.2300, Util: 0 Temp: 33
[003] Power: 36.2540, Util: 0 Temp: 33
[004] Power: 36.2300, Util: 0 Temp: 33
[005] Power: 36.2300, Util: 0 Temp: 33
[006] Power: 36.2300, Util: 0 Temp: 33
[007] Power: 36.2540, Util: 0 Temp: 33
[008] Power: 36.2300, Util: 0 Temp: 33
[009] Power: 36.2540, Util: 0 Temp: 33
[010] Power: 36.2300, Util: 0 Temp: 33
[011] Power: 36.2300, Util: 0 Temp: 33
[012] Power: 36.2300, Util: 0 Temp: 33
[013] Power: 41.1260, Util: 0 Temp: 33
[014] Power: 189.4580, Util: 23 Temp: 35
[015] Power: 193.3540, Util: 23 Temp: 36
[016] Power: 234.2900, Util: 100 Temp: 38
[017] Power: 246.4420, Util: 100 Temp: 39
[018] Power: 266.6820, Util: 100 Temp: 40
[019] Power: 271.5390, Util: 100 Temp: 41
[020] Power: 267.6530, Util: 100 Temp: 41
[021] Power: 272.0250, Util: 100 Temp: 42
[022] Power: 276.7000, Util: 100 Temp: 43
[023] Power: 280.5840, Util: 100 Temp: 43
[024] Power: 285.4380, Util: 100 Temp: 44
[025] Power: 285.9240, Util: 100 Temp: 44
[026] Power: 285.9240, Util: 100 Temp: 45
[027] Power: 286.4090, Util: 100 Temp: 45
[028] Power: 286.7050, Util: 100 Temp: 45
[029] Power: 286.7050, Util: 100 Temp: 45
[030] Power: 286.7050, Util: 100 Temp: 46
[031] Power: 279.1280, Util: 100 Temp: 46
[032] Power: 269.9040, Util: 100 Temp: 46
[033] Power: 274.2730, Util: 100 Temp: 46
[034] Power: 278.6420, Util: 100 Temp: 46
[035] Power: 282.5260, Util: 100 Temp: 47
[036] Power: 287.3800, Util: 100 Temp: 47
[037] Power: 287.3800, Util: 100 Temp: 47
[038] Power: 287.6760, Util: 100 Temp: 47
[039] Power: 287.6760, Util: 100 Temp: 48
[040] Power: 287.6760, Util: 100 Temp: 48
[041] Power: 288.1610, Util: 100 Temp: 48
[042] Power: 288.3510, Util: 100 Temp: 48
[043] Power: 288.6460, Util: 100 Temp: 48
[044] Power: 288.6460, Util: 100 Temp: 49
[045] Power: 288.6460, Util: 100 Temp: 49
[046] Power: 288.8360, Util: 100 Temp: 49
[047] Power: 289.1310, Util: 100 Temp: 49
[048] Power: 288.6460, Util: 100 Temp: 49
[049] Power: 289.1310, Util: 100 Temp: 49
[050] Power: 289.1310, Util: 100 Temp: 49
[051] Power: 289.1310, Util: 100 Temp: 49
[052] Power: 289.3220, Util: 100 Temp: 50
[053] Power: 289.1310, Util: 100 Temp: 50
[054] Power: 289.1310, Util: 100 Temp: 50
[055] Power: 289.1310, Util: 100 Temp: 50
[056] Power: 289.6160, Util: 100 Temp: 50
[057] Power: 289.3220, Util: 100 Temp: 50
[058] Power: 289.6160, Util: 100 Temp: 50
[059] Power: 289.6160, Util: 100 Temp: 50
[060] Power: 290.1010, Util: 100 Temp: 50
[061] Power: 290.1010, Util: 100 Temp: 51
[062] Power: 289.6160, Util: 100 Temp: 51
[063] Power: 272.3310, Util: 100 Temp: 50
[064] Power: 276.8830, Util: 100 Temp: 50
[065] Power: 280.5840, Util: 100 Temp: 51
[066] Power: 284.9530, Util: 100 Temp: 51
[067] Power: 289.6160, Util: 100 Temp: 51
[068] Power: 290.1010, Util: 100 Temp: 51
[069] Power: 290.1010, Util: 100 Temp: 51
[070] Power: 290.1010, Util: 100 Temp: 51
[071] Power: 276.7000, Util: 100 Temp: 51
[072] Power: 281.0690, Util: 100 Temp: 51
[073] Power: 285.7350, Util: 100 Temp: 51
[074] Power: 289.8070, Util: 100 Temp: 51
[075] Power: 294.4670, Util: 100 Temp: 51
[076] Power: 294.9520, Util: 100 Temp: 52
[077] Power: 294.9520, Util: 100 Temp: 52
[078] Power: 294.7580, Util: 100 Temp: 52
[079] Power: 294.9520, Util: 100 Temp: 52
[080] Power: 294.7580, Util: 100 Temp: 52
[081] Power: 295.4380, Util: 100 Temp: 52
[082] Power: 294.9520, Util: 100 Temp: 52
[083] Power: 295.4380, Util: 100 Temp: 52
[084] Power: 295.4380, Util: 100 Temp: 52
[085] Power: 295.2430, Util: 100 Temp: 52
[086] Power: 295.4380, Util: 100 Temp: 52
[087] Power: 295.4380, Util: 100 Temp: 52
[088] Power: 295.4380, Util: 100 Temp: 53
[089] Power: 295.6320, Util: 100 Temp: 53
[090] Power: 295.7280, Util: 100 Temp: 53
[091] Power: 295.6320, Util: 100 Temp: 53
[092] Power: 295.9230, Util: 100 Temp: 53
[093] Power: 295.4380, Util: 100 Temp: 53
[094] Power: 295.9230, Util: 100 Temp: 53
[095] Power: 295.4380, Util: 100 Temp: 53
[096] Power: 295.9230, Util: 100 Temp: 53
[097] Power: 295.9230, Util: 100 Temp: 53
[098] Power: 295.7280, Util: 100 Temp: 53
[099] Power: 295.9230, Util: 100 Temp: 53
[100] Power: 295.9230, Util: 100 Temp: 53
[101] Power: 295.9230, Util: 100 Temp: 53
[102] Power: 295.7280, Util: 100 Temp: 53
[103] Power: 295.9230, Util: 100 Temp: 53
[104] Power: 295.9230, Util: 100 Temp: 53
[105] Power: 295.9230, Util: 100 Temp: 53
[106] Power: 295.9230, Util: 100 Temp: 53
[107] Power: 296.1180, Util: 100 Temp: 53
[108] Power: 295.9230, Util: 100 Temp: 53
[109] Power: 296.4080, Util: 100 Temp: 54
[110] Power: 296.2120, Util: 100 Temp: 54
[111] Power: 295.9230, Util: 100 Temp: 54
[112] Power: 296.1180, Util: 100 Temp: 54
[113] Power: 296.6970, Util: 100 Temp: 54
[114] Power: 296.4080, Util: 100 Temp: 54
[115] Power: 296.4080, Util: 100 Temp: 54
[116] Power: 296.6030, Util: 100 Temp: 54
[117] Power: 296.2120, Util: 100 Temp: 54
[118] Power: 296.6030, Util: 100 Temp: 54
[119] Power: 296.8930, Util: 100 Temp: 54
[120] Power: 296.2120, Util: 100 Temp: 54
[121] Power: 296.6030, Util: 100 Temp: 54
[122] Power: 296.8930, Util: 100 Temp: 54
[123] Power: 296.4080, Util: 100 Temp: 54
[124] Power: 296.6970, Util: 100 Temp: 54
[125] Power: 296.8930, Util: 100 Temp: 54
[126] Power: 296.4080, Util: 100 Temp: 54
[127] Power: 296.8930, Util: 100 Temp: 54
[128] Power: 296.6970, Util: 100 Temp: 54
[129] Power: 296.8930, Util: 100 Temp: 54
[130] Power: 296.8930, Util: 100 Temp: 54
[131] Power: 296.8930, Util: 100 Temp: 54
[132] Power: 296.8930, Util: 100 Temp: 54
[133] Power: 296.8930, Util: 100 Temp: 54
[134] Power: 297.0890, Util: 100 Temp: 54
[135] Power: 288.1610, Util: 100 Temp: 54
[136] Power: 296.8930, Util: 100 Temp: 54
[137] Power: 296.8930, Util: 100 Temp: 54
[138] Power: 296.8930, Util: 100 Temp: 54
[139] Power: 296.6970, Util: 100 Temp: 54
[140] Power: 297.1820, Util: 100 Temp: 54
[141] Power: 296.8930, Util: 100 Temp: 54
[142] Power: 297.3780, Util: 100 Temp: 55
[143] Power: 296.8930, Util: 100 Temp: 55
