Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 272.8170, Util: 100 Temp: 57
[001] Power: 277.1860, Util: 100 Temp: 56
[002] Power: 282.0400, Util: 100 Temp: 57
[003] Power: 286.4090, Util: 100 Temp: 57
[004] Power: 291.2640, Util: 100 Temp: 57
[005] Power: 295.4380, Util: 100 Temp: 57
[006] Power: 272.8170, Util: 100 Temp: 57
[007] Power: 276.3970, Util: 100 Temp: 57
[008] Power: 276.8830, Util: 100 Temp: 56
[009] Power: 282.0400, Util: 100 Temp: 56
[010] Power: 286.4090, Util: 100 Temp: 57
[011] Power: 290.7780, Util: 100 Temp: 57
[012] Power: 295.4380, Util: 100 Temp: 57
[013] Power: 285.4380, Util: 100 Temp: 57
[014] Power: 277.1860, Util: 100 Temp: 57
[015] Power: 282.3390, Util: 100 Temp: 56
[016] Power: 286.4090, Util: 100 Temp: 57
[017] Power: 291.0720, Util: 100 Temp: 57
[018] Power: 296.4080, Util: 100 Temp: 57
[019] Power: 299.3190, Util: 100 Temp: 57
[020] Power: 273.7880, Util: 100 Temp: 57
[021] Power: 279.1280, Util: 100 Temp: 56
[022] Power: 283.9820, Util: 100 Temp: 56
[023] Power: 288.8360, Util: 100 Temp: 57
[024] Power: 293.0120, Util: 100 Temp: 57
[025] Power: 297.8630, Util: 100 Temp: 57
[026] Power: 275.9110, Util: 100 Temp: 57
[027] Power: 278.1570, Util: 100 Temp: 57
[028] Power: 280.3990, Util: 100 Temp: 56
[029] Power: 285.2500, Util: 100 Temp: 56
[030] Power: 290.2930, Util: 100 Temp: 57
[031] Power: 294.4670, Util: 100 Temp: 57
[032] Power: 298.8330, Util: 100 Temp: 57
[033] Power: 299.8040, Util: 100 Temp: 57
[034] Power: 299.8040, Util: 100 Temp: 57
[035] Power: 276.2150, Util: 100 Temp: 57
[036] Power: 280.5840, Util: 100 Temp: 57
[037] Power: 278.6420, Util: 100 Temp: 57
[038] Power: 281.8540, Util: 100 Temp: 57
[039] Power: 286.2200, Util: 100 Temp: 57
[040] Power: 290.7780, Util: 100 Temp: 57
[041] Power: 295.2430, Util: 100 Temp: 57
[042] Power: 299.8040, Util: 100 Temp: 57
[043] Power: 275.2440, Util: 100 Temp: 57
[044] Power: 276.2150, Util: 100 Temp: 57
[045] Power: 280.8840, Util: 100 Temp: 57
[046] Power: 282.0400, Util: 100 Temp: 57
[047] Power: 286.7050, Util: 100 Temp: 57
[048] Power: 291.0720, Util: 100 Temp: 57
[049] Power: 295.4380, Util: 100 Temp: 57
[050] Power: 300.2890, Util: 100 Temp: 57
[051] Power: 276.5180, Util: 100 Temp: 57
[052] Power: 277.6710, Util: 100 Temp: 57
[053] Power: 282.0400, Util: 100 Temp: 57
[054] Power: 286.4090, Util: 100 Temp: 57
[055] Power: 291.2640, Util: 100 Temp: 57
[056] Power: 295.4380, Util: 100 Temp: 57
[057] Power: 299.8040, Util: 100 Temp: 57
[058] Power: 276.8830, Util: 100 Temp: 57
[059] Power: 282.5260, Util: 100 Temp: 57
[060] Power: 287.1910, Util: 100 Temp: 57
[061] Power: 291.0720, Util: 100 Temp: 57
[062] Power: 295.4380, Util: 100 Temp: 57
[063] Power: 300.0910, Util: 100 Temp: 57
[064] Power: 276.7000, Util: 100 Temp: 57
[065] Power: 279.1280, Util: 100 Temp: 57
[066] Power: 282.5260, Util: 100 Temp: 57
[067] Power: 286.8950, Util: 100 Temp: 57
[068] Power: 291.0720, Util: 100 Temp: 57
[069] Power: 295.9230, Util: 100 Temp: 57
[070] Power: 277.9730, Util: 100 Temp: 57
[071] Power: 277.3680, Util: 100 Temp: 57
[072] Power: 277.6710, Util: 100 Temp: 57
