Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 298.8330, Util: 100 Temp: 57
[001] Power: 298.6360, Util: 100 Temp: 57
[002] Power: 298.8330, Util: 100 Temp: 57
[003] Power: 298.6360, Util: 100 Temp: 57
[004] Power: 299.1210, Util: 100 Temp: 57
[005] Power: 299.1210, Util: 100 Temp: 57
[006] Power: 298.8330, Util: 100 Temp: 57
[007] Power: 298.8330, Util: 100 Temp: 57
[008] Power: 298.8330, Util: 100 Temp: 57
[009] Power: 298.8330, Util: 100 Temp: 57
[010] Power: 299.1210, Util: 100 Temp: 57
[011] Power: 298.8330, Util: 100 Temp: 57
[012] Power: 298.8330, Util: 100 Temp: 57
[013] Power: 298.6360, Util: 100 Temp: 57
[014] Power: 298.8330, Util: 100 Temp: 57
[015] Power: 298.8330, Util: 100 Temp: 57
[016] Power: 298.8330, Util: 100 Temp: 57
[017] Power: 298.6360, Util: 100 Temp: 57
[018] Power: 298.6360, Util: 100 Temp: 57
[019] Power: 298.8330, Util: 100 Temp: 57
[020] Power: 298.8330, Util: 100 Temp: 57
[021] Power: 299.3190, Util: 100 Temp: 57
[022] Power: 299.1210, Util: 100 Temp: 57
[023] Power: 299.1210, Util: 100 Temp: 57
[024] Power: 299.3190, Util: 100 Temp: 57
[025] Power: 298.8330, Util: 100 Temp: 57
[026] Power: 299.1210, Util: 100 Temp: 57
[027] Power: 299.1210, Util: 100 Temp: 57
[028] Power: 299.1210, Util: 100 Temp: 57
[029] Power: 299.3190, Util: 100 Temp: 57
[030] Power: 298.6360, Util: 100 Temp: 57
[031] Power: 298.6360, Util: 100 Temp: 57
[032] Power: 299.1210, Util: 100 Temp: 57
[033] Power: 299.1210, Util: 100 Temp: 57
[034] Power: 299.1210, Util: 100 Temp: 57
[035] Power: 299.0310, Util: 100 Temp: 57
[036] Power: 299.3190, Util: 100 Temp: 57
[037] Power: 299.3190, Util: 100 Temp: 57
[038] Power: 298.8330, Util: 100 Temp: 57
[039] Power: 299.1210, Util: 100 Temp: 57
[040] Power: 299.1210, Util: 100 Temp: 57
[041] Power: 299.5160, Util: 100 Temp: 57
[042] Power: 298.8330, Util: 100 Temp: 57
[043] Power: 299.3190, Util: 100 Temp: 57
[044] Power: 299.3190, Util: 100 Temp: 57
[045] Power: 299.1210, Util: 100 Temp: 57
[046] Power: 298.8330, Util: 100 Temp: 57
[047] Power: 299.1210, Util: 100 Temp: 57
[048] Power: 299.1210, Util: 100 Temp: 57
[049] Power: 299.1210, Util: 100 Temp: 57
[050] Power: 299.3190, Util: 100 Temp: 57
[051] Power: 299.1210, Util: 100 Temp: 57
[052] Power: 299.3190, Util: 100 Temp: 57
[053] Power: 299.1210, Util: 100 Temp: 57
[054] Power: 299.6060, Util: 100 Temp: 57
[055] Power: 299.1210, Util: 100 Temp: 57
[056] Power: 299.5160, Util: 100 Temp: 57
[057] Power: 299.1210, Util: 100 Temp: 57
[058] Power: 299.1210, Util: 100 Temp: 57
[059] Power: 299.3190, Util: 100 Temp: 57
[060] Power: 299.3190, Util: 100 Temp: 57
[061] Power: 299.8040, Util: 100 Temp: 57
[062] Power: 299.3190, Util: 100 Temp: 57
[063] Power: 299.1210, Util: 100 Temp: 57
[064] Power: 299.3190, Util: 100 Temp: 57
[065] Power: 299.1210, Util: 100 Temp: 57
[066] Power: 299.1210, Util: 100 Temp: 57
[067] Power: 299.1210, Util: 100 Temp: 57
[068] Power: 299.3190, Util: 100 Temp: 57
[069] Power: 299.5160, Util: 100 Temp: 57
[070] Power: 299.8040, Util: 100 Temp: 57
[071] Power: 299.7130, Util: 100 Temp: 57
[072] Power: 299.8040, Util: 100 Temp: 57
[073] Power: 299.1210, Util: 100 Temp: 57
[074] Power: 299.6060, Util: 100 Temp: 57
[075] Power: 277.6710, Util: 100 Temp: 57
[076] Power: 276.2150, Util: 100 Temp: 57
[077] Power: 278.1570, Util: 100 Temp: 57
[078] Power: 281.5550, Util: 100 Temp: 57
[079] Power: 285.7350, Util: 100 Temp: 57
[080] Power: 290.2930, Util: 100 Temp: 57
[081] Power: 294.4670, Util: 100 Temp: 57
[082] Power: 299.1210, Util: 100 Temp: 57
[083] Power: 299.3190, Util: 100 Temp: 57
[084] Power: 299.1210, Util: 100 Temp: 57
[085] Power: 299.1210, Util: 100 Temp: 57
[086] Power: 299.1210, Util: 100 Temp: 57
[087] Power: 299.3190, Util: 100 Temp: 57
[088] Power: 299.6060, Util: 100 Temp: 57
[089] Power: 299.6060, Util: 100 Temp: 57
[090] Power: 299.1210, Util: 100 Temp: 57
[091] Power: 299.3190, Util: 100 Temp: 57
[092] Power: 299.3190, Util: 100 Temp: 57
[093] Power: 299.6060, Util: 100 Temp: 57
[094] Power: 299.3190, Util: 100 Temp: 57
[095] Power: 299.1210, Util: 100 Temp: 57
[096] Power: 299.6060, Util: 100 Temp: 57
[097] Power: 299.6060, Util: 100 Temp: 57
[098] Power: 299.6060, Util: 100 Temp: 57
[099] Power: 299.1210, Util: 100 Temp: 57
[100] Power: 299.6060, Util: 100 Temp: 57
[101] Power: 299.3190, Util: 100 Temp: 57
[102] Power: 299.6060, Util: 100 Temp: 57
[103] Power: 299.3190, Util: 100 Temp: 57
[104] Power: 299.6060, Util: 100 Temp: 57
[105] Power: 299.3190, Util: 100 Temp: 57
[106] Power: 295.4380, Util: 100 Temp: 57
[107] Power: 276.7000, Util: 100 Temp: 57
[108] Power: 280.3990, Util: 100 Temp: 57
[109] Power: 277.3680, Util: 100 Temp: 57
[110] Power: 282.0400, Util: 100 Temp: 57
[111] Power: 286.2200, Util: 100 Temp: 57
[112] Power: 290.5860, Util: 100 Temp: 57
[113] Power: 294.9520, Util: 100 Temp: 57
[114] Power: 299.6060, Util: 100 Temp: 57
[115] Power: 299.1210, Util: 100 Temp: 57
[116] Power: 299.3190, Util: 100 Temp: 57
[117] Power: 299.3190, Util: 100 Temp: 57
[118] Power: 299.1210, Util: 100 Temp: 57
[119] Power: 299.8040, Util: 100 Temp: 57
[120] Power: 299.8040, Util: 100 Temp: 57
[121] Power: 299.8040, Util: 100 Temp: 57
[122] Power: 299.6060, Util: 100 Temp: 57
[123] Power: 299.3190, Util: 100 Temp: 57
[124] Power: 299.6060, Util: 100 Temp: 57
[125] Power: 299.6060, Util: 100 Temp: 57
[126] Power: 299.3190, Util: 100 Temp: 57
[127] Power: 278.1570, Util: 100 Temp: 57
[128] Power: 278.1570, Util: 100 Temp: 57
[129] Power: 278.6420, Util: 100 Temp: 57
[130] Power: 283.3100, Util: 100 Temp: 57
[131] Power: 287.8650, Util: 100 Temp: 57
[132] Power: 292.0420, Util: 100 Temp: 57
[133] Power: 296.8930, Util: 100 Temp: 57
[134] Power: 295.4380, Util: 100 Temp: 57
[135] Power: 273.7880, Util: 100 Temp: 57
[136] Power: 278.1570, Util: 100 Temp: 57
[137] Power: 282.0400, Util: 100 Temp: 57
[138] Power: 285.9240, Util: 100 Temp: 57
[139] Power: 290.1010, Util: 100 Temp: 57
[140] Power: 294.9520, Util: 100 Temp: 57
[141] Power: 298.8330, Util: 100 Temp: 57
[142] Power: 299.1210, Util: 100 Temp: 57
[143] Power: 299.3190, Util: 100 Temp: 57
