Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 39.4090, Util: 0 Temp: 28
[001] Power: 39.4090, Util: 0 Temp: 28
[002] Power: 39.4090, Util: 0 Temp: 29
[003] Power: 39.4350, Util: 0 Temp: 28
[004] Power: 39.4090, Util: 0 Temp: 28
[005] Power: 39.4090, Util: 0 Temp: 29
[006] Power: 39.4090, Util: 0 Temp: 29
[007] Power: 39.4090, Util: 0 Temp: 28
[008] Power: 39.4090, Util: 0 Temp: 29
[009] Power: 39.4090, Util: 0 Temp: 29
[010] Power: 39.4090, Util: 0 Temp: 29
[011] Power: 39.4090, Util: 0 Temp: 29
[012] Power: 39.4960, Util: 0 Temp: 29
[013] Power: 39.3330, Util: 0 Temp: 29
[014] Power: 39.4090, Util: 0 Temp: 29
[015] Power: 39.4090, Util: 0 Temp: 29
[016] Power: 39.4350, Util: 0 Temp: 28
[017] Power: 39.4350, Util: 0 Temp: 29
[018] Power: 39.4090, Util: 0 Temp: 29
[019] Power: 39.4090, Util: 0 Temp: 29
[020] Power: 39.4090, Util: 0 Temp: 29
[021] Power: 39.4090, Util: 0 Temp: 29
[022] Power: 39.1810, Util: 0 Temp: 29
[023] Power: 136.6720, Util: 0 Temp: 30
[024] Power: 158.0260, Util: 65 Temp: 31
[025] Power: 160.4630, Util: 65 Temp: 32
[026] Power: 177.4040, Util: 99 Temp: 33
[027] Power: 179.8400, Util: 99 Temp: 33
[028] Power: 182.2750, Util: 99 Temp: 34
[029] Power: 184.5890, Util: 99 Temp: 34
[030] Power: 187.5090, Util: 99 Temp: 35
[031] Power: 187.5090, Util: 99 Temp: 35
[032] Power: 187.5090, Util: 99 Temp: 35
[033] Power: 187.9960, Util: 99 Temp: 36
[034] Power: 178.8650, Util: 99 Temp: 36
[035] Power: 180.6950, Util: 99 Temp: 36
[036] Power: 183.1280, Util: 99 Temp: 36
[037] Power: 185.5620, Util: 99 Temp: 36
[038] Power: 187.5090, Util: 99 Temp: 36
[039] Power: 187.9960, Util: 99 Temp: 37
[040] Power: 187.9960, Util: 99 Temp: 37
[041] Power: 187.9960, Util: 99 Temp: 37
[042] Power: 179.3520, Util: 99 Temp: 37
[043] Power: 181.3010, Util: 99 Temp: 37
[044] Power: 183.6150, Util: 99 Temp: 37
[045] Power: 186.0490, Util: 99 Temp: 37
[046] Power: 187.9960, Util: 99 Temp: 37
[047] Power: 187.9960, Util: 99 Temp: 38
[048] Power: 188.4820, Util: 99 Temp: 38
[049] Power: 187.9960, Util: 99 Temp: 38
[050] Power: 188.4820, Util: 99 Temp: 38
[051] Power: 188.4820, Util: 99 Temp: 38
[052] Power: 188.4820, Util: 99 Temp: 38
[053] Power: 188.4820, Util: 99 Temp: 38
[054] Power: 188.4820, Util: 99 Temp: 38
[055] Power: 188.4820, Util: 99 Temp: 38
[056] Power: 188.4820, Util: 99 Temp: 38
[057] Power: 188.4820, Util: 99 Temp: 38
[058] Power: 188.4820, Util: 99 Temp: 38
[059] Power: 188.4820, Util: 99 Temp: 38
[060] Power: 188.4820, Util: 99 Temp: 39
[061] Power: 188.4820, Util: 99 Temp: 39
[062] Power: 188.4820, Util: 99 Temp: 39
[063] Power: 188.4820, Util: 99 Temp: 39
[064] Power: 188.4820, Util: 99 Temp: 39
[065] Power: 188.4820, Util: 99 Temp: 39
[066] Power: 188.4820, Util: 99 Temp: 39
[067] Power: 188.4820, Util: 99 Temp: 39
[068] Power: 188.9690, Util: 99 Temp: 39
[069] Power: 188.9690, Util: 99 Temp: 39
[070] Power: 188.4820, Util: 99 Temp: 39
[071] Power: 188.9690, Util: 99 Temp: 39
[072] Power: 188.4820, Util: 99 Temp: 39
[073] Power: 188.4820, Util: 99 Temp: 39
[074] Power: 188.9690, Util: 99 Temp: 39
