Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.7440, Util: 0 Temp: 31
[001] Power: 50.9180, Util: 1 Temp: 31
[002] Power: 156.0570, Util: 43 Temp: 33
[003] Power: 181.7850, Util: 43 Temp: 34
[004] Power: 204.4220, Util: 100 Temp: 35
[005] Power: 208.8020, Util: 100 Temp: 36
[006] Power: 211.7230, Util: 100 Temp: 36
[007] Power: 215.1300, Util: 100 Temp: 37
[008] Power: 217.9070, Util: 100 Temp: 37
[009] Power: 215.4750, Util: 100 Temp: 38
[010] Power: 209.7760, Util: 100 Temp: 38
[011] Power: 212.6960, Util: 100 Temp: 38
[012] Power: 215.9610, Util: 100 Temp: 38
[013] Power: 218.3930, Util: 100 Temp: 39
[014] Power: 221.7980, Util: 100 Temp: 39
[015] Power: 221.7980, Util: 100 Temp: 39
[016] Power: 221.7980, Util: 100 Temp: 39
[017] Power: 221.7980, Util: 100 Temp: 40
[018] Power: 222.2840, Util: 100 Temp: 40
[019] Power: 222.2840, Util: 100 Temp: 40
[020] Power: 222.2840, Util: 100 Temp: 40
[021] Power: 210.7490, Util: 100 Temp: 40
[022] Power: 211.7230, Util: 100 Temp: 40
[023] Power: 215.1300, Util: 100 Temp: 40
[024] Power: 217.9070, Util: 100 Temp: 40
[025] Power: 221.3120, Util: 100 Temp: 41
[026] Power: 222.7710, Util: 100 Temp: 41
[027] Power: 222.7710, Util: 100 Temp: 41
[028] Power: 222.7710, Util: 100 Temp: 41
[029] Power: 223.2570, Util: 100 Temp: 41
[030] Power: 223.2570, Util: 100 Temp: 41
[031] Power: 223.2570, Util: 100 Temp: 41
[032] Power: 223.2570, Util: 100 Temp: 41
[033] Power: 223.2570, Util: 100 Temp: 42
[034] Power: 223.2570, Util: 100 Temp: 42
[035] Power: 223.2570, Util: 100 Temp: 42
[036] Power: 223.2570, Util: 100 Temp: 42
[037] Power: 223.2570, Util: 100 Temp: 42
[038] Power: 223.7440, Util: 100 Temp: 42
[039] Power: 223.7440, Util: 100 Temp: 42
[040] Power: 223.7440, Util: 100 Temp: 42
[041] Power: 223.7440, Util: 100 Temp: 42
[042] Power: 223.7440, Util: 100 Temp: 42
[043] Power: 212.2090, Util: 100 Temp: 42
[044] Power: 214.9880, Util: 100 Temp: 42
[045] Power: 217.9070, Util: 100 Temp: 42
[046] Power: 220.8250, Util: 100 Temp: 42
[047] Power: 223.7440, Util: 100 Temp: 42
[048] Power: 223.7440, Util: 100 Temp: 43
[049] Power: 224.2300, Util: 100 Temp: 43
