Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 37.2330, Util: 0 Temp: 32
[001] Power: 132.3340, Util: 5 Temp: 33
[002] Power: 135.1760, Util: 5 Temp: 34
[003] Power: 156.0570, Util: 97 Temp: 35
[004] Power: 174.9620, Util: 98 Temp: 36
[005] Power: 180.8100, Util: 98 Temp: 36
[006] Power: 183.7340, Util: 98 Temp: 37
[007] Power: 186.5360, Util: 98 Temp: 37
[008] Power: 189.4580, Util: 98 Temp: 37
[009] Power: 186.5360, Util: 98 Temp: 38
[010] Power: 181.7850, Util: 98 Temp: 38
[011] Power: 184.5880, Util: 98 Temp: 38
[012] Power: 187.5100, Util: 98 Temp: 38
[013] Power: 189.9450, Util: 98 Temp: 39
[014] Power: 192.8670, Util: 98 Temp: 39
[015] Power: 192.8670, Util: 98 Temp: 39
[016] Power: 193.3540, Util: 98 Temp: 39
[017] Power: 193.3540, Util: 98 Temp: 39
[018] Power: 193.3540, Util: 98 Temp: 40
[019] Power: 193.3540, Util: 98 Temp: 40
[020] Power: 193.3540, Util: 98 Temp: 40
[021] Power: 193.3540, Util: 98 Temp: 40
[022] Power: 193.8410, Util: 98 Temp: 40
[023] Power: 183.1270, Util: 98 Temp: 40
[024] Power: 182.7600, Util: 98 Temp: 40
[025] Power: 185.5620, Util: 98 Temp: 40
[026] Power: 188.4840, Util: 98 Temp: 40
[027] Power: 191.4060, Util: 98 Temp: 40
[028] Power: 193.8410, Util: 98 Temp: 41
[029] Power: 193.8410, Util: 98 Temp: 41
[030] Power: 193.8410, Util: 98 Temp: 41
[031] Power: 193.8410, Util: 98 Temp: 41
[032] Power: 193.8410, Util: 98 Temp: 41
[033] Power: 194.3280, Util: 98 Temp: 41
[034] Power: 194.3280, Util: 98 Temp: 41
[035] Power: 194.3280, Util: 98 Temp: 41
[036] Power: 194.3280, Util: 98 Temp: 41
[037] Power: 194.3280, Util: 98 Temp: 41
[038] Power: 194.3280, Util: 98 Temp: 41
[039] Power: 194.3280, Util: 98 Temp: 41
[040] Power: 194.3280, Util: 98 Temp: 41
[041] Power: 194.3280, Util: 98 Temp: 42
[042] Power: 194.3280, Util: 98 Temp: 42
[043] Power: 194.3280, Util: 98 Temp: 42
[044] Power: 194.8160, Util: 98 Temp: 42
[045] Power: 194.8160, Util: 98 Temp: 42
[046] Power: 194.8160, Util: 98 Temp: 42
[047] Power: 194.8160, Util: 98 Temp: 42
[048] Power: 194.8160, Util: 98 Temp: 42
[049] Power: 194.8160, Util: 98 Temp: 42
[050] Power: 194.8160, Util: 98 Temp: 42
[051] Power: 194.8160, Util: 98 Temp: 42
[052] Power: 194.8160, Util: 98 Temp: 42
[053] Power: 194.8160, Util: 98 Temp: 42
[054] Power: 194.8160, Util: 98 Temp: 42
[055] Power: 194.8160, Util: 98 Temp: 42
[056] Power: 194.8160, Util: 98 Temp: 42
[057] Power: 194.8160, Util: 98 Temp: 42
[058] Power: 194.8160, Util: 98 Temp: 42
[059] Power: 194.8160, Util: 98 Temp: 42
[060] Power: 195.3030, Util: 98 Temp: 42
[061] Power: 195.3030, Util: 98 Temp: 42
[062] Power: 195.3030, Util: 98 Temp: 42
[063] Power: 181.7850, Util: 98 Temp: 42
[064] Power: 184.1010, Util: 98 Temp: 42
[065] Power: 187.0230, Util: 98 Temp: 42
[066] Power: 189.9450, Util: 98 Temp: 42
[067] Power: 192.3800, Util: 98 Temp: 42
[068] Power: 195.3030, Util: 98 Temp: 42
[069] Power: 195.3030, Util: 98 Temp: 42
[070] Power: 195.3030, Util: 98 Temp: 43
[071] Power: 195.3030, Util: 98 Temp: 43
[072] Power: 195.7900, Util: 98 Temp: 43
[073] Power: 195.7900, Util: 98 Temp: 43
[074] Power: 195.7900, Util: 98 Temp: 43
[075] Power: 195.3030, Util: 98 Temp: 43
[076] Power: 195.7900, Util: 98 Temp: 43
[077] Power: 195.7900, Util: 98 Temp: 43
[078] Power: 195.7900, Util: 98 Temp: 43
[079] Power: 195.7900, Util: 98 Temp: 43
[080] Power: 195.7900, Util: 98 Temp: 43
[081] Power: 195.7900, Util: 98 Temp: 43
[082] Power: 195.7900, Util: 98 Temp: 43
[083] Power: 195.7900, Util: 98 Temp: 43
[084] Power: 195.7900, Util: 98 Temp: 43
[085] Power: 195.7900, Util: 98 Temp: 43
[086] Power: 195.7900, Util: 98 Temp: 43
[087] Power: 195.7900, Util: 98 Temp: 43
[088] Power: 195.7900, Util: 98 Temp: 43
[089] Power: 195.7900, Util: 98 Temp: 43
[090] Power: 195.7900, Util: 98 Temp: 43
[091] Power: 195.7900, Util: 98 Temp: 43
[092] Power: 195.7900, Util: 98 Temp: 43
[093] Power: 195.7900, Util: 98 Temp: 43
[094] Power: 195.7900, Util: 98 Temp: 43
