Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 196.7640, Util: 98 Temp: 44
[001] Power: 196.7640, Util: 98 Temp: 44
[002] Power: 196.7640, Util: 98 Temp: 44
[003] Power: 196.7640, Util: 98 Temp: 44
[004] Power: 196.7640, Util: 98 Temp: 44
[005] Power: 196.7640, Util: 98 Temp: 44
[006] Power: 196.7640, Util: 98 Temp: 44
[007] Power: 196.7640, Util: 98 Temp: 44
[008] Power: 196.7640, Util: 98 Temp: 44
[009] Power: 196.7640, Util: 98 Temp: 44
[010] Power: 196.7640, Util: 98 Temp: 44
[011] Power: 196.7640, Util: 98 Temp: 44
[012] Power: 196.7640, Util: 98 Temp: 44
[013] Power: 196.7640, Util: 98 Temp: 44
[014] Power: 196.7640, Util: 98 Temp: 44
[015] Power: 196.7640, Util: 98 Temp: 44
[016] Power: 196.7640, Util: 98 Temp: 44
[017] Power: 196.7640, Util: 98 Temp: 44
[018] Power: 196.7640, Util: 98 Temp: 44
[019] Power: 196.7640, Util: 98 Temp: 44
[020] Power: 196.7640, Util: 98 Temp: 44
[021] Power: 196.7640, Util: 98 Temp: 44
[022] Power: 196.7640, Util: 98 Temp: 44
[023] Power: 196.7640, Util: 98 Temp: 44
[024] Power: 196.7640, Util: 98 Temp: 44
[025] Power: 196.7640, Util: 98 Temp: 44
[026] Power: 196.7640, Util: 98 Temp: 44
[027] Power: 196.7640, Util: 98 Temp: 44
[028] Power: 196.7640, Util: 98 Temp: 44
[029] Power: 196.7640, Util: 98 Temp: 44
[030] Power: 196.7640, Util: 98 Temp: 44
[031] Power: 196.7640, Util: 98 Temp: 45
[032] Power: 196.7640, Util: 98 Temp: 44
[033] Power: 196.7640, Util: 98 Temp: 45
[034] Power: 196.7640, Util: 98 Temp: 44
[035] Power: 196.7640, Util: 98 Temp: 44
[036] Power: 196.7640, Util: 98 Temp: 44
[037] Power: 196.6340, Util: 98 Temp: 44
[038] Power: 196.7640, Util: 98 Temp: 44
[039] Power: 196.7640, Util: 98 Temp: 45
[040] Power: 196.7640, Util: 98 Temp: 45
[041] Power: 196.7640, Util: 98 Temp: 45
[042] Power: 196.7640, Util: 98 Temp: 44
[043] Power: 196.7640, Util: 98 Temp: 44
[044] Power: 196.7640, Util: 98 Temp: 45
[045] Power: 196.7640, Util: 98 Temp: 45
[046] Power: 196.7640, Util: 98 Temp: 45
[047] Power: 196.7640, Util: 98 Temp: 45
[048] Power: 196.7640, Util: 98 Temp: 45
[049] Power: 196.7640, Util: 98 Temp: 44
[050] Power: 196.7640, Util: 98 Temp: 45
[051] Power: 196.7640, Util: 98 Temp: 45
[052] Power: 196.7640, Util: 98 Temp: 45
[053] Power: 196.7640, Util: 98 Temp: 45
[054] Power: 196.7640, Util: 98 Temp: 44
[055] Power: 196.7640, Util: 98 Temp: 45
[056] Power: 196.7640, Util: 98 Temp: 45
[057] Power: 196.7640, Util: 98 Temp: 44
[058] Power: 196.7640, Util: 98 Temp: 44
[059] Power: 196.7640, Util: 98 Temp: 44
[060] Power: 196.7640, Util: 98 Temp: 44
[061] Power: 196.7640, Util: 98 Temp: 45
[062] Power: 196.7640, Util: 98 Temp: 45
[063] Power: 196.7640, Util: 98 Temp: 45
[064] Power: 196.7640, Util: 98 Temp: 45
[065] Power: 196.7640, Util: 98 Temp: 45
[066] Power: 196.7640, Util: 98 Temp: 44
[067] Power: 196.7640, Util: 98 Temp: 45
[068] Power: 196.7640, Util: 98 Temp: 44
[069] Power: 196.7640, Util: 98 Temp: 44
[070] Power: 196.7640, Util: 98 Temp: 44
[071] Power: 196.7640, Util: 98 Temp: 45
[072] Power: 196.7640, Util: 98 Temp: 45
[073] Power: 196.7640, Util: 98 Temp: 45
[074] Power: 196.7640, Util: 98 Temp: 45
[075] Power: 196.7640, Util: 98 Temp: 45
[076] Power: 196.7640, Util: 98 Temp: 45
[077] Power: 196.7640, Util: 98 Temp: 44
[078] Power: 196.7640, Util: 98 Temp: 45
[079] Power: 196.7640, Util: 98 Temp: 45
[080] Power: 196.7640, Util: 98 Temp: 44
[081] Power: 196.7640, Util: 98 Temp: 45
[082] Power: 196.7640, Util: 98 Temp: 45
[083] Power: 196.6340, Util: 98 Temp: 45
[084] Power: 196.7640, Util: 98 Temp: 45
[085] Power: 196.7640, Util: 98 Temp: 45
[086] Power: 196.7640, Util: 98 Temp: 45
[087] Power: 196.7640, Util: 98 Temp: 45
[088] Power: 196.7640, Util: 98 Temp: 45
[089] Power: 196.7640, Util: 98 Temp: 45
[090] Power: 196.7640, Util: 98 Temp: 45
[091] Power: 196.7640, Util: 98 Temp: 45
[092] Power: 196.7640, Util: 98 Temp: 45
[093] Power: 196.7640, Util: 98 Temp: 45
[094] Power: 196.7640, Util: 98 Temp: 45
[095] Power: 196.7640, Util: 98 Temp: 45
[096] Power: 196.7640, Util: 98 Temp: 45
[097] Power: 196.7640, Util: 98 Temp: 45
[098] Power: 196.7640, Util: 98 Temp: 45
[099] Power: 197.2510, Util: 98 Temp: 45
[100] Power: 196.7640, Util: 98 Temp: 45
[101] Power: 196.7640, Util: 98 Temp: 45
[102] Power: 196.7640, Util: 98 Temp: 45
[103] Power: 196.7640, Util: 98 Temp: 45
[104] Power: 196.7640, Util: 98 Temp: 45
[105] Power: 196.7640, Util: 98 Temp: 45
[106] Power: 196.7640, Util: 98 Temp: 45
[107] Power: 196.7640, Util: 98 Temp: 45
[108] Power: 196.7640, Util: 98 Temp: 45
[109] Power: 196.7640, Util: 98 Temp: 45
[110] Power: 196.7640, Util: 98 Temp: 45
[111] Power: 196.7640, Util: 98 Temp: 45
[112] Power: 196.7640, Util: 98 Temp: 45
[113] Power: 196.7640, Util: 98 Temp: 45
[114] Power: 196.7640, Util: 98 Temp: 45
[115] Power: 196.7640, Util: 98 Temp: 45
[116] Power: 196.7640, Util: 98 Temp: 45
[117] Power: 196.7640, Util: 98 Temp: 45
[118] Power: 196.7640, Util: 98 Temp: 45
[119] Power: 196.7640, Util: 98 Temp: 45
[120] Power: 197.2510, Util: 98 Temp: 45
[121] Power: 196.7640, Util: 98 Temp: 45
[122] Power: 196.7640, Util: 98 Temp: 45
[123] Power: 196.7640, Util: 98 Temp: 45
[124] Power: 196.7640, Util: 98 Temp: 45
[125] Power: 196.7640, Util: 98 Temp: 45
[126] Power: 196.7640, Util: 98 Temp: 45
[127] Power: 197.2510, Util: 98 Temp: 45
[128] Power: 196.6340, Util: 98 Temp: 45
[129] Power: 196.7640, Util: 98 Temp: 44
[130] Power: 197.2510, Util: 98 Temp: 45
[131] Power: 196.7640, Util: 98 Temp: 45
[132] Power: 196.7640, Util: 98 Temp: 45
[133] Power: 196.7640, Util: 98 Temp: 45
[134] Power: 196.7640, Util: 98 Temp: 45
[135] Power: 196.7640, Util: 98 Temp: 45
[136] Power: 196.7640, Util: 98 Temp: 45
[137] Power: 196.7640, Util: 98 Temp: 45
[138] Power: 196.7640, Util: 98 Temp: 45
[139] Power: 196.7640, Util: 98 Temp: 45
[140] Power: 196.7640, Util: 98 Temp: 45
[141] Power: 196.7640, Util: 98 Temp: 45
[142] Power: 196.7640, Util: 98 Temp: 45
[143] Power: 196.7640, Util: 98 Temp: 45
[144] Power: 196.7640, Util: 98 Temp: 45
[145] Power: 196.7640, Util: 98 Temp: 45
[146] Power: 196.7640, Util: 98 Temp: 45
[147] Power: 196.7640, Util: 98 Temp: 45
[148] Power: 196.7640, Util: 98 Temp: 45
[149] Power: 196.7640, Util: 98 Temp: 45
[150] Power: 196.7640, Util: 98 Temp: 45
[151] Power: 196.7640, Util: 98 Temp: 44
[152] Power: 197.2510, Util: 98 Temp: 45
[153] Power: 197.2510, Util: 98 Temp: 45
[154] Power: 196.7640, Util: 98 Temp: 45
[155] Power: 196.7640, Util: 98 Temp: 45
[156] Power: 197.2510, Util: 98 Temp: 45
[157] Power: 196.7640, Util: 98 Temp: 45
