Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 35.7870, Util: 0 Temp: 33
[001] Power: 51.9310, Util: 0 Temp: 33
[002] Power: 149.8160, Util: 5 Temp: 35
[003] Power: 177.8860, Util: 74 Temp: 36
[004] Power: 183.1270, Util: 74 Temp: 37
[005] Power: 211.2360, Util: 100 Temp: 38
[006] Power: 210.7490, Util: 100 Temp: 39
[007] Power: 211.2360, Util: 100 Temp: 39
[008] Power: 211.2360, Util: 100 Temp: 40
[009] Power: 212.2090, Util: 100 Temp: 40
[010] Power: 212.6960, Util: 100 Temp: 40
[011] Power: 213.1830, Util: 100 Temp: 41
[012] Power: 213.6700, Util: 100 Temp: 41
[013] Power: 213.6700, Util: 100 Temp: 41
[014] Power: 212.6960, Util: 100 Temp: 42
[015] Power: 213.1830, Util: 100 Temp: 42
[016] Power: 213.6700, Util: 100 Temp: 42
[017] Power: 214.1560, Util: 100 Temp: 42
[018] Power: 214.1560, Util: 100 Temp: 42
[019] Power: 214.1560, Util: 100 Temp: 42
[020] Power: 213.6700, Util: 100 Temp: 43
[021] Power: 213.6700, Util: 100 Temp: 43
[022] Power: 214.9880, Util: 100 Temp: 43
[023] Power: 213.0430, Util: 100 Temp: 43
[024] Power: 213.0430, Util: 100 Temp: 43
[025] Power: 212.5560, Util: 100 Temp: 43
[026] Power: 213.0430, Util: 100 Temp: 43
[027] Power: 214.1560, Util: 100 Temp: 44
[028] Power: 214.1560, Util: 100 Temp: 44
[029] Power: 214.9880, Util: 100 Temp: 44
[030] Power: 215.1300, Util: 100 Temp: 44
[031] Power: 215.6160, Util: 100 Temp: 44
[032] Power: 214.9880, Util: 100 Temp: 44
[033] Power: 215.6160, Util: 100 Temp: 44
[034] Power: 214.6430, Util: 100 Temp: 44
[035] Power: 214.6430, Util: 100 Temp: 44
[036] Power: 214.6430, Util: 100 Temp: 44
[037] Power: 213.5290, Util: 100 Temp: 45
[038] Power: 213.5290, Util: 100 Temp: 45
[039] Power: 213.0430, Util: 100 Temp: 45
[040] Power: 213.5290, Util: 100 Temp: 45
[041] Power: 213.1830, Util: 100 Temp: 45
[042] Power: 214.0160, Util: 100 Temp: 45
[043] Power: 213.6700, Util: 100 Temp: 45
[044] Power: 213.6700, Util: 100 Temp: 45
[045] Power: 215.6160, Util: 100 Temp: 45
[046] Power: 215.1300, Util: 100 Temp: 45
[047] Power: 214.9880, Util: 100 Temp: 45
[048] Power: 215.1300, Util: 100 Temp: 45
[049] Power: 215.6160, Util: 100 Temp: 45
[050] Power: 216.1030, Util: 100 Temp: 45
[051] Power: 215.1300, Util: 100 Temp: 45
[052] Power: 214.1560, Util: 100 Temp: 45
[053] Power: 214.0160, Util: 100 Temp: 45
[054] Power: 214.5020, Util: 100 Temp: 46
[055] Power: 214.5020, Util: 100 Temp: 46
[056] Power: 213.6700, Util: 100 Temp: 46
[057] Power: 214.0160, Util: 100 Temp: 46
[058] Power: 214.9880, Util: 100 Temp: 46
[059] Power: 215.4750, Util: 100 Temp: 46
[060] Power: 214.9880, Util: 100 Temp: 46
[061] Power: 216.1030, Util: 100 Temp: 46
[062] Power: 216.5900, Util: 100 Temp: 46
[063] Power: 215.6160, Util: 100 Temp: 46
[064] Power: 214.0160, Util: 100 Temp: 46
[065] Power: 214.5020, Util: 100 Temp: 46
[066] Power: 215.1300, Util: 100 Temp: 46
[067] Power: 215.6160, Util: 100 Temp: 46
[068] Power: 215.6160, Util: 100 Temp: 46
[069] Power: 215.6160, Util: 100 Temp: 46
[070] Power: 215.9610, Util: 100 Temp: 46
[071] Power: 215.9610, Util: 100 Temp: 46
[072] Power: 215.9610, Util: 100 Temp: 46
[073] Power: 216.1030, Util: 100 Temp: 46
[074] Power: 216.5900, Util: 100 Temp: 46
[075] Power: 217.0770, Util: 100 Temp: 46
[076] Power: 216.5900, Util: 100 Temp: 46
[077] Power: 215.6160, Util: 100 Temp: 46
[078] Power: 214.6430, Util: 100 Temp: 46
[079] Power: 214.0160, Util: 100 Temp: 46
[080] Power: 215.6160, Util: 100 Temp: 46
[081] Power: 214.9880, Util: 100 Temp: 46
[082] Power: 215.1300, Util: 100 Temp: 47
[083] Power: 216.1030, Util: 100 Temp: 47
[084] Power: 216.4480, Util: 100 Temp: 47
[085] Power: 216.9340, Util: 100 Temp: 47
[086] Power: 216.4480, Util: 100 Temp: 47
[087] Power: 216.5900, Util: 100 Temp: 47
[088] Power: 215.9610, Util: 100 Temp: 47
[089] Power: 216.1030, Util: 100 Temp: 47
[090] Power: 216.1030, Util: 100 Temp: 47
[091] Power: 217.0770, Util: 100 Temp: 47
[092] Power: 215.4750, Util: 100 Temp: 47
[093] Power: 215.4750, Util: 100 Temp: 47
[094] Power: 214.9880, Util: 100 Temp: 47
[095] Power: 215.1300, Util: 100 Temp: 47
[096] Power: 215.1300, Util: 100 Temp: 47
[097] Power: 216.4480, Util: 100 Temp: 47
[098] Power: 215.6160, Util: 100 Temp: 47
[099] Power: 216.1030, Util: 100 Temp: 47
[100] Power: 216.4480, Util: 100 Temp: 47
[101] Power: 216.4480, Util: 100 Temp: 47
[102] Power: 216.5900, Util: 100 Temp: 47
[103] Power: 216.1030, Util: 100 Temp: 47
[104] Power: 216.5900, Util: 100 Temp: 47
[105] Power: 214.5020, Util: 100 Temp: 47
[106] Power: 215.4750, Util: 100 Temp: 47
[107] Power: 215.9610, Util: 100 Temp: 47
[108] Power: 215.6160, Util: 100 Temp: 47
[109] Power: 216.4480, Util: 100 Temp: 47
[110] Power: 216.4480, Util: 100 Temp: 47
[111] Power: 216.9340, Util: 100 Temp: 47
[112] Power: 217.4200, Util: 100 Temp: 47
[113] Power: 216.9340, Util: 100 Temp: 47
[114] Power: 216.1030, Util: 100 Temp: 47
[115] Power: 215.4750, Util: 100 Temp: 47
[116] Power: 214.1560, Util: 100 Temp: 47
[117] Power: 214.5020, Util: 100 Temp: 47
[118] Power: 214.5020, Util: 100 Temp: 47
[119] Power: 215.1300, Util: 100 Temp: 47
[120] Power: 215.6160, Util: 100 Temp: 47
[121] Power: 216.5900, Util: 100 Temp: 47
[122] Power: 216.9340, Util: 100 Temp: 47
[123] Power: 216.5900, Util: 100 Temp: 47
[124] Power: 216.9340, Util: 100 Temp: 47
[125] Power: 216.4480, Util: 100 Temp: 47
[126] Power: 217.0770, Util: 100 Temp: 47
