Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.7440, Util: 0 Temp: 30
[001] Power: 36.7680, Util: 0 Temp: 31
[002] Power: 36.7440, Util: 0 Temp: 31
[003] Power: 36.7440, Util: 0 Temp: 31
[004] Power: 36.7440, Util: 0 Temp: 31
[005] Power: 36.7440, Util: 0 Temp: 30
[006] Power: 36.7440, Util: 0 Temp: 31
[007] Power: 36.7440, Util: 0 Temp: 31
[008] Power: 36.7440, Util: 0 Temp: 31
[009] Power: 36.7440, Util: 0 Temp: 31
[010] Power: 36.7440, Util: 0 Temp: 31
[011] Power: 36.7440, Util: 0 Temp: 31
[012] Power: 36.7440, Util: 0 Temp: 31
[013] Power: 36.7440, Util: 0 Temp: 31
[014] Power: 36.7440, Util: 0 Temp: 31
[015] Power: 36.7440, Util: 0 Temp: 31
[016] Power: 36.7440, Util: 0 Temp: 31
[017] Power: 36.7440, Util: 0 Temp: 31
[018] Power: 36.7440, Util: 0 Temp: 31
[019] Power: 36.7440, Util: 0 Temp: 30
[020] Power: 36.7440, Util: 0 Temp: 30
[021] Power: 36.7440, Util: 0 Temp: 31
[022] Power: 36.7440, Util: 0 Temp: 30
[023] Power: 36.7680, Util: 0 Temp: 30
[024] Power: 36.7440, Util: 0 Temp: 30
[025] Power: 36.7440, Util: 0 Temp: 30
[026] Power: 36.7440, Util: 0 Temp: 30
[027] Power: 36.7440, Util: 0 Temp: 30
[028] Power: 36.7440, Util: 0 Temp: 31
[029] Power: 36.7440, Util: 0 Temp: 30
[030] Power: 36.7440, Util: 0 Temp: 31
[031] Power: 42.6230, Util: 0 Temp: 31
[032] Power: 136.7290, Util: 2 Temp: 32
[033] Power: 152.7440, Util: 92 Temp: 33
[034] Power: 161.9090, Util: 92 Temp: 34
[035] Power: 183.7340, Util: 100 Temp: 35
[036] Power: 184.2220, Util: 100 Temp: 35
[037] Power: 184.7090, Util: 100 Temp: 36
[038] Power: 183.7340, Util: 100 Temp: 36
[039] Power: 184.7090, Util: 100 Temp: 36
[040] Power: 185.1960, Util: 100 Temp: 37
[041] Power: 185.1960, Util: 100 Temp: 37
[042] Power: 183.2470, Util: 100 Temp: 37
[043] Power: 185.1960, Util: 100 Temp: 37
[044] Power: 185.6840, Util: 100 Temp: 38
[045] Power: 185.6840, Util: 100 Temp: 38
[046] Power: 185.6840, Util: 100 Temp: 38
[047] Power: 185.6840, Util: 100 Temp: 38
[048] Power: 185.6840, Util: 100 Temp: 38
[049] Power: 185.6840, Util: 100 Temp: 38
[050] Power: 185.6840, Util: 100 Temp: 38
[051] Power: 185.6840, Util: 100 Temp: 39
[052] Power: 186.1710, Util: 100 Temp: 39
[053] Power: 186.1710, Util: 100 Temp: 39
[054] Power: 186.1710, Util: 100 Temp: 39
[055] Power: 186.1710, Util: 100 Temp: 39
[056] Power: 186.1710, Util: 100 Temp: 39
[057] Power: 186.1710, Util: 100 Temp: 39
[058] Power: 186.1710, Util: 100 Temp: 39
[059] Power: 186.1710, Util: 100 Temp: 39
[060] Power: 186.1710, Util: 100 Temp: 40
[061] Power: 186.6580, Util: 100 Temp: 40
[062] Power: 186.6580, Util: 100 Temp: 40
[063] Power: 186.6580, Util: 100 Temp: 40
[064] Power: 186.1710, Util: 100 Temp: 40
[065] Power: 186.6580, Util: 100 Temp: 40
[066] Power: 186.6580, Util: 100 Temp: 40
[067] Power: 186.6580, Util: 100 Temp: 40
[068] Power: 186.6580, Util: 100 Temp: 40
[069] Power: 186.6580, Util: 100 Temp: 40
[070] Power: 186.6580, Util: 100 Temp: 40
[071] Power: 186.6580, Util: 100 Temp: 40
[072] Power: 186.6580, Util: 100 Temp: 40
[073] Power: 186.6580, Util: 100 Temp: 40
[074] Power: 186.6580, Util: 100 Temp: 40
[075] Power: 186.6580, Util: 100 Temp: 40
[076] Power: 186.6580, Util: 100 Temp: 41
[077] Power: 186.6580, Util: 100 Temp: 41
[078] Power: 187.1460, Util: 100 Temp: 41
[079] Power: 186.6580, Util: 100 Temp: 41
[080] Power: 186.6580, Util: 100 Temp: 41
[081] Power: 187.1460, Util: 100 Temp: 41
[082] Power: 187.1460, Util: 100 Temp: 41
[083] Power: 187.1460, Util: 100 Temp: 41
[084] Power: 187.1460, Util: 100 Temp: 41
[085] Power: 187.1460, Util: 100 Temp: 41
[086] Power: 187.1460, Util: 100 Temp: 41
[087] Power: 186.6580, Util: 100 Temp: 41
[088] Power: 186.6580, Util: 100 Temp: 41
[089] Power: 187.1460, Util: 100 Temp: 41
[090] Power: 187.1460, Util: 100 Temp: 41
[091] Power: 187.1460, Util: 100 Temp: 41
[092] Power: 187.1460, Util: 100 Temp: 41
[093] Power: 187.1460, Util: 100 Temp: 41
[094] Power: 187.1460, Util: 100 Temp: 41
[095] Power: 187.1460, Util: 100 Temp: 41
[096] Power: 187.1460, Util: 100 Temp: 41
[097] Power: 187.1460, Util: 100 Temp: 41
[098] Power: 187.1460, Util: 100 Temp: 41
[099] Power: 187.1460, Util: 100 Temp: 41
[100] Power: 187.1460, Util: 100 Temp: 41
[101] Power: 187.6330, Util: 100 Temp: 41
[102] Power: 187.6330, Util: 100 Temp: 41
[103] Power: 187.1460, Util: 100 Temp: 41
[104] Power: 187.1460, Util: 100 Temp: 42
[105] Power: 187.1460, Util: 100 Temp: 42
[106] Power: 187.1460, Util: 100 Temp: 42
[107] Power: 187.6330, Util: 100 Temp: 42
[108] Power: 187.6330, Util: 100 Temp: 42
[109] Power: 187.1460, Util: 100 Temp: 42
[110] Power: 187.6330, Util: 100 Temp: 42
[111] Power: 187.6330, Util: 100 Temp: 42
[112] Power: 187.6330, Util: 100 Temp: 42
[113] Power: 187.6330, Util: 100 Temp: 42
[114] Power: 187.6330, Util: 100 Temp: 42
[115] Power: 187.1460, Util: 100 Temp: 42
[116] Power: 187.6330, Util: 100 Temp: 42
[117] Power: 187.6330, Util: 100 Temp: 42
[118] Power: 187.6330, Util: 100 Temp: 42
[119] Power: 187.6330, Util: 100 Temp: 42
[120] Power: 187.6330, Util: 100 Temp: 42
[121] Power: 187.6330, Util: 100 Temp: 42
[122] Power: 187.6330, Util: 100 Temp: 42
[123] Power: 187.6330, Util: 100 Temp: 42
[124] Power: 187.6330, Util: 100 Temp: 42
[125] Power: 187.6330, Util: 100 Temp: 42
[126] Power: 187.6330, Util: 100 Temp: 42
[127] Power: 187.6330, Util: 100 Temp: 42
[128] Power: 187.6330, Util: 100 Temp: 42
[129] Power: 187.6330, Util: 100 Temp: 42
[130] Power: 187.6330, Util: 100 Temp: 42
[131] Power: 187.6330, Util: 100 Temp: 42
[132] Power: 187.6330, Util: 100 Temp: 42
[133] Power: 187.6330, Util: 100 Temp: 42
[134] Power: 187.6330, Util: 100 Temp: 42
[135] Power: 187.6330, Util: 100 Temp: 42
[136] Power: 187.6330, Util: 100 Temp: 42
[137] Power: 187.6330, Util: 100 Temp: 42
[138] Power: 187.6330, Util: 100 Temp: 42
[139] Power: 187.6330, Util: 100 Temp: 42
[140] Power: 187.6330, Util: 100 Temp: 42
[141] Power: 187.6330, Util: 100 Temp: 42
[142] Power: 187.6330, Util: 100 Temp: 42
[143] Power: 187.6330, Util: 100 Temp: 42
[144] Power: 187.6330, Util: 100 Temp: 42
[145] Power: 187.6330, Util: 100 Temp: 42
[146] Power: 187.6330, Util: 100 Temp: 42
[147] Power: 189.5830, Util: 100 Temp: 42
[148] Power: 190.0700, Util: 100 Temp: 42
[149] Power: 190.4320, Util: 100 Temp: 42
[150] Power: 190.5570, Util: 100 Temp: 42
[151] Power: 190.5570, Util: 100 Temp: 42
[152] Power: 190.5570, Util: 99 Temp: 42
[153] Power: 190.5570, Util: 100 Temp: 42
[154] Power: 190.5570, Util: 100 Temp: 42
[155] Power: 190.4320, Util: 100 Temp: 42
[156] Power: 190.5570, Util: 100 Temp: 42
[157] Power: 190.5570, Util: 100 Temp: 42
[158] Power: 190.5570, Util: 100 Temp: 42
[159] Power: 190.5570, Util: 100 Temp: 42
[160] Power: 190.5570, Util: 100 Temp: 42
[161] Power: 190.5570, Util: 100 Temp: 42
[162] Power: 190.4320, Util: 100 Temp: 42
[163] Power: 190.5570, Util: 100 Temp: 42
[164] Power: 190.4320, Util: 100 Temp: 43
[165] Power: 190.5570, Util: 100 Temp: 42
[166] Power: 190.4320, Util: 100 Temp: 42
[167] Power: 190.5570, Util: 100 Temp: 42
[168] Power: 190.4320, Util: 100 Temp: 42
