Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 37.3200, Util: 0 Temp: 31
[001] Power: 36.8220, Util: 0 Temp: 31
[002] Power: 37.1040, Util: 0 Temp: 31
[003] Power: 37.2720, Util: 0 Temp: 31
[004] Power: 37.3200, Util: 0 Temp: 31
[005] Power: 37.2960, Util: 0 Temp: 31
[006] Power: 37.2960, Util: 0 Temp: 31
[007] Power: 37.3200, Util: 0 Temp: 31
[008] Power: 46.7740, Util: 2 Temp: 31
[009] Power: 51.2190, Util: 2 Temp: 31
[010] Power: 51.2190, Util: 3 Temp: 31
[011] Power: 82.0700, Util: 3 Temp: 32
[012] Power: 84.5900, Util: 34 Temp: 32
[013] Power: 92.3520, Util: 99 Temp: 32
[014] Power: 98.7050, Util: 99 Temp: 33
[015] Power: 111.3360, Util: 99 Temp: 33
[016] Power: 111.8250, Util: 99 Temp: 33
[017] Power: 111.8250, Util: 99 Temp: 34
[018] Power: 111.8250, Util: 99 Temp: 34
[019] Power: 111.8250, Util: 99 Temp: 34
[020] Power: 111.8250, Util: 99 Temp: 34
[021] Power: 111.8250, Util: 99 Temp: 34
[022] Power: 111.8250, Util: 99 Temp: 34
[023] Power: 111.8250, Util: 99 Temp: 34
[024] Power: 111.8250, Util: 99 Temp: 35
[025] Power: 111.8250, Util: 99 Temp: 35
[026] Power: 111.8250, Util: 99 Temp: 35
[027] Power: 111.8250, Util: 99 Temp: 35
[028] Power: 111.8980, Util: 99 Temp: 35
[029] Power: 112.3130, Util: 99 Temp: 35
[030] Power: 112.3130, Util: 99 Temp: 35
[031] Power: 112.3130, Util: 99 Temp: 35
[032] Power: 112.3130, Util: 99 Temp: 35
[033] Power: 112.3130, Util: 99 Temp: 35
[034] Power: 112.3130, Util: 99 Temp: 35
[035] Power: 112.3130, Util: 99 Temp: 35
[036] Power: 112.3130, Util: 99 Temp: 35
[037] Power: 112.3130, Util: 99 Temp: 35
[038] Power: 112.3130, Util: 99 Temp: 35
[039] Power: 112.3130, Util: 99 Temp: 35
[040] Power: 112.3130, Util: 99 Temp: 36
[041] Power: 112.3130, Util: 99 Temp: 36
[042] Power: 112.3130, Util: 99 Temp: 36
[043] Power: 112.3130, Util: 99 Temp: 36
[044] Power: 112.3130, Util: 99 Temp: 36
[045] Power: 116.7080, Util: 99 Temp: 36
[046] Power: 116.7080, Util: 99 Temp: 36
[047] Power: 117.1960, Util: 99 Temp: 36
[048] Power: 116.7080, Util: 99 Temp: 36
[049] Power: 116.7080, Util: 99 Temp: 36
[050] Power: 117.1960, Util: 99 Temp: 36
[051] Power: 116.7080, Util: 99 Temp: 36
[052] Power: 116.7080, Util: 99 Temp: 36
[053] Power: 117.1960, Util: 99 Temp: 36
[054] Power: 117.1960, Util: 99 Temp: 36
[055] Power: 117.1960, Util: 99 Temp: 36
[056] Power: 117.1960, Util: 99 Temp: 36
[057] Power: 117.1960, Util: 99 Temp: 36
[058] Power: 117.1960, Util: 99 Temp: 36
[059] Power: 117.1960, Util: 99 Temp: 36
[060] Power: 117.1960, Util: 99 Temp: 36
[061] Power: 117.1960, Util: 99 Temp: 36
[062] Power: 117.1960, Util: 99 Temp: 36
[063] Power: 117.1200, Util: 99 Temp: 36
[064] Power: 117.1960, Util: 99 Temp: 36
[065] Power: 117.1960, Util: 99 Temp: 36
[066] Power: 117.1960, Util: 99 Temp: 37
[067] Power: 117.1960, Util: 99 Temp: 37
[068] Power: 117.1960, Util: 99 Temp: 37
[069] Power: 117.1960, Util: 99 Temp: 37
[070] Power: 117.1960, Util: 99 Temp: 37
[071] Power: 117.1960, Util: 99 Temp: 37
[072] Power: 117.1960, Util: 99 Temp: 37
[073] Power: 117.1960, Util: 99 Temp: 37
[074] Power: 117.1960, Util: 99 Temp: 37
[075] Power: 117.1960, Util: 99 Temp: 37
[076] Power: 117.1960, Util: 99 Temp: 37
[077] Power: 117.1960, Util: 99 Temp: 37
[078] Power: 117.1960, Util: 99 Temp: 37
[079] Power: 117.1960, Util: 99 Temp: 37
[080] Power: 117.1960, Util: 99 Temp: 37
[081] Power: 117.1960, Util: 99 Temp: 37
[082] Power: 117.1960, Util: 99 Temp: 37
[083] Power: 117.1960, Util: 99 Temp: 37
[084] Power: 117.1960, Util: 99 Temp: 37
[085] Power: 117.1960, Util: 99 Temp: 37
[086] Power: 117.1960, Util: 99 Temp: 37
[087] Power: 117.1960, Util: 99 Temp: 37
[088] Power: 117.1960, Util: 99 Temp: 37
[089] Power: 117.1960, Util: 99 Temp: 37
[090] Power: 117.1960, Util: 99 Temp: 37
[091] Power: 117.1960, Util: 99 Temp: 37
[092] Power: 117.1960, Util: 99 Temp: 37
[093] Power: 117.1960, Util: 99 Temp: 37
[094] Power: 117.1960, Util: 99 Temp: 37
[095] Power: 117.1960, Util: 99 Temp: 37
[096] Power: 117.1960, Util: 99 Temp: 37
[097] Power: 117.1960, Util: 99 Temp: 37
[098] Power: 117.1960, Util: 99 Temp: 37
[099] Power: 117.1960, Util: 99 Temp: 37
[100] Power: 117.1960, Util: 99 Temp: 37
[101] Power: 117.1960, Util: 99 Temp: 37
[102] Power: 117.1960, Util: 99 Temp: 37
[103] Power: 117.1960, Util: 99 Temp: 37
[104] Power: 117.1960, Util: 99 Temp: 37
[105] Power: 117.1960, Util: 99 Temp: 37
[106] Power: 117.1960, Util: 99 Temp: 37
[107] Power: 117.1960, Util: 99 Temp: 37
[108] Power: 117.1960, Util: 99 Temp: 37
[109] Power: 117.1960, Util: 99 Temp: 37
[110] Power: 117.1960, Util: 99 Temp: 37
[111] Power: 117.1960, Util: 99 Temp: 37
[112] Power: 117.1960, Util: 99 Temp: 37
[113] Power: 117.1960, Util: 99 Temp: 37
[114] Power: 117.1960, Util: 99 Temp: 37
[115] Power: 117.1960, Util: 99 Temp: 37
[116] Power: 117.1960, Util: 99 Temp: 37
[117] Power: 117.1960, Util: 99 Temp: 37
[118] Power: 117.1960, Util: 99 Temp: 37
[119] Power: 117.6850, Util: 99 Temp: 37
[120] Power: 117.1960, Util: 99 Temp: 37
[121] Power: 117.1960, Util: 99 Temp: 37
[122] Power: 117.1960, Util: 99 Temp: 37
[123] Power: 117.1960, Util: 99 Temp: 37
[124] Power: 117.1960, Util: 99 Temp: 37
[125] Power: 117.1960, Util: 99 Temp: 37
[126] Power: 117.1960, Util: 99 Temp: 37
[127] Power: 117.1960, Util: 99 Temp: 37
[128] Power: 117.1960, Util: 99 Temp: 37
[129] Power: 117.1960, Util: 99 Temp: 37
[130] Power: 117.1960, Util: 99 Temp: 37
[131] Power: 117.1960, Util: 99 Temp: 37
[132] Power: 117.1960, Util: 99 Temp: 37
[133] Power: 117.1960, Util: 99 Temp: 37
[134] Power: 117.6850, Util: 99 Temp: 37
[135] Power: 117.1960, Util: 99 Temp: 37
[136] Power: 117.1960, Util: 99 Temp: 37
[137] Power: 117.1960, Util: 99 Temp: 37
[138] Power: 117.1960, Util: 99 Temp: 37
[139] Power: 117.1960, Util: 99 Temp: 37
[140] Power: 117.1960, Util: 99 Temp: 37
[141] Power: 117.1960, Util: 99 Temp: 37
[142] Power: 117.1960, Util: 99 Temp: 37
[143] Power: 117.6850, Util: 99 Temp: 37
[144] Power: 117.1960, Util: 99 Temp: 37
[145] Power: 117.6850, Util: 99 Temp: 37
[146] Power: 117.1960, Util: 99 Temp: 37
[147] Power: 117.1960, Util: 99 Temp: 37
[148] Power: 117.1960, Util: 99 Temp: 37
[149] Power: 117.6850, Util: 99 Temp: 37
[150] Power: 117.6850, Util: 99 Temp: 37
[151] Power: 117.1960, Util: 99 Temp: 37
[152] Power: 117.6850, Util: 99 Temp: 37
[153] Power: 117.6850, Util: 99 Temp: 37
[154] Power: 117.6850, Util: 99 Temp: 37
[155] Power: 117.1960, Util: 99 Temp: 37
[156] Power: 117.1960, Util: 99 Temp: 37
[157] Power: 117.1960, Util: 99 Temp: 37
[158] Power: 117.1960, Util: 99 Temp: 37
[159] Power: 117.1960, Util: 99 Temp: 37
[160] Power: 117.1960, Util: 99 Temp: 37
[161] Power: 117.1960, Util: 99 Temp: 37
[162] Power: 117.6850, Util: 99 Temp: 37
[163] Power: 117.6850, Util: 99 Temp: 37
[164] Power: 117.6850, Util: 99 Temp: 37
[165] Power: 117.6850, Util: 99 Temp: 37
[166] Power: 117.1960, Util: 99 Temp: 37
