Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.7680, Util: 0 Temp: 31
[001] Power: 53.4010, Util: 1 Temp: 31
[002] Power: 53.4010, Util: 4 Temp: 31
[003] Power: 53.4010, Util: 4 Temp: 31
[004] Power: 53.4010, Util: 1 Temp: 31
[005] Power: 53.4010, Util: 1 Temp: 31
[006] Power: 53.4010, Util: 0 Temp: 31
[007] Power: 147.8640, Util: 0 Temp: 32
[008] Power: 157.1360, Util: 0 Temp: 34
[009] Power: 177.0270, Util: 99 Temp: 34
[010] Power: 180.9290, Util: 100 Temp: 35
[011] Power: 197.8680, Util: 100 Temp: 36
[012] Power: 200.6600, Util: 100 Temp: 36
[013] Power: 203.7160, Util: 100 Temp: 37
[014] Power: 206.0170, Util: 100 Temp: 37
[015] Power: 209.4270, Util: 100 Temp: 38
[016] Power: 209.4270, Util: 100 Temp: 38
[017] Power: 209.4270, Util: 100 Temp: 38
[018] Power: 209.9140, Util: 100 Temp: 39
[019] Power: 209.4270, Util: 100 Temp: 39
[020] Power: 198.3550, Util: 100 Temp: 39
[021] Power: 199.1990, Util: 100 Temp: 39
[022] Power: 201.6340, Util: 100 Temp: 39
[023] Power: 204.5560, Util: 100 Temp: 39
[024] Power: 197.8680, Util: 100 Temp: 39
[025] Power: 199.8170, Util: 100 Temp: 39
[026] Power: 202.1210, Util: 100 Temp: 40
[027] Power: 205.0430, Util: 100 Temp: 40
[028] Power: 207.4790, Util: 100 Temp: 40
[029] Power: 210.4010, Util: 100 Temp: 40
[030] Power: 210.8880, Util: 100 Temp: 40
[031] Power: 210.8880, Util: 100 Temp: 40
[032] Power: 210.4010, Util: 100 Temp: 41
[033] Power: 210.8880, Util: 100 Temp: 41
[034] Power: 210.4010, Util: 100 Temp: 41
[035] Power: 210.8880, Util: 100 Temp: 41
[036] Power: 210.8880, Util: 100 Temp: 41
[037] Power: 210.8880, Util: 100 Temp: 41
[038] Power: 210.8880, Util: 100 Temp: 41
[039] Power: 210.8880, Util: 100 Temp: 41
[040] Power: 210.8880, Util: 100 Temp: 41
[041] Power: 210.8880, Util: 100 Temp: 41
[042] Power: 210.8880, Util: 100 Temp: 41
[043] Power: 210.8880, Util: 100 Temp: 41
[044] Power: 211.3750, Util: 100 Temp: 42
[045] Power: 211.3750, Util: 100 Temp: 42
[046] Power: 211.3750, Util: 100 Temp: 42
[047] Power: 211.3750, Util: 100 Temp: 42
[048] Power: 211.3750, Util: 100 Temp: 42
[049] Power: 211.3750, Util: 100 Temp: 42
[050] Power: 211.3750, Util: 100 Temp: 42
[051] Power: 211.3750, Util: 100 Temp: 42
[052] Power: 211.8620, Util: 100 Temp: 42
[053] Power: 211.3750, Util: 100 Temp: 42
[054] Power: 211.8620, Util: 100 Temp: 42
[055] Power: 211.3750, Util: 100 Temp: 42
[056] Power: 211.8620, Util: 100 Temp: 42
[057] Power: 211.3750, Util: 100 Temp: 42
[058] Power: 211.8620, Util: 100 Temp: 42
[059] Power: 211.3750, Util: 100 Temp: 42
[060] Power: 211.8620, Util: 100 Temp: 42
[061] Power: 211.8620, Util: 100 Temp: 42
[062] Power: 211.8620, Util: 100 Temp: 42
[063] Power: 211.8620, Util: 100 Temp: 43
[064] Power: 211.8620, Util: 100 Temp: 43
[065] Power: 211.8620, Util: 100 Temp: 43
[066] Power: 211.8620, Util: 100 Temp: 43
[067] Power: 211.8620, Util: 100 Temp: 43
[068] Power: 211.8620, Util: 100 Temp: 43
[069] Power: 211.8620, Util: 100 Temp: 43
[070] Power: 211.8620, Util: 100 Temp: 43
[071] Power: 211.8620, Util: 100 Temp: 43
[072] Power: 211.8620, Util: 100 Temp: 43
[073] Power: 212.3490, Util: 100 Temp: 43
[074] Power: 211.8620, Util: 100 Temp: 43
[075] Power: 211.8620, Util: 100 Temp: 43
[076] Power: 212.3490, Util: 100 Temp: 43
[077] Power: 212.3490, Util: 100 Temp: 43
[078] Power: 211.8620, Util: 100 Temp: 43
[079] Power: 211.8620, Util: 100 Temp: 43
[080] Power: 211.8620, Util: 100 Temp: 43
[081] Power: 211.8620, Util: 100 Temp: 43
[082] Power: 212.3490, Util: 100 Temp: 43
[083] Power: 212.3490, Util: 100 Temp: 43
[084] Power: 211.8620, Util: 100 Temp: 43
[085] Power: 211.8620, Util: 100 Temp: 43
[086] Power: 212.3490, Util: 100 Temp: 43
[087] Power: 212.3490, Util: 100 Temp: 43
[088] Power: 211.8620, Util: 100 Temp: 43
[089] Power: 212.3490, Util: 100 Temp: 43
[090] Power: 212.3490, Util: 100 Temp: 43
[091] Power: 212.3490, Util: 100 Temp: 43
[092] Power: 212.2090, Util: 100 Temp: 43
[093] Power: 212.3490, Util: 100 Temp: 43
[094] Power: 212.3490, Util: 100 Temp: 43
[095] Power: 212.3490, Util: 100 Temp: 43
[096] Power: 212.3490, Util: 100 Temp: 43
[097] Power: 212.3490, Util: 100 Temp: 43
[098] Power: 212.3490, Util: 100 Temp: 43
[099] Power: 212.3490, Util: 100 Temp: 43
[100] Power: 212.3490, Util: 100 Temp: 43
[101] Power: 212.3490, Util: 100 Temp: 43
[102] Power: 212.3490, Util: 100 Temp: 43
[103] Power: 212.3490, Util: 100 Temp: 43
[104] Power: 212.3490, Util: 100 Temp: 44
[105] Power: 212.3490, Util: 100 Temp: 44
[106] Power: 212.3490, Util: 100 Temp: 44
[107] Power: 213.8100, Util: 100 Temp: 44
[108] Power: 217.5630, Util: 100 Temp: 44
[109] Power: 217.7060, Util: 100 Temp: 44
[110] Power: 217.7060, Util: 100 Temp: 44
[111] Power: 206.1530, Util: 100 Temp: 44
[112] Power: 208.9400, Util: 100 Temp: 44
[113] Power: 211.8620, Util: 100 Temp: 44
[114] Power: 214.7840, Util: 100 Temp: 44
[115] Power: 217.5630, Util: 100 Temp: 44
[116] Power: 217.5630, Util: 100 Temp: 44
[117] Power: 218.0500, Util: 100 Temp: 44
[118] Power: 218.0500, Util: 100 Temp: 44
[119] Power: 217.7060, Util: 100 Temp: 44
[120] Power: 217.7060, Util: 100 Temp: 44
[121] Power: 218.0500, Util: 100 Temp: 44
[122] Power: 218.0500, Util: 100 Temp: 44
[123] Power: 217.5630, Util: 100 Temp: 44
[124] Power: 218.1930, Util: 100 Temp: 44
[125] Power: 218.0500, Util: 100 Temp: 44
[126] Power: 218.1930, Util: 100 Temp: 44
[127] Power: 218.0500, Util: 100 Temp: 44
[128] Power: 218.1930, Util: 100 Temp: 44
[129] Power: 218.0500, Util: 100 Temp: 44
[130] Power: 218.0500, Util: 100 Temp: 44
[131] Power: 218.0500, Util: 100 Temp: 44
[132] Power: 218.1930, Util: 100 Temp: 44
[133] Power: 217.7060, Util: 100 Temp: 44
[134] Power: 218.1930, Util: 100 Temp: 44
[135] Power: 218.0500, Util: 100 Temp: 44
[136] Power: 218.0500, Util: 100 Temp: 44
[137] Power: 218.1930, Util: 100 Temp: 44
[138] Power: 218.1930, Util: 100 Temp: 44
[139] Power: 218.1930, Util: 100 Temp: 44
[140] Power: 218.1930, Util: 100 Temp: 44
[141] Power: 218.0500, Util: 100 Temp: 44
[142] Power: 218.0500, Util: 100 Temp: 44
[143] Power: 218.0500, Util: 100 Temp: 44
[144] Power: 218.0500, Util: 100 Temp: 44
[145] Power: 218.0500, Util: 100 Temp: 44
[146] Power: 207.4790, Util: 100 Temp: 44
[147] Power: 210.4010, Util: 100 Temp: 44
[148] Power: 213.3230, Util: 100 Temp: 44
[149] Power: 216.7320, Util: 100 Temp: 44
[150] Power: 219.0240, Util: 100 Temp: 44
[151] Power: 220.4840, Util: 100 Temp: 44
[152] Power: 220.9700, Util: 100 Temp: 44
[153] Power: 220.4840, Util: 100 Temp: 45
[154] Power: 220.9700, Util: 100 Temp: 45
[155] Power: 220.9700, Util: 100 Temp: 45
[156] Power: 220.9700, Util: 100 Temp: 45
[157] Power: 220.9700, Util: 100 Temp: 45
[158] Power: 220.9700, Util: 100 Temp: 45
[159] Power: 220.9700, Util: 100 Temp: 45
[160] Power: 220.9700, Util: 100 Temp: 45
[161] Power: 220.4840, Util: 100 Temp: 45
[162] Power: 220.9700, Util: 100 Temp: 45
[163] Power: 220.9700, Util: 100 Temp: 45
[164] Power: 220.9700, Util: 100 Temp: 45
