Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 37.2580, Util: 0 Temp: 31
[001] Power: 37.3550, Util: 0 Temp: 31
[002] Power: 37.2580, Util: 0 Temp: 31
[003] Power: 37.2580, Util: 0 Temp: 31
[004] Power: 37.2580, Util: 0 Temp: 31
[005] Power: 37.2580, Util: 0 Temp: 31
[006] Power: 37.2580, Util: 0 Temp: 31
[007] Power: 37.2580, Util: 0 Temp: 31
[008] Power: 37.2580, Util: 0 Temp: 31
[009] Power: 37.2580, Util: 0 Temp: 31
[010] Power: 37.2580, Util: 0 Temp: 31
[011] Power: 37.2580, Util: 0 Temp: 31
[012] Power: 37.2580, Util: 0 Temp: 31
[013] Power: 37.2580, Util: 0 Temp: 31
[014] Power: 37.2580, Util: 0 Temp: 31
[015] Power: 36.7680, Util: 0 Temp: 31
[016] Power: 37.2580, Util: 0 Temp: 31
[017] Power: 37.2580, Util: 0 Temp: 31
[018] Power: 37.2580, Util: 0 Temp: 31
[019] Power: 37.2580, Util: 0 Temp: 31
[020] Power: 37.2580, Util: 0 Temp: 31
[021] Power: 37.2580, Util: 0 Temp: 31
[022] Power: 37.2580, Util: 0 Temp: 31
[023] Power: 37.2580, Util: 0 Temp: 31
[024] Power: 36.7680, Util: 0 Temp: 31
[025] Power: 37.2580, Util: 0 Temp: 31
[026] Power: 37.2580, Util: 0 Temp: 31
[027] Power: 37.2580, Util: 0 Temp: 31
[028] Power: 37.2580, Util: 0 Temp: 31
[029] Power: 37.2580, Util: 0 Temp: 31
[030] Power: 37.2580, Util: 0 Temp: 31
[031] Power: 37.2580, Util: 0 Temp: 31
[032] Power: 37.2580, Util: 0 Temp: 31
[033] Power: 37.2580, Util: 0 Temp: 31
[034] Power: 37.2580, Util: 0 Temp: 31
[035] Power: 45.1020, Util: 0 Temp: 31
[036] Power: 55.3600, Util: 5 Temp: 32
[037] Power: 197.3800, Util: 5 Temp: 33
[038] Power: 217.0770, Util: 41 Temp: 35
[039] Power: 235.9040, Util: 100 Temp: 36
[040] Power: 263.9410, Util: 100 Temp: 37
[041] Power: 264.4270, Util: 100 Temp: 38
[042] Power: 268.3160, Util: 100 Temp: 39
[043] Power: 264.9130, Util: 100 Temp: 39
[044] Power: 268.8020, Util: 100 Temp: 40
[045] Power: 268.8020, Util: 100 Temp: 40
[046] Power: 272.5110, Util: 100 Temp: 41
[047] Power: 272.9970, Util: 100 Temp: 41
[048] Power: 272.5110, Util: 100 Temp: 41
[049] Power: 272.9970, Util: 100 Temp: 42
[050] Power: 272.9970, Util: 100 Temp: 42
[051] Power: 272.9970, Util: 100 Temp: 42
[052] Power: 273.4820, Util: 100 Temp: 42
[053] Power: 273.9680, Util: 100 Temp: 43
[054] Power: 273.9680, Util: 100 Temp: 43
[055] Power: 273.9680, Util: 100 Temp: 43
[056] Power: 274.1490, Util: 100 Temp: 43
[057] Power: 274.4540, Util: 100 Temp: 44
[058] Power: 274.4540, Util: 100 Temp: 44
[059] Power: 273.9680, Util: 100 Temp: 44
[060] Power: 274.4540, Util: 100 Temp: 44
[061] Power: 274.4540, Util: 100 Temp: 44
[062] Power: 274.4540, Util: 100 Temp: 44
[063] Power: 271.0540, Util: 100 Temp: 44
[064] Power: 270.5680, Util: 100 Temp: 45
[065] Power: 271.0540, Util: 100 Temp: 45
[066] Power: 271.0540, Util: 100 Temp: 45
[067] Power: 271.7180, Util: 100 Temp: 45
[068] Power: 271.5390, Util: 100 Temp: 45
[069] Power: 271.2320, Util: 100 Temp: 45
[070] Power: 271.5390, Util: 100 Temp: 45
[071] Power: 272.2040, Util: 100 Temp: 45
[072] Power: 275.4250, Util: 100 Temp: 45
[073] Power: 275.4250, Util: 100 Temp: 45
[074] Power: 275.4250, Util: 100 Temp: 46
[075] Power: 275.6070, Util: 100 Temp: 46
[076] Power: 275.4250, Util: 100 Temp: 46
[077] Power: 275.9110, Util: 100 Temp: 46
[078] Power: 275.6070, Util: 100 Temp: 46
[079] Power: 275.4250, Util: 100 Temp: 46
[080] Power: 275.9110, Util: 100 Temp: 46
[081] Power: 275.4250, Util: 100 Temp: 46
[082] Power: 275.9110, Util: 100 Temp: 46
[083] Power: 275.9110, Util: 100 Temp: 46
[084] Power: 275.9110, Util: 100 Temp: 46
[085] Power: 276.3970, Util: 100 Temp: 46
[086] Power: 275.9110, Util: 100 Temp: 47
[087] Power: 275.9110, Util: 100 Temp: 47
[088] Power: 275.9110, Util: 100 Temp: 47
[089] Power: 275.9110, Util: 100 Temp: 47
[090] Power: 276.3970, Util: 100 Temp: 47
[091] Power: 275.9110, Util: 100 Temp: 47
[092] Power: 276.3970, Util: 100 Temp: 47
[093] Power: 276.3970, Util: 100 Temp: 47
[094] Power: 275.9110, Util: 100 Temp: 47
[095] Power: 276.3970, Util: 100 Temp: 47
[096] Power: 276.8830, Util: 100 Temp: 47
[097] Power: 276.3970, Util: 100 Temp: 47
[098] Power: 277.3680, Util: 100 Temp: 47
[099] Power: 276.3970, Util: 100 Temp: 47
[100] Power: 276.8830, Util: 100 Temp: 47
[101] Power: 276.3970, Util: 100 Temp: 47
[102] Power: 276.3970, Util: 100 Temp: 47
[103] Power: 276.3970, Util: 100 Temp: 47
[104] Power: 276.8830, Util: 100 Temp: 47
[105] Power: 276.8830, Util: 100 Temp: 47
[106] Power: 276.8830, Util: 100 Temp: 47
[107] Power: 276.8830, Util: 100 Temp: 47
[108] Power: 276.8830, Util: 100 Temp: 48
[109] Power: 277.3680, Util: 100 Temp: 48
[110] Power: 276.8830, Util: 100 Temp: 48
[111] Power: 276.8830, Util: 100 Temp: 48
[112] Power: 276.8830, Util: 100 Temp: 48
[113] Power: 276.3970, Util: 100 Temp: 48
[114] Power: 276.8830, Util: 100 Temp: 48
[115] Power: 276.8830, Util: 100 Temp: 48
[116] Power: 276.8830, Util: 100 Temp: 48
[117] Power: 276.8830, Util: 100 Temp: 48
[118] Power: 276.8830, Util: 100 Temp: 48
[119] Power: 276.8830, Util: 100 Temp: 48
[120] Power: 277.8540, Util: 100 Temp: 48
[121] Power: 276.8830, Util: 100 Temp: 48
[122] Power: 276.8830, Util: 100 Temp: 48
[123] Power: 276.8830, Util: 100 Temp: 48
[124] Power: 276.8830, Util: 100 Temp: 48
[125] Power: 276.8830, Util: 100 Temp: 48
[126] Power: 277.0650, Util: 100 Temp: 48
[127] Power: 277.3680, Util: 100 Temp: 48
[128] Power: 276.8830, Util: 100 Temp: 48
[129] Power: 277.3680, Util: 100 Temp: 48
[130] Power: 277.3680, Util: 100 Temp: 48
[131] Power: 277.3680, Util: 100 Temp: 48
[132] Power: 276.8830, Util: 100 Temp: 48
[133] Power: 277.3680, Util: 100 Temp: 48
[134] Power: 277.3680, Util: 100 Temp: 48
[135] Power: 277.3680, Util: 100 Temp: 48
[136] Power: 277.3680, Util: 100 Temp: 48
[137] Power: 276.8830, Util: 100 Temp: 48
[138] Power: 277.3680, Util: 100 Temp: 48
[139] Power: 277.3680, Util: 100 Temp: 48
[140] Power: 277.3680, Util: 100 Temp: 48
[141] Power: 277.3680, Util: 100 Temp: 48
[142] Power: 277.3680, Util: 100 Temp: 48
[143] Power: 277.8540, Util: 100 Temp: 48
[144] Power: 277.3680, Util: 100 Temp: 48
[145] Power: 277.8540, Util: 100 Temp: 48
[146] Power: 277.8540, Util: 100 Temp: 49
[147] Power: 277.3680, Util: 100 Temp: 48
[148] Power: 277.8540, Util: 100 Temp: 49
[149] Power: 277.8540, Util: 100 Temp: 48
[150] Power: 277.3680, Util: 100 Temp: 49
[151] Power: 277.3680, Util: 100 Temp: 49
[152] Power: 277.3680, Util: 100 Temp: 48
[153] Power: 277.8540, Util: 100 Temp: 49
[154] Power: 277.8540, Util: 100 Temp: 49
[155] Power: 277.8540, Util: 100 Temp: 49
[156] Power: 277.3680, Util: 100 Temp: 49
[157] Power: 277.8540, Util: 100 Temp: 49
[158] Power: 277.8540, Util: 100 Temp: 49
[159] Power: 277.3680, Util: 100 Temp: 49
[160] Power: 277.8540, Util: 100 Temp: 49
[161] Power: 277.3680, Util: 100 Temp: 49
[162] Power: 277.3680, Util: 100 Temp: 49
[163] Power: 277.3680, Util: 100 Temp: 49
[164] Power: 277.8540, Util: 100 Temp: 49
[165] Power: 277.8540, Util: 100 Temp: 49
[166] Power: 277.8540, Util: 100 Temp: 49
[167] Power: 277.8540, Util: 100 Temp: 49
[168] Power: 277.8540, Util: 100 Temp: 49
[169] Power: 277.3680, Util: 100 Temp: 49
[170] Power: 277.8540, Util: 100 Temp: 49
[171] Power: 277.8540, Util: 100 Temp: 49
[172] Power: 277.8540, Util: 100 Temp: 49
[173] Power: 277.8540, Util: 100 Temp: 49
[174] Power: 277.8540, Util: 100 Temp: 49
[175] Power: 278.3400, Util: 100 Temp: 49
[176] Power: 278.3400, Util: 100 Temp: 49
[177] Power: 277.8540, Util: 100 Temp: 49
[178] Power: 277.8540, Util: 100 Temp: 49
[179] Power: 278.3400, Util: 100 Temp: 49
[180] Power: 277.8540, Util: 100 Temp: 49
[181] Power: 277.8540, Util: 100 Temp: 49
[182] Power: 277.8540, Util: 100 Temp: 49
[183] Power: 277.8540, Util: 100 Temp: 49
[184] Power: 277.8540, Util: 100 Temp: 49
[185] Power: 277.8540, Util: 100 Temp: 49
[186] Power: 277.8540, Util: 100 Temp: 49
[187] Power: 277.8540, Util: 100 Temp: 49
[188] Power: 277.8540, Util: 100 Temp: 49
[189] Power: 277.8540, Util: 100 Temp: 49
[190] Power: 278.3400, Util: 100 Temp: 49
[191] Power: 277.8540, Util: 100 Temp: 49
[192] Power: 277.8540, Util: 100 Temp: 49
[193] Power: 277.8540, Util: 100 Temp: 49
[194] Power: 277.8540, Util: 100 Temp: 49
[195] Power: 278.0370, Util: 100 Temp: 49
[196] Power: 277.8540, Util: 100 Temp: 49
[197] Power: 278.3400, Util: 100 Temp: 49
[198] Power: 277.8540, Util: 100 Temp: 49
[199] Power: 277.8540, Util: 100 Temp: 49
[200] Power: 278.3400, Util: 100 Temp: 49
[201] Power: 277.8540, Util: 100 Temp: 49
[202] Power: 278.3400, Util: 100 Temp: 49
[203] Power: 277.8540, Util: 100 Temp: 49
[204] Power: 278.3400, Util: 100 Temp: 49
[205] Power: 277.8540, Util: 100 Temp: 49
[206] Power: 277.8540, Util: 100 Temp: 49
[207] Power: 278.3400, Util: 100 Temp: 49
[208] Power: 277.8540, Util: 100 Temp: 49
[209] Power: 277.8540, Util: 100 Temp: 49
[210] Power: 277.8540, Util: 100 Temp: 49
[211] Power: 277.8540, Util: 100 Temp: 49
[212] Power: 277.8540, Util: 100 Temp: 49
[213] Power: 277.8540, Util: 100 Temp: 49
[214] Power: 273.9680, Util: 100 Temp: 49
[215] Power: 274.4540, Util: 100 Temp: 49
[216] Power: 274.4540, Util: 100 Temp: 49
[217] Power: 274.4540, Util: 100 Temp: 49
[218] Power: 274.4540, Util: 100 Temp: 49
[219] Power: 274.4540, Util: 100 Temp: 49
[220] Power: 274.4540, Util: 100 Temp: 49
[221] Power: 274.4540, Util: 100 Temp: 49
[222] Power: 274.9400, Util: 100 Temp: 49
[223] Power: 274.4540, Util: 100 Temp: 49
[224] Power: 274.9400, Util: 100 Temp: 49
[225] Power: 274.9400, Util: 100 Temp: 49
[226] Power: 274.9400, Util: 100 Temp: 49
[227] Power: 274.9400, Util: 100 Temp: 49
[228] Power: 274.9400, Util: 100 Temp: 49
[229] Power: 274.9400, Util: 100 Temp: 49
[230] Power: 275.1210, Util: 100 Temp: 49
[231] Power: 273.4820, Util: 100 Temp: 49
[232] Power: 274.9400, Util: 100 Temp: 49
[233] Power: 274.4540, Util: 100 Temp: 49
[234] Power: 274.9400, Util: 100 Temp: 49
[235] Power: 274.6350, Util: 100 Temp: 49
[236] Power: 274.9400, Util: 100 Temp: 49
[237] Power: 274.9400, Util: 100 Temp: 49
[238] Power: 275.1210, Util: 100 Temp: 49
[239] Power: 274.4540, Util: 100 Temp: 49
[240] Power: 274.9400, Util: 100 Temp: 49
[241] Power: 274.9400, Util: 100 Temp: 49
[242] Power: 274.9400, Util: 100 Temp: 49
[243] Power: 274.9400, Util: 100 Temp: 49
[244] Power: 274.9400, Util: 100 Temp: 49
[245] Power: 274.9400, Util: 100 Temp: 49
[246] Power: 275.1210, Util: 100 Temp: 49
[247] Power: 275.4250, Util: 100 Temp: 49
[248] Power: 274.9400, Util: 100 Temp: 49
[249] Power: 275.4250, Util: 100 Temp: 49
[250] Power: 274.9400, Util: 100 Temp: 49
[251] Power: 275.4250, Util: 100 Temp: 49
[252] Power: 274.9400, Util: 100 Temp: 49
[253] Power: 274.9400, Util: 100 Temp: 49
[254] Power: 274.9400, Util: 100 Temp: 49
[255] Power: 275.4250, Util: 100 Temp: 49
[256] Power: 274.9400, Util: 100 Temp: 49
[257] Power: 275.4250, Util: 100 Temp: 49
[258] Power: 275.4250, Util: 100 Temp: 49
[259] Power: 275.4250, Util: 100 Temp: 49
[260] Power: 274.9400, Util: 100 Temp: 49
[261] Power: 274.9400, Util: 100 Temp: 49
[262] Power: 274.9400, Util: 100 Temp: 49
[263] Power: 275.4250, Util: 100 Temp: 49
[264] Power: 275.4250, Util: 100 Temp: 49
[265] Power: 274.9400, Util: 100 Temp: 49
[266] Power: 275.4250, Util: 100 Temp: 49
[267] Power: 275.4250, Util: 100 Temp: 49
[268] Power: 275.4250, Util: 100 Temp: 49
[269] Power: 275.4250, Util: 100 Temp: 49
[270] Power: 275.4250, Util: 100 Temp: 49
[271] Power: 275.4250, Util: 100 Temp: 49
[272] Power: 275.4250, Util: 100 Temp: 49
[273] Power: 274.9400, Util: 100 Temp: 49
[274] Power: 274.9400, Util: 100 Temp: 49
[275] Power: 275.4250, Util: 100 Temp: 49
[276] Power: 275.4250, Util: 100 Temp: 49
[277] Power: 274.9400, Util: 100 Temp: 49
[278] Power: 274.9400, Util: 100 Temp: 49
[279] Power: 275.4250, Util: 100 Temp: 49
[280] Power: 274.9400, Util: 100 Temp: 49
[281] Power: 275.4250, Util: 100 Temp: 49
[282] Power: 275.4250, Util: 100 Temp: 49
[283] Power: 275.4250, Util: 100 Temp: 49
[284] Power: 275.4250, Util: 100 Temp: 49
[285] Power: 275.4250, Util: 100 Temp: 50
[286] Power: 275.4250, Util: 100 Temp: 49
[287] Power: 275.4250, Util: 100 Temp: 49
[288] Power: 275.9110, Util: 100 Temp: 49
[289] Power: 275.4250, Util: 100 Temp: 49
[290] Power: 275.4250, Util: 100 Temp: 49
[291] Power: 275.4250, Util: 100 Temp: 49
[292] Power: 275.4250, Util: 100 Temp: 49
[293] Power: 275.9110, Util: 100 Temp: 49
[294] Power: 275.4250, Util: 100 Temp: 49
[295] Power: 275.4250, Util: 100 Temp: 49
[296] Power: 275.6070, Util: 100 Temp: 49
[297] Power: 275.4250, Util: 100 Temp: 49
[298] Power: 275.4250, Util: 100 Temp: 49
[299] Power: 275.4250, Util: 100 Temp: 49
[300] Power: 275.4250, Util: 100 Temp: 49
[301] Power: 275.4250, Util: 100 Temp: 50
[302] Power: 275.4250, Util: 100 Temp: 49
[303] Power: 275.4250, Util: 100 Temp: 50
[304] Power: 275.4250, Util: 100 Temp: 50
[305] Power: 275.4250, Util: 100 Temp: 49
[306] Power: 275.9110, Util: 100 Temp: 50
[307] Power: 275.4250, Util: 100 Temp: 50
[308] Power: 275.4250, Util: 100 Temp: 50
[309] Power: 275.4250, Util: 100 Temp: 49
[310] Power: 275.4250, Util: 100 Temp: 49
[311] Power: 275.4250, Util: 100 Temp: 49
[312] Power: 275.4250, Util: 100 Temp: 49
[313] Power: 275.4250, Util: 100 Temp: 50
[314] Power: 275.4250, Util: 100 Temp: 50
[315] Power: 275.4250, Util: 100 Temp: 50
[316] Power: 275.9110, Util: 100 Temp: 50
[317] Power: 275.9110, Util: 100 Temp: 50
[318] Power: 275.4250, Util: 100 Temp: 50
[319] Power: 275.4250, Util: 100 Temp: 50
[320] Power: 275.4250, Util: 100 Temp: 50
[321] Power: 276.0930, Util: 100 Temp: 50
[322] Power: 275.4250, Util: 100 Temp: 50
[323] Power: 275.4250, Util: 100 Temp: 50
[324] Power: 275.9110, Util: 100 Temp: 50
[325] Power: 275.9110, Util: 100 Temp: 50
[326] Power: 275.4250, Util: 100 Temp: 50
[327] Power: 275.4250, Util: 100 Temp: 50
[328] Power: 276.0930, Util: 100 Temp: 50
[329] Power: 275.6070, Util: 100 Temp: 50
[330] Power: 275.9110, Util: 100 Temp: 50
[331] Power: 275.4250, Util: 100 Temp: 50
[332] Power: 275.4250, Util: 100 Temp: 50
[333] Power: 275.4250, Util: 100 Temp: 50
[334] Power: 275.4250, Util: 100 Temp: 50
[335] Power: 275.4250, Util: 100 Temp: 50
[336] Power: 275.4250, Util: 100 Temp: 50
[337] Power: 275.9110, Util: 100 Temp: 50
[338] Power: 275.6070, Util: 100 Temp: 50
[339] Power: 275.6070, Util: 100 Temp: 50
[340] Power: 275.4250, Util: 100 Temp: 50
[341] Power: 275.9110, Util: 100 Temp: 50
[342] Power: 275.9110, Util: 100 Temp: 50
[343] Power: 275.4250, Util: 100 Temp: 50
[344] Power: 275.9110, Util: 100 Temp: 50
[345] Power: 275.4250, Util: 100 Temp: 50
[346] Power: 275.9110, Util: 100 Temp: 50
[347] Power: 275.9110, Util: 100 Temp: 50
[348] Power: 275.6070, Util: 100 Temp: 50
[349] Power: 275.4250, Util: 100 Temp: 50
[350] Power: 275.9110, Util: 100 Temp: 50
[351] Power: 275.4250, Util: 100 Temp: 50
[352] Power: 275.4250, Util: 100 Temp: 50
[353] Power: 275.4250, Util: 100 Temp: 50
[354] Power: 275.4250, Util: 100 Temp: 50
[355] Power: 276.0930, Util: 100 Temp: 50
[356] Power: 275.9110, Util: 100 Temp: 50
[357] Power: 275.4250, Util: 100 Temp: 50
[358] Power: 275.9110, Util: 100 Temp: 50
[359] Power: 275.4250, Util: 100 Temp: 50
[360] Power: 275.4250, Util: 100 Temp: 50
[361] Power: 275.9110, Util: 100 Temp: 50
[362] Power: 275.4250, Util: 100 Temp: 50
[363] Power: 275.4250, Util: 100 Temp: 50
[364] Power: 275.4250, Util: 100 Temp: 50
[365] Power: 275.4250, Util: 100 Temp: 50
[366] Power: 274.9400, Util: 100 Temp: 50
[367] Power: 275.4250, Util: 100 Temp: 50
[368] Power: 275.4250, Util: 100 Temp: 50
[369] Power: 275.4250, Util: 100 Temp: 50
[370] Power: 275.4250, Util: 100 Temp: 50
[371] Power: 275.4250, Util: 100 Temp: 50
[372] Power: 275.4250, Util: 100 Temp: 50
[373] Power: 275.4250, Util: 100 Temp: 50
[374] Power: 275.6070, Util: 100 Temp: 50
[375] Power: 275.4250, Util: 100 Temp: 50
[376] Power: 275.4250, Util: 100 Temp: 50
[377] Power: 275.4250, Util: 100 Temp: 50
[378] Power: 275.4250, Util: 100 Temp: 50
[379] Power: 275.4250, Util: 100 Temp: 50
[380] Power: 275.9110, Util: 100 Temp: 50
[381] Power: 275.4250, Util: 100 Temp: 50
[382] Power: 275.4250, Util: 100 Temp: 50
[383] Power: 275.4250, Util: 100 Temp: 50
[384] Power: 275.4250, Util: 100 Temp: 50
[385] Power: 275.9110, Util: 100 Temp: 50
[386] Power: 275.4250, Util: 100 Temp: 50
[387] Power: 275.6070, Util: 100 Temp: 50
[388] Power: 275.4250, Util: 100 Temp: 50
[389] Power: 275.9110, Util: 100 Temp: 50
[390] Power: 275.9110, Util: 100 Temp: 50
[391] Power: 275.4250, Util: 100 Temp: 50
[392] Power: 275.4250, Util: 100 Temp: 50
[393] Power: 275.9110, Util: 100 Temp: 50
[394] Power: 275.9110, Util: 100 Temp: 50
[395] Power: 275.9110, Util: 100 Temp: 50
[396] Power: 275.9110, Util: 100 Temp: 50
[397] Power: 275.9110, Util: 100 Temp: 50
[398] Power: 275.9110, Util: 100 Temp: 50
[399] Power: 275.9110, Util: 100 Temp: 50
[400] Power: 275.9110, Util: 100 Temp: 50
[401] Power: 275.9110, Util: 100 Temp: 50
[402] Power: 275.9110, Util: 100 Temp: 50
[403] Power: 275.9110, Util: 100 Temp: 50
[404] Power: 275.9110, Util: 100 Temp: 50
[405] Power: 275.9110, Util: 100 Temp: 50
[406] Power: 276.0930, Util: 100 Temp: 50
[407] Power: 275.4250, Util: 100 Temp: 50
[408] Power: 275.6070, Util: 100 Temp: 50
[409] Power: 275.9110, Util: 100 Temp: 50
[410] Power: 275.9110, Util: 100 Temp: 50
[411] Power: 275.9110, Util: 100 Temp: 50
[412] Power: 275.9110, Util: 100 Temp: 50
[413] Power: 275.9110, Util: 100 Temp: 50
[414] Power: 275.9110, Util: 100 Temp: 50
[415] Power: 275.9110, Util: 100 Temp: 50
[416] Power: 275.9110, Util: 100 Temp: 50
[417] Power: 276.3970, Util: 100 Temp: 50
[418] Power: 275.9110, Util: 100 Temp: 50
[419] Power: 275.9110, Util: 100 Temp: 50
[420] Power: 275.9110, Util: 100 Temp: 50
[421] Power: 276.0930, Util: 100 Temp: 50
[422] Power: 275.9110, Util: 100 Temp: 50
[423] Power: 275.9110, Util: 100 Temp: 50
[424] Power: 275.9110, Util: 100 Temp: 50
[425] Power: 275.9110, Util: 100 Temp: 50
[426] Power: 275.9110, Util: 100 Temp: 50
[427] Power: 275.9110, Util: 100 Temp: 50
[428] Power: 275.9110, Util: 100 Temp: 50
[429] Power: 275.9110, Util: 100 Temp: 50
[430] Power: 275.9110, Util: 100 Temp: 50
[431] Power: 275.9110, Util: 100 Temp: 50
[432] Power: 275.9110, Util: 100 Temp: 50
[433] Power: 275.9110, Util: 100 Temp: 50
[434] Power: 276.3970, Util: 100 Temp: 50
[435] Power: 275.9110, Util: 100 Temp: 50
[436] Power: 275.9110, Util: 100 Temp: 50
[437] Power: 275.9110, Util: 100 Temp: 50
[438] Power: 275.9110, Util: 100 Temp: 50
[439] Power: 275.4250, Util: 100 Temp: 50
[440] Power: 275.4250, Util: 100 Temp: 50
[441] Power: 276.0930, Util: 100 Temp: 50
[442] Power: 275.9110, Util: 100 Temp: 50
[443] Power: 275.9110, Util: 100 Temp: 50
[444] Power: 275.9110, Util: 100 Temp: 50
[445] Power: 275.9110, Util: 100 Temp: 50
[446] Power: 275.9110, Util: 100 Temp: 50
[447] Power: 275.9110, Util: 100 Temp: 50
[448] Power: 275.9110, Util: 100 Temp: 50
[449] Power: 275.9110, Util: 100 Temp: 50
[450] Power: 275.9110, Util: 100 Temp: 50
[451] Power: 275.9110, Util: 100 Temp: 50
[452] Power: 276.3970, Util: 100 Temp: 50
[453] Power: 275.9110, Util: 100 Temp: 50
[454] Power: 276.3970, Util: 100 Temp: 50
[455] Power: 275.9110, Util: 100 Temp: 50
[456] Power: 275.9110, Util: 100 Temp: 50
[457] Power: 275.9110, Util: 100 Temp: 50
[458] Power: 276.0930, Util: 100 Temp: 50
[459] Power: 275.9110, Util: 100 Temp: 50
[460] Power: 275.9110, Util: 100 Temp: 50
[461] Power: 275.9110, Util: 100 Temp: 50
[462] Power: 276.3970, Util: 100 Temp: 50
[463] Power: 275.9110, Util: 100 Temp: 50
[464] Power: 275.9110, Util: 100 Temp: 50
[465] Power: 275.9110, Util: 100 Temp: 50
[466] Power: 275.9110, Util: 100 Temp: 50
[467] Power: 276.0930, Util: 100 Temp: 50
[468] Power: 275.9110, Util: 100 Temp: 50
[469] Power: 275.9110, Util: 100 Temp: 50
[470] Power: 275.9110, Util: 100 Temp: 50
[471] Power: 275.9110, Util: 100 Temp: 50
[472] Power: 276.0930, Util: 100 Temp: 50
