Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.7200, Util: 0 Temp: 32
[001] Power: 36.7200, Util: 0 Temp: 32
[002] Power: 36.7200, Util: 0 Temp: 32
[003] Power: 36.7200, Util: 0 Temp: 32
[004] Power: 36.7200, Util: 0 Temp: 32
[005] Power: 36.7200, Util: 0 Temp: 32
[006] Power: 36.7200, Util: 0 Temp: 32
[007] Power: 36.7200, Util: 0 Temp: 32
[008] Power: 36.7200, Util: 0 Temp: 32
[009] Power: 36.7200, Util: 0 Temp: 32
[010] Power: 36.7200, Util: 0 Temp: 32
[011] Power: 36.7200, Util: 0 Temp: 32
[012] Power: 36.7200, Util: 0 Temp: 32
[013] Power: 36.7200, Util: 0 Temp: 32
[014] Power: 36.2300, Util: 0 Temp: 32
[015] Power: 36.7200, Util: 0 Temp: 32
[016] Power: 36.7200, Util: 0 Temp: 32
[017] Power: 36.7200, Util: 0 Temp: 32
[018] Power: 36.7200, Util: 0 Temp: 32
[019] Power: 36.7200, Util: 0 Temp: 32
[020] Power: 36.7200, Util: 0 Temp: 32
[021] Power: 36.7200, Util: 0 Temp: 32
[022] Power: 36.7200, Util: 0 Temp: 32
[023] Power: 36.7200, Util: 0 Temp: 32
[024] Power: 36.7200, Util: 0 Temp: 32
[025] Power: 36.7200, Util: 0 Temp: 32
[026] Power: 36.7200, Util: 0 Temp: 32
[027] Power: 141.9140, Util: 19 Temp: 33
[028] Power: 146.7910, Util: 19 Temp: 34
[029] Power: 162.2900, Util: 100 Temp: 34
[030] Power: 164.2400, Util: 100 Temp: 35
[031] Power: 178.2560, Util: 100 Temp: 35
[032] Power: 178.2560, Util: 100 Temp: 36
[033] Power: 178.7430, Util: 100 Temp: 36
[034] Power: 178.2560, Util: 100 Temp: 36
[035] Power: 178.7430, Util: 100 Temp: 37
[036] Power: 178.2560, Util: 100 Temp: 37
[037] Power: 178.7430, Util: 100 Temp: 37
[038] Power: 178.7430, Util: 100 Temp: 37
[039] Power: 178.7430, Util: 100 Temp: 38
[040] Power: 178.7430, Util: 100 Temp: 38
[041] Power: 179.2300, Util: 100 Temp: 38
[042] Power: 179.2300, Util: 100 Temp: 38
[043] Power: 179.2300, Util: 100 Temp: 38
[044] Power: 179.2300, Util: 100 Temp: 38
[045] Power: 179.2300, Util: 100 Temp: 38
[046] Power: 179.2300, Util: 100 Temp: 38
[047] Power: 179.2300, Util: 100 Temp: 39
[048] Power: 179.2300, Util: 100 Temp: 39
[049] Power: 179.2300, Util: 100 Temp: 39
