Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 186.5360, Util: 100 Temp: 43
[001] Power: 186.4130, Util: 100 Temp: 43
[002] Power: 186.5360, Util: 100 Temp: 43
[003] Power: 186.4130, Util: 100 Temp: 43
[004] Power: 186.0490, Util: 100 Temp: 43
[005] Power: 186.5360, Util: 100 Temp: 43
[006] Power: 186.4130, Util: 100 Temp: 43
[007] Power: 186.5360, Util: 100 Temp: 43
[008] Power: 186.5360, Util: 100 Temp: 43
[009] Power: 186.5360, Util: 100 Temp: 43
[010] Power: 186.5360, Util: 100 Temp: 43
[011] Power: 186.5360, Util: 100 Temp: 43
[012] Power: 186.5360, Util: 100 Temp: 43
[013] Power: 186.5360, Util: 100 Temp: 43
[014] Power: 186.0490, Util: 100 Temp: 43
[015] Power: 186.4130, Util: 100 Temp: 43
[016] Power: 186.5360, Util: 100 Temp: 43
[017] Power: 186.4130, Util: 100 Temp: 43
[018] Power: 186.5360, Util: 100 Temp: 43
[019] Power: 186.4130, Util: 100 Temp: 43
[020] Power: 186.5360, Util: 100 Temp: 43
[021] Power: 186.5360, Util: 100 Temp: 43
[022] Power: 186.5360, Util: 100 Temp: 43
[023] Power: 186.5360, Util: 100 Temp: 43
[024] Power: 186.4130, Util: 100 Temp: 43
[025] Power: 186.4130, Util: 100 Temp: 43
[026] Power: 186.4130, Util: 100 Temp: 43
[027] Power: 186.4130, Util: 100 Temp: 43
[028] Power: 186.5360, Util: 100 Temp: 43
[029] Power: 186.0490, Util: 100 Temp: 43
[030] Power: 186.4130, Util: 100 Temp: 43
[031] Power: 186.5360, Util: 100 Temp: 43
[032] Power: 186.4130, Util: 100 Temp: 43
[033] Power: 186.5360, Util: 100 Temp: 43
[034] Power: 186.5360, Util: 100 Temp: 43
[035] Power: 185.9270, Util: 100 Temp: 43
[036] Power: 186.5360, Util: 100 Temp: 43
[037] Power: 186.5360, Util: 100 Temp: 43
[038] Power: 186.5360, Util: 100 Temp: 43
[039] Power: 186.5360, Util: 100 Temp: 43
[040] Power: 187.0230, Util: 100 Temp: 43
[041] Power: 186.5360, Util: 100 Temp: 43
[042] Power: 186.4130, Util: 100 Temp: 43
[043] Power: 186.5360, Util: 100 Temp: 43
[044] Power: 186.5360, Util: 100 Temp: 43
[045] Power: 186.4130, Util: 100 Temp: 43
[046] Power: 186.4130, Util: 100 Temp: 43
[047] Power: 186.5360, Util: 100 Temp: 43
[048] Power: 186.0490, Util: 100 Temp: 43
[049] Power: 186.0490, Util: 100 Temp: 43
[050] Power: 186.5360, Util: 100 Temp: 43
[051] Power: 186.5360, Util: 100 Temp: 43
[052] Power: 186.9000, Util: 100 Temp: 43
[053] Power: 186.4130, Util: 100 Temp: 43
[054] Power: 186.4130, Util: 100 Temp: 43
[055] Power: 186.4130, Util: 100 Temp: 43
[056] Power: 186.5360, Util: 100 Temp: 43
[057] Power: 186.0490, Util: 100 Temp: 43
[058] Power: 186.4130, Util: 100 Temp: 43
[059] Power: 186.5360, Util: 100 Temp: 43
[060] Power: 186.4130, Util: 100 Temp: 43
[061] Power: 186.4130, Util: 100 Temp: 43
[062] Power: 186.5360, Util: 100 Temp: 43
