Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 277.0030, Util: 100 Temp: 55
[001] Power: 276.0330, Util: 100 Temp: 55
[002] Power: 275.5480, Util: 100 Temp: 55
[003] Power: 277.1860, Util: 100 Temp: 55
[004] Power: 278.6420, Util: 100 Temp: 55
[005] Power: 277.9730, Util: 100 Temp: 55
[006] Power: 275.5480, Util: 100 Temp: 55
[007] Power: 278.1570, Util: 100 Temp: 55
[008] Power: 280.0980, Util: 100 Temp: 55
[009] Power: 279.1280, Util: 100 Temp: 55
[010] Power: 278.1570, Util: 100 Temp: 55
[011] Power: 277.1860, Util: 100 Temp: 55
[012] Power: 278.1570, Util: 100 Temp: 55
[013] Power: 277.6710, Util: 100 Temp: 55
[014] Power: 278.1570, Util: 100 Temp: 55
[015] Power: 276.5180, Util: 100 Temp: 55
[016] Power: 278.4580, Util: 100 Temp: 55
[017] Power: 275.0630, Util: 100 Temp: 55
[018] Power: 277.1860, Util: 100 Temp: 55
[019] Power: 279.6130, Util: 100 Temp: 55
[020] Power: 277.1860, Util: 100 Temp: 55
[021] Power: 277.6710, Util: 100 Temp: 55
[022] Power: 277.1860, Util: 100 Temp: 55
[023] Power: 279.1280, Util: 100 Temp: 55
[024] Power: 278.4580, Util: 100 Temp: 55
[025] Power: 277.6710, Util: 100 Temp: 55
[026] Power: 277.4880, Util: 100 Temp: 55
[027] Power: 277.0030, Util: 100 Temp: 55
[028] Power: 277.9730, Util: 100 Temp: 55
[029] Power: 277.3050, Util: 100 Temp: 55
[030] Power: 277.9730, Util: 100 Temp: 55
[031] Power: 276.0330, Util: 100 Temp: 55
[032] Power: 277.0030, Util: 100 Temp: 55
[033] Power: 279.1280, Util: 100 Temp: 55
[034] Power: 279.1280, Util: 100 Temp: 55
[035] Power: 278.4580, Util: 100 Temp: 55
[036] Power: 278.1570, Util: 100 Temp: 55
[037] Power: 277.6710, Util: 100 Temp: 55
[038] Power: 276.2150, Util: 100 Temp: 55
[039] Power: 278.4580, Util: 100 Temp: 55
[040] Power: 279.1280, Util: 100 Temp: 55
[041] Power: 276.7000, Util: 100 Temp: 55
[042] Power: 277.0030, Util: 100 Temp: 55
[043] Power: 280.5840, Util: 100 Temp: 55
[044] Power: 278.1570, Util: 100 Temp: 55
[045] Power: 278.1570, Util: 100 Temp: 55
[046] Power: 277.6710, Util: 100 Temp: 55
[047] Power: 277.9730, Util: 100 Temp: 55
[048] Power: 276.5180, Util: 100 Temp: 55
[049] Power: 277.4880, Util: 100 Temp: 55
[050] Power: 275.5480, Util: 100 Temp: 55
[051] Power: 278.6420, Util: 100 Temp: 55
[052] Power: 279.1280, Util: 100 Temp: 55
[053] Power: 278.6420, Util: 100 Temp: 55
[054] Power: 279.1280, Util: 100 Temp: 55
[055] Power: 278.1570, Util: 100 Temp: 55
[056] Power: 277.4880, Util: 100 Temp: 55
[057] Power: 277.4880, Util: 100 Temp: 55
[058] Power: 278.9440, Util: 100 Temp: 55
[059] Power: 278.4580, Util: 100 Temp: 55
[060] Power: 276.5180, Util: 100 Temp: 55
[061] Power: 276.0330, Util: 100 Temp: 55
[062] Power: 277.6710, Util: 100 Temp: 55
[063] Power: 278.6420, Util: 100 Temp: 55
[064] Power: 276.0330, Util: 100 Temp: 55
[065] Power: 279.6130, Util: 100 Temp: 55
[066] Power: 277.1860, Util: 100 Temp: 55
[067] Power: 276.7000, Util: 100 Temp: 55
[068] Power: 277.0030, Util: 100 Temp: 55
[069] Power: 277.4880, Util: 100 Temp: 55
[070] Power: 279.1280, Util: 100 Temp: 55
[071] Power: 277.0030, Util: 100 Temp: 55
[072] Power: 277.6710, Util: 100 Temp: 55
[073] Power: 276.0330, Util: 100 Temp: 55
[074] Power: 278.6420, Util: 100 Temp: 55
[075] Power: 277.1860, Util: 100 Temp: 55
[076] Power: 279.6130, Util: 100 Temp: 55
[077] Power: 278.6420, Util: 100 Temp: 55
[078] Power: 277.1860, Util: 100 Temp: 55
[079] Power: 278.1570, Util: 100 Temp: 55
[080] Power: 279.1280, Util: 100 Temp: 55
[081] Power: 278.6420, Util: 100 Temp: 55
[082] Power: 280.5840, Util: 100 Temp: 55
[083] Power: 277.4880, Util: 100 Temp: 55
[084] Power: 278.9440, Util: 100 Temp: 55
[085] Power: 277.9730, Util: 100 Temp: 55
[086] Power: 278.1570, Util: 100 Temp: 55
[087] Power: 280.5840, Util: 100 Temp: 55
[088] Power: 279.1280, Util: 100 Temp: 55
[089] Power: 277.1860, Util: 100 Temp: 55
[090] Power: 277.4880, Util: 100 Temp: 55
[091] Power: 276.2150, Util: 100 Temp: 55
[092] Power: 281.0690, Util: 100 Temp: 55
[093] Power: 279.1280, Util: 100 Temp: 55
[094] Power: 279.1280, Util: 100 Temp: 55
[095] Power: 276.0330, Util: 100 Temp: 55
[096] Power: 278.6420, Util: 100 Temp: 55
[097] Power: 278.4580, Util: 100 Temp: 55
[098] Power: 280.0980, Util: 100 Temp: 55
[099] Power: 276.5180, Util: 100 Temp: 55
[100] Power: 277.9730, Util: 100 Temp: 55
[101] Power: 277.9730, Util: 100 Temp: 55
[102] Power: 277.9730, Util: 100 Temp: 55
[103] Power: 278.9440, Util: 100 Temp: 55
[104] Power: 278.1570, Util: 100 Temp: 55
[105] Power: 277.0030, Util: 100 Temp: 55
[106] Power: 277.0030, Util: 100 Temp: 55
[107] Power: 278.9440, Util: 100 Temp: 55
[108] Power: 281.0690, Util: 100 Temp: 55
[109] Power: 276.7000, Util: 100 Temp: 55
[110] Power: 278.1570, Util: 100 Temp: 55
[111] Power: 277.9730, Util: 100 Temp: 55
[112] Power: 276.2150, Util: 100 Temp: 55
[113] Power: 279.6130, Util: 100 Temp: 55
[114] Power: 276.5180, Util: 100 Temp: 55
[115] Power: 277.9730, Util: 100 Temp: 55
[116] Power: 279.1280, Util: 100 Temp: 55
[117] Power: 279.1280, Util: 100 Temp: 55
[118] Power: 277.0030, Util: 100 Temp: 55
[119] Power: 280.5840, Util: 100 Temp: 55
[120] Power: 277.1860, Util: 100 Temp: 55
[121] Power: 277.4880, Util: 100 Temp: 55
[122] Power: 278.4580, Util: 100 Temp: 55
[123] Power: 279.1280, Util: 100 Temp: 55
[124] Power: 278.6420, Util: 100 Temp: 55
[125] Power: 279.6130, Util: 100 Temp: 55
[126] Power: 277.6710, Util: 100 Temp: 55
[127] Power: 279.1280, Util: 100 Temp: 55
[128] Power: 277.4880, Util: 100 Temp: 55
[129] Power: 277.9730, Util: 100 Temp: 55
[130] Power: 278.6420, Util: 100 Temp: 55
[131] Power: 278.1570, Util: 100 Temp: 55
[132] Power: 277.9730, Util: 100 Temp: 55
[133] Power: 277.9730, Util: 100 Temp: 55
[134] Power: 277.4880, Util: 100 Temp: 55
[135] Power: 276.5180, Util: 100 Temp: 55
[136] Power: 277.0030, Util: 100 Temp: 55
[137] Power: 277.1860, Util: 100 Temp: 55
[138] Power: 277.9730, Util: 100 Temp: 55
[139] Power: 279.1280, Util: 100 Temp: 55
[140] Power: 278.4580, Util: 100 Temp: 55
[141] Power: 277.9730, Util: 100 Temp: 55
[142] Power: 277.6710, Util: 100 Temp: 55
[143] Power: 278.1570, Util: 100 Temp: 55
[144] Power: 280.5840, Util: 100 Temp: 55
[145] Power: 277.1860, Util: 100 Temp: 55
[146] Power: 280.0980, Util: 100 Temp: 55
[147] Power: 279.6130, Util: 100 Temp: 55
[148] Power: 278.4580, Util: 100 Temp: 55
[149] Power: 278.1570, Util: 100 Temp: 55
[150] Power: 277.0030, Util: 100 Temp: 55
[151] Power: 276.2150, Util: 100 Temp: 55
[152] Power: 279.6130, Util: 100 Temp: 55
[153] Power: 277.9730, Util: 100 Temp: 55
[154] Power: 276.5180, Util: 100 Temp: 55
[155] Power: 281.0690, Util: 100 Temp: 55
[156] Power: 278.6420, Util: 100 Temp: 55
[157] Power: 277.9730, Util: 100 Temp: 55
[158] Power: 277.4880, Util: 100 Temp: 55
[159] Power: 278.1570, Util: 100 Temp: 55
[160] Power: 277.6710, Util: 100 Temp: 55
[161] Power: 278.6420, Util: 100 Temp: 55
[162] Power: 278.1570, Util: 100 Temp: 55
[163] Power: 277.4880, Util: 100 Temp: 55
[164] Power: 277.4880, Util: 100 Temp: 55
[165] Power: 277.9730, Util: 100 Temp: 55
[166] Power: 277.4880, Util: 100 Temp: 55
[167] Power: 276.5180, Util: 100 Temp: 55
[168] Power: 277.4880, Util: 100 Temp: 55
[169] Power: 277.4880, Util: 100 Temp: 55
[170] Power: 277.6710, Util: 100 Temp: 55
[171] Power: 278.4580, Util: 100 Temp: 55
[172] Power: 277.6710, Util: 100 Temp: 55
[173] Power: 277.4880, Util: 100 Temp: 55
[174] Power: 277.1860, Util: 100 Temp: 55
[175] Power: 277.0030, Util: 100 Temp: 55
[176] Power: 280.0980, Util: 100 Temp: 55
[177] Power: 277.6710, Util: 100 Temp: 55
[178] Power: 278.9440, Util: 100 Temp: 55
[179] Power: 278.1570, Util: 100 Temp: 55
[180] Power: 278.9440, Util: 100 Temp: 55
[181] Power: 278.6420, Util: 100 Temp: 55
[182] Power: 277.0030, Util: 100 Temp: 55
[183] Power: 280.5840, Util: 100 Temp: 55
[184] Power: 280.0980, Util: 100 Temp: 55
[185] Power: 277.9730, Util: 100 Temp: 55
[186] Power: 277.1860, Util: 100 Temp: 55
[187] Power: 277.6710, Util: 100 Temp: 55
[188] Power: 278.9440, Util: 100 Temp: 55
[189] Power: 277.9730, Util: 100 Temp: 55
[190] Power: 278.4580, Util: 100 Temp: 55
[191] Power: 277.4880, Util: 100 Temp: 55
[192] Power: 277.9730, Util: 100 Temp: 55
[193] Power: 279.1280, Util: 100 Temp: 55
[194] Power: 278.6420, Util: 100 Temp: 55
[195] Power: 278.6420, Util: 100 Temp: 55
[196] Power: 278.4580, Util: 100 Temp: 55
[197] Power: 277.6710, Util: 100 Temp: 55
[198] Power: 280.0980, Util: 100 Temp: 55
[199] Power: 279.1280, Util: 100 Temp: 55
[200] Power: 276.5180, Util: 100 Temp: 55
[201] Power: 278.1570, Util: 100 Temp: 55
[202] Power: 275.7290, Util: 100 Temp: 55
[203] Power: 278.1570, Util: 100 Temp: 55
[204] Power: 277.4880, Util: 100 Temp: 55
[205] Power: 276.0330, Util: 100 Temp: 55
[206] Power: 279.6130, Util: 100 Temp: 55
[207] Power: 277.4880, Util: 100 Temp: 55
[208] Power: 276.7000, Util: 100 Temp: 55
[209] Power: 280.5840, Util: 100 Temp: 55
[210] Power: 278.6420, Util: 100 Temp: 55
[211] Power: 276.5180, Util: 100 Temp: 55
[212] Power: 276.0330, Util: 100 Temp: 55
[213] Power: 277.0030, Util: 100 Temp: 55
[214] Power: 279.1280, Util: 100 Temp: 55
[215] Power: 277.0030, Util: 100 Temp: 55
[216] Power: 279.6130, Util: 100 Temp: 55
[217] Power: 277.0030, Util: 100 Temp: 55
[218] Power: 278.4580, Util: 100 Temp: 55
[219] Power: 279.9140, Util: 100 Temp: 55
[220] Power: 277.0030, Util: 100 Temp: 55
[221] Power: 277.9730, Util: 100 Temp: 55
[222] Power: 277.0030, Util: 100 Temp: 55
[223] Power: 277.6710, Util: 100 Temp: 55
[224] Power: 275.5480, Util: 100 Temp: 55
[225] Power: 279.1280, Util: 100 Temp: 55
[226] Power: 278.1570, Util: 100 Temp: 55
[227] Power: 276.5180, Util: 100 Temp: 55
[228] Power: 278.6420, Util: 100 Temp: 55
[229] Power: 278.6420, Util: 100 Temp: 55
[230] Power: 277.4880, Util: 100 Temp: 55
[231] Power: 278.6420, Util: 100 Temp: 55
[232] Power: 278.6420, Util: 100 Temp: 55
[233] Power: 277.4880, Util: 100 Temp: 55
[234] Power: 279.4290, Util: 100 Temp: 55
[235] Power: 277.6710, Util: 100 Temp: 55
[236] Power: 276.2150, Util: 100 Temp: 55
[237] Power: 277.4880, Util: 100 Temp: 55
[238] Power: 279.6130, Util: 100 Temp: 55
[239] Power: 279.1280, Util: 100 Temp: 55
[240] Power: 279.1280, Util: 100 Temp: 55
[241] Power: 276.7000, Util: 100 Temp: 55
[242] Power: 279.1280, Util: 100 Temp: 55
[243] Power: 277.0030, Util: 100 Temp: 55
[244] Power: 276.5180, Util: 100 Temp: 55
[245] Power: 278.6420, Util: 100 Temp: 55
[246] Power: 279.1280, Util: 100 Temp: 55
[247] Power: 275.5480, Util: 100 Temp: 55
[248] Power: 279.1280, Util: 100 Temp: 55
[249] Power: 277.9730, Util: 100 Temp: 55
[250] Power: 280.0980, Util: 100 Temp: 55
[251] Power: 278.9440, Util: 100 Temp: 55
[252] Power: 279.1280, Util: 100 Temp: 55
[253] Power: 280.3990, Util: 100 Temp: 55
[254] Power: 278.6420, Util: 100 Temp: 55
[255] Power: 279.1280, Util: 100 Temp: 55
[256] Power: 276.0330, Util: 100 Temp: 55
[257] Power: 276.5180, Util: 100 Temp: 55
[258] Power: 278.1570, Util: 100 Temp: 55
[259] Power: 278.4580, Util: 100 Temp: 55
[260] Power: 278.6420, Util: 100 Temp: 55
[261] Power: 279.6130, Util: 100 Temp: 55
