Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.3240, Util: 0 Temp: 32
[001] Power: 35.8270, Util: 0 Temp: 32
[002] Power: 35.8270, Util: 0 Temp: 32
[003] Power: 36.3240, Util: 0 Temp: 32
[004] Power: 35.8270, Util: 0 Temp: 32
[005] Power: 35.8270, Util: 0 Temp: 32
[006] Power: 35.8270, Util: 0 Temp: 32
[007] Power: 36.3010, Util: 0 Temp: 32
[008] Power: 36.3240, Util: 0 Temp: 32
[009] Power: 36.3240, Util: 0 Temp: 32
[010] Power: 36.3010, Util: 0 Temp: 32
[011] Power: 35.8040, Util: 0 Temp: 32
[012] Power: 36.2540, Util: 0 Temp: 32
[013] Power: 35.8040, Util: 0 Temp: 32
[014] Power: 35.8270, Util: 0 Temp: 32
[015] Power: 38.5880, Util: 0 Temp: 32
[016] Power: 208.0480, Util: 17 Temp: 35
[017] Power: 212.0700, Util: 17 Temp: 37
[018] Power: 252.1090, Util: 100 Temp: 38
[019] Power: 274.7590, Util: 100 Temp: 40
[020] Power: 285.2500, Util: 100 Temp: 41
[021] Power: 286.7050, Util: 100 Temp: 42
[022] Power: 291.3640, Util: 100 Temp: 42
[023] Power: 297.1820, Util: 100 Temp: 43
[024] Power: 288.1610, Util: 100 Temp: 44
[025] Power: 292.5270, Util: 100 Temp: 44
[026] Power: 296.2120, Util: 100 Temp: 44
[027] Power: 282.3390, Util: 100 Temp: 45
[028] Power: 292.5270, Util: 100 Temp: 45
[029] Power: 297.1820, Util: 100 Temp: 46
[030] Power: 282.8240, Util: 100 Temp: 46
[031] Power: 288.1610, Util: 100 Temp: 46
[032] Power: 293.0120, Util: 100 Temp: 46
[033] Power: 288.1610, Util: 100 Temp: 47
[034] Power: 293.4970, Util: 100 Temp: 47
[035] Power: 297.6670, Util: 100 Temp: 47
[036] Power: 283.3100, Util: 100 Temp: 47
[037] Power: 287.6760, Util: 100 Temp: 47
[038] Power: 293.3040, Util: 100 Temp: 48
[039] Power: 297.6670, Util: 100 Temp: 48
[040] Power: 283.7950, Util: 100 Temp: 48
[041] Power: 294.2730, Util: 100 Temp: 48
[042] Power: 295.7280, Util: 100 Temp: 49
[043] Power: 293.7880, Util: 100 Temp: 49
[044] Power: 298.6360, Util: 100 Temp: 49
[045] Power: 284.2800, Util: 100 Temp: 49
