Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 37.7230, Util: 0 Temp: 32
[001] Power: 37.7230, Util: 0 Temp: 32
[002] Power: 37.7230, Util: 0 Temp: 32
[003] Power: 37.7230, Util: 0 Temp: 32
[004] Power: 37.7230, Util: 0 Temp: 32
[005] Power: 37.7230, Util: 0 Temp: 31
[006] Power: 37.7230, Util: 0 Temp: 32
[007] Power: 37.7230, Util: 0 Temp: 32
[008] Power: 37.7230, Util: 0 Temp: 32
[009] Power: 37.7230, Util: 0 Temp: 31
[010] Power: 37.7230, Util: 0 Temp: 31
[011] Power: 37.7230, Util: 0 Temp: 32
[012] Power: 37.7230, Util: 0 Temp: 32
[013] Power: 37.7230, Util: 0 Temp: 32
[014] Power: 37.7230, Util: 0 Temp: 32
[015] Power: 37.7230, Util: 0 Temp: 31
[016] Power: 37.7230, Util: 0 Temp: 31
[017] Power: 37.7230, Util: 0 Temp: 31
[018] Power: 37.7230, Util: 0 Temp: 31
[019] Power: 37.7230, Util: 0 Temp: 32
[020] Power: 37.7230, Util: 0 Temp: 31
[021] Power: 37.7230, Util: 0 Temp: 31
[022] Power: 112.3130, Util: 0 Temp: 32
[023] Power: 139.0800, Util: 19 Temp: 33
[024] Power: 154.1060, Util: 99 Temp: 34
[025] Power: 158.9830, Util: 99 Temp: 34
[026] Power: 175.4490, Util: 99 Temp: 35
[027] Power: 178.3730, Util: 99 Temp: 36
[028] Power: 180.6910, Util: 99 Temp: 36
[029] Power: 183.2470, Util: 99 Temp: 37
[030] Power: 185.5620, Util: 99 Temp: 37
[031] Power: 186.0490, Util: 99 Temp: 37
[032] Power: 186.0490, Util: 99 Temp: 37
[033] Power: 186.1710, Util: 99 Temp: 38
[034] Power: 186.0490, Util: 99 Temp: 38
[035] Power: 175.4490, Util: 99 Temp: 38
[036] Power: 176.9110, Util: 99 Temp: 38
[037] Power: 179.3480, Util: 99 Temp: 38
[038] Power: 181.7850, Util: 99 Temp: 38
[039] Power: 184.1010, Util: 99 Temp: 38
[040] Power: 186.5360, Util: 99 Temp: 39
[041] Power: 186.5360, Util: 99 Temp: 39
[042] Power: 186.5360, Util: 99 Temp: 39
[043] Power: 187.0230, Util: 99 Temp: 39
[044] Power: 187.0230, Util: 99 Temp: 39
[045] Power: 187.0230, Util: 99 Temp: 39
[046] Power: 187.0230, Util: 99 Temp: 39
[047] Power: 187.0230, Util: 99 Temp: 40
[048] Power: 187.0230, Util: 99 Temp: 40
[049] Power: 187.0230, Util: 99 Temp: 40
[050] Power: 187.0230, Util: 99 Temp: 40
[051] Power: 175.4490, Util: 99 Temp: 40
[052] Power: 179.3480, Util: 99 Temp: 40
[053] Power: 181.6650, Util: 99 Temp: 40
[054] Power: 184.2220, Util: 99 Temp: 40
[055] Power: 186.5360, Util: 99 Temp: 40
[056] Power: 187.5100, Util: 99 Temp: 40
[057] Power: 187.5100, Util: 99 Temp: 40
[058] Power: 187.5100, Util: 99 Temp: 40
[059] Power: 187.5100, Util: 99 Temp: 41
[060] Power: 187.5100, Util: 99 Temp: 41
[061] Power: 187.5100, Util: 99 Temp: 41
[062] Power: 187.5100, Util: 99 Temp: 41
[063] Power: 187.9970, Util: 99 Temp: 41
[064] Power: 187.9970, Util: 99 Temp: 41
[065] Power: 187.9970, Util: 99 Temp: 41
[066] Power: 187.9970, Util: 99 Temp: 41
[067] Power: 187.9970, Util: 99 Temp: 41
[068] Power: 187.9970, Util: 99 Temp: 41
[069] Power: 187.9970, Util: 99 Temp: 41
[070] Power: 187.9970, Util: 99 Temp: 41
[071] Power: 187.9970, Util: 99 Temp: 41
[072] Power: 187.9970, Util: 99 Temp: 41
[073] Power: 187.9970, Util: 99 Temp: 41
[074] Power: 187.9970, Util: 99 Temp: 41
[075] Power: 187.9970, Util: 99 Temp: 41
[076] Power: 187.9970, Util: 99 Temp: 41
[077] Power: 187.9970, Util: 99 Temp: 42
[078] Power: 187.9970, Util: 99 Temp: 41
[079] Power: 188.4840, Util: 99 Temp: 42
[080] Power: 187.9970, Util: 99 Temp: 42
[081] Power: 188.4840, Util: 99 Temp: 42
[082] Power: 188.4840, Util: 99 Temp: 42
[083] Power: 188.4840, Util: 99 Temp: 42
[084] Power: 188.4840, Util: 99 Temp: 42
[085] Power: 188.4840, Util: 99 Temp: 42
[086] Power: 188.4840, Util: 99 Temp: 42
[087] Power: 188.4840, Util: 99 Temp: 42
[088] Power: 188.4840, Util: 99 Temp: 42
[089] Power: 188.4840, Util: 99 Temp: 42
[090] Power: 188.4840, Util: 99 Temp: 42
[091] Power: 188.4840, Util: 99 Temp: 42
[092] Power: 188.4840, Util: 99 Temp: 42
[093] Power: 188.4840, Util: 99 Temp: 42
[094] Power: 188.4840, Util: 99 Temp: 42
[095] Power: 188.4840, Util: 99 Temp: 42
[096] Power: 188.4840, Util: 99 Temp: 42
[097] Power: 188.4840, Util: 99 Temp: 42
[098] Power: 188.9710, Util: 99 Temp: 42
[099] Power: 188.4840, Util: 99 Temp: 42
[100] Power: 188.9710, Util: 99 Temp: 42
[101] Power: 188.4840, Util: 99 Temp: 42
[102] Power: 193.3540, Util: 99 Temp: 42
[103] Power: 193.3540, Util: 99 Temp: 42
[104] Power: 193.3540, Util: 99 Temp: 43
[105] Power: 193.3540, Util: 99 Temp: 43
[106] Power: 193.3540, Util: 99 Temp: 43
[107] Power: 193.3540, Util: 99 Temp: 43
[108] Power: 193.3540, Util: 99 Temp: 43
[109] Power: 193.3540, Util: 99 Temp: 43
[110] Power: 193.3540, Util: 99 Temp: 43
[111] Power: 190.9190, Util: 99 Temp: 43
[112] Power: 183.1270, Util: 99 Temp: 42
[113] Power: 186.0490, Util: 99 Temp: 42
[114] Power: 188.4840, Util: 99 Temp: 43
[115] Power: 190.9190, Util: 99 Temp: 43
[116] Power: 193.3540, Util: 99 Temp: 43
[117] Power: 193.8410, Util: 99 Temp: 43
[118] Power: 193.8410, Util: 99 Temp: 43
[119] Power: 193.8410, Util: 99 Temp: 43
[120] Power: 193.8410, Util: 99 Temp: 43
[121] Power: 193.8410, Util: 99 Temp: 43
[122] Power: 193.8410, Util: 99 Temp: 43
[123] Power: 193.8410, Util: 99 Temp: 43
[124] Power: 193.8410, Util: 99 Temp: 43
[125] Power: 193.8410, Util: 99 Temp: 43
[126] Power: 193.8410, Util: 99 Temp: 43
[127] Power: 193.8410, Util: 99 Temp: 43
[128] Power: 193.8410, Util: 99 Temp: 43
[129] Power: 193.8410, Util: 99 Temp: 43
[130] Power: 194.3280, Util: 99 Temp: 43
[131] Power: 193.8410, Util: 99 Temp: 43
[132] Power: 193.8410, Util: 99 Temp: 43
[133] Power: 193.8410, Util: 99 Temp: 43
[134] Power: 193.8410, Util: 99 Temp: 43
[135] Power: 193.8410, Util: 99 Temp: 43
[136] Power: 193.8410, Util: 99 Temp: 43
[137] Power: 193.8410, Util: 99 Temp: 43
[138] Power: 194.3280, Util: 99 Temp: 43
[139] Power: 194.3280, Util: 99 Temp: 43
[140] Power: 193.8410, Util: 99 Temp: 43
[141] Power: 194.3280, Util: 99 Temp: 43
[142] Power: 194.3280, Util: 99 Temp: 43
[143] Power: 193.8410, Util: 99 Temp: 43
[144] Power: 193.8410, Util: 99 Temp: 43
[145] Power: 194.3280, Util: 99 Temp: 43
[146] Power: 193.8410, Util: 99 Temp: 43
[147] Power: 193.8410, Util: 99 Temp: 43
[148] Power: 194.3280, Util: 99 Temp: 43
[149] Power: 194.3280, Util: 99 Temp: 43
[150] Power: 194.3280, Util: 99 Temp: 44
[151] Power: 194.3280, Util: 99 Temp: 43
[152] Power: 194.3280, Util: 99 Temp: 43
[153] Power: 194.3280, Util: 99 Temp: 44
[154] Power: 193.8410, Util: 99 Temp: 44
[155] Power: 194.3280, Util: 99 Temp: 44
[156] Power: 194.3280, Util: 99 Temp: 44
[157] Power: 193.8410, Util: 99 Temp: 44
[158] Power: 194.3280, Util: 99 Temp: 44
[159] Power: 194.3280, Util: 99 Temp: 43
[160] Power: 194.3280, Util: 99 Temp: 43
[161] Power: 194.3280, Util: 99 Temp: 43
[162] Power: 194.3280, Util: 99 Temp: 44
[163] Power: 194.3280, Util: 99 Temp: 44
[164] Power: 193.7140, Util: 99 Temp: 44
[165] Power: 194.3280, Util: 99 Temp: 44
[166] Power: 194.3280, Util: 99 Temp: 44
[167] Power: 194.3280, Util: 99 Temp: 44
[168] Power: 194.3280, Util: 99 Temp: 44
[169] Power: 194.3280, Util: 99 Temp: 44
[170] Power: 194.3280, Util: 99 Temp: 44
[171] Power: 194.3280, Util: 99 Temp: 44
[172] Power: 194.3280, Util: 99 Temp: 44
[173] Power: 194.3280, Util: 99 Temp: 44
[174] Power: 194.3280, Util: 99 Temp: 44
[175] Power: 194.3280, Util: 99 Temp: 44
[176] Power: 194.3280, Util: 99 Temp: 44
[177] Power: 194.3280, Util: 99 Temp: 44
[178] Power: 194.3280, Util: 99 Temp: 44
[179] Power: 194.3280, Util: 99 Temp: 44
[180] Power: 194.3280, Util: 99 Temp: 44
[181] Power: 194.3280, Util: 99 Temp: 44
[182] Power: 194.3280, Util: 99 Temp: 44
[183] Power: 194.3280, Util: 99 Temp: 44
[184] Power: 194.3280, Util: 99 Temp: 44
[185] Power: 194.3280, Util: 99 Temp: 44
[186] Power: 194.3280, Util: 99 Temp: 44
[187] Power: 194.3280, Util: 99 Temp: 44
[188] Power: 194.3280, Util: 99 Temp: 44
[189] Power: 194.2010, Util: 99 Temp: 44
