Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 38.2130, Util: 0 Temp: 32
[001] Power: 54.3450, Util: 5 Temp: 33
[002] Power: 55.8140, Util: 5 Temp: 33
[003] Power: 55.3240, Util: 1 Temp: 33
[004] Power: 55.3240, Util: 1 Temp: 33
[005] Power: 55.3240, Util: 0 Temp: 33
[006] Power: 55.3240, Util: 0 Temp: 33
[007] Power: 55.3240, Util: 0 Temp: 33
[008] Power: 55.3240, Util: 0 Temp: 33
[009] Power: 55.3240, Util: 0 Temp: 33
[010] Power: 55.3240, Util: 0 Temp: 33
[011] Power: 55.3240, Util: 0 Temp: 33
[012] Power: 55.3240, Util: 0 Temp: 33
[013] Power: 55.3240, Util: 0 Temp: 33
[014] Power: 55.3240, Util: 0 Temp: 33
[015] Power: 55.3240, Util: 0 Temp: 33
[016] Power: 124.5210, Util: 36 Temp: 34
[017] Power: 124.5210, Util: 36 Temp: 35
[018] Power: 144.9360, Util: 100 Temp: 35
[019] Power: 147.7670, Util: 100 Temp: 36
[020] Power: 163.8600, Util: 100 Temp: 36
[021] Power: 166.6770, Util: 100 Temp: 37
[022] Power: 166.6770, Util: 100 Temp: 37
[023] Power: 166.6770, Util: 100 Temp: 38
[024] Power: 167.1640, Util: 100 Temp: 38
[025] Power: 165.2150, Util: 100 Temp: 38
[026] Power: 164.8350, Util: 100 Temp: 38
[027] Power: 164.7270, Util: 100 Temp: 38
[028] Power: 165.2150, Util: 100 Temp: 38
[029] Power: 165.3230, Util: 100 Temp: 39
[030] Power: 165.2150, Util: 100 Temp: 39
[031] Power: 165.3230, Util: 100 Temp: 39
[032] Power: 165.2150, Util: 100 Temp: 39
[033] Power: 165.2150, Util: 100 Temp: 39
[034] Power: 165.2150, Util: 100 Temp: 39
[035] Power: 165.2150, Util: 100 Temp: 39
[036] Power: 165.2150, Util: 100 Temp: 39
[037] Power: 165.2150, Util: 100 Temp: 39
[038] Power: 165.8110, Util: 100 Temp: 40
[039] Power: 165.7020, Util: 100 Temp: 40
[040] Power: 165.7020, Util: 100 Temp: 40
[041] Power: 165.7020, Util: 100 Temp: 40
[042] Power: 165.7020, Util: 100 Temp: 40
[043] Power: 165.7020, Util: 100 Temp: 40
[044] Power: 165.7020, Util: 100 Temp: 40
[045] Power: 165.7020, Util: 100 Temp: 40
[046] Power: 165.7020, Util: 100 Temp: 40
[047] Power: 165.7020, Util: 100 Temp: 40
[048] Power: 165.7020, Util: 100 Temp: 40
[049] Power: 165.7020, Util: 100 Temp: 40
[050] Power: 165.7020, Util: 100 Temp: 40
[051] Power: 165.7020, Util: 100 Temp: 40
[052] Power: 165.7020, Util: 100 Temp: 40
