Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.3010, Util: 0 Temp: 32
[001] Power: 54.2030, Util: 4 Temp: 32
[002] Power: 145.4110, Util: 4 Temp: 34
[003] Power: 171.5500, Util: 96 Temp: 35
[004] Power: 176.4240, Util: 96 Temp: 36
[005] Power: 199.0680, Util: 99 Temp: 37
[006] Power: 202.9620, Util: 99 Temp: 37
[007] Power: 205.8820, Util: 99 Temp: 38
[008] Power: 200.5280, Util: 99 Temp: 38
[009] Power: 203.4480, Util: 99 Temp: 39
[010] Power: 206.3690, Util: 99 Temp: 39
[011] Power: 209.7760, Util: 99 Temp: 39
[012] Power: 213.0430, Util: 99 Temp: 40
[013] Power: 216.4480, Util: 99 Temp: 40
[014] Power: 216.4480, Util: 99 Temp: 40
[015] Power: 216.4480, Util: 99 Temp: 41
[016] Power: 216.4480, Util: 99 Temp: 41
[017] Power: 216.9340, Util: 99 Temp: 41
[018] Power: 216.9340, Util: 99 Temp: 41
[019] Power: 216.9340, Util: 99 Temp: 41
[020] Power: 216.9340, Util: 99 Temp: 42
[021] Power: 216.9340, Util: 99 Temp: 42
[022] Power: 217.4200, Util: 99 Temp: 42
[023] Power: 217.4200, Util: 99 Temp: 42
[024] Power: 217.4200, Util: 99 Temp: 42
[025] Power: 217.4200, Util: 99 Temp: 42
[026] Power: 217.4200, Util: 99 Temp: 42
[027] Power: 217.4200, Util: 99 Temp: 43
[028] Power: 217.9070, Util: 99 Temp: 43
[029] Power: 217.9070, Util: 99 Temp: 43
[030] Power: 217.9070, Util: 99 Temp: 43
[031] Power: 217.9070, Util: 99 Temp: 43
[032] Power: 202.4750, Util: 99 Temp: 43
[033] Power: 205.3950, Util: 99 Temp: 43
[034] Power: 208.8020, Util: 99 Temp: 43
[035] Power: 211.5840, Util: 99 Temp: 43
[036] Power: 202.4750, Util: 99 Temp: 43
[037] Power: 205.3950, Util: 99 Temp: 43
