Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.2540, Util: 0 Temp: 33
[001] Power: 58.7520, Util: 2 Temp: 33
[002] Power: 147.8640, Util: 2 Temp: 34
[003] Power: 163.8600, Util: 93 Temp: 35
[004] Power: 165.7020, Util: 93 Temp: 36
[005] Power: 182.7600, Util: 99 Temp: 36
[006] Power: 185.1960, Util: 99 Temp: 37
[007] Power: 187.5100, Util: 99 Temp: 37
[008] Power: 189.4580, Util: 99 Temp: 37
[009] Power: 191.8930, Util: 99 Temp: 38
[010] Power: 191.8930, Util: 99 Temp: 38
[011] Power: 191.8930, Util: 99 Temp: 38
[012] Power: 192.3800, Util: 99 Temp: 39
[013] Power: 192.3800, Util: 99 Temp: 39
[014] Power: 192.3800, Util: 99 Temp: 39
[015] Power: 192.3800, Util: 99 Temp: 39
[016] Power: 181.7850, Util: 99 Temp: 39
[017] Power: 183.7340, Util: 99 Temp: 39
[018] Power: 185.5620, Util: 99 Temp: 39
[019] Power: 188.1200, Util: 99 Temp: 40
[020] Power: 190.4320, Util: 99 Temp: 40
[021] Power: 192.8670, Util: 99 Temp: 40
[022] Power: 181.7850, Util: 99 Temp: 40
[023] Power: 183.7340, Util: 99 Temp: 40
[024] Power: 186.0490, Util: 99 Temp: 40
[025] Power: 187.9970, Util: 99 Temp: 40
[026] Power: 190.4320, Util: 99 Temp: 40
[027] Power: 192.8670, Util: 99 Temp: 40
[028] Power: 192.8670, Util: 99 Temp: 40
[029] Power: 192.8670, Util: 99 Temp: 41
[030] Power: 192.8670, Util: 99 Temp: 41
[031] Power: 193.3540, Util: 99 Temp: 41
[032] Power: 192.8670, Util: 99 Temp: 41
[033] Power: 193.3540, Util: 99 Temp: 41
[034] Power: 192.8670, Util: 99 Temp: 41
[035] Power: 193.3540, Util: 99 Temp: 41
[036] Power: 193.3540, Util: 99 Temp: 41
[037] Power: 193.3540, Util: 99 Temp: 41
[038] Power: 192.8670, Util: 99 Temp: 41
[039] Power: 193.3540, Util: 99 Temp: 41
[040] Power: 192.8670, Util: 99 Temp: 41
