Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 37.2090, Util: 0 Temp: 32
[001] Power: 50.8850, Util: 0 Temp: 32
[002] Power: 54.3100, Util: 5 Temp: 32
[003] Power: 54.7990, Util: 0 Temp: 32
[004] Power: 54.7990, Util: 0 Temp: 33
[005] Power: 54.7990, Util: 2 Temp: 33
[006] Power: 54.7990, Util: 2 Temp: 33
[007] Power: 54.7990, Util: 0 Temp: 33
[008] Power: 54.7990, Util: 0 Temp: 33
[009] Power: 54.7990, Util: 0 Temp: 33
[010] Power: 54.7990, Util: 0 Temp: 33
[011] Power: 54.7990, Util: 0 Temp: 33
[012] Power: 54.7990, Util: 0 Temp: 33
[013] Power: 54.7990, Util: 0 Temp: 33
[014] Power: 54.7990, Util: 0 Temp: 33
[015] Power: 54.7990, Util: 0 Temp: 33
[016] Power: 54.7990, Util: 0 Temp: 33
[017] Power: 54.7990, Util: 0 Temp: 33
[018] Power: 54.7990, Util: 0 Temp: 33
[019] Power: 54.7990, Util: 0 Temp: 33
[020] Power: 54.7990, Util: 0 Temp: 33
[021] Power: 54.7990, Util: 0 Temp: 33
[022] Power: 54.7990, Util: 0 Temp: 33
[023] Power: 54.7990, Util: 0 Temp: 33
[024] Power: 54.7990, Util: 0 Temp: 33
[025] Power: 54.7990, Util: 0 Temp: 33
[026] Power: 54.7990, Util: 0 Temp: 33
[027] Power: 54.7990, Util: 0 Temp: 33
[028] Power: 54.7990, Util: 0 Temp: 33
[029] Power: 54.7990, Util: 0 Temp: 33
[030] Power: 54.7990, Util: 0 Temp: 33
[031] Power: 156.4420, Util: 0 Temp: 35
[032] Power: 187.5100, Util: 52 Temp: 37
[033] Power: 208.6650, Util: 100 Temp: 38
[034] Power: 216.9340, Util: 100 Temp: 39
[035] Power: 213.0430, Util: 100 Temp: 40
[036] Power: 217.4200, Util: 100 Temp: 40
[037] Power: 213.5290, Util: 100 Temp: 41
[038] Power: 217.9070, Util: 100 Temp: 41
[039] Power: 218.8800, Util: 100 Temp: 42
[040] Power: 218.3930, Util: 100 Temp: 42
[041] Power: 217.4200, Util: 100 Temp: 42
[042] Power: 218.3930, Util: 100 Temp: 43
[043] Power: 218.8800, Util: 100 Temp: 43
[044] Power: 218.8800, Util: 100 Temp: 43
[045] Power: 218.3930, Util: 100 Temp: 43
[046] Power: 218.3930, Util: 100 Temp: 43
[047] Power: 215.9610, Util: 100 Temp: 44
[048] Power: 218.8800, Util: 100 Temp: 44
[049] Power: 218.8800, Util: 100 Temp: 44
[050] Power: 219.8520, Util: 100 Temp: 44
[051] Power: 219.3660, Util: 100 Temp: 44
[052] Power: 218.8800, Util: 100 Temp: 44
[053] Power: 218.8800, Util: 100 Temp: 44
[054] Power: 219.3660, Util: 100 Temp: 45
[055] Power: 219.3660, Util: 100 Temp: 45
[056] Power: 219.3660, Util: 100 Temp: 45
[057] Power: 219.8520, Util: 100 Temp: 45
[058] Power: 219.3660, Util: 100 Temp: 45
[059] Power: 220.3390, Util: 100 Temp: 45
[060] Power: 219.8520, Util: 100 Temp: 45
[061] Power: 219.8520, Util: 100 Temp: 45
[062] Power: 218.8800, Util: 100 Temp: 45
[063] Power: 219.3660, Util: 100 Temp: 46
[064] Power: 219.8520, Util: 100 Temp: 46
[065] Power: 220.3390, Util: 100 Temp: 46
[066] Power: 219.8520, Util: 100 Temp: 46
[067] Power: 215.9610, Util: 100 Temp: 46
[068] Power: 220.3390, Util: 100 Temp: 46
[069] Power: 219.8520, Util: 100 Temp: 46
[070] Power: 219.8520, Util: 100 Temp: 46
[071] Power: 219.8520, Util: 100 Temp: 46
[072] Power: 220.3390, Util: 100 Temp: 46
[073] Power: 220.3390, Util: 100 Temp: 46
[074] Power: 219.3660, Util: 100 Temp: 46
[075] Power: 219.3660, Util: 100 Temp: 46
[076] Power: 220.3390, Util: 100 Temp: 46
[077] Power: 220.8250, Util: 100 Temp: 46
[078] Power: 220.8250, Util: 100 Temp: 46
[079] Power: 219.8520, Util: 100 Temp: 46
[080] Power: 220.3390, Util: 100 Temp: 46
[081] Power: 220.8250, Util: 100 Temp: 46
[082] Power: 220.8250, Util: 100 Temp: 46
[083] Power: 220.3390, Util: 100 Temp: 47
[084] Power: 220.1940, Util: 100 Temp: 47
[085] Power: 220.3390, Util: 100 Temp: 47
[086] Power: 220.8250, Util: 100 Temp: 47
[087] Power: 220.8250, Util: 100 Temp: 47
[088] Power: 219.8520, Util: 100 Temp: 47
[089] Power: 220.3390, Util: 100 Temp: 47
[090] Power: 220.8250, Util: 100 Temp: 47
[091] Power: 220.8250, Util: 100 Temp: 47
[092] Power: 220.8250, Util: 100 Temp: 47
[093] Power: 219.8520, Util: 100 Temp: 47
[094] Power: 220.3390, Util: 100 Temp: 47
[095] Power: 220.8250, Util: 100 Temp: 47
[096] Power: 220.8250, Util: 100 Temp: 47
[097] Power: 220.8250, Util: 100 Temp: 47
[098] Power: 220.3390, Util: 100 Temp: 47
[099] Power: 220.8250, Util: 100 Temp: 47
[100] Power: 221.3120, Util: 100 Temp: 47
[101] Power: 221.3120, Util: 100 Temp: 47
[102] Power: 220.8250, Util: 100 Temp: 47
[103] Power: 220.8250, Util: 100 Temp: 47
[104] Power: 220.3390, Util: 100 Temp: 47
[105] Power: 220.8250, Util: 100 Temp: 47
[106] Power: 220.8250, Util: 100 Temp: 47
[107] Power: 221.3120, Util: 100 Temp: 47
[108] Power: 220.3390, Util: 100 Temp: 47
[109] Power: 221.3120, Util: 100 Temp: 47
[110] Power: 221.3120, Util: 100 Temp: 47
[111] Power: 220.8250, Util: 100 Temp: 47
[112] Power: 221.3120, Util: 100 Temp: 47
[113] Power: 220.1940, Util: 100 Temp: 47
[114] Power: 220.8250, Util: 100 Temp: 47
[115] Power: 220.8250, Util: 100 Temp: 47
[116] Power: 221.3120, Util: 100 Temp: 47
[117] Power: 220.8250, Util: 100 Temp: 47
[118] Power: 220.6800, Util: 100 Temp: 47
[119] Power: 221.3120, Util: 100 Temp: 47
[120] Power: 218.8800, Util: 100 Temp: 47
[121] Power: 220.3390, Util: 100 Temp: 47
[122] Power: 221.3120, Util: 100 Temp: 47
[123] Power: 221.3120, Util: 100 Temp: 47
[124] Power: 220.3390, Util: 100 Temp: 48
[125] Power: 220.8250, Util: 100 Temp: 47
[126] Power: 221.3120, Util: 100 Temp: 48
[127] Power: 221.3120, Util: 100 Temp: 48
[128] Power: 220.3390, Util: 100 Temp: 48
[129] Power: 220.8250, Util: 100 Temp: 48
[130] Power: 221.3120, Util: 100 Temp: 48
[131] Power: 221.3120, Util: 100 Temp: 48
[132] Power: 221.1660, Util: 100 Temp: 48
[133] Power: 220.8250, Util: 100 Temp: 48
[134] Power: 220.8250, Util: 100 Temp: 48
[135] Power: 221.3120, Util: 100 Temp: 48
[136] Power: 221.3120, Util: 100 Temp: 48
[137] Power: 221.3120, Util: 100 Temp: 48
[138] Power: 220.1940, Util: 100 Temp: 48
[139] Power: 221.3120, Util: 100 Temp: 48
[140] Power: 221.3120, Util: 100 Temp: 48
[141] Power: 221.3120, Util: 100 Temp: 48
[142] Power: 221.3120, Util: 100 Temp: 48
[143] Power: 220.3390, Util: 100 Temp: 48
[144] Power: 221.3120, Util: 100 Temp: 48
[145] Power: 221.3120, Util: 100 Temp: 48
[146] Power: 221.3120, Util: 100 Temp: 48
[147] Power: 221.3120, Util: 100 Temp: 48
[148] Power: 220.8250, Util: 100 Temp: 48
[149] Power: 221.7980, Util: 100 Temp: 48
[150] Power: 221.7980, Util: 100 Temp: 48
[151] Power: 221.7980, Util: 100 Temp: 48
[152] Power: 220.8250, Util: 100 Temp: 48
[153] Power: 220.8250, Util: 100 Temp: 48
[154] Power: 221.3120, Util: 100 Temp: 48
[155] Power: 221.3120, Util: 100 Temp: 48
[156] Power: 221.7980, Util: 100 Temp: 48
[157] Power: 220.8250, Util: 100 Temp: 48
[158] Power: 221.3120, Util: 100 Temp: 48
[159] Power: 222.2840, Util: 100 Temp: 48
[160] Power: 221.7980, Util: 100 Temp: 48
[161] Power: 220.8250, Util: 100 Temp: 48
[162] Power: 220.8250, Util: 100 Temp: 48
[163] Power: 221.3120, Util: 100 Temp: 48
[164] Power: 221.3120, Util: 100 Temp: 48
[165] Power: 221.3120, Util: 100 Temp: 48
[166] Power: 221.3120, Util: 100 Temp: 48
[167] Power: 221.3120, Util: 100 Temp: 48
[168] Power: 221.7980, Util: 100 Temp: 48
[169] Power: 221.7980, Util: 100 Temp: 48
[170] Power: 221.3120, Util: 100 Temp: 48
[171] Power: 221.1660, Util: 100 Temp: 48
[172] Power: 221.3120, Util: 100 Temp: 48
[173] Power: 221.3120, Util: 100 Temp: 48
[174] Power: 221.3120, Util: 100 Temp: 48
[175] Power: 220.8250, Util: 100 Temp: 48
[176] Power: 221.3120, Util: 100 Temp: 48
