Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 37.9180, Util: 0 Temp: 30
[001] Power: 45.8150, Util: 0 Temp: 30
[002] Power: 97.4890, Util: 0 Temp: 31
[003] Power: 117.7300, Util: 45 Temp: 32
[004] Power: 123.5860, Util: 100 Temp: 33
[005] Power: 127.9780, Util: 100 Temp: 33
[006] Power: 127.9780, Util: 100 Temp: 34
[007] Power: 127.9780, Util: 100 Temp: 34
[008] Power: 127.9780, Util: 100 Temp: 34
[009] Power: 127.9780, Util: 100 Temp: 34
[010] Power: 127.9780, Util: 100 Temp: 35
[011] Power: 127.9780, Util: 100 Temp: 35
[012] Power: 127.8940, Util: 100 Temp: 35
[013] Power: 127.9780, Util: 100 Temp: 35
[014] Power: 128.4660, Util: 100 Temp: 35
[015] Power: 127.9780, Util: 100 Temp: 35
[016] Power: 128.4660, Util: 100 Temp: 35
[017] Power: 128.4660, Util: 100 Temp: 35
[018] Power: 127.9780, Util: 100 Temp: 36
[019] Power: 128.4660, Util: 100 Temp: 36
[020] Power: 128.4660, Util: 100 Temp: 36
[021] Power: 128.4660, Util: 100 Temp: 36
[022] Power: 128.4660, Util: 100 Temp: 36
[023] Power: 128.4660, Util: 100 Temp: 36
[024] Power: 128.4660, Util: 100 Temp: 36
[025] Power: 128.4660, Util: 100 Temp: 36
[026] Power: 128.4660, Util: 100 Temp: 36
[027] Power: 128.4660, Util: 100 Temp: 36
[028] Power: 128.4660, Util: 100 Temp: 36
[029] Power: 128.4660, Util: 100 Temp: 36
[030] Power: 128.4660, Util: 100 Temp: 36
[031] Power: 128.4660, Util: 100 Temp: 36
[032] Power: 128.4660, Util: 100 Temp: 36
[033] Power: 128.9540, Util: 100 Temp: 36
[034] Power: 128.4660, Util: 100 Temp: 36
[035] Power: 128.4660, Util: 100 Temp: 36
[036] Power: 128.4660, Util: 100 Temp: 37
[037] Power: 128.4660, Util: 100 Temp: 36
[038] Power: 128.9540, Util: 100 Temp: 37
[039] Power: 128.4660, Util: 100 Temp: 37
[040] Power: 128.3820, Util: 100 Temp: 37
