Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 126.4740, Util: 86 Temp: 39
[001] Power: 127.4510, Util: 90 Temp: 39
[002] Power: 127.9390, Util: 90 Temp: 39
[003] Power: 128.4280, Util: 90 Temp: 39
[004] Power: 127.4510, Util: 90 Temp: 39
[005] Power: 127.9390, Util: 90 Temp: 39
[006] Power: 128.4280, Util: 90 Temp: 39
[007] Power: 127.4510, Util: 90 Temp: 39
[008] Power: 127.4510, Util: 90 Temp: 39
[009] Power: 127.9390, Util: 90 Temp: 39
[010] Power: 127.4510, Util: 90 Temp: 39
[011] Power: 127.4510, Util: 90 Temp: 39
[012] Power: 127.9390, Util: 90 Temp: 39
[013] Power: 127.4510, Util: 90 Temp: 39
[014] Power: 127.4510, Util: 90 Temp: 39
[015] Power: 127.9390, Util: 90 Temp: 39
[016] Power: 127.4510, Util: 90 Temp: 39
[017] Power: 127.4510, Util: 90 Temp: 39
[018] Power: 127.9390, Util: 90 Temp: 39
[019] Power: 127.4510, Util: 90 Temp: 39
[020] Power: 127.4510, Util: 90 Temp: 39
[021] Power: 125.4980, Util: 90 Temp: 39
[022] Power: 127.4510, Util: 90 Temp: 39
[023] Power: 127.9390, Util: 90 Temp: 39
[024] Power: 127.4510, Util: 90 Temp: 39
[025] Power: 127.4510, Util: 90 Temp: 39
[026] Power: 127.9390, Util: 90 Temp: 39
[027] Power: 127.4510, Util: 90 Temp: 39
[028] Power: 127.4510, Util: 90 Temp: 39
[029] Power: 127.9390, Util: 90 Temp: 39
[030] Power: 127.4510, Util: 90 Temp: 39
[031] Power: 126.9630, Util: 90 Temp: 39
[032] Power: 127.9390, Util: 90 Temp: 39
[033] Power: 128.4280, Util: 90 Temp: 39
[034] Power: 126.9630, Util: 90 Temp: 39
[035] Power: 127.9390, Util: 90 Temp: 39
[036] Power: 128.4280, Util: 90 Temp: 39
[037] Power: 126.9630, Util: 90 Temp: 39
[038] Power: 126.4740, Util: 90 Temp: 39
[039] Power: 127.9390, Util: 90 Temp: 39
[040] Power: 127.4510, Util: 90 Temp: 39
[041] Power: 127.4510, Util: 90 Temp: 39
[042] Power: 127.9390, Util: 90 Temp: 39
[043] Power: 127.4510, Util: 90 Temp: 39
[044] Power: 127.4510, Util: 90 Temp: 39
[045] Power: 127.9390, Util: 90 Temp: 39
[046] Power: 128.4280, Util: 90 Temp: 39
