Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 140.0860, Util: 100 Temp: 38
[001] Power: 140.0860, Util: 100 Temp: 38
[002] Power: 140.1780, Util: 100 Temp: 38
[003] Power: 140.0860, Util: 100 Temp: 38
[004] Power: 140.0860, Util: 100 Temp: 38
[005] Power: 140.0860, Util: 100 Temp: 38
[006] Power: 140.0860, Util: 100 Temp: 38
[007] Power: 140.0860, Util: 100 Temp: 38
[008] Power: 140.0860, Util: 100 Temp: 38
[009] Power: 140.0860, Util: 100 Temp: 38
[010] Power: 140.0860, Util: 100 Temp: 38
[011] Power: 140.0860, Util: 100 Temp: 38
[012] Power: 140.0860, Util: 100 Temp: 38
[013] Power: 140.0860, Util: 100 Temp: 38
[014] Power: 140.0860, Util: 100 Temp: 38
[015] Power: 140.0860, Util: 100 Temp: 38
[016] Power: 140.0860, Util: 100 Temp: 38
[017] Power: 140.0860, Util: 100 Temp: 38
[018] Power: 140.0860, Util: 100 Temp: 38
[019] Power: 140.0860, Util: 100 Temp: 38
[020] Power: 140.0860, Util: 100 Temp: 38
[021] Power: 140.0860, Util: 100 Temp: 38
[022] Power: 140.0860, Util: 100 Temp: 38
[023] Power: 140.0860, Util: 100 Temp: 38
[024] Power: 140.0860, Util: 100 Temp: 38
[025] Power: 140.0860, Util: 100 Temp: 38
[026] Power: 140.0860, Util: 100 Temp: 38
[027] Power: 140.0860, Util: 100 Temp: 38
[028] Power: 140.0860, Util: 100 Temp: 38
[029] Power: 140.0860, Util: 100 Temp: 38
[030] Power: 140.0860, Util: 100 Temp: 38
[031] Power: 140.0860, Util: 100 Temp: 38
[032] Power: 140.0860, Util: 100 Temp: 38
[033] Power: 140.0860, Util: 100 Temp: 38
[034] Power: 140.0860, Util: 100 Temp: 38
[035] Power: 140.0860, Util: 100 Temp: 38
[036] Power: 140.0860, Util: 100 Temp: 38
[037] Power: 140.0860, Util: 100 Temp: 38
[038] Power: 140.0860, Util: 100 Temp: 38
[039] Power: 140.0860, Util: 100 Temp: 38
[040] Power: 140.0860, Util: 100 Temp: 38
[041] Power: 140.0860, Util: 100 Temp: 38
[042] Power: 140.0860, Util: 100 Temp: 38
[043] Power: 140.0860, Util: 100 Temp: 38
[044] Power: 140.0860, Util: 100 Temp: 38
[045] Power: 140.0860, Util: 100 Temp: 38
[046] Power: 140.0860, Util: 100 Temp: 38
[047] Power: 140.0860, Util: 100 Temp: 38
[048] Power: 140.0860, Util: 100 Temp: 38
[049] Power: 140.0860, Util: 100 Temp: 38
[050] Power: 140.0860, Util: 100 Temp: 38
[051] Power: 140.0860, Util: 100 Temp: 38
[052] Power: 140.0860, Util: 100 Temp: 38
[053] Power: 140.0860, Util: 100 Temp: 38
[054] Power: 140.0860, Util: 100 Temp: 38
[055] Power: 140.0860, Util: 100 Temp: 38
[056] Power: 140.0860, Util: 100 Temp: 38
[057] Power: 140.0860, Util: 100 Temp: 38
[058] Power: 140.0860, Util: 100 Temp: 38
[059] Power: 140.0860, Util: 100 Temp: 38
[060] Power: 140.0860, Util: 100 Temp: 38
[061] Power: 140.0860, Util: 100 Temp: 38
[062] Power: 140.0860, Util: 100 Temp: 38
[063] Power: 140.0860, Util: 100 Temp: 38
[064] Power: 140.0860, Util: 100 Temp: 38
[065] Power: 140.0860, Util: 100 Temp: 38
[066] Power: 140.0860, Util: 100 Temp: 38
[067] Power: 140.0860, Util: 100 Temp: 38
[068] Power: 140.0860, Util: 100 Temp: 38
[069] Power: 140.0860, Util: 100 Temp: 38
[070] Power: 140.0860, Util: 100 Temp: 38
[071] Power: 140.0860, Util: 100 Temp: 38
[072] Power: 140.0860, Util: 100 Temp: 38
[073] Power: 140.0860, Util: 100 Temp: 38
[074] Power: 140.0860, Util: 100 Temp: 38
[075] Power: 140.0860, Util: 100 Temp: 38
[076] Power: 140.0860, Util: 100 Temp: 38
[077] Power: 140.0860, Util: 100 Temp: 38
[078] Power: 140.0860, Util: 100 Temp: 38
[079] Power: 140.0860, Util: 100 Temp: 38
[080] Power: 140.0860, Util: 100 Temp: 38
[081] Power: 140.0860, Util: 100 Temp: 38
[082] Power: 140.0860, Util: 100 Temp: 38
[083] Power: 140.0860, Util: 100 Temp: 38
[084] Power: 140.0860, Util: 100 Temp: 38
[085] Power: 140.0860, Util: 100 Temp: 38
[086] Power: 140.0860, Util: 100 Temp: 38
[087] Power: 140.0860, Util: 100 Temp: 38
[088] Power: 140.0860, Util: 100 Temp: 38
[089] Power: 140.0860, Util: 100 Temp: 38
[090] Power: 140.0860, Util: 100 Temp: 38
[091] Power: 140.0860, Util: 100 Temp: 38
[092] Power: 140.0860, Util: 100 Temp: 38
[093] Power: 140.0860, Util: 100 Temp: 38
[094] Power: 140.0860, Util: 100 Temp: 38
[095] Power: 140.0860, Util: 100 Temp: 38
[096] Power: 140.0860, Util: 100 Temp: 38
[097] Power: 140.0860, Util: 100 Temp: 38
[098] Power: 140.0860, Util: 100 Temp: 38
