Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 270.8750, Util: 100 Temp: 53
[001] Power: 271.3600, Util: 100 Temp: 53
[002] Power: 270.8750, Util: 100 Temp: 53
[003] Power: 270.8750, Util: 100 Temp: 53
[004] Power: 270.8750, Util: 100 Temp: 53
[005] Power: 270.8750, Util: 100 Temp: 53
[006] Power: 271.3600, Util: 100 Temp: 53
[007] Power: 270.8750, Util: 100 Temp: 53
[008] Power: 270.8750, Util: 100 Temp: 53
[009] Power: 270.8750, Util: 100 Temp: 53
[010] Power: 270.8750, Util: 100 Temp: 53
[011] Power: 270.8750, Util: 100 Temp: 53
[012] Power: 270.8750, Util: 100 Temp: 53
[013] Power: 270.8750, Util: 100 Temp: 53
[014] Power: 270.8750, Util: 100 Temp: 53
[015] Power: 270.8750, Util: 100 Temp: 53
[016] Power: 270.8750, Util: 100 Temp: 53
[017] Power: 270.8750, Util: 100 Temp: 53
[018] Power: 270.8750, Util: 100 Temp: 53
[019] Power: 270.8750, Util: 100 Temp: 53
[020] Power: 270.8750, Util: 100 Temp: 53
[021] Power: 270.8750, Util: 100 Temp: 53
[022] Power: 270.8750, Util: 100 Temp: 53
[023] Power: 270.8750, Util: 100 Temp: 53
[024] Power: 270.8750, Util: 100 Temp: 53
[025] Power: 270.8750, Util: 100 Temp: 53
[026] Power: 270.8750, Util: 100 Temp: 53
[027] Power: 270.8750, Util: 100 Temp: 53
[028] Power: 271.3600, Util: 100 Temp: 53
[029] Power: 271.3600, Util: 100 Temp: 53
[030] Power: 271.3600, Util: 100 Temp: 53
[031] Power: 271.3600, Util: 100 Temp: 53
[032] Power: 271.3600, Util: 100 Temp: 53
[033] Power: 270.8750, Util: 100 Temp: 53
[034] Power: 271.3600, Util: 100 Temp: 53
[035] Power: 270.8750, Util: 100 Temp: 53
[036] Power: 271.3600, Util: 100 Temp: 53
[037] Power: 270.8750, Util: 100 Temp: 53
[038] Power: 270.8750, Util: 100 Temp: 53
[039] Power: 270.8750, Util: 100 Temp: 53
[040] Power: 271.3600, Util: 100 Temp: 53
[041] Power: 271.3600, Util: 100 Temp: 53
[042] Power: 270.8750, Util: 100 Temp: 53
[043] Power: 270.8750, Util: 100 Temp: 53
[044] Power: 270.8750, Util: 100 Temp: 53
[045] Power: 270.8750, Util: 100 Temp: 53
[046] Power: 271.3600, Util: 100 Temp: 53
[047] Power: 270.8750, Util: 100 Temp: 53
[048] Power: 271.3600, Util: 100 Temp: 53
[049] Power: 271.3600, Util: 100 Temp: 53
[050] Power: 271.3600, Util: 100 Temp: 53
[051] Power: 270.8750, Util: 100 Temp: 53
[052] Power: 270.8750, Util: 100 Temp: 53
[053] Power: 270.8750, Util: 100 Temp: 53
[054] Power: 270.8750, Util: 100 Temp: 53
[055] Power: 270.8750, Util: 100 Temp: 53
[056] Power: 271.3600, Util: 100 Temp: 53
[057] Power: 270.8750, Util: 100 Temp: 53
[058] Power: 270.8750, Util: 100 Temp: 53
[059] Power: 271.3600, Util: 100 Temp: 53
[060] Power: 271.3600, Util: 100 Temp: 53
[061] Power: 270.8750, Util: 100 Temp: 53
[062] Power: 270.8750, Util: 100 Temp: 53
[063] Power: 270.8750, Util: 100 Temp: 53
[064] Power: 270.8750, Util: 100 Temp: 53
[065] Power: 270.8750, Util: 100 Temp: 53
[066] Power: 271.3600, Util: 100 Temp: 53
[067] Power: 271.3600, Util: 100 Temp: 53
[068] Power: 271.3600, Util: 100 Temp: 53
[069] Power: 270.8750, Util: 100 Temp: 53
[070] Power: 271.3600, Util: 100 Temp: 53
[071] Power: 270.8750, Util: 100 Temp: 53
[072] Power: 271.3600, Util: 100 Temp: 53
[073] Power: 270.8750, Util: 100 Temp: 53
[074] Power: 271.3600, Util: 100 Temp: 53
[075] Power: 270.8750, Util: 100 Temp: 53
[076] Power: 269.9040, Util: 100 Temp: 53
[077] Power: 270.8750, Util: 100 Temp: 53
[078] Power: 271.3600, Util: 100 Temp: 53
[079] Power: 271.3600, Util: 100 Temp: 53
[080] Power: 271.3600, Util: 100 Temp: 53
[081] Power: 271.3600, Util: 100 Temp: 53
[082] Power: 270.8750, Util: 100 Temp: 53
[083] Power: 271.3600, Util: 100 Temp: 53
[084] Power: 271.3600, Util: 100 Temp: 53
[085] Power: 271.3600, Util: 100 Temp: 53
[086] Power: 271.5390, Util: 100 Temp: 53
[087] Power: 270.8750, Util: 100 Temp: 53
[088] Power: 271.3600, Util: 100 Temp: 53
