Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 36.8220, Util: 0 Temp: 35
[001] Power: 36.8220, Util: 0 Temp: 35
[002] Power: 36.8220, Util: 0 Temp: 35
[003] Power: 36.8220, Util: 0 Temp: 35
[004] Power: 36.8220, Util: 0 Temp: 35
[005] Power: 36.8220, Util: 0 Temp: 35
[006] Power: 36.4670, Util: 0 Temp: 35
[007] Power: 36.7440, Util: 0 Temp: 35
[008] Power: 36.7440, Util: 0 Temp: 35
[009] Power: 36.7440, Util: 0 Temp: 35
[010] Power: 143.8650, Util: 0 Temp: 35
[011] Power: 270.0820, Util: 48 Temp: 39
[012] Power: 276.7000, Util: 48 Temp: 40
[013] Power: 288.6460, Util: 100 Temp: 41
[014] Power: 293.9820, Util: 100 Temp: 42
[015] Power: 286.2200, Util: 100 Temp: 43
[016] Power: 289.6160, Util: 100 Temp: 44
[017] Power: 294.9520, Util: 100 Temp: 44
[018] Power: 299.8040, Util: 100 Temp: 45
[019] Power: 284.7650, Util: 100 Temp: 45
[020] Power: 289.6160, Util: 100 Temp: 45
[021] Power: 291.5570, Util: 100 Temp: 46
[022] Power: 295.9230, Util: 100 Temp: 46
[023] Power: 289.1310, Util: 100 Temp: 46
[024] Power: 285.7350, Util: 100 Temp: 46
[025] Power: 292.0420, Util: 100 Temp: 47
[026] Power: 296.8930, Util: 100 Temp: 47
[027] Power: 283.0110, Util: 100 Temp: 47
[028] Power: 286.7050, Util: 100 Temp: 47
[029] Power: 290.5860, Util: 100 Temp: 48
[030] Power: 292.5270, Util: 100 Temp: 48
[031] Power: 297.3780, Util: 100 Temp: 48
[032] Power: 283.4960, Util: 100 Temp: 48
[033] Power: 282.3390, Util: 100 Temp: 48
[034] Power: 287.1910, Util: 100 Temp: 48
[035] Power: 293.0120, Util: 100 Temp: 48
[036] Power: 297.3780, Util: 100 Temp: 49
[037] Power: 283.9820, Util: 100 Temp: 49
[038] Power: 287.6760, Util: 100 Temp: 49
[039] Power: 288.6460, Util: 100 Temp: 49
[040] Power: 293.4970, Util: 100 Temp: 49
[041] Power: 298.3480, Util: 100 Temp: 49
[042] Power: 283.7950, Util: 100 Temp: 49
[043] Power: 288.1610, Util: 100 Temp: 50
[044] Power: 288.6460, Util: 100 Temp: 50
[045] Power: 293.9820, Util: 100 Temp: 50
[046] Power: 298.8330, Util: 100 Temp: 50
[047] Power: 283.9820, Util: 100 Temp: 50
[048] Power: 288.1610, Util: 100 Temp: 50
[049] Power: 284.2800, Util: 100 Temp: 50
[050] Power: 288.1610, Util: 100 Temp: 50
[051] Power: 288.6460, Util: 100 Temp: 50
[052] Power: 294.4670, Util: 100 Temp: 50
[053] Power: 287.6760, Util: 100 Temp: 51
[054] Power: 289.1310, Util: 100 Temp: 51
[055] Power: 293.4970, Util: 100 Temp: 51
[056] Power: 297.6670, Util: 100 Temp: 51
[057] Power: 284.4670, Util: 100 Temp: 51
[058] Power: 290.1010, Util: 100 Temp: 51
[059] Power: 294.4670, Util: 100 Temp: 51
[060] Power: 299.6060, Util: 100 Temp: 51
[061] Power: 278.6420, Util: 100 Temp: 51
[062] Power: 291.0720, Util: 100 Temp: 51
[063] Power: 297.3780, Util: 100 Temp: 51
[064] Power: 287.1910, Util: 100 Temp: 51
[065] Power: 291.5570, Util: 100 Temp: 51
[066] Power: 293.0120, Util: 100 Temp: 51
[067] Power: 298.1520, Util: 100 Temp: 52
[068] Power: 288.1610, Util: 100 Temp: 52
[069] Power: 293.4970, Util: 100 Temp: 52
[070] Power: 298.8330, Util: 100 Temp: 52
[071] Power: 288.6460, Util: 100 Temp: 52
[072] Power: 293.9820, Util: 100 Temp: 52
[073] Power: 299.1210, Util: 100 Temp: 52
[074] Power: 288.6460, Util: 100 Temp: 52
[075] Power: 291.0720, Util: 100 Temp: 52
[076] Power: 294.9520, Util: 100 Temp: 52
[077] Power: 299.8040, Util: 100 Temp: 52
[078] Power: 288.6460, Util: 100 Temp: 52
[079] Power: 294.9520, Util: 100 Temp: 52
[080] Power: 299.6060, Util: 100 Temp: 52
[081] Power: 289.6160, Util: 100 Temp: 52
[082] Power: 294.9520, Util: 100 Temp: 52
[083] Power: 293.4970, Util: 100 Temp: 52
[084] Power: 289.6160, Util: 100 Temp: 52
[085] Power: 291.0720, Util: 100 Temp: 52
[086] Power: 295.4380, Util: 100 Temp: 52
[087] Power: 300.0910, Util: 100 Temp: 52
[088] Power: 290.1010, Util: 100 Temp: 53
[089] Power: 295.9230, Util: 100 Temp: 53
[090] Power: 299.3190, Util: 100 Temp: 53
[091] Power: 290.1010, Util: 100 Temp: 53
[092] Power: 295.9230, Util: 100 Temp: 53
[093] Power: 287.1910, Util: 100 Temp: 53
[094] Power: 290.1010, Util: 100 Temp: 53
[095] Power: 291.0720, Util: 100 Temp: 53
