Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 35.2740, Util: 0 Temp: 30
[001] Power: 35.2740, Util: 0 Temp: 30
[002] Power: 35.2740, Util: 0 Temp: 30
[003] Power: 48.4700, Util: 0 Temp: 30
[004] Power: 165.8110, Util: 21 Temp: 33
[005] Power: 179.3480, Util: 100 Temp: 34
[006] Power: 205.5300, Util: 100 Temp: 35
[007] Power: 232.9850, Util: 100 Temp: 36
[008] Power: 239.7950, Util: 100 Temp: 37
[009] Power: 239.7950, Util: 100 Temp: 38
[010] Power: 239.3080, Util: 100 Temp: 38
[011] Power: 235.9040, Util: 100 Temp: 39
[012] Power: 238.3360, Util: 100 Temp: 39
[013] Power: 236.3900, Util: 100 Temp: 39
[014] Power: 241.2540, Util: 100 Temp: 40
[015] Power: 240.6090, Util: 100 Temp: 40
[016] Power: 242.7130, Util: 100 Temp: 40
[017] Power: 244.1720, Util: 100 Temp: 41
[018] Power: 239.7950, Util: 100 Temp: 41
[019] Power: 240.2810, Util: 100 Temp: 41
[020] Power: 241.5810, Util: 100 Temp: 41
[021] Power: 241.0950, Util: 100 Temp: 41
[022] Power: 245.6320, Util: 100 Temp: 42
[023] Power: 242.7130, Util: 100 Temp: 42
[024] Power: 241.7400, Util: 100 Temp: 42
[025] Power: 242.7130, Util: 100 Temp: 42
[026] Power: 240.6090, Util: 100 Temp: 42
[027] Power: 243.6860, Util: 100 Temp: 42
[028] Power: 242.5530, Util: 100 Temp: 43
[029] Power: 242.7130, Util: 100 Temp: 43
[030] Power: 242.0670, Util: 100 Temp: 43
[031] Power: 244.6590, Util: 100 Temp: 43
[032] Power: 242.2270, Util: 100 Temp: 43
[033] Power: 242.0670, Util: 100 Temp: 43
[034] Power: 238.1790, Util: 100 Temp: 43
[035] Power: 243.2000, Util: 100 Temp: 43
[036] Power: 242.5530, Util: 100 Temp: 43
[037] Power: 243.2000, Util: 100 Temp: 44
[038] Power: 243.0400, Util: 100 Temp: 44
[039] Power: 245.6320, Util: 100 Temp: 44
[040] Power: 237.2070, Util: 100 Temp: 44
[041] Power: 243.2000, Util: 100 Temp: 44
[042] Power: 242.7130, Util: 100 Temp: 44
[043] Power: 241.5810, Util: 100 Temp: 44
[044] Power: 245.1450, Util: 100 Temp: 44
[045] Power: 242.0670, Util: 100 Temp: 44
[046] Power: 243.5260, Util: 100 Temp: 44
[047] Power: 244.1720, Util: 100 Temp: 44
[048] Power: 242.2270, Util: 100 Temp: 44
[049] Power: 244.1720, Util: 100 Temp: 45
[050] Power: 244.1720, Util: 100 Temp: 45
