Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 35.7640, Util: 0 Temp: 31
[001] Power: 35.7640, Util: 0 Temp: 31
[002] Power: 53.8560, Util: 0 Temp: 31
[003] Power: 122.6480, Util: 15 Temp: 33
[004] Power: 142.4960, Util: 100 Temp: 34
[005] Power: 145.9120, Util: 100 Temp: 35
[006] Power: 165.3230, Util: 100 Temp: 36
[007] Power: 168.2490, Util: 100 Temp: 36
[008] Power: 169.2240, Util: 100 Temp: 37
[009] Power: 166.2980, Util: 100 Temp: 37
[010] Power: 168.2490, Util: 100 Temp: 37
[011] Power: 168.7370, Util: 100 Temp: 37
[012] Power: 169.7120, Util: 100 Temp: 38
[013] Power: 169.7120, Util: 100 Temp: 38
[014] Power: 169.7120, Util: 100 Temp: 38
[015] Power: 169.2240, Util: 100 Temp: 38
[016] Power: 169.2240, Util: 100 Temp: 39
[017] Power: 169.2240, Util: 100 Temp: 39
[018] Power: 167.7610, Util: 100 Temp: 39
[019] Power: 166.7860, Util: 100 Temp: 39
[020] Power: 166.7860, Util: 100 Temp: 39
[021] Power: 166.7860, Util: 100 Temp: 39
[022] Power: 167.2740, Util: 100 Temp: 39
[023] Power: 169.7120, Util: 100 Temp: 39
[024] Power: 169.2240, Util: 100 Temp: 39
[025] Power: 169.7120, Util: 100 Temp: 40
[026] Power: 170.2000, Util: 100 Temp: 40
[027] Power: 169.7120, Util: 100 Temp: 40
[028] Power: 169.7120, Util: 100 Temp: 40
[029] Power: 169.7120, Util: 100 Temp: 40
[030] Power: 169.7120, Util: 100 Temp: 40
[031] Power: 169.6010, Util: 100 Temp: 40
[032] Power: 170.2000, Util: 100 Temp: 40
[033] Power: 170.2000, Util: 100 Temp: 40
[034] Power: 170.2000, Util: 100 Temp: 40
[035] Power: 170.2000, Util: 100 Temp: 40
[036] Power: 169.7120, Util: 100 Temp: 40
[037] Power: 169.7120, Util: 100 Temp: 40
[038] Power: 170.6880, Util: 100 Temp: 40
[039] Power: 170.6880, Util: 100 Temp: 40
[040] Power: 169.7120, Util: 100 Temp: 41
[041] Power: 169.7120, Util: 100 Temp: 40
[042] Power: 170.6880, Util: 100 Temp: 41
[043] Power: 170.6880, Util: 100 Temp: 41
[044] Power: 170.5760, Util: 100 Temp: 41
[045] Power: 170.2000, Util: 100 Temp: 41
[046] Power: 170.2000, Util: 100 Temp: 41
[047] Power: 170.2000, Util: 100 Temp: 41
[048] Power: 170.2000, Util: 100 Temp: 41
[049] Power: 170.2000, Util: 100 Temp: 41
[050] Power: 170.2000, Util: 100 Temp: 41
[051] Power: 170.6880, Util: 100 Temp: 41
[052] Power: 170.6880, Util: 100 Temp: 41
[053] Power: 170.2000, Util: 100 Temp: 41
[054] Power: 170.2000, Util: 100 Temp: 41
[055] Power: 170.2000, Util: 100 Temp: 41
[056] Power: 170.6880, Util: 100 Temp: 41
[057] Power: 170.6880, Util: 100 Temp: 41
[058] Power: 170.2000, Util: 100 Temp: 41
[059] Power: 170.6880, Util: 100 Temp: 41
[060] Power: 170.2000, Util: 100 Temp: 41
[061] Power: 170.5760, Util: 100 Temp: 41
[062] Power: 170.6880, Util: 100 Temp: 41
[063] Power: 170.6880, Util: 100 Temp: 41
[064] Power: 170.6880, Util: 100 Temp: 41
[065] Power: 170.6880, Util: 100 Temp: 41
[066] Power: 170.2000, Util: 100 Temp: 41
[067] Power: 170.6880, Util: 100 Temp: 41
[068] Power: 170.6880, Util: 100 Temp: 41
[069] Power: 170.6880, Util: 100 Temp: 42
[070] Power: 170.2000, Util: 100 Temp: 42
[071] Power: 170.6880, Util: 100 Temp: 42
[072] Power: 167.7610, Util: 100 Temp: 42
[073] Power: 170.2000, Util: 100 Temp: 42
[074] Power: 170.2000, Util: 100 Temp: 42
[075] Power: 170.6880, Util: 100 Temp: 42
[076] Power: 171.1750, Util: 100 Temp: 42
[077] Power: 170.6880, Util: 100 Temp: 42
[078] Power: 170.6880, Util: 100 Temp: 42
[079] Power: 170.6880, Util: 100 Temp: 42
[080] Power: 170.6880, Util: 100 Temp: 42
[081] Power: 170.6880, Util: 100 Temp: 42
[082] Power: 170.6880, Util: 100 Temp: 42
[083] Power: 170.6880, Util: 100 Temp: 42
[084] Power: 170.6880, Util: 100 Temp: 42
[085] Power: 171.1750, Util: 100 Temp: 42
[086] Power: 171.1750, Util: 100 Temp: 42
[087] Power: 170.6880, Util: 100 Temp: 42
[088] Power: 170.6880, Util: 100 Temp: 42
[089] Power: 170.6880, Util: 100 Temp: 42
[090] Power: 171.1750, Util: 100 Temp: 42
[091] Power: 170.2000, Util: 100 Temp: 42
[092] Power: 171.1750, Util: 100 Temp: 42
[093] Power: 170.6880, Util: 100 Temp: 42
[094] Power: 170.6880, Util: 100 Temp: 42
[095] Power: 170.6880, Util: 100 Temp: 42
[096] Power: 171.1750, Util: 100 Temp: 42
[097] Power: 171.1750, Util: 100 Temp: 42
[098] Power: 171.1750, Util: 100 Temp: 42
[099] Power: 170.6880, Util: 100 Temp: 42
[100] Power: 170.2000, Util: 100 Temp: 42
[101] Power: 171.1750, Util: 100 Temp: 42
[102] Power: 171.0630, Util: 100 Temp: 42
[103] Power: 170.6880, Util: 100 Temp: 42
[104] Power: 170.6880, Util: 100 Temp: 42
[105] Power: 170.6880, Util: 100 Temp: 42
[106] Power: 170.2000, Util: 100 Temp: 42
[107] Power: 171.1750, Util: 100 Temp: 42
[108] Power: 171.1750, Util: 100 Temp: 42
[109] Power: 170.6880, Util: 100 Temp: 42
[110] Power: 171.1750, Util: 100 Temp: 42
[111] Power: 170.6880, Util: 100 Temp: 42
[112] Power: 170.6880, Util: 100 Temp: 42
[113] Power: 170.5760, Util: 100 Temp: 42
[114] Power: 170.6880, Util: 100 Temp: 42
[115] Power: 171.0630, Util: 100 Temp: 42
[116] Power: 170.5760, Util: 100 Temp: 42
[117] Power: 170.6880, Util: 100 Temp: 42
[118] Power: 170.6880, Util: 100 Temp: 42
[119] Power: 170.6880, Util: 100 Temp: 42
[120] Power: 171.1750, Util: 100 Temp: 42
[121] Power: 171.0630, Util: 100 Temp: 42
[122] Power: 170.5760, Util: 100 Temp: 42
[123] Power: 170.6880, Util: 100 Temp: 42
[124] Power: 170.6880, Util: 100 Temp: 42
[125] Power: 170.6880, Util: 100 Temp: 42
[126] Power: 171.1750, Util: 100 Temp: 42
[127] Power: 170.6880, Util: 100 Temp: 42
[128] Power: 170.6880, Util: 100 Temp: 42
[129] Power: 170.6880, Util: 100 Temp: 42
[130] Power: 171.1750, Util: 100 Temp: 42
[131] Power: 170.6880, Util: 100 Temp: 42
[132] Power: 171.1750, Util: 100 Temp: 42
[133] Power: 170.6880, Util: 100 Temp: 42
[134] Power: 170.6880, Util: 100 Temp: 42
[135] Power: 171.1750, Util: 100 Temp: 42
[136] Power: 171.0630, Util: 100 Temp: 42
[137] Power: 170.6880, Util: 100 Temp: 42
[138] Power: 170.6880, Util: 100 Temp: 42
[139] Power: 170.5760, Util: 100 Temp: 42
[140] Power: 171.1750, Util: 100 Temp: 42
[141] Power: 171.1750, Util: 100 Temp: 42
[142] Power: 171.1750, Util: 100 Temp: 42
[143] Power: 171.1750, Util: 100 Temp: 42
[144] Power: 171.1750, Util: 100 Temp: 42
[145] Power: 171.0630, Util: 100 Temp: 42
[146] Power: 171.0630, Util: 100 Temp: 42
[147] Power: 170.6880, Util: 100 Temp: 42
[148] Power: 170.6880, Util: 100 Temp: 42
[149] Power: 171.0630, Util: 100 Temp: 42
[150] Power: 170.6880, Util: 100 Temp: 42
[151] Power: 170.6880, Util: 100 Temp: 42
[152] Power: 171.5500, Util: 100 Temp: 42
[153] Power: 171.1750, Util: 100 Temp: 42
[154] Power: 171.1750, Util: 100 Temp: 42
[155] Power: 171.1750, Util: 100 Temp: 42
[156] Power: 170.6880, Util: 100 Temp: 43
[157] Power: 170.6880, Util: 100 Temp: 42
[158] Power: 171.6630, Util: 100 Temp: 42
[159] Power: 171.1750, Util: 100 Temp: 42
[160] Power: 171.1750, Util: 100 Temp: 42
[161] Power: 170.5760, Util: 100 Temp: 42
[162] Power: 170.6880, Util: 100 Temp: 42
[163] Power: 171.6630, Util: 100 Temp: 42
[164] Power: 171.1750, Util: 100 Temp: 42
[165] Power: 171.1750, Util: 100 Temp: 42
[166] Power: 170.6880, Util: 100 Temp: 42
[167] Power: 170.6880, Util: 100 Temp: 42
[168] Power: 171.1750, Util: 100 Temp: 43
[169] Power: 171.1750, Util: 100 Temp: 42
[170] Power: 170.6880, Util: 100 Temp: 42
[171] Power: 170.6880, Util: 100 Temp: 42
[172] Power: 171.6630, Util: 100 Temp: 42
[173] Power: 171.6630, Util: 100 Temp: 42
[174] Power: 171.1750, Util: 100 Temp: 42
[175] Power: 170.6880, Util: 100 Temp: 43
[176] Power: 170.6880, Util: 100 Temp: 42
[177] Power: 171.6630, Util: 100 Temp: 42
[178] Power: 171.6630, Util: 100 Temp: 42
[179] Power: 171.1750, Util: 100 Temp: 43
[180] Power: 170.6880, Util: 100 Temp: 43
[181] Power: 170.6880, Util: 100 Temp: 42
[182] Power: 171.6630, Util: 100 Temp: 43
[183] Power: 171.6630, Util: 100 Temp: 43
[184] Power: 171.1750, Util: 100 Temp: 43
[185] Power: 171.1750, Util: 100 Temp: 43
[186] Power: 170.6880, Util: 100 Temp: 43
[187] Power: 170.6880, Util: 100 Temp: 42
[188] Power: 170.6880, Util: 100 Temp: 43
[189] Power: 170.6880, Util: 100 Temp: 43
[190] Power: 170.6880, Util: 100 Temp: 43
[191] Power: 170.6880, Util: 100 Temp: 43
[192] Power: 170.6880, Util: 100 Temp: 43
[193] Power: 171.6630, Util: 100 Temp: 43
[194] Power: 171.1750, Util: 100 Temp: 43
[195] Power: 171.1750, Util: 100 Temp: 43
[196] Power: 170.6880, Util: 100 Temp: 43
[197] Power: 170.6880, Util: 100 Temp: 42
[198] Power: 171.1750, Util: 100 Temp: 43
[199] Power: 171.1750, Util: 100 Temp: 43
[200] Power: 170.5760, Util: 100 Temp: 43
[201] Power: 170.6880, Util: 100 Temp: 43
[202] Power: 171.6630, Util: 100 Temp: 43
[203] Power: 171.0630, Util: 100 Temp: 43
[204] Power: 171.1750, Util: 100 Temp: 43
[205] Power: 170.6880, Util: 100 Temp: 43
[206] Power: 170.6880, Util: 100 Temp: 43
[207] Power: 171.1750, Util: 100 Temp: 43
[208] Power: 171.1750, Util: 100 Temp: 43
[209] Power: 170.6880, Util: 100 Temp: 43
[210] Power: 170.6880, Util: 100 Temp: 43
[211] Power: 171.1750, Util: 100 Temp: 43
[212] Power: 171.0630, Util: 100 Temp: 43
