Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 172.1510, Util: 100 Temp: 44
[001] Power: 171.6630, Util: 100 Temp: 44
[002] Power: 171.6630, Util: 100 Temp: 44
[003] Power: 171.6630, Util: 100 Temp: 44
[004] Power: 172.1510, Util: 100 Temp: 44
[005] Power: 172.1510, Util: 100 Temp: 44
[006] Power: 171.6630, Util: 100 Temp: 44
[007] Power: 171.6630, Util: 100 Temp: 44
[008] Power: 171.6630, Util: 100 Temp: 44
[009] Power: 172.6380, Util: 100 Temp: 44
[010] Power: 172.1510, Util: 100 Temp: 44
[011] Power: 172.1510, Util: 100 Temp: 44
[012] Power: 172.1510, Util: 100 Temp: 44
[013] Power: 172.1510, Util: 100 Temp: 44
[014] Power: 171.5500, Util: 100 Temp: 44
[015] Power: 172.1510, Util: 100 Temp: 44
[016] Power: 172.1510, Util: 100 Temp: 44
[017] Power: 171.6630, Util: 100 Temp: 44
[018] Power: 172.1510, Util: 100 Temp: 44
[019] Power: 172.1510, Util: 100 Temp: 44
[020] Power: 171.6630, Util: 100 Temp: 44
[021] Power: 171.6630, Util: 100 Temp: 44
[022] Power: 171.6630, Util: 100 Temp: 44
[023] Power: 172.1510, Util: 100 Temp: 44
[024] Power: 172.1510, Util: 100 Temp: 44
[025] Power: 171.6630, Util: 100 Temp: 43
[026] Power: 171.6630, Util: 100 Temp: 44
[027] Power: 172.1510, Util: 100 Temp: 44
[028] Power: 172.1510, Util: 100 Temp: 44
[029] Power: 172.1510, Util: 100 Temp: 43
[030] Power: 171.6630, Util: 100 Temp: 43
[031] Power: 171.6630, Util: 100 Temp: 43
[032] Power: 171.6630, Util: 100 Temp: 44
[033] Power: 171.6630, Util: 100 Temp: 44
[034] Power: 171.6630, Util: 100 Temp: 44
[035] Power: 172.1510, Util: 100 Temp: 44
[036] Power: 172.1510, Util: 100 Temp: 44
[037] Power: 171.6630, Util: 100 Temp: 44
[038] Power: 171.6630, Util: 100 Temp: 44
[039] Power: 171.6630, Util: 100 Temp: 43
[040] Power: 172.1510, Util: 100 Temp: 43
[041] Power: 172.1510, Util: 100 Temp: 44
[042] Power: 172.1510, Util: 100 Temp: 44
[043] Power: 171.6630, Util: 100 Temp: 44
[044] Power: 171.6630, Util: 100 Temp: 44
[045] Power: 171.6630, Util: 100 Temp: 44
[046] Power: 172.1510, Util: 100 Temp: 43
[047] Power: 172.1510, Util: 100 Temp: 44
[048] Power: 172.1510, Util: 100 Temp: 44
[049] Power: 171.6630, Util: 100 Temp: 44
[050] Power: 171.6630, Util: 100 Temp: 44
[051] Power: 172.1510, Util: 100 Temp: 43
[052] Power: 172.1510, Util: 100 Temp: 44
[053] Power: 171.6630, Util: 100 Temp: 44
[054] Power: 171.6630, Util: 100 Temp: 43
[055] Power: 172.1510, Util: 100 Temp: 43
[056] Power: 172.1510, Util: 100 Temp: 44
[057] Power: 171.6630, Util: 100 Temp: 43
[058] Power: 171.6630, Util: 100 Temp: 44
[059] Power: 171.6630, Util: 100 Temp: 43
[060] Power: 172.1510, Util: 100 Temp: 43
[061] Power: 172.1510, Util: 100 Temp: 43
[062] Power: 172.1510, Util: 100 Temp: 43
[063] Power: 172.1510, Util: 100 Temp: 44
[064] Power: 171.6630, Util: 100 Temp: 43
[065] Power: 172.1510, Util: 100 Temp: 43
[066] Power: 172.1510, Util: 100 Temp: 43
[067] Power: 171.6630, Util: 100 Temp: 44
[068] Power: 171.6630, Util: 100 Temp: 44
[069] Power: 172.6380, Util: 100 Temp: 43
[070] Power: 172.1510, Util: 100 Temp: 44
[071] Power: 171.6630, Util: 100 Temp: 43
[072] Power: 171.6630, Util: 100 Temp: 44
[073] Power: 171.6630, Util: 100 Temp: 44
[074] Power: 171.6630, Util: 100 Temp: 43
[075] Power: 172.1510, Util: 100 Temp: 43
[076] Power: 172.1510, Util: 100 Temp: 43
[077] Power: 172.1510, Util: 100 Temp: 43
[078] Power: 172.1510, Util: 100 Temp: 44
[079] Power: 172.1510, Util: 100 Temp: 43
[080] Power: 172.1510, Util: 100 Temp: 44
[081] Power: 172.1510, Util: 100 Temp: 44
[082] Power: 171.6630, Util: 100 Temp: 44
[083] Power: 171.6630, Util: 100 Temp: 43
[084] Power: 172.1510, Util: 100 Temp: 44
[085] Power: 171.6630, Util: 100 Temp: 43
[086] Power: 171.6630, Util: 100 Temp: 43
[087] Power: 172.1510, Util: 100 Temp: 43
[088] Power: 171.5500, Util: 100 Temp: 44
[089] Power: 171.6630, Util: 100 Temp: 44
[090] Power: 171.6630, Util: 100 Temp: 43
[091] Power: 172.1510, Util: 100 Temp: 43
[092] Power: 172.1510, Util: 100 Temp: 44
[093] Power: 172.1510, Util: 100 Temp: 43
[094] Power: 171.6630, Util: 100 Temp: 44
[095] Power: 171.6630, Util: 100 Temp: 44
[096] Power: 172.1510, Util: 100 Temp: 44
[097] Power: 172.1510, Util: 100 Temp: 44
[098] Power: 171.6630, Util: 100 Temp: 44
[099] Power: 171.6630, Util: 100 Temp: 43
[100] Power: 171.6630, Util: 100 Temp: 43
[101] Power: 172.1510, Util: 100 Temp: 43
[102] Power: 172.1510, Util: 100 Temp: 43
[103] Power: 172.1510, Util: 100 Temp: 43
[104] Power: 171.6630, Util: 100 Temp: 43
[105] Power: 171.1750, Util: 100 Temp: 43
[106] Power: 172.0380, Util: 100 Temp: 43
[107] Power: 172.1510, Util: 100 Temp: 43
[108] Power: 172.1510, Util: 100 Temp: 43
[109] Power: 171.6630, Util: 100 Temp: 44
[110] Power: 171.6630, Util: 100 Temp: 43
[111] Power: 171.6630, Util: 100 Temp: 44
[112] Power: 171.6630, Util: 100 Temp: 43
[113] Power: 171.6630, Util: 100 Temp: 43
[114] Power: 172.1510, Util: 100 Temp: 43
[115] Power: 172.0380, Util: 100 Temp: 43
[116] Power: 172.1510, Util: 100 Temp: 43
[117] Power: 172.1510, Util: 100 Temp: 43
[118] Power: 171.6630, Util: 100 Temp: 44
[119] Power: 171.6630, Util: 100 Temp: 43
[120] Power: 172.1510, Util: 100 Temp: 43
[121] Power: 172.1510, Util: 100 Temp: 43
[122] Power: 172.1510, Util: 100 Temp: 43
[123] Power: 171.6630, Util: 100 Temp: 43
[124] Power: 171.6630, Util: 100 Temp: 44
[125] Power: 172.1510, Util: 100 Temp: 44
[126] Power: 172.1510, Util: 100 Temp: 43
[127] Power: 172.1510, Util: 100 Temp: 43
[128] Power: 171.6630, Util: 100 Temp: 43
[129] Power: 172.1510, Util: 100 Temp: 43
[130] Power: 171.6630, Util: 100 Temp: 43
[131] Power: 172.1510, Util: 100 Temp: 43
[132] Power: 172.1510, Util: 100 Temp: 43
[133] Power: 172.1510, Util: 100 Temp: 43
[134] Power: 172.1510, Util: 100 Temp: 43
[135] Power: 171.6630, Util: 100 Temp: 43
[136] Power: 171.6630, Util: 100 Temp: 43
[137] Power: 172.1510, Util: 100 Temp: 44
[138] Power: 171.6630, Util: 100 Temp: 44
[139] Power: 171.6630, Util: 100 Temp: 43
[140] Power: 171.6630, Util: 100 Temp: 43
[141] Power: 171.6630, Util: 100 Temp: 43
[142] Power: 171.6630, Util: 100 Temp: 43
[143] Power: 172.1510, Util: 100 Temp: 43
[144] Power: 172.1510, Util: 100 Temp: 43
[145] Power: 171.6630, Util: 100 Temp: 43
[146] Power: 171.6630, Util: 100 Temp: 43
[147] Power: 171.6630, Util: 100 Temp: 43
[148] Power: 172.1510, Util: 100 Temp: 43
[149] Power: 172.1510, Util: 100 Temp: 43
[150] Power: 171.6630, Util: 100 Temp: 43
[151] Power: 171.6630, Util: 100 Temp: 43
[152] Power: 171.6630, Util: 100 Temp: 43
[153] Power: 172.1510, Util: 100 Temp: 43
[154] Power: 172.1510, Util: 100 Temp: 43
[155] Power: 171.6630, Util: 100 Temp: 43
[156] Power: 171.6630, Util: 100 Temp: 43
[157] Power: 171.6630, Util: 100 Temp: 43
[158] Power: 172.1510, Util: 100 Temp: 43
[159] Power: 172.1510, Util: 100 Temp: 43
[160] Power: 172.1510, Util: 100 Temp: 43
[161] Power: 171.6630, Util: 100 Temp: 43
[162] Power: 171.6630, Util: 100 Temp: 43
[163] Power: 171.1750, Util: 100 Temp: 43
[164] Power: 171.1750, Util: 100 Temp: 43
[165] Power: 172.1510, Util: 100 Temp: 43
[166] Power: 172.1510, Util: 100 Temp: 43
[167] Power: 171.6630, Util: 100 Temp: 43
[168] Power: 171.6630, Util: 100 Temp: 43
[169] Power: 172.1510, Util: 100 Temp: 43
[170] Power: 172.1510, Util: 100 Temp: 43
[171] Power: 171.6630, Util: 100 Temp: 43
[172] Power: 171.6630, Util: 100 Temp: 43
[173] Power: 172.1510, Util: 100 Temp: 43
[174] Power: 172.1510, Util: 100 Temp: 43
[175] Power: 171.6630, Util: 100 Temp: 43
[176] Power: 171.6630, Util: 100 Temp: 43
[177] Power: 171.1750, Util: 100 Temp: 43
[178] Power: 172.1510, Util: 100 Temp: 43
[179] Power: 171.6630, Util: 100 Temp: 43
[180] Power: 171.6630, Util: 100 Temp: 43
[181] Power: 171.6630, Util: 100 Temp: 43
[182] Power: 171.6630, Util: 100 Temp: 43
[183] Power: 172.1510, Util: 100 Temp: 43
[184] Power: 171.6630, Util: 100 Temp: 43
[185] Power: 171.6630, Util: 100 Temp: 43
[186] Power: 171.6630, Util: 100 Temp: 43
[187] Power: 172.1510, Util: 100 Temp: 43
[188] Power: 171.6630, Util: 100 Temp: 43
[189] Power: 171.6630, Util: 100 Temp: 43
[190] Power: 171.6630, Util: 100 Temp: 43
[191] Power: 171.6630, Util: 100 Temp: 43
[192] Power: 171.6630, Util: 100 Temp: 43
[193] Power: 172.1510, Util: 100 Temp: 43
[194] Power: 172.1510, Util: 100 Temp: 43
[195] Power: 171.6630, Util: 100 Temp: 43
[196] Power: 171.6630, Util: 100 Temp: 43
[197] Power: 172.1510, Util: 100 Temp: 43
[198] Power: 172.1510, Util: 100 Temp: 43
[199] Power: 172.1510, Util: 100 Temp: 43
[200] Power: 172.1510, Util: 100 Temp: 43
[201] Power: 172.1510, Util: 100 Temp: 43
[202] Power: 171.6630, Util: 100 Temp: 43
[203] Power: 171.6630, Util: 100 Temp: 43
[204] Power: 172.1510, Util: 100 Temp: 43
[205] Power: 172.1510, Util: 100 Temp: 43
[206] Power: 172.1510, Util: 100 Temp: 43
[207] Power: 171.6630, Util: 100 Temp: 43
[208] Power: 171.6630, Util: 100 Temp: 43
[209] Power: 171.6630, Util: 100 Temp: 43
[210] Power: 172.1510, Util: 100 Temp: 43
[211] Power: 172.1510, Util: 100 Temp: 43
[212] Power: 171.6630, Util: 100 Temp: 43
[213] Power: 172.1510, Util: 100 Temp: 43
[214] Power: 171.6630, Util: 100 Temp: 43
[215] Power: 171.6630, Util: 100 Temp: 43
[216] Power: 172.1510, Util: 100 Temp: 43
[217] Power: 172.1510, Util: 100 Temp: 43
[218] Power: 172.1510, Util: 100 Temp: 43
[219] Power: 171.6630, Util: 100 Temp: 43
[220] Power: 171.6630, Util: 100 Temp: 43
[221] Power: 172.0380, Util: 100 Temp: 43
[222] Power: 172.1510, Util: 100 Temp: 43
[223] Power: 172.1510, Util: 100 Temp: 43
[224] Power: 171.6630, Util: 100 Temp: 43
[225] Power: 171.6630, Util: 100 Temp: 43
[226] Power: 172.1510, Util: 100 Temp: 43
[227] Power: 172.1510, Util: 100 Temp: 43
[228] Power: 172.0380, Util: 100 Temp: 43
[229] Power: 171.6630, Util: 100 Temp: 43
[230] Power: 171.6630, Util: 100 Temp: 43
[231] Power: 171.6630, Util: 100 Temp: 43
[232] Power: 172.1510, Util: 100 Temp: 43
[233] Power: 172.1510, Util: 100 Temp: 43
[234] Power: 171.6630, Util: 100 Temp: 43
[235] Power: 171.6630, Util: 100 Temp: 43
[236] Power: 171.6630, Util: 100 Temp: 43
[237] Power: 172.1510, Util: 100 Temp: 43
[238] Power: 172.1510, Util: 100 Temp: 43
[239] Power: 171.6630, Util: 100 Temp: 43
[240] Power: 171.6630, Util: 100 Temp: 43
[241] Power: 172.1510, Util: 100 Temp: 43
[242] Power: 172.1510, Util: 100 Temp: 43
[243] Power: 172.1510, Util: 100 Temp: 43
[244] Power: 171.6630, Util: 100 Temp: 43
[245] Power: 171.6630, Util: 100 Temp: 43
[246] Power: 172.1510, Util: 100 Temp: 43
[247] Power: 172.1510, Util: 100 Temp: 43
[248] Power: 172.1510, Util: 100 Temp: 43
[249] Power: 171.6630, Util: 100 Temp: 43
[250] Power: 171.6630, Util: 100 Temp: 43
[251] Power: 171.6630, Util: 100 Temp: 43
[252] Power: 171.6630, Util: 100 Temp: 43
[253] Power: 171.6630, Util: 100 Temp: 43
[254] Power: 171.6630, Util: 100 Temp: 43
[255] Power: 171.6630, Util: 100 Temp: 43
[256] Power: 171.1750, Util: 100 Temp: 43
[257] Power: 171.6630, Util: 100 Temp: 43
[258] Power: 171.6630, Util: 100 Temp: 43
[259] Power: 172.1510, Util: 100 Temp: 43
[260] Power: 171.6630, Util: 100 Temp: 43
[261] Power: 171.6630, Util: 100 Temp: 43
[262] Power: 171.6630, Util: 100 Temp: 43
[263] Power: 171.6630, Util: 100 Temp: 43
[264] Power: 172.1510, Util: 100 Temp: 43
[265] Power: 172.1510, Util: 100 Temp: 43
[266] Power: 171.6630, Util: 100 Temp: 43
[267] Power: 171.6630, Util: 100 Temp: 43
[268] Power: 171.6630, Util: 100 Temp: 43
[269] Power: 172.1510, Util: 100 Temp: 43
[270] Power: 172.1510, Util: 100 Temp: 43
[271] Power: 172.1510, Util: 100 Temp: 43
[272] Power: 172.1510, Util: 100 Temp: 43
[273] Power: 171.6630, Util: 100 Temp: 43
[274] Power: 172.1510, Util: 100 Temp: 43
[275] Power: 172.1510, Util: 100 Temp: 43
[276] Power: 172.1510, Util: 100 Temp: 43
[277] Power: 172.1510, Util: 100 Temp: 43
[278] Power: 171.6630, Util: 100 Temp: 43
[279] Power: 171.6630, Util: 100 Temp: 43
[280] Power: 172.0380, Util: 100 Temp: 43
[281] Power: 171.6630, Util: 100 Temp: 43
[282] Power: 171.6630, Util: 100 Temp: 43
[283] Power: 171.6630, Util: 100 Temp: 43
[284] Power: 171.1750, Util: 100 Temp: 43
[285] Power: 172.1510, Util: 100 Temp: 43
[286] Power: 172.1510, Util: 100 Temp: 43
[287] Power: 171.6630, Util: 100 Temp: 43
[288] Power: 171.6630, Util: 100 Temp: 43
[289] Power: 171.6630, Util: 100 Temp: 43
[290] Power: 172.1510, Util: 100 Temp: 43
[291] Power: 172.1510, Util: 100 Temp: 43
[292] Power: 171.6630, Util: 100 Temp: 44
[293] Power: 171.6630, Util: 100 Temp: 43
[294] Power: 171.1750, Util: 100 Temp: 43
[295] Power: 172.1510, Util: 100 Temp: 43
[296] Power: 172.1510, Util: 100 Temp: 43
[297] Power: 171.6630, Util: 100 Temp: 43
[298] Power: 171.1750, Util: 100 Temp: 43
[299] Power: 171.6630, Util: 100 Temp: 43
[300] Power: 172.1510, Util: 100 Temp: 43
[301] Power: 172.1510, Util: 100 Temp: 43
[302] Power: 171.6630, Util: 100 Temp: 43
[303] Power: 171.0630, Util: 100 Temp: 43
[304] Power: 171.6630, Util: 100 Temp: 43
[305] Power: 172.1510, Util: 100 Temp: 43
[306] Power: 172.1510, Util: 100 Temp: 43
[307] Power: 171.6630, Util: 100 Temp: 43
[308] Power: 171.6630, Util: 100 Temp: 43
[309] Power: 172.1510, Util: 100 Temp: 43
[310] Power: 172.1510, Util: 100 Temp: 43
[311] Power: 172.1510, Util: 100 Temp: 43
[312] Power: 171.6630, Util: 100 Temp: 43
[313] Power: 171.6630, Util: 100 Temp: 43
[314] Power: 171.6630, Util: 100 Temp: 43
[315] Power: 172.1510, Util: 100 Temp: 43
[316] Power: 171.6630, Util: 100 Temp: 43
[317] Power: 171.6630, Util: 100 Temp: 43
[318] Power: 171.6630, Util: 100 Temp: 43
[319] Power: 171.6630, Util: 100 Temp: 43
[320] Power: 172.0380, Util: 100 Temp: 43
[321] Power: 172.1510, Util: 100 Temp: 43
[322] Power: 171.6630, Util: 100 Temp: 43
[323] Power: 171.6630, Util: 100 Temp: 43
[324] Power: 171.6630, Util: 100 Temp: 43
[325] Power: 172.0380, Util: 100 Temp: 43
[326] Power: 172.1510, Util: 100 Temp: 43
[327] Power: 171.6630, Util: 100 Temp: 43
