Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 298.0600, Util: 100 Temp: 53
[001] Power: 275.4250, Util: 100 Temp: 52
[002] Power: 280.7690, Util: 100 Temp: 52
[003] Power: 285.4380, Util: 100 Temp: 52
[004] Power: 289.8070, Util: 100 Temp: 52
[005] Power: 294.4670, Util: 100 Temp: 52
[006] Power: 299.3190, Util: 100 Temp: 53
[007] Power: 276.8830, Util: 100 Temp: 52
[008] Power: 280.5840, Util: 100 Temp: 52
[009] Power: 281.7400, Util: 100 Temp: 52
[010] Power: 286.4090, Util: 100 Temp: 52
[011] Power: 291.2640, Util: 100 Temp: 52
[012] Power: 295.6320, Util: 100 Temp: 53
[013] Power: 299.8040, Util: 100 Temp: 53
[014] Power: 277.3680, Util: 100 Temp: 52
[015] Power: 281.7400, Util: 100 Temp: 52
[016] Power: 283.1980, Util: 100 Temp: 52
[017] Power: 287.3800, Util: 100 Temp: 52
[018] Power: 291.7490, Util: 100 Temp: 53
[019] Power: 296.6030, Util: 100 Temp: 53
[020] Power: 288.8360, Util: 100 Temp: 53
[021] Power: 277.8540, Util: 100 Temp: 52
[022] Power: 283.4960, Util: 100 Temp: 52
[023] Power: 287.3800, Util: 100 Temp: 52
[024] Power: 291.7490, Util: 100 Temp: 52
[025] Power: 296.6030, Util: 100 Temp: 53
[026] Power: 282.2260, Util: 100 Temp: 53
[027] Power: 278.3400, Util: 100 Temp: 52
[028] Power: 282.0400, Util: 100 Temp: 52
[029] Power: 283.1980, Util: 100 Temp: 52
[030] Power: 287.8650, Util: 100 Temp: 52
[031] Power: 292.2340, Util: 100 Temp: 53
[032] Power: 296.6030, Util: 100 Temp: 53
[033] Power: 277.8540, Util: 100 Temp: 53
[034] Power: 277.8540, Util: 100 Temp: 52
[035] Power: 278.8260, Util: 100 Temp: 52
[036] Power: 283.4960, Util: 100 Temp: 52
[037] Power: 287.8650, Util: 100 Temp: 52
[038] Power: 291.7490, Util: 100 Temp: 53
[039] Power: 296.4080, Util: 100 Temp: 53
[040] Power: 275.9110, Util: 100 Temp: 53
[041] Power: 277.6710, Util: 100 Temp: 52
[042] Power: 283.0110, Util: 100 Temp: 52
[043] Power: 287.3800, Util: 100 Temp: 52
[044] Power: 292.2340, Util: 100 Temp: 53
[045] Power: 296.4080, Util: 100 Temp: 53
[046] Power: 274.9400, Util: 100 Temp: 53
[047] Power: 277.8540, Util: 100 Temp: 52
[048] Power: 281.5550, Util: 100 Temp: 52
[049] Power: 283.4960, Util: 100 Temp: 52
[050] Power: 287.8650, Util: 100 Temp: 52
[051] Power: 292.2340, Util: 100 Temp: 53
[052] Power: 296.6030, Util: 100 Temp: 53
[053] Power: 273.9680, Util: 100 Temp: 52
[054] Power: 277.8540, Util: 100 Temp: 52
[055] Power: 278.3400, Util: 100 Temp: 52
[056] Power: 284.1690, Util: 100 Temp: 52
[057] Power: 287.8650, Util: 100 Temp: 53
[058] Power: 292.2340, Util: 100 Temp: 53
[059] Power: 296.6030, Util: 100 Temp: 53
[060] Power: 273.4820, Util: 100 Temp: 53
[061] Power: 277.8540, Util: 100 Temp: 52
[062] Power: 278.3400, Util: 100 Temp: 52
[063] Power: 283.0110, Util: 100 Temp: 52
[064] Power: 287.8650, Util: 100 Temp: 52
[065] Power: 292.2340, Util: 100 Temp: 53
[066] Power: 296.6030, Util: 100 Temp: 53
[067] Power: 273.4820, Util: 100 Temp: 52
[068] Power: 278.8260, Util: 100 Temp: 52
[069] Power: 283.9820, Util: 100 Temp: 52
[070] Power: 289.3220, Util: 100 Temp: 53
[071] Power: 294.1760, Util: 100 Temp: 53
[072] Power: 300.2890, Util: 100 Temp: 53
[073] Power: 277.6710, Util: 100 Temp: 53
[074] Power: 282.5260, Util: 100 Temp: 52
[075] Power: 283.6830, Util: 100 Temp: 52
[076] Power: 288.3510, Util: 100 Temp: 53
[077] Power: 292.2340, Util: 100 Temp: 53
[078] Power: 296.6030, Util: 100 Temp: 53
[079] Power: 279.6130, Util: 100 Temp: 53
[080] Power: 277.8540, Util: 100 Temp: 52
[081] Power: 277.8540, Util: 100 Temp: 52
[082] Power: 283.1980, Util: 100 Temp: 52
[083] Power: 287.3800, Util: 100 Temp: 52
[084] Power: 292.2340, Util: 100 Temp: 53
[085] Power: 297.0890, Util: 100 Temp: 53
[086] Power: 278.8260, Util: 100 Temp: 53
[087] Power: 277.3680, Util: 100 Temp: 52
[088] Power: 283.0110, Util: 100 Temp: 52
