Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 291.2640, Util: 100 Temp: 52
[001] Power: 295.9230, Util: 100 Temp: 53
[002] Power: 293.6910, Util: 100 Temp: 53
[003] Power: 273.4820, Util: 100 Temp: 52
[004] Power: 279.3120, Util: 100 Temp: 52
[005] Power: 283.9820, Util: 100 Temp: 52
[006] Power: 288.8360, Util: 100 Temp: 52
[007] Power: 293.2050, Util: 100 Temp: 52
[008] Power: 297.8630, Util: 100 Temp: 53
[009] Power: 299.8040, Util: 100 Temp: 53
[010] Power: 299.3190, Util: 100 Temp: 53
[011] Power: 299.3190, Util: 100 Temp: 53
[012] Power: 299.8040, Util: 100 Temp: 53
[013] Power: 299.3190, Util: 100 Temp: 53
[014] Power: 275.4250, Util: 100 Temp: 52
[015] Power: 276.8830, Util: 100 Temp: 52
[016] Power: 280.5840, Util: 100 Temp: 52
[017] Power: 285.4380, Util: 100 Temp: 52
[018] Power: 290.2930, Util: 100 Temp: 52
[019] Power: 295.1470, Util: 100 Temp: 52
[020] Power: 298.8330, Util: 100 Temp: 53
[021] Power: 299.3190, Util: 100 Temp: 53
[022] Power: 299.3190, Util: 100 Temp: 53
[023] Power: 299.3190, Util: 100 Temp: 53
[024] Power: 299.3190, Util: 100 Temp: 53
[025] Power: 273.9680, Util: 100 Temp: 53
[026] Power: 276.2150, Util: 100 Temp: 52
[027] Power: 281.7400, Util: 100 Temp: 52
[028] Power: 285.9240, Util: 100 Temp: 52
[029] Power: 290.7780, Util: 100 Temp: 52
[030] Power: 294.4670, Util: 100 Temp: 53
[031] Power: 298.8330, Util: 100 Temp: 53
[032] Power: 299.3190, Util: 100 Temp: 53
[033] Power: 299.3190, Util: 100 Temp: 53
[034] Power: 299.3190, Util: 100 Temp: 53
[035] Power: 299.3190, Util: 100 Temp: 53
[036] Power: 299.3190, Util: 100 Temp: 53
[037] Power: 299.3190, Util: 100 Temp: 53
[038] Power: 273.4820, Util: 100 Temp: 53
[039] Power: 276.3970, Util: 100 Temp: 52
[040] Power: 276.3970, Util: 100 Temp: 52
[041] Power: 281.7400, Util: 100 Temp: 52
[042] Power: 285.9240, Util: 100 Temp: 52
[043] Power: 290.7780, Util: 100 Temp: 52
[044] Power: 294.6620, Util: 100 Temp: 53
[045] Power: 299.3190, Util: 100 Temp: 53
[046] Power: 277.3680, Util: 100 Temp: 52
[047] Power: 282.0400, Util: 100 Temp: 52
[048] Power: 286.4090, Util: 100 Temp: 52
[049] Power: 291.2640, Util: 100 Temp: 52
[050] Power: 295.6320, Util: 100 Temp: 53
[051] Power: 299.3190, Util: 100 Temp: 53
[052] Power: 271.7180, Util: 100 Temp: 52
[053] Power: 277.1860, Util: 100 Temp: 52
[054] Power: 282.0400, Util: 100 Temp: 52
[055] Power: 286.4090, Util: 100 Temp: 52
