Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[000] Power: 35.7400, Util: 0 Temp: 31
[001] Power: 35.7400, Util: 0 Temp: 31
[002] Power: 35.7400, Util: 0 Temp: 31
[003] Power: 35.7400, Util: 0 Temp: 31
[004] Power: 35.7400, Util: 0 Temp: 31
[005] Power: 47.4910, Util: 1 Temp: 31
[006] Power: 51.3740, Util: 1 Temp: 32
[007] Power: 51.3740, Util: 4 Temp: 32
[008] Power: 157.9040, Util: 4 Temp: 33
[009] Power: 183.6140, Util: 51 Temp: 34
[010] Power: 208.1790, Util: 100 Temp: 35
[011] Power: 214.0160, Util: 100 Temp: 36
[012] Power: 217.4200, Util: 100 Temp: 37
[013] Power: 220.1940, Util: 100 Temp: 37
[014] Power: 223.5960, Util: 100 Temp: 38
[015] Power: 224.5680, Util: 100 Temp: 38
[016] Power: 224.5680, Util: 100 Temp: 39
[017] Power: 212.5560, Util: 100 Temp: 39
[018] Power: 215.9610, Util: 100 Temp: 39
[019] Power: 218.7360, Util: 100 Temp: 39
[020] Power: 221.6520, Util: 100 Temp: 40
[021] Power: 213.0430, Util: 100 Temp: 40
[022] Power: 215.9610, Util: 100 Temp: 40
[023] Power: 218.7360, Util: 100 Temp: 40
[024] Power: 222.1380, Util: 100 Temp: 40
[025] Power: 225.0550, Util: 100 Temp: 41
[026] Power: 225.0550, Util: 100 Temp: 41
[027] Power: 225.5410, Util: 100 Temp: 41
[028] Power: 225.5410, Util: 100 Temp: 41
[029] Power: 225.5410, Util: 100 Temp: 41
[030] Power: 225.5410, Util: 100 Temp: 41
[031] Power: 225.5410, Util: 100 Temp: 42
[032] Power: 226.0270, Util: 100 Temp: 42
[033] Power: 226.0270, Util: 100 Temp: 42
[034] Power: 226.0270, Util: 100 Temp: 42
[035] Power: 226.0270, Util: 100 Temp: 42
[036] Power: 226.0270, Util: 100 Temp: 42
[037] Power: 226.0270, Util: 100 Temp: 42
[038] Power: 226.0270, Util: 100 Temp: 42
[039] Power: 226.0270, Util: 100 Temp: 42
[040] Power: 226.0270, Util: 100 Temp: 43
[041] Power: 226.5130, Util: 100 Temp: 43
[042] Power: 226.5130, Util: 100 Temp: 43
[043] Power: 226.5130, Util: 100 Temp: 43
[044] Power: 226.5130, Util: 100 Temp: 43
