Benchmark,Kernel,L1_RH,L1_RM,L1_WH,L1_WM,CC_ACC,SHRD_ACC,DRAM_Rd,DRAM_Wr,L2_RH,L2_RM,L2_WH,L2_WM,NOC,Pipeline_Duty,Num_Idle_SMs,Elapsed_Cycles,Chip Voltage
b+tree-rodinia-3.1,findRangeK,1632776.0,560593.0,40737.0,19324.0,0.0,0.0,260927.0,3441.0,394127.0,260860.0,60000.0,0.0,1346206.0,0.340979588444911,6.776,63778.825,1.0
b+tree-rodinia-3.1,findK,1319617.0,525561.0,42833.0,7024.0,0.0,0.0,255681.0,2850.0,367073.0,255720.0,50000.0,0.0,1248690.0,0.2860264040984889,5.16,77516.375,1.0
backprop-rodinia-3.1,_Z22bpnn_layerforward_CUDAPfS_S_S_ii,49152.0,143876.0,192424.0,4225.0,0.0,413696.0,147464.0,60091.0,28945.0,147460.0,196608.0,0.0,704512.0,0.5494076954713434,12.439999999999998,25348.025,1.0
backprop-rodinia-3.1,_Z24bpnn_adjust_weights_cudaPfiS_iS_S_,465768.0,278657.0,327117.0,884.0,0.0,0.0,286740.0,191069.0,54888.0,286734.0,327686.0,0.0,1263962.0,0.20785450820322038,11.832000000000003,31530.3,1.0
hotspot-rodinia-3.1,_Z14calculate_tempiPfS_S_iiiiffffff,4350.0,691227.0,0.0,175080.0,0.0,997428.0,262149.0,75176.0,487385.0,262144.0,175104.0,0.0,1732788.0,0.9086728921597377,5.103999999999997,58822.65,1.0
kmeans-rodinia-3.1,_Z14invert_mappingPfS_ii,1513412.0,26448266.0,0.0,3481600.0,0.0,0.0,52323786.0,3448510.0,340926.0,51471396.0,3481600.0,0.0,59641976.0,0.005146637036442401,1.9280000000000008,3010867.075,1.0
kmeans-rodinia-3.1,_Z11kmeansPointPfiiiPiS_S_S0_,0.0,0.0,0.0,102400.0,4352086.5,0.0,12274879.5,93007.5,6730730.0,12296656.0,102400.0,0.0,25938860.0,0.13048996868403473,1.7920000000000025,782893.4875,1.0
srad_v1-rodinia-3.1,_Z7extractlPf,0.0,28740.0,28740.0,0.0,0.0,0.0,28745.0,0.0,0.0,28740.0,28740.0,0.0,114960.0,0.1570859244536877,40.007999999999996,7320.675,1.0
srad_v1-rodinia-3.1,_Z7preparelPfS_S_,28733.760000000046,28744.120000000046,0.0,57480.000000000095,0.0,0.0,28744.519999999957,0.04,6.04,28740.000000000047,57480.000000000095,0.0,172452.47999999975,0.053287371027737895,42.36871999999998,6749.787749999999,1.0
srad_v1-rodinia-3.1,_Z6reduceliiPfS_,181.00000000000009,29215.00000000005,450.99499999999944,0.0,0.0,135771.00000000026,29689.619999999926,0.0,11.99999999999998,29665.99999999999,450.99999999999943,0.0,59331.99999999998,0.07329716623172454,54.374959999999994,17906.356750000003,1.0
srad_v1-rodinia-3.1,_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,158376.29,88960.83000000003,0.0,143700.0,0.0,0.0,28986.840000000033,45422.64,68063.71999999997,28984.00000000001,143700.0,0.0,481115.41999999987,0.48856162074099574,21.84016,15516.998000000001,1.0
srad_v1-rodinia-3.1,_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,79455.15999999999,202198.88999999993,28598.400000000012,138.92000000000002,0.0,0.0,172567.79000000018,19.140000000000004,33792.28000000001,172561.99999999974,28740.000000000047,0.0,469945.68,0.16463184167273576,24.617279999999997,13969.453249999993,1.0
srad_v1-rodinia-3.1,_Z8compresslPf,0.0,28740.0,28740.0,0.0,0.0,0.0,28745.0,0.0,0.0,28740.0,28740.0,0.0,114960.0,0.17783342830579132,43.104,6668.6,1.0
parboil-mri-q,_Z17ComputePhiMag_GPUPfS_S_i,0.0,512.0,0.0,256.0,0.0,0.0,517.0,0.0,0.0,512.0,256.0,0.0,1536.0,0.0006195946818123145,78.84,4648.2,1.0
parboil-mri-q,_Z12ComputeQ_GPUiiPfS_S_S_S_,0.0,163840.0,63022.0,1822.0,17730374.5,0.0,164356.0,0.0,0.0,163840.0,65536.0,0.0,458752.0,0.574751168230352,12.059999999999995,694272.7,1.0
parboil-sad,_Z11mb_sad_calcPtS_ii,95828.0,416271.0,2100409.0,7289643.0,0.0,10033920.0,257959.0,9288838.0,8866207.0,257290.0,9390253.0,478.0,36789972.0,0.25152981690770354,0.15200000000000102,6545372.325,1.0
parboil-sad,_Z17larger_sad_calc_8Ptii,671347.0,9747866.0,1894666.0,11918874.0,0.0,0.0,14959721.0,13423054.0,788377.0,11505228.0,13780279.0,48655.0,48440986.0,0.00849482588548305,0.5279999999999951,4156141.1,1.0
parboil-sad,_Z18larger_sad_calc_16Ptii,241232.0,2302247.0,702764.0,2742303.0,0.0,0.0,3344194.0,3216418.0,293907.0,2652214.0,3446259.0,10627.0,11963456.0,0.008876548289537841,1.5759999999999952,904903.825,1.0
